FR,EN,Name,MEM,POW,TR,TIM
1200.0,4887.81,app4,527963.6,92.22,1,53.0
1200.0,4821.47,app4,534882.0,92.36,2,52.2
1200.0,4801.69,app4,533384.8,92.38,4,51.97
1200.0,4773.51,app4,534870.0,92.43,8,51.63
1200.0,4784.26,app4,532502.8,92.57,16,51.66
1200.0,4792.48,app4,533144.8,92.72,32,51.67
1300.0,4538.56,app4,528857.6,92.9,1,48.85
1300.0,4483.21,app4,533200.0,93.02,2,48.19
1300.0,4455.93,app4,532455.6,93.04,4,47.88
1300.0,4440.0,app4,533033.2,93.11,8,47.69
1300.0,4451.98,app4,533558.8,93.25,16,47.72
1300.0,4456.55,app4,532387.6,93.18,32,47.82
1400.0,4244.65,app4,528635.2,93.61,1,45.34
1400.0,4200.3,app4,535044.4,93.71,2,44.82
1400.0,4169.85,app4,533010.8,93.8,4,44.44
1400.0,4154.91,app4,533841.6,93.84,8,44.27
1400.0,4172.59,app4,533360.8,94.07,16,44.35
1400.0,4170.14,app4,533616.0,94.05,32,44.34
1600.0,3772.81,app4,528210.0,95.1,1,39.66
1600.0,3735.31,app4,532748.8,95.36,2,39.17
1600.0,3712.69,app4,532268.4,95.46,4,38.89
1600.0,3701.0,app4,532684.8,95.38,8,38.78
1600.0,3711.49,app4,533097.2,95.64,16,38.79
1600.0,3713.09,app4,532746.4,95.71,32,38.8
1700.0,3587.2,app4,528475.6,96.06,1,37.34
1700.0,3547.64,app4,533074.0,96.19,2,36.86
1700.0,3523.63,app4,532350.0,96.23,4,36.61
1700.0,3505.78,app4,533453.6,96.11,8,36.47
1700.0,3526.35,app4,532812.4,96.46,16,36.55
1700.0,3515.28,app4,533608.0,96.25,32,36.51
1800.0,3411.17,app4,528764.0,96.7,1,35.28
1800.0,3380.67,app4,533551.2,97.04,2,34.83
1800.0,3356.77,app4,532179.2,96.96,4,34.63
1800.0,3340.56,app4,533580.0,96.92,8,34.47
1800.0,3356.1,app4,530832.8,97.21,16,34.52
1800.0,3364.38,app4,532538.0,97.31,32,34.58
1900.0,3273.31,app4,529270.8,97.89,1,33.43
1900.0,3236.97,app4,533449.6,98.13,2,32.99
1900.0,3216.98,app4,533927.2,98.12,4,32.77
1900.0,3201.24,app4,535198.0,98.07,8,32.64
1900.0,3219.61,app4,532366.8,98.42,16,32.7
1900.0,3216.85,app4,531551.2,98.27,32,32.73
2000.0,3165.04,app4,528012.8,99.44,1,31.82
2000.0,3126.07,app4,533055.6,99.56,2,31.39
2000.0,3102.47,app4,533572.4,99.62,4,31.14
2000.0,3094.19,app4,534299.6,99.72,8,31.03
2000.0,3103.47,app4,531987.2,99.91,16,31.05
2000.0,3106.65,app4,532567.2,100.01,32,31.06
2200.0,2933.23,app4,528606.8,101.42,1,28.91
2200.0,2899.19,app4,534618.8,101.63,2,28.52
2200.0,2878.61,app4,533982.4,101.66,4,28.31
2200.0,2868.58,app4,533973.6,101.71,8,28.19
2200.0,2881.81,app4,532826.4,102.0,16,28.24
2200.0,2887.52,app4,533293.6,101.95,32,28.3
2300.0,2830.9,app4,528197.6,102.39,1,27.66
2300.0,2795.35,app4,533882.4,102.46,2,27.27
2300.0,2781.46,app4,531957.2,102.69,4,27.09
2300.0,2769.2,app4,535878.4,102.57,8,26.99
2300.0,2787.94,app4,533144.4,103.06,16,27.05
2300.0,2790.49,app4,533396.4,103.19,32,27.03
2400.0,2743.69,app4,527008.8,103.49,1,26.5
2400.0,2710.81,app4,533398.0,103.67,2,26.15
2400.0,2698.31,app4,533122.8,103.83,4,25.99
2400.0,2686.69,app4,534552.8,103.86,8,25.86
2400.0,2703.18,app4,533095.6,104.3,16,25.91
2400.0,2701.27,app4,532340.8,104.24,32,25.91
2500.0,2666.59,app4,528497.6,104.75,1,25.46
2500.0,2634.12,app4,531271.2,104.95,2,25.1
2500.0,2623.57,app4,534487.6,104.81,4,25.03
2500.0,2609.25,app4,534632.4,104.96,8,24.86
2500.0,2627.48,app4,533908.0,105.44,16,24.89
2500.0,2624.5,app4,531946.0,105.36,32,24.9
2700.0,2524.44,app4,528192.0,106.88,1,23.62
2700.0,2495.15,app4,532912.8,107.01,2,23.31
2700.0,2477.59,app4,532990.0,107.32,4,23.08
2700.0,2473.13,app4,534102.4,107.38,8,23.03
2700.0,2492.77,app4,532132.0,107.88,16,23.1
2700.0,2484.94,app4,532550.8,107.72,32,23.06
2800.0,2459.05,app4,528236.4,108.2,1,22.72
2800.0,2427.24,app4,534860.4,108.28,2,22.42
2800.0,2418.62,app4,533924.8,108.53,4,22.28
2800.0,2406.74,app4,532032.4,108.48,8,22.18
2800.0,2426.53,app4,532901.6,109.05,16,22.24
2800.0,2427.98,app4,532226.0,109.2,32,22.23
2900.0,2402.61,app4,527078.4,109.42,1,21.95
2900.0,2382.94,app4,533264.8,109.7,2,21.71
2900.0,2364.08,app4,533124.8,109.81,4,21.53
2900.0,2359.99,app4,533284.4,110.01,8,21.44
2900.0,2374.55,app4,533114.4,110.46,16,21.5
2900.0,2375.2,app4,532556.4,110.5,32,21.49
2901.0,2235.64,app4,528062.4,132.29,1,16.89
2901.0,2216.78,app4,532464.0,132.73,2,16.7
2901.0,2209.37,app4,534637.2,132.97,4,16.61
2901.0,2215.66,app4,532738.0,133.58,8,16.59
2901.0,2258.93,app4,532752.0,135.67,16,16.64
2901.0,2251.33,app4,531845.2,135.19,32,16.65
