FR,EN,Name,MEM,POW,TR,TIM
1200.0,3435.29,app4,5122.4,92.92,1,36.95
1200.0,1734.46,app4,16841.6,96.93,2,17.89
1200.0,928.33,app4,29385.2,102.3,4,9.06
1200.0,534.1,app4,53554.0,112.0,8,4.76
1200.0,359.55,app4,98563.2,127.1,16,2.82
1200.0,286.84,app4,194161.2,134.88,32,2.11
1300.0,3146.05,app4,4933.2,93.41,1,33.68
1300.0,1621.6,app4,16988.0,98.08,2,16.51
1300.0,872.78,app4,29294.8,104.21,4,8.37
1300.0,504.26,app4,53270.8,115.19,8,4.36
1300.0,347.22,app4,97539.2,130.09,16,2.65
1300.0,275.91,app4,195327.2,139.27,32,1.96
1400.0,2990.42,app4,4914.0,94.23,1,31.72
1400.0,1525.24,app4,16880.4,99.36,2,15.33
1400.0,832.22,app4,29576.8,105.97,4,7.84
1400.0,479.95,app4,53217.6,117.82,8,4.05
1400.0,333.31,app4,95222.0,134.61,16,2.45
1400.0,268.14,app4,193133.2,144.29,32,1.83
1600.0,2643.72,app4,4909.6,95.71,1,27.63
1600.0,1370.66,app4,17281.6,102.39,2,13.38
1600.0,752.82,app4,29109.2,111.15,4,6.76
1600.0,437.14,app4,52967.6,123.97,8,3.51
1600.0,310.95,app4,97905.6,144.35,16,2.13
1600.0,248.9,app4,187757.2,155.52,32,1.57
1800.0,2388.11,app4,4919.2,97.74,1,24.42
1800.0,1249.32,app4,16848.8,105.25,2,11.87
1800.0,697.4,app4,29463.6,115.25,4,6.04
1800.0,414.2,app4,54085.6,130.18,8,3.17
1800.0,297.35,app4,97322.4,153.92,16,1.92
1800.0,240.12,app4,188834.4,166.79,32,1.43
2200.0,2038.93,app4,4909.2,101.87,1,20.02
2200.0,1103.77,app4,16866.0,113.48,2,9.72
2200.0,620.03,app4,29478.8,125.68,4,4.92
2200.0,382.25,app4,53128.0,145.69,8,2.61
2200.0,282.8,app4,96510.0,179.0,16,1.57
2200.0,234.76,app4,190014.8,192.6,32,1.21
2400.0,1892.65,app4,5125.6,104.0,1,18.2
2400.0,1046.94,app4,16858.8,116.96,2,8.94
2400.0,593.53,app4,29167.6,131.06,4,4.52
2400.0,370.65,app4,53006.8,155.56,8,2.38
2400.0,286.53,app4,99646.0,189.02,16,1.5
2400.0,233.9,app4,187142.0,208.61,32,1.1
2700.0,1760.71,app4,4909.2,107.73,1,16.35
2700.0,983.03,app4,16740.0,123.92,2,7.92
2700.0,570.64,app4,29378.0,141.24,4,4.03
2700.0,365.38,app4,53462.4,170.49,8,2.13
2700.0,289.13,app4,96565.6,213.26,16,1.33
2700.0,243.31,app4,191346.4,231.72,32,1.02
2901.0,1524.96,app4,4914.8,133.11,1,11.46
2901.0,959.06,app4,16776.4,166.25,2,5.76
2901.0,589.4,app4,29390.8,194.85,4,3.02
2901.0,399.19,app4,53484.4,231.58,8,1.71
2901.0,327.17,app4,99015.6,285.35,16,1.11
2901.0,277.32,app4,192491.6,314.69,32,0.86
1700.0,2501.27,app4,4910.8,96.04,1,26.04
1700.0,1303.59,app4,17006.8,103.58,2,12.58
1700.0,721.83,app4,29545.6,113.09,4,6.38
1700.0,424.53,app4,53417.6,126.52,8,3.35
1700.0,299.56,app4,96784.8,149.63,16,1.99
1700.0,243.22,app4,188980.4,159.78,32,1.52
1900.0,2277.45,app4,4909.2,98.08,1,23.2
1900.0,1210.24,app4,16979.2,106.84,2,11.31
1900.0,685.41,app4,29365.2,117.45,4,5.84
1900.0,405.74,app4,53353.2,133.65,8,3.04
1900.0,307.4,app4,98685.6,156.12,16,1.94
1900.0,252.93,app4,185908.8,169.11,32,1.48
2300.0,1998.37,app4,4910.0,103.76,1,19.25
2300.0,1077.05,app4,16864.0,115.42,2,9.33
2300.0,614.5,app4,29514.4,128.86,4,4.75
2300.0,380.92,app4,53349.2,150.8,8,2.51
2300.0,293.25,app4,97472.4,182.12,16,1.6
2300.0,245.26,app4,189074.0,197.64,32,1.22
2500.0,1898.53,app4,4910.0,105.87,1,17.93
2500.0,1039.66,app4,17038.0,120.67,2,8.61
2500.0,596.7,app4,29482.4,135.48,4,4.38
2500.0,373.34,app4,53004.8,160.74,8,2.32
2500.0,297.87,app4,100030.0,193.21,16,1.51
2500.0,252.29,app4,193163.6,211.0,32,1.18
2800.0,1770.68,app4,4918.8,110.86,1,15.96
2800.0,995.15,app4,16701.6,126.87,2,7.86
2800.0,577.33,app4,29372.8,147.54,4,3.9
2800.0,373.71,app4,53213.6,178.9,8,2.07
2800.0,298.33,app4,98947.6,219.73,16,1.34
2800.0,252.79,app4,190324.4,240.97,32,1.04
2900.0,1718.09,app4,4914.8,111.77,1,15.36
2900.0,964.37,app4,16768.0,130.1,2,7.4
2900.0,575.51,app4,29451.2,149.74,4,3.85
2900.0,374.5,app4,52984.8,185.48,8,2.01
2900.0,308.24,app4,99156.4,226.1,16,1.35
2900.0,260.73,app4,191805.2,249.81,32,1.02
2000.0,2223.1,app4,4910.4,100.33,1,22.15
2000.0,1183.15,app4,16792.4,110.25,2,10.73
2000.0,657.93,app4,29444.4,120.68,4,5.45
2000.0,397.78,app4,53464.8,137.49,8,2.87
2000.0,294.53,app4,97191.6,164.43,16,1.76
2000.0,238.92,app4,190587.2,178.43,32,1.33
