FR,EN,Name,MEM,POW,TR,TIM
1200.0,2007.38,app4,20363.6,92.71,1,21.63
1200.0,1113.55,app4,51347.2,97.7,2,11.39
1200.0,716.08,app4,112582.8,100.69,4,7.1
1200.0,483.38,app4,267634.0,106.16,8,4.54
1200.0,430.14,app4,413330.4,108.18,16,3.95
1200.0,401.55,app4,522563.6,109.14,32,3.67
1600.0,1476.24,app4,20146.4,97.49,1,16.32
1600.0,945.83,app4,60034.8,102.23,2,8.6
1600.0,620.31,app4,116294.4,106.99,4,5.47
1600.0,439.49,app4,265364.4,112.29,8,3.71
1600.0,377.45,app4,411023.2,114.62,16,3.26
1600.0,340.61,app4,513219.2,117.18,32,2.84
1800.0,1341.9,app4,20298.4,99.71,1,14.65
1800.0,885.53,app4,55187.2,104.05,2,7.92
1800.0,576.26,app4,115021.2,109.76,4,4.97
1800.0,415.53,app4,277139.2,115.49,8,3.44
1800.0,365.7,app4,414047.2,118.61,16,3.03
1800.0,330.73,app4,516196.8,121.4,32,2.67
2200.0,1181.38,app4,21447.6,104.92,1,12.23
2200.0,787.61,app4,56576.8,110.35,2,6.61
2200.0,522.98,app4,114717.2,116.2,4,4.26
2200.0,372.93,app4,257460.8,124.29,8,2.84
2200.0,332.37,app4,402282.8,126.32,16,2.58
2200.0,305.05,app4,519905.2,132.34,32,2.27
2400.0,1107.79,app4,20261.6,107.38,1,11.22
2400.0,752.69,app4,56368.0,113.98,2,6.18
2400.0,502.82,app4,113124.4,121.31,4,3.93
2400.0,369.01,app4,258456.0,127.39,8,2.79
2400.0,330.06,app4,402104.8,130.88,16,2.45
2400.0,297.59,app4,522052.0,134.55,32,2.16
2700.0,1024.85,app4,20148.8,111.05,1,10.06
2700.0,707.31,app4,52326.8,121.88,2,5.39
2700.0,487.35,app4,114438.8,127.29,4,3.62
2700.0,365.65,app4,258562.8,135.09,8,2.57
2700.0,329.0,app4,401835.2,140.42,16,2.28
2700.0,300.15,app4,518806.8,144.29,32,2.04
2901.0,957.97,app4,20109.6,137.7,1,7.44
2901.0,711.97,app4,51187.6,154.95,2,4.32
2901.0,501.07,app4,114692.4,160.4,4,2.96
2901.0,398.43,app4,256555.2,169.5,8,2.26
2901.0,348.32,app4,402380.8,172.25,16,1.98
2901.0,351.79,app4,519758.0,192.98,32,1.8
1300.0,1739.25,app4,20784.4,103.35,1,20.01
1300.0,1119.92,app4,56562.8,97.84,2,10.58
1300.0,702.99,app4,115693.2,101.65,4,6.51
1300.0,476.64,app4,269212.8,106.66,8,4.23
1300.0,413.43,app4,410419.6,109.01,16,3.73
1300.0,387.52,app4,518263.2,109.47,32,3.52
1700.0,1402.09,app4,20213.6,98.57,1,15.49
1700.0,920.78,app4,56644.8,102.95,2,8.25
1700.0,597.67,app4,114143.2,107.95,4,5.22
1700.0,422.58,app4,271911.6,113.78,8,3.58
1700.0,372.81,app4,412274.0,115.43,16,3.12
1700.0,333.7,app4,516705.2,116.83,32,2.82
1900.0,1309.35,app4,20151.2,100.46,1,14.18
1900.0,859.57,app4,54800.8,105.38,2,7.45
1900.0,566.75,app4,112018.4,111.16,4,4.81
1900.0,406.96,app4,264324.0,116.92,8,3.36
1900.0,355.76,app4,408407.6,119.68,16,2.94
1900.0,328.52,app4,514532.0,122.03,32,2.62
2300.0,1149.18,app4,20248.0,105.8,1,11.7
2300.0,784.11,app4,51829.2,113.22,2,6.45
2300.0,530.18,app4,111737.6,119.9,4,4.18
2300.0,387.85,app4,262038.4,125.99,8,2.97
2300.0,339.91,app4,403368.8,129.54,16,2.54
2300.0,308.84,app4,515994.4,132.55,32,2.31
2500.0,1088.91,app4,20165.6,110.42,1,10.83
2500.0,735.84,app4,49378.8,117.11,2,5.83
2500.0,506.36,app4,114995.6,124.3,4,3.85
2500.0,377.57,app4,258115.2,132.11,8,2.73
2500.0,330.52,app4,402032.4,134.16,16,2.41
2500.0,309.05,app4,516397.6,138.16,32,2.19
2800.0,1020.83,app4,20704.8,113.05,1,9.85
2800.0,716.96,app4,53278.4,122.5,2,5.39
2800.0,484.86,app4,112620.4,129.23,4,3.6
2800.0,374.75,app4,258109.6,135.98,8,2.64
2800.0,331.04,app4,406856.8,142.87,16,2.27
2800.0,321.13,app4,516758.0,150.69,32,2.08
1400.0,1629.47,app4,20169.6,99.76,1,18.71
1400.0,1057.82,app4,57495.6,99.31,2,9.82
1400.0,677.72,app4,116711.2,102.99,4,6.2
1400.0,464.81,app4,265616.8,108.23,8,4.07
1400.0,401.7,app4,412596.8,111.13,16,3.58
1400.0,370.03,app4,520934.8,112.27,32,3.22
2900.0,1005.2,app4,20415.2,111.47,1,9.48
2900.0,707.17,app4,51700.0,124.04,2,5.3
2900.0,485.74,app4,112601.2,132.1,4,3.49
2900.0,372.7,app4,252460.0,139.04,8,2.56
2900.0,327.9,app4,401813.2,144.18,16,2.22
2900.0,311.76,app4,518120.0,151.34,32,2.02
2000.0,1269.79,app4,20207.2,105.69,1,13.51
2000.0,850.44,app4,58424.0,109.33,2,7.19
2000.0,554.27,app4,110647.6,113.96,4,4.61
2000.0,404.17,app4,264255.2,119.61,8,3.24
2000.0,357.42,app4,406005.2,123.55,16,2.78
2000.0,326.57,app4,520072.8,126.18,32,2.56
