FR,EN,Name,MEM,POW,TR,TIM
1200.0,3435.34,cr_audio1.wav,4915.2,92.94,1,36.96
1200.0,1783.08,cr_audio1.wav,19016.4,97.13,2,18.35
1200.0,951.26,cr_audio1.wav,32558.4,101.91,4,9.31
1200.0,532.72,cr_audio1.wav,57883.2,111.86,8,4.76
1200.0,344.0,cr_audio1.wav,106077.2,125.54,16,2.72
1200.0,270.13,cr_audio1.wav,201028.0,133.41,32,2.01
1300.0,3215.3,cr_audio1.wav,4917.2,93.9,1,34.23
1300.0,1647.33,cr_audio1.wav,18571.2,97.83,2,16.83
1300.0,914.12,cr_audio1.wav,32518.0,103.47,4,8.84
1300.0,504.81,cr_audio1.wav,57814.0,114.5,8,4.39
1300.0,328.45,cr_audio1.wav,105530.4,129.48,16,2.52
1300.0,259.34,cr_audio1.wav,200591.2,137.5,32,1.87
1400.0,3029.44,cr_audio1.wav,4922.4,94.41,1,32.07
1400.0,1552.36,cr_audio1.wav,18874.4,99.12,2,15.64
1400.0,845.07,cr_audio1.wav,32436.0,105.63,4,7.99
1400.0,484.73,cr_audio1.wav,57660.8,117.11,8,4.11
1400.0,325.71,cr_audio1.wav,106775.6,131.59,16,2.47
1400.0,251.98,cr_audio1.wav,200926.0,142.93,32,1.75
1600.0,2691.72,cr_audio1.wav,4920.0,96.35,1,27.93
1600.0,1393.45,cr_audio1.wav,18516.8,102.31,2,13.61
1600.0,770.26,cr_audio1.wav,32587.2,110.67,4,6.95
1600.0,440.86,cr_audio1.wav,57538.8,122.71,8,3.58
1600.0,296.16,cr_audio1.wav,105133.2,142.0,16,2.07
1600.0,239.53,cr_audio1.wav,199648.0,152.12,32,1.56
1800.0,2436.4,cr_audio1.wav,4909.6,97.59,1,24.96
1800.0,1265.21,cr_audio1.wav,18386.8,104.46,2,12.1
1800.0,704.89,cr_audio1.wav,32967.2,114.91,4,6.12
1800.0,420.8,cr_audio1.wav,57676.4,128.14,8,3.27
1800.0,281.83,cr_audio1.wav,106710.8,153.0,16,1.83
1800.0,228.63,cr_audio1.wav,199415.2,164.62,32,1.38
2200.0,2081.5,cr_audio1.wav,4921.6,102.14,1,20.37
2200.0,1109.45,cr_audio1.wav,18645.2,111.73,2,9.92
2200.0,626.76,cr_audio1.wav,32560.8,125.02,4,5.01
2200.0,380.27,cr_audio1.wav,57344.8,144.26,8,2.63
2200.0,267.37,cr_audio1.wav,105338.4,178.58,16,1.49
2200.0,226.85,cr_audio1.wav,200645.2,188.17,32,1.19
2400.0,1958.68,cr_audio1.wav,5112.0,103.89,1,18.85
2400.0,1069.53,cr_audio1.wav,18504.8,117.75,2,9.08
2400.0,602.35,cr_audio1.wav,32584.8,130.39,4,4.6
2400.0,370.12,cr_audio1.wav,56959.2,152.51,8,2.4
2400.0,267.63,cr_audio1.wav,105080.8,186.63,16,1.42
2400.0,220.5,cr_audio1.wav,202222.0,203.98,32,1.07
2700.0,1792.58,cr_audio1.wav,4909.2,108.51,1,16.51
2700.0,1003.62,cr_audio1.wav,18518.4,124.05,2,8.07
2700.0,572.35,cr_audio1.wav,32600.8,139.76,4,4.09
2700.0,362.18,cr_audio1.wav,56828.8,167.17,8,2.15
2700.0,266.78,cr_audio1.wav,106001.6,211.63,16,1.25
2700.0,231.3,cr_audio1.wav,203010.0,227.48,32,1.0
2901.0,1569.21,cr_audio1.wav,4919.2,132.91,1,11.79
2901.0,992.9,cr_audio1.wav,18648.0,170.81,2,5.82
2901.0,599.48,cr_audio1.wav,32501.6,193.61,4,3.07
2901.0,396.82,cr_audio1.wav,56038.8,229.35,8,1.7
2901.0,305.48,cr_audio1.wav,104986.8,286.19,16,1.06
2901.0,264.45,cr_audio1.wav,202850.8,315.8,32,0.82
1700.0,2496.74,cr_audio1.wav,4922.0,95.61,1,26.1
1700.0,1326.26,cr_audio1.wav,18510.0,103.37,2,12.81
1700.0,731.72,cr_audio1.wav,32538.4,112.53,4,6.49
1700.0,426.2,cr_audio1.wav,57508.0,125.47,8,3.38
1700.0,284.93,cr_audio1.wav,105044.8,147.33,16,1.93
1700.0,231.2,cr_audio1.wav,200572.4,157.79,32,1.45
1900.0,2313.33,cr_audio1.wav,4914.0,98.52,1,23.48
1900.0,1229.77,cr_audio1.wav,18506.8,106.64,2,11.51
1900.0,688.43,cr_audio1.wav,32505.6,116.62,4,5.9
1900.0,408.46,cr_audio1.wav,57745.2,131.54,8,3.09
1900.0,282.07,cr_audio1.wav,105220.8,156.82,16,1.79
1900.0,238.44,cr_audio1.wav,202044.4,168.59,32,1.41
2300.0,2015.01,cr_audio1.wav,4910.0,103.53,1,19.46
2300.0,1097.98,cr_audio1.wav,18580.0,115.17,2,9.52
2300.0,627.93,cr_audio1.wav,32578.0,128.08,4,4.9
2300.0,383.09,cr_audio1.wav,57356.0,149.02,8,2.56
2300.0,274.17,cr_audio1.wav,105814.8,181.29,16,1.49
2300.0,240.05,cr_audio1.wav,206243.6,195.24,32,1.22
2500.0,1915.79,cr_audio1.wav,4910.0,107.36,1,17.84
2500.0,1037.98,cr_audio1.wav,18661.6,118.64,2,8.74
2500.0,596.68,cr_audio1.wav,32497.6,134.58,4,4.44
2500.0,373.41,cr_audio1.wav,56652.4,157.47,8,2.36
2500.0,269.99,cr_audio1.wav,105784.0,196.94,16,1.37
2500.0,244.7,cr_audio1.wav,203664.8,207.93,32,1.16
2800.0,1770.58,cr_audio1.wav,4909.2,111.27,1,15.9
2800.0,972.84,cr_audio1.wav,18504.4,124.33,2,7.81
2800.0,579.49,cr_audio1.wav,32609.6,145.41,4,3.97
2800.0,365.01,cr_audio1.wav,56631.2,174.75,8,2.07
2800.0,280.15,cr_audio1.wav,105938.8,217.18,16,1.27
2800.0,247.75,cr_audio1.wav,203212.0,237.59,32,1.02
2900.0,1723.47,cr_audio1.wav,4909.6,112.26,1,15.33
2900.0,963.92,cr_audio1.wav,18565.6,127.38,2,7.56
2900.0,571.14,cr_audio1.wav,32569.6,147.93,4,3.85
2900.0,368.06,cr_audio1.wav,56880.8,181.33,8,2.01
2900.0,278.26,cr_audio1.wav,105254.4,229.85,16,1.21
2900.0,260.73,cr_audio1.wav,206459.2,244.71,32,1.03
2000.0,2291.44,cr_audio1.wav,4909.2,101.43,1,22.58
2000.0,1192.9,cr_audio1.wav,18438.8,109.02,2,10.93
2000.0,664.64,cr_audio1.wav,32629.2,119.9,4,5.53
2000.0,399.56,cr_audio1.wav,57770.0,135.69,8,2.93
2000.0,278.55,cr_audio1.wav,105052.4,162.06,16,1.69
2000.0,228.12,cr_audio1.wav,200129.2,175.53,32,1.27
