FR,EN,Name,MEM,POW,TR,TIM
1200.0,3371.38,cr_audio1.wav,26194.8,94.33,1,39.46
1200.0,2975.81,cr_audio1.wav,36170.8,95.33,2,30.28
1200.0,2104.75,cr_audio1.wav,74164.0,97.2,4,20.69
1200.0,1481.75,cr_audio1.wav,170102.8,99.14,8,14.33
1200.0,1050.09,cr_audio1.wav,201887.6,101.88,16,9.85
1200.0,769.7,cr_audio1.wav,287687.2,106.56,32,6.94
1600.0,2594.48,cr_audio1.wav,26197.2,97.42,1,29.62
1600.0,2312.09,cr_audio1.wav,36420.0,98.31,2,22.8
1600.0,1670.14,cr_audio1.wav,74859.6,101.54,4,15.79
1600.0,1193.5,cr_audio1.wav,170487.2,105.3,8,10.76
1600.0,852.07,cr_audio1.wav,209031.6,109.85,16,7.47
1600.0,644.08,cr_audio1.wav,286044.4,114.2,32,5.41
1800.0,2371.12,cr_audio1.wav,26404.0,99.11,1,26.62
1800.0,2101.79,cr_audio1.wav,36336.4,100.02,2,20.45
1800.0,1532.23,cr_audio1.wav,72637.6,104.31,4,14.06
1800.0,1097.41,cr_audio1.wav,165190.0,108.48,8,9.68
1800.0,795.9,cr_audio1.wav,210577.2,113.42,16,6.7
1800.0,605.67,cr_audio1.wav,286551.6,119.09,32,4.87
2200.0,2037.5,cr_audio1.wav,26116.0,103.74,1,21.81
2200.0,1824.15,cr_audio1.wav,36430.0,105.7,2,16.75
2200.0,1353.41,cr_audio1.wav,74200.0,110.42,4,11.79
2200.0,985.15,cr_audio1.wav,170778.0,116.44,8,8.11
2200.0,719.09,cr_audio1.wav,209570.0,122.17,16,5.58
2200.0,553.67,cr_audio1.wav,287342.0,131.54,32,4.11
2400.0,1906.51,cr_audio1.wav,26014.8,106.79,1,20.08
2400.0,1733.08,cr_audio1.wav,36276.4,108.17,2,15.57
2400.0,1297.29,cr_audio1.wav,72989.6,113.71,4,10.92
2400.0,953.2,cr_audio1.wav,171677.6,120.05,8,7.62
2400.0,692.53,cr_audio1.wav,206212.4,127.58,16,5.19
2400.0,539.79,cr_audio1.wav,285871.6,135.53,32,3.84
