FR,EN,Name,MEM,POW,TR,TIM
1200.0,1247.22,enwik8,458719.2,91.96,1,13.55
1200.0,676.73,enwik8,463217.6,95.78,2,7.05
1200.0,377.52,enwik8,464165.2,102.36,4,3.67
1200.0,226.06,enwik8,467086.4,110.84,8,2.02
1200.0,152.77,enwik8,466900.4,125.87,16,1.2
1200.0,148.18,enwik8,469720.4,127.36,32,1.15
1300.0,1156.88,enwik8,462532.4,92.55,1,12.48
1300.0,629.0,enwik8,464188.4,96.76,2,6.49
1300.0,362.03,enwik8,462726.0,103.45,4,3.49
1300.0,211.86,enwik8,464657.2,113.56,8,1.86
1300.0,144.63,enwik8,468478.8,130.25,16,1.09
1300.0,144.24,enwik8,468970.0,130.25,32,1.09
1400.0,1081.48,enwik8,457883.2,93.24,1,11.61
1400.0,593.55,enwik8,465723.6,97.62,2,6.07
1400.0,338.37,enwik8,462220.8,105.26,4,3.2
1400.0,204.11,enwik8,465052.8,115.68,8,1.74
1400.0,136.81,enwik8,465454.4,135.33,16,0.99
1400.0,139.97,enwik8,465109.2,133.97,32,1.02
1600.0,963.04,enwik8,458901.6,94.79,1,10.16
1600.0,535.61,enwik8,464283.6,100.67,2,5.31
1600.0,311.5,enwik8,465048.0,107.67,4,2.89
1600.0,186.99,enwik8,464900.8,120.73,8,1.53
1600.0,130.6,enwik8,467295.2,143.06,16,0.89
1600.0,131.29,enwik8,469358.4,142.96,32,0.9
1700.0,917.99,enwik8,460510.4,95.56,1,9.59
1700.0,506.9,enwik8,459760.8,101.55,2,4.99
1700.0,296.82,enwik8,464610.8,109.4,4,2.71
1700.0,179.58,enwik8,467091.6,123.49,8,1.44
1700.0,126.72,enwik8,466355.6,148.43,16,0.83
1700.0,129.24,enwik8,467105.2,147.09,32,0.84
1800.0,872.57,enwik8,461723.2,96.33,1,9.06
1800.0,486.42,enwik8,463541.2,102.59,2,4.74
1800.0,284.61,enwik8,462394.0,111.35,4,2.54
1800.0,173.8,enwik8,465148.0,126.57,8,1.36
1800.0,123.82,enwik8,469643.6,154.22,16,0.78
1800.0,126.46,enwik8,466594.4,151.96,32,0.81
1900.0,837.53,enwik8,462172.0,97.42,1,8.59
1900.0,467.2,enwik8,465449.2,104.24,2,4.48
1900.0,279.52,enwik8,459906.0,112.74,4,2.46
1900.0,169.44,enwik8,467308.4,130.33,8,1.28
1900.0,121.08,enwik8,470944.0,159.76,16,0.74
1900.0,123.18,enwik8,467677.6,158.75,32,0.76
2000.0,807.97,enwik8,462574.0,98.91,1,8.16
2000.0,447.5,enwik8,464397.2,104.97,2,4.26
2000.0,261.91,enwik8,461126.8,115.45,4,2.26
2000.0,166.13,enwik8,463812.4,132.91,8,1.23
2000.0,118.83,enwik8,469266.8,164.72,16,0.71
2000.0,122.67,enwik8,469142.0,162.69,32,0.72
2200.0,748.8,enwik8,462158.4,100.92,1,7.43
2200.0,420.71,enwik8,464140.4,107.7,2,3.9
2200.0,249.57,enwik8,462265.6,119.38,4,2.09
2200.0,161.08,enwik8,466110.4,138.6,8,1.14
2200.0,117.09,enwik8,465959.6,176.87,16,0.64
2200.0,120.24,enwik8,469421.2,174.59,32,0.67
2300.0,722.67,enwik8,459148.0,101.75,1,7.1
2300.0,410.62,enwik8,462834.8,108.98,2,3.75
2300.0,242.43,enwik8,465908.0,121.24,4,2.0
2300.0,156.74,enwik8,466318.4,142.98,8,1.09
2300.0,119.9,enwik8,469557.6,179.73,16,0.64
2300.0,117.58,enwik8,466906.0,180.56,32,0.63
2400.0,705.36,enwik8,458802.8,102.97,1,6.81
2400.0,396.36,enwik8,463151.2,110.38,2,3.58
2400.0,239.64,enwik8,461952.0,122.89,4,1.94
2400.0,153.86,enwik8,464203.2,147.71,8,1.03
2400.0,118.79,enwik8,471788.4,186.67,16,0.6
2400.0,118.79,enwik8,467876.0,186.7,32,0.62
2500.0,684.94,enwik8,460725.6,104.3,1,6.55
2500.0,387.22,enwik8,463487.2,112.05,2,3.46
2500.0,235.26,enwik8,462441.2,125.6,4,1.86
2500.0,154.59,enwik8,464184.4,149.84,8,1.02
2500.0,116.79,enwik8,468306.8,195.73,16,0.58
2500.0,117.39,enwik8,465501.2,194.55,32,0.58
2700.0,644.4,enwik8,460389.6,106.21,1,6.06
2700.0,367.63,enwik8,463261.6,115.03,2,3.19
2700.0,227.33,enwik8,462753.6,130.49,4,1.73
2700.0,155.4,enwik8,462594.4,157.55,8,0.95
2700.0,117.16,enwik8,469496.8,211.61,16,0.53
2700.0,117.14,enwik8,466572.4,209.76,32,0.55
2800.0,630.07,enwik8,460845.6,107.65,1,5.85
2800.0,362.12,enwik8,463186.8,117.13,2,3.08
2800.0,221.17,enwik8,461742.8,134.33,4,1.63
2800.0,151.93,enwik8,464886.8,162.76,8,0.92
2800.0,118.77,enwik8,468444.4,218.84,16,0.52
2800.0,117.59,enwik8,466883.6,220.44,32,0.51
2900.0,616.14,enwik8,460188.0,108.89,1,5.65
2900.0,357.37,enwik8,465139.6,119.06,2,2.98
2900.0,221.66,enwik8,464856.8,136.67,4,1.61
2900.0,156.0,enwik8,465294.8,164.86,8,0.92
2900.0,122.42,enwik8,466851.2,224.19,16,0.51
2900.0,122.68,enwik8,468581.6,223.42,32,0.52
2901.0,581.39,enwik8,455290.4,132.13,1,4.4
2901.0,358.41,enwik8,463721.2,147.17,2,2.43
2901.0,232.77,enwik8,464850.8,167.47,4,1.38
2901.0,165.07,enwik8,463341.6,205.44,8,0.78
2901.0,139.8,enwik8,468378.0,278.7,16,0.47
2901.0,136.89,enwik8,468025.6,281.87,32,0.46
