FR,EN,Name,MEM,POW,TR,TIM
1200.0,926.15,enwik8,4920.8,92.97,1,9.95
1200.0,475.27,enwik8,14333.6,96.79,2,4.91
1200.0,264.54,enwik8,25983.2,101.04,4,2.6
1200.0,152.22,enwik8,48637.6,110.26,8,1.36
1200.0,106.81,enwik8,89147.6,121.68,16,0.86
1200.0,90.42,enwik8,162833.6,128.3,32,0.68
1300.0,863.85,enwik8,4909.2,93.9,1,9.17
1300.0,444.98,enwik8,14335.6,97.71,2,4.54
1300.0,249.62,enwik8,26018.4,103.15,4,2.4
1300.0,143.67,enwik8,48267.2,113.51,8,1.24
1300.0,102.73,enwik8,88544.0,124.22,16,0.81
1300.0,86.36,enwik8,162217.6,131.76,32,0.63
1400.0,823.06,enwik8,4922.4,94.56,1,8.7
1400.0,418.2,enwik8,14546.4,99.11,2,4.21
1400.0,231.38,enwik8,25958.4,105.23,4,2.18
1400.0,137.9,enwik8,48678.4,115.29,8,1.17
1400.0,99.53,enwik8,88148.8,127.41,16,0.77
1400.0,84.07,enwik8,164320.4,136.0,32,0.6
1600.0,718.59,enwik8,4914.8,95.81,1,7.5
1600.0,374.5,enwik8,14351.2,102.0,2,3.66
1600.0,207.45,enwik8,25998.4,110.8,4,1.86
1600.0,124.14,enwik8,48392.4,121.62,8,1.01
1600.0,90.92,enwik8,88051.2,137.53,16,0.64
1600.0,78.16,enwik8,163906.8,145.92,32,0.53
1800.0,653.42,enwik8,4904.8,97.57,1,6.69
1800.0,341.61,enwik8,14350.4,104.92,2,3.25
1800.0,190.71,enwik8,25972.8,114.48,4,1.66
1800.0,117.25,enwik8,47558.4,127.63,8,0.91
1800.0,85.61,enwik8,87610.4,145.55,16,0.59
1800.0,74.39,enwik8,165211.2,154.84,32,0.48
2200.0,564.25,enwik8,4905.2,102.57,1,5.49
2200.0,302.28,enwik8,14294.0,112.65,2,2.67
2200.0,169.92,enwik8,25975.6,124.64,4,1.36
2200.0,105.76,enwik8,47436.0,143.69,8,0.74
2200.0,84.61,enwik8,88264.4,162.7,16,0.51
2200.0,76.48,enwik8,164837.6,173.3,32,0.42
2400.0,516.76,enwik8,4905.2,103.7,1,4.99
2400.0,281.8,enwik8,14312.4,114.71,2,2.45
2400.0,162.84,enwik8,26017.2,129.46,4,1.24
2400.0,102.84,enwik8,47689.2,150.84,8,0.69
2400.0,82.62,enwik8,88418.0,171.73,16,0.48
2400.0,77.74,enwik8,167808.0,185.57,32,0.39
2700.0,481.4,enwik8,4904.8,108.38,1,4.43
2700.0,263.42,enwik8,14334.8,121.06,2,2.17
2700.0,153.5,enwik8,26104.4,137.65,4,1.11
2700.0,99.97,enwik8,48163.2,161.39,8,0.61
2700.0,83.58,enwik8,89107.6,186.91,16,0.44
2700.0,70.81,enwik8,168963.2,197.41,32,0.35
2901.0,432.32,enwik8,4904.8,135.56,1,3.16
2901.0,253.05,enwik8,14348.4,157.38,2,1.6
2901.0,159.9,enwik8,25824.4,189.22,4,0.83
2901.0,110.89,enwik8,48174.8,219.66,8,0.49
2901.0,95.6,enwik8,90008.4,245.38,16,0.38
2901.0,89.25,enwik8,171346.0,262.81,32,0.33
1700.0,670.66,enwik8,4917.2,95.96,1,6.98
1700.0,355.5,enwik8,14350.0,102.72,2,3.45
1700.0,198.27,enwik8,25983.2,112.1,4,1.76
1700.0,119.88,enwik8,48220.8,124.31,8,0.95
1700.0,89.26,enwik8,89403.6,139.72,16,0.63
1700.0,77.6,enwik8,165122.4,149.02,32,0.5
1900.0,619.05,enwik8,4905.6,98.35,1,6.29
