FR,EN,Name,MEM,POW,TR,TIM
1200.0,167.61,enwik8,899.2,93.86,1,1.78
1200.0,133.95,enwik8,1027.2,97.58,2,1.37
1200.0,135.72,enwik8,1027.2,97.59,4,1.35
1200.0,132.73,enwik8,1028.0,97.63,8,1.34
1200.0,132.04,enwik8,1028.0,97.65,16,1.35
1200.0,133.05,enwik8,1022.8,98.51,32,1.34
1600.0,129.38,enwik8,896.0,97.48,1,1.33
1600.0,105.81,enwik8,1022.8,102.1,2,1.02
1600.0,105.57,enwik8,1023.2,102.33,4,1.02
1600.0,104.52,enwik8,1023.6,102.57,8,1.02
1600.0,108.0,enwik8,1024.0,102.16,16,1.05
1600.0,106.14,enwik8,1024.0,102.39,32,1.02
1800.0,118.49,enwik8,895.6,99.37,1,1.19
1800.0,96.97,enwik8,1023.6,105.23,2,0.91
1800.0,98.67,enwik8,1024.0,104.9,4,0.92
1800.0,97.87,enwik8,1024.0,105.11,8,0.93
1800.0,96.8,enwik8,1022.8,105.19,16,0.91
1800.0,97.9,enwik8,1024.0,104.73,32,0.94
2200.0,101.87,enwik8,894.4,103.99,1,0.97
2200.0,85.97,enwik8,1023.2,111.57,2,0.76
2200.0,85.96,enwik8,1023.6,111.87,4,0.76
2200.0,86.65,enwik8,1022.8,111.53,8,0.77
2200.0,86.31,enwik8,1023.2,111.02,16,0.76
2200.0,87.4,enwik8,1022.8,111.36,32,0.77
2400.0,95.35,enwik8,895.6,105.18,1,0.89
2400.0,82.43,enwik8,1205.2,113.47,2,0.71
2400.0,82.22,enwik8,1023.6,113.77,4,0.71
2400.0,83.33,enwik8,1204.8,113.87,8,0.71
2400.0,81.1,enwik8,1023.6,114.99,16,0.7
2400.0,81.22,enwik8,1023.6,114.39,32,0.7
2700.0,88.52,enwik8,894.8,109.48,1,0.81
2700.0,78.22,enwik8,1022.8,119.48,2,0.64
2700.0,80.5,enwik8,1022.4,119.14,4,0.67
2700.0,79.2,enwik8,1024.0,119.88,8,0.64
2700.0,76.87,enwik8,1022.8,119.76,16,0.63
2700.0,77.86,enwik8,1023.6,120.55,32,0.64
2901.0,83.79,enwik8,895.6,135.14,1,0.62
2901.0,77.12,enwik8,1023.6,151.77,2,0.5
2901.0,79.98,enwik8,1023.6,154.07,4,0.5
2901.0,79.72,enwik8,1023.6,159.57,8,0.49
2901.0,77.77,enwik8,1022.4,155.25,16,0.49
2901.0,78.36,enwik8,1022.8,155.61,32,0.49
1300.0,157.28,enwik8,895.6,94.78,1,1.66
1300.0,124.4,enwik8,1023.2,98.68,2,1.25
1300.0,123.94,enwik8,1023.2,98.67,4,1.25
1300.0,123.69,enwik8,1022.4,98.7,8,1.26
1300.0,128.13,enwik8,1022.8,98.63,16,1.3
1300.0,125.81,enwik8,1023.6,98.73,32,1.25
1700.0,123.35,enwik8,895.6,97.18,1,1.26
1700.0,101.31,enwik8,1205.6,102.74,2,0.98
1700.0,102.41,enwik8,1023.2,102.73,4,0.99
1700.0,102.86,enwik8,1022.8,103.36,8,0.98
1700.0,102.08,enwik8,1024.0,103.19,16,0.98
1700.0,104.37,enwik8,1023.6,103.21,32,1.0
1900.0,115.78,enwik8,896.0,100.22,1,1.15
1900.0,94.38,enwik8,1023.2,106.04,2,0.89
1900.0,97.42,enwik8,1024.0,105.91,4,0.91
1900.0,94.46,enwik8,1022.8,105.7,8,0.89
1900.0,96.57,enwik8,1022.8,105.86,16,0.91
1900.0,96.12,enwik8,1023.2,105.82,32,0.9
2300.0,100.27,enwik8,894.4,105.04,1,0.95
2300.0,85.07,enwik8,1024.0,112.2,2,0.75
2300.0,83.92,enwik8,1023.2,112.46,4,0.74
2300.0,84.34,enwik8,1022.4,112.27,8,0.73
2300.0,82.75,enwik8,1023.2,112.32,16,0.74
2300.0,85.31,enwik8,1023.2,112.57,32,0.74
2500.0,94.5,enwik8,895.6,107.55,1,0.87
2500.0,82.18,enwik8,1023.6,116.28,2,0.69
2500.0,82.71,enwik8,1388.8,116.43,4,0.7
2500.0,81.6,enwik8,1023.2,116.45,8,0.69
2500.0,80.0,enwik8,1024.4,115.33,16,0.69
2500.0,82.29,enwik8,1024.0,116.41,32,0.7
2800.0,88.48,enwik8,895.6,111.04,1,0.79
2800.0,76.38,enwik8,1023.6,122.0,2,0.62
2800.0,79.94,enwik8,1206.4,122.84,4,0.64
2800.0,78.07,enwik8,1023.6,122.55,8,0.63
2800.0,77.69,enwik8,1023.6,121.91,16,0.63
2800.0,78.62,enwik8,1023.6,121.75,32,0.63
1400.0,147.57,enwik8,896.0,96.24,1,1.52
1400.0,121.05,enwik8,1022.4,99.74,2,1.19
1400.0,121.66,enwik8,1023.6,99.66,4,1.18
1400.0,120.6,enwik8,1023.2,99.79,8,1.2
1400.0,122.39,enwik8,1024.0,99.78,16,1.21
1400.0,118.16,enwik8,1023.2,99.78,32,1.17
2900.0,85.81,enwik8,895.6,112.26,1,0.75
2900.0,76.64,enwik8,1023.2,124.42,2,0.61
2900.0,76.53,enwik8,1023.2,125.15,4,0.61
2900.0,76.68,enwik8,1023.2,124.5,8,0.61
2900.0,74.89,enwik8,1023.6,123.89,16,0.6
2900.0,77.19,enwik8,1023.2,124.06,32,0.61
2000.0,110.16,enwik8,894.8,101.88,1,1.07
2000.0,92.09,enwik8,1023.2,107.98,2,0.85
2000.0,93.56,enwik8,1022.8,107.97,4,0.85
2000.0,92.03,enwik8,1023.2,108.42,8,0.85
2000.0,91.83,enwik8,1022.4,108.13,16,0.84
2000.0,93.37,enwik8,1206.8,108.33,32,0.85
