FR,EN,Name,MEM,POW,TR,TIM
1200.0,593.12,enwik8,17474.8,94.28,1,6.19
1200.0,356.87,enwik8,40116.8,96.56,2,3.42
1200.0,234.55,enwik8,85844.8,99.6,4,2.24
1200.0,164.83,enwik8,134236.0,103.44,8,1.54
1200.0,156.64,enwik8,134512.4,104.13,16,1.46
1200.0,153.16,enwik8,134516.8,104.45,32,1.45
1600.0,465.26,enwik8,17692.4,97.69,1,4.67
1600.0,282.5,enwik8,40314.0,101.66,2,2.56
1600.0,192.41,enwik8,85581.2,105.97,4,1.72
1600.0,128.18,enwik8,134236.0,111.97,8,1.08
1600.0,117.65,enwik8,134527.2,114.03,16,1.01
1600.0,117.51,enwik8,134652.0,114.51,32,1.02
1800.0,421.55,enwik8,17673.2,99.56,1,4.14
1800.0,257.65,enwik8,40332.8,104.51,2,2.29
1800.0,174.95,enwik8,85308.4,109.86,4,1.51
1800.0,119.86,enwik8,134416.4,116.0,8,0.97
1800.0,112.72,enwik8,133694.8,118.28,16,0.92
1800.0,108.95,enwik8,134357.2,119.31,32,0.91
2200.0,369.56,enwik8,17693.2,105.28,1,3.4
2200.0,226.3,enwik8,40510.0,112.27,2,1.88
2200.0,153.46,enwik8,85613.2,117.81,4,1.23
2200.0,108.85,enwik8,134710.8,125.36,8,0.81
2200.0,99.76,enwik8,134503.6,128.65,16,0.75
2200.0,97.58,enwik8,134861.2,129.48,32,0.74
2400.0,345.87,enwik8,17582.4,107.37,1,3.12
2400.0,215.73,enwik8,40625.6,115.41,2,1.73
2400.0,148.9,enwik8,85620.0,122.16,4,1.15
2400.0,104.85,enwik8,134012.8,130.91,8,0.75
2400.0,99.32,enwik8,133956.4,133.9,16,0.71
2400.0,97.44,enwik8,134813.6,135.83,32,0.69
2700.0,321.28,enwik8,17562.8,111.76,1,2.79
2700.0,203.45,enwik8,41077.6,120.92,2,1.56
2700.0,138.49,enwik8,85250.4,129.71,4,1.01
2700.0,102.38,enwik8,133572.8,139.2,8,0.68
2700.0,94.55,enwik8,134154.4,145.37,16,0.63
2700.0,96.18,enwik8,133891.6,144.28,32,0.65
2901.0,309.49,enwik8,17515.2,141.67,1,1.99
2901.0,193.94,enwik8,40908.8,157.66,2,1.15
2901.0,142.72,enwik8,84869.6,172.41,4,0.77
2901.0,106.91,enwik8,130362.4,184.64,8,0.54
2901.0,102.64,enwik8,131544.0,191.1,16,0.52
2901.0,103.5,enwik8,132231.6,194.41,32,0.52
1300.0,546.28,enwik8,17554.0,94.09,1,5.7
1300.0,331.19,enwik8,40156.8,97.48,2,3.14
1300.0,217.86,enwik8,85128.0,101.03,4,2.05
1300.0,148.81,enwik8,133932.8,105.79,8,1.33
1300.0,137.43,enwik8,134030.4,107.53,16,1.26
1300.0,131.88,enwik8,134322.4,108.01,32,1.26
1700.0,442.82,enwik8,17686.4,98.26,1,4.42
1700.0,266.35,enwik8,40357.6,102.27,2,2.42
1700.0,184.27,enwik8,85113.2,107.07,4,1.64
1700.0,123.7,enwik8,134481.6,112.97,8,1.03
1700.0,112.1,enwik8,134423.6,115.67,16,0.93
1700.0,111.79,enwik8,134894.8,116.4,32,0.94
1900.0,405.48,enwik8,17652.4,100.49,1,3.94
1900.0,249.2,enwik8,40413.6,105.45,2,2.19
1900.0,168.18,enwik8,85499.2,110.63,4,1.44
1900.0,116.87,enwik8,133866.4,117.78,8,0.94
1900.0,113.59,enwik8,132980.4,118.45,16,0.94
1900.0,107.17,enwik8,134399.2,120.94,32,0.88
2300.0,357.0,enwik8,17606.4,106.25,1,3.26
2300.0,227.64,enwik8,41096.0,114.53,2,1.84
2300.0,153.9,enwik8,86021.6,119.48,4,1.21
2300.0,110.16,enwik8,133134.8,127.38,8,0.81
2300.0,100.04,enwik8,132952.8,130.98,16,0.75
2300.0,100.98,enwik8,134764.0,133.12,32,0.73
2500.0,338.64,enwik8,17544.0,108.99,1,3.0
2500.0,208.91,enwik8,40907.2,116.27,2,1.67
2500.0,145.31,enwik8,85467.6,124.8,4,1.1
2500.0,105.15,enwik8,132837.2,133.05,8,0.76
2500.0,98.43,enwik8,133736.4,136.36,16,0.7
2500.0,95.6,enwik8,134365.2,139.26,32,0.68
2800.0,321.18,enwik8,17586.0,114.64,1,2.68
2800.0,199.08,enwik8,41027.6,121.36,2,1.53
2800.0,138.08,enwik8,85634.0,132.04,4,0.99
2800.0,100.59,enwik8,134249.2,142.95,8,0.66
2800.0,98.11,enwik8,131601.2,143.85,16,0.66
2800.0,97.93,enwik8,132269.6,149.82,32,0.64
1400.0,517.06,enwik8,17487.6,95.47,1,5.32
1400.0,313.19,enwik8,40276.0,98.89,2,2.93
1400.0,210.52,enwik8,85796.4,102.69,4,1.94
1400.0,143.16,enwik8,134159.2,107.54,8,1.24
1400.0,128.22,enwik8,134695.6,109.68,16,1.15
1400.0,136.09,enwik8,133890.4,109.1,32,1.25
2900.0,314.29,enwik8,17649.6,116.49,1,2.59
2900.0,197.94,enwik8,41064.0,126.39,2,1.46
2900.0,137.29,enwik8,85714.8,136.06,4,0.95
2900.0,100.52,enwik8,134068.4,146.53,8,0.64
2900.0,92.87,enwik8,133505.2,150.84,16,0.61
2900.0,97.31,enwik8,134120.8,152.78,32,0.62
2000.0,393.95,enwik8,17618.8,102.65,1,3.74
2000.0,242.89,enwik8,40347.2,108.62,2,2.07
2000.0,168.17,enwik8,85140.4,114.17,4,1.39
2000.0,117.79,enwik8,132964.0,120.29,8,0.91
