FR,EN,Name,MEM,POW,TR,TIM
1200.0,11933.15,enwik9,541936.0,92.74,1,128.67
1200.0,6385.75,enwik9,542039.2,96.17,2,66.4
1200.0,3535.09,enwik9,540826.4,102.73,4,34.4
1200.0,2109.07,enwik9,541412.0,112.04,8,18.84
1200.0,1399.54,enwik9,543310.8,128.88,16,10.84
1200.0,1401.88,enwik9,544620.4,128.68,32,10.87
1600.0,9230.51,enwik9,537195.2,95.41,1,96.73
1600.0,5090.51,enwik9,539985.2,100.57,2,50.62
1600.0,2843.18,enwik9,542408.0,108.78,4,26.12
1600.0,1753.84,enwik9,542928.4,121.81,8,14.4
1600.0,1220.01,enwik9,544898.0,146.87,16,8.29
1600.0,1219.82,enwik9,545128.4,146.73,32,8.28
1800.0,8356.6,enwik9,537736.8,97.41,1,85.8
1800.0,4593.6,enwik9,539266.4,103.37,2,44.45
1800.0,2655.8,enwik9,540230.8,112.32,4,23.66
1800.0,1662.35,enwik9,541634.0,127.7,8,13.02
1800.0,1165.0,enwik9,547800.0,158.04,16,7.36
1800.0,1166.78,enwik9,544916.4,157.81,32,7.37
2200.0,7162.79,enwik9,537130.8,101.62,1,70.47
2200.0,3950.77,enwik9,539199.2,108.1,2,36.54
2200.0,2420.39,enwik9,537646.4,119.22,4,20.31
2200.0,1484.88,enwik9,541094.0,142.92,8,10.38
2200.0,1122.21,enwik9,544028.0,182.28,16,6.13
2200.0,1122.38,enwik9,547328.8,182.57,32,6.12
2400.0,6674.71,enwik9,536326.4,103.07,1,64.74
2400.0,3800.46,enwik9,538847.2,111.09,2,34.21
2400.0,2242.46,enwik9,537646.0,124.32,4,18.04
2400.0,1497.33,enwik9,542500.0,146.59,8,10.22
2400.0,1115.51,enwik9,547610.0,192.66,16,5.75
2400.0,1118.03,enwik9,545975.6,192.52,32,5.78
2700.0,6125.3,enwik9,535446.0,106.41,1,57.55
2700.0,3448.98,enwik9,537918.8,115.78,2,29.78
2700.0,2132.01,enwik9,538387.6,131.01,4,16.28
2700.0,1415.8,enwik9,541930.0,161.41,8,8.76
2700.0,1121.59,enwik9,543764.4,216.65,16,5.15
2700.0,1130.33,enwik9,542927.6,216.18,32,5.19
2901.0,5785.55,enwik9,531818.0,134.1,1,43.15
2901.0,3685.3,enwik9,538332.0,145.09,2,25.4
2901.0,2404.92,enwik9,538120.4,165.07,4,14.56
