FR,EN,Name,MEM,POW,TR,TIM
1200.0,18876.06,game1,1176591.2,91.75,1,205.73
1200.0,9858.4,game1,1180346.4,94.08,2,104.77
1200.0,5281.4,game1,1173459.6,100.16,4,52.72
1200.0,2960.49,game1,1166490.4,108.76,8,27.21
1200.0,2982.5,game1,1175395.6,109.64,16,27.18
1200.0,2984.54,game1,1169846.8,109.69,32,27.19
1300.0,17549.84,game1,1173561.2,92.37,1,189.98
1300.0,9201.63,game1,1177339.2,95.02,2,96.83
1300.0,4939.75,game1,1175276.4,101.54,4,48.65
1300.0,2787.21,game1,1168898.8,111.13,8,25.07
1300.0,2831.95,game1,1175223.6,112.61,16,25.13
1300.0,2826.74,game1,1172336.0,112.58,32,25.09
1400.0,16398.35,game1,1177771.6,93.04,1,176.26
1400.0,8617.23,game1,1181782.0,95.98,2,89.78
1400.0,4657.83,game1,1177524.0,102.83,4,45.28
1400.0,2638.06,game1,1171214.0,113.25,8,23.28
1400.0,2694.28,game1,1168326.0,115.6,16,23.29
1400.0,2689.49,game1,1169402.8,115.16,32,23.33
1600.0,14615.81,game1,1168627.2,94.79,1,154.2
1600.0,7766.77,game1,1173984.4,98.86,2,78.55
1600.0,4186.11,game1,1174087.6,105.89,4,39.53
1600.0,2420.46,game1,1167198.4,118.66,8,20.37
1600.0,2492.18,game1,1171076.0,121.87,16,20.44
1600.0,2493.71,game1,1170495.6,122.21,32,20.38
1700.0,13825.75,game1,1173926.8,95.32,1,145.04
1700.0,7398.05,game1,1175166.4,99.74,2,74.16
1700.0,3997.46,game1,1174518.4,107.5,4,37.17
1700.0,2330.14,game1,1169884.4,121.5,8,19.18
1700.0,2409.36,game1,1174609.2,125.29,16,19.22
1700.0,2416.22,game1,1178758.4,125.79,32,19.18
1800.0,13180.81,game1,1174176.8,96.12,1,137.12
1800.0,7051.73,game1,1178405.2,100.79,2,69.95
1800.0,3827.0,game1,1177976.8,108.96,4,35.11
1800.0,2253.66,game1,1173382.4,124.32,8,18.11
1800.0,2336.57,game1,1171287.6,128.71,16,18.15
1800.0,2335.5,game1,1176626.8,128.64,32,18.14
1900.0,12620.5,game1,1176351.6,97.02,1,130.07
1900.0,6779.52,game1,1178273.2,102.12,2,66.38
1900.0,3700.55,game1,1175422.4,110.92,4,33.35
1900.0,2188.96,game1,1172055.2,127.43,8,17.16
1900.0,2278.02,game1,1173592.4,132.09,16,17.22
1900.0,2280.41,game1,1175814.0,132.23,32,17.22
2000.0,12268.02,game1,1173792.0,98.88,1,124.07
2000.0,6481.94,game1,1181317.6,103.13,2,62.86
2000.0,3564.07,game1,1178084.8,112.93,4,31.55
2000.0,2135.87,game1,1163746.0,130.71,8,16.33
2000.0,2224.37,game1,1176853.6,136.25,16,16.3
2000.0,2228.26,game1,1175654.4,135.91,32,16.39
2200.0,11306.52,game1,1176339.6,100.85,1,112.11
2200.0,6063.44,game1,1178919.6,105.87,2,57.27
2200.0,3353.61,game1,1172152.8,116.85,4,28.69
2200.0,2054.18,game1,1168575.2,138.08,8,14.86
2200.0,2145.81,game1,1177378.8,144.65,16,14.82
2200.0,2141.97,game1,1170808.8,144.32,32,14.83
2300.0,10943.3,game1,1174566.0,101.8,1,107.48
2300.0,5864.57,game1,1179979.2,107.27,2,54.67
2300.0,3267.35,game1,1174264.8,118.88,4,27.47
2300.0,2020.69,game1,1170565.6,142.24,8,14.18
2300.0,2116.79,game1,1170865.6,148.87,16,14.2
2300.0,2125.58,game1,1176958.8,148.71,32,14.27
2400.0,10588.95,game1,1174955.2,102.83,1,102.96
2400.0,5674.51,game1,1178938.8,108.72,2,52.18
2400.0,3199.48,game1,1175606.8,121.33,4,26.37
2400.0,1990.7,game1,1168102.4,146.34,8,13.59
2400.0,2101.12,game1,1172800.4,153.44,16,13.68
2400.0,2099.53,game1,1176994.8,153.82,32,13.62
2500.0,10297.94,game1,1172644.8,103.81,1,99.19
2500.0,5520.49,game1,1179011.6,110.06,2,50.15
2500.0,3139.39,game1,1173118.0,123.91,4,25.32
2500.0,1972.55,game1,1172552.4,150.76,8,13.06
2500.0,2077.77,game1,1172792.0,158.57,16,13.08
2500.0,2075.7,game1,1174539.2,158.57,32,13.07
2700.0,9718.35,game1,1173009.2,106.27,1,91.44
2700.0,5270.89,game1,1178418.8,113.11,2,46.59
2700.0,3019.23,game1,1172150.8,128.98,4,23.41
2700.0,1941.39,game1,1166501.2,160.44,8,12.08
2700.0,2052.85,game1,1172221.6,169.29,16,12.11
2700.0,2057.61,game1,1172984.4,169.57,32,12.12
2800.0,9477.89,game1,1176690.4,107.38,1,88.25
2800.0,5150.1,game1,1178063.2,115.09,2,44.74
2800.0,2976.81,game1,1178040.0,131.99,4,22.53
2800.0,1937.83,game1,1170382.4,165.92,8,11.66
2800.0,2052.18,game1,1172591.6,175.76,16,11.65
2800.0,2049.63,game1,1173086.8,175.29,32,11.67
2900.0,9262.28,game1,1175189.2,108.56,1,85.32
2900.0,5053.0,game1,1175780.0,116.74,2,43.28
2900.0,2938.01,game1,1177304.4,134.41,4,21.85
2900.0,1933.5,game1,1170990.0,171.55,8,11.25
2900.0,2050.99,game1,1174654.8,181.48,16,11.28
2900.0,2052.23,game1,1175546.4,181.53,32,11.28
2901.0,8574.68,game1,1176788.8,131.56,1,65.17
2901.0,4922.7,game1,1176132.8,141.01,2,34.9
2901.0,3007.03,game1,1180334.8,162.06,4,18.54
2901.0,2099.62,game1,1170856.0,212.4,8,9.86
2901.0,2304.81,game1,1174387.2,239.92,16,9.59
2901.0,2299.45,game1,1175175.2,239.5,32,9.58
