FR,EN,Name,MEM,POW,TR,TIM
1200.0,19470.06,game1,302419.6,91.87,1,211.92
1200.0,10121.43,game1,303220.0,94.77,2,106.79
1200.0,5589.9,game1,292924.8,99.98,4,55.9
1200.0,3063.77,game1,295404.0,108.99,8,28.1
1200.0,3072.67,game1,293490.8,109.98,16,27.93
1200.0,3074.0,game1,295102.0,110.09,32,27.91
1600.0,15086.01,game1,303557.6,95.0,1,158.79
1600.0,8090.33,game1,297815.2,99.08,2,81.65
1600.0,4315.25,game1,295113.6,105.96,4,40.71
1600.0,2545.62,game1,292152.8,118.16,8,21.54
1600.0,2464.59,game1,296178.4,122.59,16,20.08
1600.0,2467.26,game1,296525.2,122.79,32,20.08
1800.0,13624.72,game1,301750.0,96.5,1,141.19
1800.0,7237.12,game1,297216.0,101.69,2,71.16
1800.0,4067.36,game1,292514.8,108.99,4,37.32
1800.0,2331.23,game1,293193.6,124.61,8,18.69
1800.0,2399.8,game1,293619.2,128.7,16,18.63
1800.0,2398.87,game1,295336.4,128.94,32,18.59
2200.0,11566.7,game1,297510.4,100.35,1,115.27
2200.0,6184.24,game1,296190.0,106.3,2,58.16
2200.0,3499.88,game1,292554.0,116.75,4,29.97
2200.0,2719.68,game1,291626.0,125.3,8,21.68
2200.0,2183.94,game1,292178.4,141.2,16,15.46
2200.0,2168.55,game1,293968.4,140.2,32,15.46
2400.0,10971.25,game1,297877.2,103.48,1,106.03
2400.0,5852.03,game1,294120.0,109.48,2,53.43
2400.0,3294.58,game1,289219.6,121.3,4,27.14
2400.0,2262.85,game1,290224.4,139.11,8,16.32
2400.0,1452.19,game1,300932.8,196.64,16,7.36
2400.0,1451.43,game1,300768.4,197.04,32,7.35
2700.0,9922.12,game1,294652.0,105.62,1,93.93
2700.0,5428.6,game1,296549.2,113.4,2,47.87
2700.0,3120.83,game1,289964.4,127.44,4,24.47
2700.0,2478.64,game1,289635.6,140.35,8,17.65
2700.0,2056.07,game1,293845.2,162.97,16,12.6
2700.0,2060.67,game1,293604.4,163.09,32,12.61
2901.0,8881.15,game1,288702.4,132.05,1,67.24
2901.0,5206.28,game1,293146.8,143.09,2,36.39
2901.0,3137.09,game1,289498.4,162.06,4,19.36
2901.0,2585.24,game1,290693.2,183.89,8,14.04
2901.0,2256.1,game1,293451.2,224.3,16,10.05
2901.0,2267.68,game1,292604.8,224.52,32,10.08
1300.0,18307.44,game1,305424.4,93.5,1,195.79
1300.0,9545.48,game1,299660.4,96.47,2,98.94
1300.0,5202.46,game1,293422.4,103.14,4,50.43
1300.0,2894.39,game1,290203.2,113.17,8,25.56
1300.0,2852.49,game1,297270.0,112.12,16,25.42
1300.0,2846.4,game1,293212.8,112.25,32,25.34
1700.0,14338.48,game1,305356.8,95.66,1,149.88
1700.0,7628.3,game1,297786.0,100.87,2,75.61
1700.0,4263.68,game1,294248.0,107.77,4,39.56
1700.0,2418.0,game1,289097.2,121.79,8,19.84
1700.0,2437.38,game1,291175.2,123.41,16,19.72
1700.0,2441.18,game1,293571.6,123.66,32,19.73
1900.0,13373.31,game1,300403.2,99.27,1,134.72
1900.0,7025.6,game1,298764.0,103.91,2,67.61
1900.0,3891.1,game1,293403.6,112.99,4,34.43
1900.0,2571.27,game1,293526.4,124.86,8,20.66
1900.0,1499.48,game1,300229.6,160.99,16,9.29
1900.0,1500.77,game1,300050.0,161.05,32,9.29
2300.0,11482.98,game1,298358.8,103.7,1,110.72
2300.0,6135.67,game1,296118.0,109.28,2,56.14
2300.0,3464.42,game1,293288.8,121.06,4,28.61
2300.0,2150.08,game1,292460.0,143.22,8,14.99
2300.0,2122.87,game1,296633.6,148.14,16,14.32
2300.0,2151.61,game1,296553.6,149.69,32,14.35
2500.0,10842.21,game1,297620.8,106.08,1,102.21
2500.0,5734.21,game1,297233.6,111.51,2,51.4
2500.0,3266.28,game1,291498.4,125.27,4,26.07
2500.0,2267.03,game1,291872.8,144.94,8,15.7
2500.0,1469.2,game1,298828.4,207.17,16,7.06
2500.0,1470.2,game1,297564.8,207.74,32,7.06
2800.0,9738.83,game1,295348.4,107.22,1,90.82
2800.0,5313.34,game1,292383.6,116.09,2,45.76
2800.0,3107.53,game1,290944.8,132.22,4,23.5
2800.0,2524.53,game1,290973.6,145.05,8,17.39
2800.0,2051.78,game1,292210.0,171.11,16,11.96
2800.0,2041.79,game1,290299.2,170.21,32,11.97
1400.0,16946.51,game1,308577.6,93.28,1,181.68
1400.0,8897.59,game1,301746.0,97.42,2,91.33
1400.0,4993.17,game1,295952.4,104.37,4,47.81
1400.0,3554.28,game1,293806.8,108.92,8,32.63
1400.0,2760.69,game1,291733.6,115.22,16,23.94
1400.0,2752.0,game1,292368.0,114.94,32,23.93
2900.0,9573.57,game1,292504.8,109.09,1,87.75
2900.0,5300.75,game1,295862.4,118.54,2,44.7
2900.0,2930.19,game1,1170518.4,134.65,4,21.76
2900.0,1937.16,game1,1172245.6,171.49,8,11.27
2900.0,2050.09,game1,1175909.6,181.97,16,11.24
2900.0,2046.17,game1,1176600.4,181.79,32,11.25
2000.0,12713.98,game1,300374.4,99.82,1,127.36
2000.0,6661.62,game1,297264.0,103.88,2,64.11
2000.0,3686.55,game1,291862.0,112.91,4,32.63
2000.0,2370.11,game1,290328.4,127.44,8,18.64
2000.0,1495.72,game1,299386.0,167.91,16,8.89
2000.0,1490.37,game1,299832.0,168.42,32,8.82
