FR,EN,Name,MEM,POW,TR,TIM
1200.0,6209.17,game1,4921.6,92.77,1,66.92
1200.0,3193.54,game1,17541.2,97.18,2,32.85
1200.0,1750.54,game1,30293.2,102.44,4,17.08
1200.0,976.92,game1,54050.4,112.94,8,8.63
1200.0,637.14,game1,100501.2,127.91,16,4.96
1200.0,489.9,game1,190235.6,135.79,32,3.59
1300.0,5772.76,game1,4915.2,93.25,1,61.88
1300.0,3002.77,game1,16897.2,98.33,2,30.53
1300.0,1673.84,game1,29713.2,105.13,4,15.91
1300.0,923.72,game1,53613.2,115.49,8,7.97
1300.0,604.3,game1,99624.8,132.33,16,4.55
1300.0,468.88,game1,194469.2,140.21,32,3.33
1400.0,5426.37,game1,4916.4,94.27,1,57.54
1400.0,2824.13,game1,16988.8,99.98,2,28.24
1400.0,1563.06,game1,29812.0,106.62,4,14.65
1400.0,886.07,game1,54890.8,118.49,8,7.47
1400.0,585.73,game1,100811.6,136.4,16,4.28
1400.0,453.53,game1,193782.8,145.75,32,3.09
1600.0,4865.95,game1,4920.4,96.42,1,50.46
1600.0,2524.72,game1,17203.6,102.44,2,24.64
1600.0,1417.9,game1,29692.8,111.44,4,12.72
1600.0,805.9,game1,53843.2,124.09,8,6.49
1600.0,546.83,game1,99432.4,146.02,16,3.72
1600.0,425.75,game1,192402.0,157.3,32,2.68
1800.0,4362.75,game1,4918.8,97.81,1,44.6
1800.0,2312.17,game1,16868.4,105.22,2,21.97
1800.0,1308.3,game1,29810.8,115.6,4,11.31
1800.0,768.08,game1,53510.0,130.28,8,5.88
1800.0,522.09,game1,99673.6,157.52,16,3.28
1800.0,412.88,game1,192501.6,168.89,32,2.42
2200.0,3724.94,game1,4921.2,101.62,1,36.64
2200.0,2026.8,game1,16897.6,113.78,2,17.8
2200.0,1162.03,game1,29816.8,126.01,4,9.21
2200.0,701.87,game1,53546.8,146.24,8,4.79
2200.0,499.45,game1,99618.4,183.57,16,2.71
2200.0,399.76,game1,196728.4,197.68,32,2.0
2400.0,3529.37,game1,4908.8,104.7,1,33.7
2400.0,1966.03,game1,17322.4,118.96,2,16.52
2400.0,1119.27,game1,29932.8,131.78,4,8.48
2400.0,688.79,game1,54179.6,155.49,8,4.42
2400.0,499.24,game1,100468.0,195.5,16,2.54
2400.0,402.31,game1,196613.6,213.72,32,1.87
2700.0,3208.79,game1,4917.6,107.48,1,29.85
2700.0,1824.51,game1,17628.4,124.15,2,14.68
2700.0,1072.58,game1,31828.4,141.24,4,7.59
2700.0,671.22,game1,54419.6,172.38,8,3.88
2700.0,502.11,game1,99934.4,221.36,16,2.25
2700.0,408.09,game1,200243.6,241.86,32,1.67
2901.0,2844.24,game1,4909.6,135.26,1,21.03
2901.0,1798.68,game1,17182.0,168.17,2,10.7
2901.0,1119.24,game1,29797.2,196.3,4,5.69
2901.0,737.08,game1,53894.4,232.73,8,3.15
2901.0,571.45,game1,100108.4,296.46,16,1.91
2901.0,468.63,game1,198029.6,328.59,32,1.42
1700.0,4577.18,game1,4908.8,96.77,1,47.29
1700.0,2408.89,game1,17086.4,103.76,2,23.21
1700.0,1360.24,game1,29788.8,113.23,4,11.99
1700.0,775.72,game1,53708.4,127.26,8,6.09
1700.0,531.32,game1,99873.6,150.0,16,3.53
1700.0,418.34,game1,192631.2,161.9,32,2.56
1900.0,4219.51,game1,4908.8,98.5,1,42.82
1900.0,2233.46,game1,17157.6,107.12,2,20.85
1900.0,1266.0,game1,29916.4,117.73,4,10.74
1900.0,745.84,game1,54385.6,134.58,8,5.53
1900.0,532.81,game1,100194.4,159.71,16,3.31
1900.0,422.75,game1,197240.0,173.08,32,2.42
2300.0,3663.84,game1,4910.0,103.47,1,35.39
2300.0,1972.42,game1,16912.8,114.55,2,17.2
2300.0,1148.34,game1,30223.6,129.68,4,8.84
2300.0,702.15,game1,54568.0,152.31,8,4.59
2300.0,513.93,game1,99942.8,187.85,16,2.71
2300.0,417.58,game1,199744.4,202.46,32,2.05
2500.0,3437.2,game1,4920.4,105.9,1,32.46
2500.0,1912.92,game1,16941.6,120.37,2,15.89
2500.0,1116.26,game1,30019.6,134.72,4,8.29
2500.0,691.87,game1,53978.4,160.49,8,4.3
2500.0,505.63,game1,99914.0,203.16,16,2.48
2500.0,411.43,game1,199155.6,221.58,32,1.84
2800.0,3168.19,game1,4916.4,109.51,1,28.93
2800.0,1812.86,game1,17074.8,127.83,2,14.17
2800.0,1081.17,game1,29518.8,146.89,4,7.36
2800.0,685.67,game1,54272.0,178.02,8,3.83
2800.0,523.25,game1,100273.6,227.68,16,2.28
2800.0,438.24,game1,198888.8,246.1,32,1.77
2900.0,3119.43,game1,4910.8,110.93,1,28.11
2900.0,1766.86,game1,16802.4,129.09,2,13.7
2900.0,1073.44,game1,29783.2,150.58,4,7.12
2900.0,685.85,game1,53981.2,184.28,8,3.7
2900.0,534.96,game1,100757.6,235.78,16,2.24
2900.0,447.06,game1,204121.2,257.51,32,1.73
2000.0,4044.95,game1,5115.6,100.58,1,40.21
2000.0,2158.46,game1,17231.6,109.04,2,19.79
2000.0,1233.47,game1,29919.2,120.62,4,10.22
2000.0,734.51,game1,53486.8,137.23,8,5.34
2000.0,512.55,game1,100145.2,167.37,16,3.05
2000.0,406.15,game1,193918.8,181.46,32,2.23
