FR,EN,Name,MEM,POW,TR,TIM
1200.0,1155.33,game1,891.2,93.31,1,12.38
1200.0,942.36,game1,1027.6,98.45,2,9.56
1200.0,946.32,game1,1027.2,97.95,4,9.65
1200.0,947.66,game1,1228.8,97.42,8,9.7
1200.0,943.91,game1,1026.8,98.23,16,9.59
1200.0,939.77,game1,1428.4,97.71,32,9.6
1600.0,935.4,game1,896.0,96.19,1,9.72
1600.0,784.25,game1,1023.2,102.32,2,7.65
1600.0,782.59,game1,1023.2,102.12,4,7.65
1600.0,783.31,game1,1023.2,102.29,8,7.65
1600.0,786.18,game1,1023.2,102.45,16,7.67
1600.0,787.55,game1,1225.2,102.36,32,7.69
1800.0,867.79,game1,896.0,97.37,1,8.91
1800.0,743.04,game1,1022.0,104.4,2,7.12
1800.0,732.87,game1,1023.2,105.08,4,6.97
1800.0,750.87,game1,1023.2,104.54,8,7.18
1800.0,733.73,game1,1023.6,103.64,16,7.06
1800.0,732.27,game1,1224.8,103.96,32,7.05
2200.0,762.9,game1,895.2,101.24,1,7.53
2200.0,658.9,game1,1224.0,108.94,2,6.06
2200.0,666.8,game1,1023.6,111.08,4,6.0
2200.0,684.37,game1,1022.8,109.94,8,6.22
2200.0,684.82,game1,1224.4,111.15,16,6.15
2200.0,654.8,game1,1023.6,110.05,32,5.95
2400.0,735.26,game1,894.8,102.51,1,7.14
2400.0,665.01,game1,1022.4,112.37,2,5.9
2400.0,656.94,game1,1023.2,111.67,4,5.86
2400.0,672.34,game1,1023.2,112.67,8,5.96
2400.0,645.29,game1,1024.0,111.2,16,5.77
2400.0,653.54,game1,1023.6,112.58,32,5.73
2700.0,669.4,game1,896.0,105.55,1,6.34
2700.0,650.26,game1,1022.8,117.22,2,5.52
2700.0,648.81,game1,1023.6,116.7,4,5.54
2700.0,643.88,game1,1023.6,115.8,8,5.55
2700.0,648.49,game1,1023.6,116.77,16,5.55
2700.0,647.24,game1,1024.0,115.59,32,5.57
2901.0,649.72,game1,895.2,123.2,1,5.27
2901.0,712.56,game1,1023.6,154.32,2,4.61
2901.0,699.39,game1,1023.6,150.08,4,4.65
2901.0,663.16,game1,1022.4,143.41,8,4.61
2901.0,677.35,game1,1023.6,147.41,16,4.57
2901.0,690.36,game1,1022.8,146.83,32,4.66
1300.0,1070.93,game1,895.6,93.64,1,11.42
1300.0,905.29,game1,1022.4,98.85,2,9.13
1300.0,891.7,game1,1023.2,98.32,4,9.05
1300.0,898.49,game1,1022.8,98.81,8,9.08
1300.0,884.38,game1,1022.8,98.51,16,8.95
1300.0,905.18,game1,1023.2,98.49,32,9.14
1700.0,899.89,game1,894.8,96.55,1,9.31
1700.0,764.04,game1,1022.4,103.76,2,7.36
1700.0,758.62,game1,1023.6,103.96,4,7.31
1700.0,766.67,game1,1022.8,103.96,8,7.37
1700.0,767.14,game1,1023.2,104.01,16,7.37
1700.0,756.01,game1,1224.0,103.61,32,7.29
1900.0,856.32,game1,895.6,98.18,1,8.71
1900.0,722.47,game1,1224.8,105.95,2,6.8
1900.0,722.92,game1,1023.2,106.35,4,6.78
1900.0,733.72,game1,1023.6,106.04,8,6.91
1900.0,715.77,game1,1022.8,107.22,16,6.65
1900.0,716.47,game1,1023.2,106.3,32,6.73
2300.0,768.74,game1,895.6,102.35,1,7.5
2300.0,675.13,game1,1022.4,112.17,2,6.02
2300.0,680.46,game1,1023.2,111.77,4,6.08
2300.0,668.22,game1,1024.0,112.65,8,5.89
2300.0,695.06,game1,1023.6,113.15,16,6.1
2300.0,690.41,game1,1023.6,112.81,32,6.11
2500.0,746.85,game1,894.4,104.05,1,7.16
2500.0,676.18,game1,1023.6,114.89,2,5.86
2500.0,663.97,game1,1022.8,114.92,4,5.77
2500.0,670.74,game1,1023.2,115.33,8,5.79
2500.0,669.75,game1,1023.2,115.65,16,5.78
2500.0,661.76,game1,1223.2,115.94,32,5.7
2800.0,681.57,game1,894.4,107.14,1,6.36
2800.0,648.03,game1,1023.2,119.54,2,5.41
2800.0,668.31,game1,1023.2,121.04,4,5.52
2800.0,665.47,game1,1023.2,121.28,8,5.46
2800.0,646.37,game1,1023.6,119.7,16,5.38
2800.0,666.85,game1,1023.2,121.94,32,5.46
1400.0,1028.68,game1,895.6,95.03,1,10.81
1400.0,863.06,game1,1023.2,99.93,2,8.63
1400.0,880.7,game1,1225.2,100.45,4,8.74
1400.0,839.52,game1,1023.6,100.32,8,8.36
1400.0,834.12,game1,1023.6,100.5,16,8.3
1400.0,858.74,game1,1024.0,100.61,32,8.52
2900.0,677.87,game1,894.4,107.66,1,6.3
2900.0,642.36,game1,1023.6,122.13,2,5.25
2900.0,650.11,game1,1023.6,121.41,4,5.33
2900.0,631.26,game1,1024.0,125.15,8,5.05
2900.0,637.66,game1,1024.0,123.47,16,5.17
2900.0,634.0,game1,1225.2,123.21,32,5.15
2000.0,803.39,game1,894.4,99.86,1,8.04
2000.0,720.0,game1,1023.6,108.5,2,6.63
2000.0,716.94,game1,1022.8,107.7,4,6.65
2000.0,718.75,game1,1023.6,108.66,8,6.61
2000.0,694.09,game1,1023.2,108.31,16,6.4
2000.0,709.18,game1,1023.6,108.41,32,6.53
