FR,EN,Name,MEM,POW,TR,TIM
1200.0,3983.41,game1,18578.4,94.63,1,46.68
1200.0,2633.51,game1,48842.4,97.08,2,24.99
1200.0,1553.93,game1,104020.8,100.46,4,14.43
1200.0,994.51,game1,212916.4,106.16,8,8.83
1200.0,725.22,game1,449318.4,112.7,16,6.15
1200.0,645.84,game1,766431.2,114.2,32,5.62
1600.0,3103.92,game1,19036.0,98.11,1,35.24
1600.0,2085.38,game1,48344.8,101.69,2,19.01
1600.0,1265.83,game1,105070.0,107.87,4,10.93
1600.0,880.56,game1,223249.6,112.46,8,7.57
1600.0,665.65,game1,447421.2,119.76,16,5.27
1600.0,594.06,game1,760636.0,124.78,32,4.65
1800.0,2788.44,game1,19217.2,100.06,1,30.97
1800.0,1912.87,game1,48347.6,104.08,2,17.1
1800.0,1195.24,game1,103376.0,110.62,4,10.11
1800.0,834.18,game1,220652.8,116.22,8,6.83
1800.0,624.77,game1,428997.6,126.21,16,4.76
1800.0,593.92,game1,744799.6,130.02,32,4.52
2200.0,2504.87,game1,18997.6,104.59,1,26.56
2200.0,1740.48,game1,48620.4,111.55,2,14.57
2200.0,1077.25,game1,105415.2,118.53,4,8.51
2200.0,756.4,game1,216175.2,125.35,8,5.74
2200.0,616.87,game1,439589.6,136.78,16,4.37
2200.0,536.59,game1,728287.2,139.02,32,3.77
2400.0,2343.36,game1,21020.8,107.19,1,24.21
2400.0,1654.48,game1,48697.2,113.92,2,13.58
2400.0,1025.11,game1,104224.8,123.07,4,7.84
2400.0,757.0,game1,219705.6,129.77,8,5.54
2400.0,601.97,game1,449456.4,141.78,16,4.1
2400.0,529.53,game1,734821.6,142.54,32,3.64
2700.0,2180.63,game1,18841.6,111.55,1,21.84
2700.0,1559.98,game1,48321.6,120.29,2,12.09
2700.0,1000.83,game1,105693.6,129.13,4,7.3
2700.0,725.07,game1,222131.2,136.74,8,5.13
2700.0,605.83,game1,454026.0,155.74,16,3.7
2700.0,544.87,game1,729871.2,156.19,32,3.43
2901.0,2006.3,game1,19754.0,137.34,1,16.06
2901.0,1568.62,game1,48706.4,158.64,2,9.17
2901.0,1035.36,game1,104619.6,166.21,4,5.99
2901.0,776.41,game1,220116.4,175.91,8,4.25
2901.0,661.94,game1,433531.2,184.94,16,3.48
2901.0,611.81,game1,731248.4,189.37,32,3.17
1300.0,3686.88,game1,19261.2,94.88,1,43.11
1300.0,2446.62,game1,50686.8,97.77,2,23.04
1300.0,1424.41,game1,105156.4,102.35,4,13.01
1300.0,951.83,game1,218086.0,107.67,8,8.28
1300.0,697.87,game1,458547.6,114.18,16,5.91
1300.0,640.48,game1,765817.6,116.63,32,5.4
1700.0,2950.6,game1,19469.6,98.9,1,33.15
1700.0,1987.04,game1,48190.0,102.46,2,18.03
1700.0,1232.85,game1,105003.2,108.71,4,10.55
1700.0,849.74,game1,232573.2,114.23,8,7.12
1700.0,628.04,game1,433736.4,121.91,16,4.81
1700.0,594.24,game1,766618.4,125.71,32,4.84
1900.0,2759.2,game1,19657.2,101.41,1,30.15
1900.0,1885.66,game1,48513.2,105.62,2,16.7
1900.0,1155.49,game1,103011.6,112.7,4,9.57
1900.0,793.47,game1,213726.8,119.87,8,6.28
1900.0,620.21,game1,420478.0,125.39,16,4.82
1900.0,560.42,game1,735636.4,131.17,32,4.15
2300.0,2426.08,game1,20064.0,106.1,1,25.42
2300.0,1669.64,game1,48987.6,114.85,2,13.5
2300.0,1087.25,game1,105862.8,120.54,4,8.46
2300.0,778.05,game1,218751.2,127.81,8,5.73
2300.0,579.53,game1,433210.0,140.93,16,4.02
2300.0,533.56,game1,735921.2,139.6,32,3.75
2500.0,2287.3,game1,19247.6,109.28,1,23.39
2500.0,1660.04,game1,48586.4,117.48,2,13.13
2500.0,1036.56,game1,103010.0,125.92,4,7.73
2500.0,744.99,game1,220903.6,133.8,8,5.32
2500.0,603.37,game1,441974.4,143.58,16,4.1
2500.0,554.51,game1,725770.4,148.93,32,3.62
2800.0,2125.66,game1,18776.4,112.3,1,20.99
2800.0,1546.18,game1,48270.8,122.91,2,11.79
2800.0,1002.19,game1,105460.8,132.23,4,7.1
2800.0,740.14,game1,225964.0,139.63,8,5.06
2800.0,612.87,game1,446736.0,153.37,16,3.91
2800.0,543.82,game1,724696.0,155.53,32,3.4
1400.0,3525.18,game1,18991.6,96.81,1,40.35
1400.0,2303.1,game1,48370.0,99.1,2,21.43
1400.0,1377.46,game1,103296.4,103.88,4,12.42
1400.0,915.28,game1,213959.2,110.11,8,7.85
1400.0,665.99,game1,478884.8,116.82,16,5.32
1400.0,619.61,game1,763371.2,119.37,32,5.31
2900.0,2104.79,game1,19084.0,114.43,1,20.33
2900.0,1539.29,game1,48486.4,125.53,2,11.5
2900.0,992.32,game1,104565.6,134.65,4,6.94
2900.0,735.72,game1,218034.4,144.69,8,4.87
2900.0,607.09,game1,439599.2,155.31,16,3.76
2900.0,548.95,game1,733362.0,159.2,32,3.37
2000.0,2691.02,game1,19380.4,104.36,1,28.75
2000.0,1841.62,game1,48378.4,108.38,2,15.73
2000.0,1136.01,game1,104132.4,114.32,4,9.26
2000.0,780.89,game1,219402.0,121.08,8,6.1
2000.0,619.48,game1,448294.8,130.56,16,4.6
2000.0,564.13,game1,737949.6,136.01,32,4.1
