FR,EN,Name,MEM,POW,TR,TIM
1600.0,3719.38,app4,531240.0,95.86,16,38.75
1600.0,3705.59,app4,531240.0,95.51,16,38.78
1600.0,3706.39,app4,531224.0,95.54,16,38.77
1600.0,3730.09,app4,535004.0,95.88,16,38.91
1600.0,3703.72,app4,531172.0,95.47,16,38.79
1600.0,3702.31,app4,531240.0,95.42,16,38.76
1600.0,3714.67,app4,535160.0,95.74,16,38.79
1600.0,3703.42,app4,534608.0,95.45,16,38.77
1600.0,3715.04,app4,535076.0,95.75,16,38.8
1600.0,3714.25,app4,535008.0,95.74,16,38.78
1600.0,3717.37,app4,534992.0,95.82,32,38.8
1600.0,3712.22,app4,534312.0,95.57,32,38.8
1600.0,3723.63,app4,531144.0,96.09,32,38.76
1600.0,3728.2,app4,531236.0,95.97,32,38.81
1600.0,3712.04,app4,535000.0,95.81,32,38.78
1600.0,3700.83,app4,531220.0,95.51,32,38.76
1600.0,3708.65,app4,534376.0,95.59,32,38.81
1600.0,3706.47,app4,529032.0,95.54,32,38.83
1600.0,3718.45,app4,534916.0,95.73,32,38.85
1600.0,3703.07,app4,531236.0,95.44,32,38.78
2000.0,3097.79,app4,531072.0,99.79,16,31.08
2000.0,3116.71,app4,534392.0,100.22,16,31.07
2000.0,3091.1,app4,532220.0,99.72,16,31.03
2000.0,3095.09,app4,535228.0,99.85,16,31.0
2000.0,3108.0,app4,534340.0,99.78,16,31.11
2000.0,3118.48,app4,529044.0,100.29,16,31.07
2000.0,3102.31,app4,528992.0,99.76,16,31.05
2000.0,3105.28,app4,534328.0,100.18,16,31.0
2000.0,3102.89,app4,531224.0,99.77,16,31.07
2000.0,3097.09,app4,529032.0,99.74,16,31.07
2000.0,3104.55,app4,532632.0,99.99,32,31.04
2000.0,3104.93,app4,529128.0,100.01,32,31.04
2000.0,3107.94,app4,531160.0,100.07,32,31.06
2000.0,3097.21,app4,531236.0,99.76,32,31.07
2000.0,3100.1,app4,534592.0,99.85,32,31.03
2000.0,3102.17,app4,535152.0,99.92,32,31.02
2000.0,3094.33,app4,531192.0,99.83,32,31.0
2000.0,3108.76,app4,534984.0,100.13,32,31.04
2000.0,3107.89,app4,534404.0,100.26,32,31.03
2000.0,3138.63,app4,531192.0,100.29,32,31.29
2500.0,2673.64,app4,530588.0,105.07,1,25.44
2500.0,2666.49,app4,527088.0,104.77,1,25.43
2500.0,2662.33,app4,530508.0,104.81,1,25.43
2500.0,2680.34,app4,530928.0,104.92,1,25.54
2500.0,2658.36,app4,527032.0,104.48,1,25.45
2500.0,2667.51,app4,527032.0,104.83,1,25.45
2500.0,2665.14,app4,527032.0,104.73,1,25.44
2500.0,2659.41,app4,530704.0,104.71,1,25.42
2500.0,2656.32,app4,527032.0,104.39,1,25.45
2500.0,2676.41,app4,527032.0,104.74,1,25.54
2500.0,2622.76,app4,535336.0,105.34,16,24.88
2500.0,2623.95,app4,532648.0,105.39,16,24.87
2500.0,2640.91,app4,535180.0,105.86,16,24.9
2500.0,2618.29,app4,534584.0,105.15,16,24.87
2500.0,2619.31,app4,534576.0,105.42,16,24.86
2500.0,2627.12,app4,529020.0,105.5,16,24.88
2500.0,2640.42,app4,536352.0,105.42,16,25.01
2500.0,2629.72,app4,535060.0,105.41,16,24.92
2500.0,2623.36,app4,535084.0,105.36,16,24.88
2500.0,2629.0,app4,531240.0,105.58,16,24.87
2500.0,2611.43,app4,532620.0,105.1,32,24.86
2500.0,2628.05,app4,531240.0,105.56,32,24.85
2500.0,2640.76,app4,535144.0,105.85,32,24.91
2500.0,2638.95,app4,532640.0,106.0,32,24.88
2500.0,2636.24,app4,531216.0,105.47,32,24.98
2500.0,2621.67,app4,532160.0,105.3,32,24.88
2500.0,2623.59,app4,531164.0,105.41,32,24.89
