FR,EN,Name,MEM,POW,TR,TIM
1600.0,125.52,enwik8,471964.0,145.29,16,0.84
1600.0,125.94,enwik8,472952.0,145.7,16,0.86
1600.0,131.46,enwik8,466596.0,143.06,16,0.88
1600.0,126.22,enwik8,462124.0,145.45,16,0.84
1600.0,124.93,enwik8,463764.0,145.08,16,0.85
1600.0,139.94,enwik8,463108.0,138.02,16,0.98
1600.0,135.25,enwik8,470692.0,140.58,16,0.95
1600.0,125.78,enwik8,466560.0,145.65,16,0.84
1600.0,135.57,enwik8,464064.0,140.63,16,0.94
1600.0,135.43,enwik8,471128.0,141.14,16,0.93
1600.0,135.76,enwik8,467740.0,140.57,32,0.96
1600.0,135.59,enwik8,467488.0,140.72,32,0.94
1600.0,125.74,enwik8,463100.0,145.63,32,0.87
1600.0,135.24,enwik8,480608.0,140.19,32,0.95
1600.0,126.45,enwik8,472528.0,146.25,32,0.84
1600.0,141.17,enwik8,473380.0,138.56,32,0.99
1600.0,125.77,enwik8,470220.0,145.61,32,0.84
1600.0,126.04,enwik8,471944.0,146.23,32,0.85
1600.0,125.21,enwik8,461864.0,145.14,32,0.83
1600.0,135.96,enwik8,464712.0,140.71,32,0.94
2000.0,119.0,enwik8,463428.0,166.01,16,0.68
2000.0,118.56,enwik8,469044.0,164.46,16,0.75
2000.0,123.34,enwik8,472068.0,160.52,16,0.76
2000.0,113.08,enwik8,461580.0,169.57,16,0.66
2000.0,118.39,enwik8,474860.0,165.31,16,0.67
2000.0,123.82,enwik8,469600.0,161.38,16,0.76
2000.0,118.5,enwik8,470632.0,165.49,16,0.7
2000.0,123.49,enwik8,468748.0,160.95,16,0.76
2000.0,112.58,enwik8,471896.0,169.03,16,0.69
2000.0,117.53,enwik8,470812.0,164.5,16,0.69
2300.0,722.52,enwik8,468624.0,101.79,1,7.09
2300.0,721.35,enwik8,466728.0,101.62,1,7.09
2300.0,722.44,enwik8,456300.0,101.78,1,7.09
2300.0,727.77,enwik8,450284.0,101.82,1,7.14
2300.0,723.52,enwik8,464808.0,101.91,1,7.1
2300.0,720.93,enwik8,452664.0,101.74,1,7.09
2300.0,722.05,enwik8,452640.0,101.72,1,7.09
2300.0,723.0,enwik8,466324.0,101.84,1,7.09
2300.0,720.97,enwik8,460472.0,101.56,1,7.09
2300.0,722.14,enwik8,452636.0,101.71,1,7.09
2500.0,119.72,enwik8,466052.0,192.98,16,0.61
2500.0,118.15,enwik8,467748.0,192.03,16,0.61
2500.0,119.07,enwik8,464472.0,191.95,16,0.62
2500.0,104.41,enwik8,474920.0,205.14,16,0.53
2500.0,120.0,enwik8,471344.0,194.16,16,0.57
2500.0,120.51,enwik8,472132.0,195.69,16,0.56
2500.0,113.2,enwik8,463400.0,199.94,16,0.56
2500.0,119.53,enwik8,471276.0,192.0,16,0.62
2500.0,113.36,enwik8,464728.0,199.56,16,0.55
2500.0,119.94,enwik8,466996.0,193.82,16,0.55
2500.0,111.28,enwik8,470664.0,197.8,32,0.56
2500.0,113.9,enwik8,466096.0,201.03,32,0.55
2500.0,118.1,enwik8,457288.0,191.64,32,0.62
2500.0,119.08,enwik8,464216.0,192.49,32,0.6
2500.0,111.45,enwik8,474116.0,197.97,32,0.55
2500.0,113.52,enwik8,467860.0,199.7,32,0.56
2500.0,124.67,enwik8,458204.0,185.49,32,0.63
2500.0,120.52,enwik8,458052.0,193.54,32,0.58
2500.0,121.51,enwik8,470084.0,192.56,32,0.56
2500.0,119.87,enwik8,468432.0,193.26,32,0.57
2800.0,116.2,enwik8,468764.0,223.6,32,0.5
2800.0,114.69,enwik8,457320.0,222.32,32,0.49
2800.0,116.54,enwik8,464108.0,223.62,32,0.51
2800.0,113.5,enwik8,466344.0,223.9,32,0.49
2800.0,116.77,enwik8,469496.0,222.9,32,0.51
2800.0,115.85,enwik8,464472.0,222.97,32,0.5
2800.0,123.22,enwik8,467092.0,215.17,32,0.51
2800.0,120.26,enwik8,468404.0,212.56,32,0.54
2800.0,115.44,enwik8,471252.0,221.94,32,0.5
2800.0,123.45,enwik8,471584.0,215.41,32,0.56
