FR,EN,Name,MEM,POW,TR,TIM
1600.0,857.19,app4,306184.0,123.27,16,6.9
1600.0,854.59,app4,311128.0,122.77,16,6.95
1600.0,862.18,app4,319484.0,122.99,16,6.95
1600.0,854.71,app4,305296.0,122.93,16,6.94
1600.0,849.62,app4,303132.0,123.1,16,6.91
1600.0,860.47,app4,311496.0,123.58,16,6.97
1600.0,850.64,app4,307196.0,123.09,16,6.91
1600.0,858.7,app4,314908.0,123.36,16,6.92
1600.0,861.06,app4,305512.0,123.73,16,6.95
1600.0,855.37,app4,310276.0,122.92,16,6.94
1600.0,854.72,app4,298304.0,122.78,32,6.93
1600.0,855.25,app4,309140.0,122.85,32,6.94
1600.0,859.11,app4,318920.0,123.42,32,6.93
1600.0,860.46,app4,310328.0,123.61,32,6.95
1600.0,853.13,app4,310868.0,122.6,32,6.95
1600.0,858.53,app4,302512.0,123.31,32,6.91
1600.0,860.39,app4,310348.0,122.7,32,6.94
1600.0,852.6,app4,310604.0,122.51,32,6.93
1600.0,855.38,app4,311504.0,122.89,32,6.93
1600.0,859.35,app4,317944.0,123.4,32,6.94
2400.0,808.55,app4,306164.0,146.69,16,5.5
2400.0,798.69,app4,301988.0,144.9,16,5.5
2400.0,799.32,app4,302896.0,144.91,16,5.49
2400.0,818.91,app4,302992.0,148.51,16,5.49
2400.0,806.47,app4,302112.0,146.31,16,5.49
2400.0,799.45,app4,305028.0,144.92,16,5.5
2400.0,808.52,app4,306276.0,146.93,16,5.5
2400.0,799.06,app4,304032.0,144.99,16,5.5
2400.0,810.46,app4,305200.0,146.93,16,5.51
2400.0,794.93,app4,304020.0,144.15,16,5.49
2400.0,797.92,app4,305200.0,144.69,32,5.49
2400.0,799.52,app4,302272.0,145.04,32,5.49
2400.0,815.01,app4,302424.0,147.91,32,5.5
2400.0,798.51,app4,305124.0,144.86,32,5.5
2400.0,815.65,app4,298980.0,148.12,32,5.49
2400.0,799.08,app4,302332.0,145.01,32,5.5
2400.0,798.67,app4,308780.0,144.88,32,5.5
2400.0,799.9,app4,309812.0,145.13,32,5.49
2400.0,798.87,app4,297224.0,144.88,32,5.49
2400.0,805.91,app4,302236.0,146.18,32,5.5
2901.0,3022.26,app4,303208.0,130.86,1,23.06
2901.0,3076.57,app4,294784.0,131.78,1,23.31
2901.0,3018.19,app4,300876.0,131.53,1,22.97
2901.0,3051.4,app4,298964.0,131.83,1,23.16
2901.0,3118.31,app4,299836.0,133.84,1,23.29
2901.0,3049.03,app4,300924.0,132.28,1,23.02
2901.0,3068.0,app4,300088.0,133.71,1,22.93
2901.0,2999.61,app4,296772.0,130.7,1,22.96
2901.0,3133.35,app4,301032.0,136.22,1,23.0
2901.0,3068.14,app4,299632.0,132.79,1,23.14
2901.0,878.94,app4,302456.0,224.16,16,3.9
2901.0,889.18,app4,303848.0,224.07,16,3.91
2901.0,900.25,app4,305660.0,235.76,16,3.84
2901.0,852.82,app4,303444.0,217.49,16,3.91
2901.0,872.5,app4,304720.0,222.66,16,3.9
2901.0,861.99,app4,315200.0,217.15,16,3.94
2901.0,865.66,app4,290952.0,223.88,16,3.82
2901.0,873.25,app4,303060.0,223.26,16,3.89
2901.0,861.65,app4,308552.0,220.12,16,3.92
2901.0,863.86,app4,311444.0,217.79,16,3.94
2901.0,894.2,app4,301156.0,228.37,32,3.88
2901.0,884.56,app4,300944.0,222.95,32,3.91
2901.0,868.81,app4,308100.0,218.98,32,3.93
2901.0,868.09,app4,303740.0,221.55,32,3.89
2901.0,873.5,app4,303240.0,228.83,32,3.81
2901.0,873.63,app4,312112.0,222.99,32,3.93
2901.0,901.94,app4,311040.0,230.3,32,3.88
