FR,EN,Name,MEM,POW,TR,TIM
1200.0,440.9,cr_audio1.flac,303352.0,97.96,4,4.53
1200.0,445.11,cr_audio1.flac,302000.0,97.81,4,4.54
1200.0,449.35,cr_audio1.flac,303444.0,97.67,4,4.57
1200.0,444.99,cr_audio1.flac,303088.0,97.75,4,4.54
1200.0,445.16,cr_audio1.flac,310408.0,97.82,4,4.55
1200.0,444.65,cr_audio1.flac,305532.0,97.72,4,4.55
1200.0,445.57,cr_audio1.flac,306816.0,97.88,4,4.56
1200.0,440.89,cr_audio1.flac,304244.0,97.96,4,4.51
1200.0,449.8,cr_audio1.flac,308584.0,97.75,4,4.56
1200.0,444.24,cr_audio1.flac,306632.0,97.75,4,4.57
1200.0,413.85,cr_audio1.flac,317536.0,98.59,8,4.2
1200.0,413.86,cr_audio1.flac,312228.0,98.62,8,4.23
1200.0,414.98,cr_audio1.flac,305056.0,98.9,8,4.21
1200.0,414.75,cr_audio1.flac,309440.0,98.83,8,4.21
1200.0,419.45,cr_audio1.flac,306480.0,98.77,8,4.22
1200.0,414.92,cr_audio1.flac,309140.0,98.77,8,4.22
1200.0,419.47,cr_audio1.flac,313224.0,98.79,8,4.23
1200.0,420.68,cr_audio1.flac,305848.0,99.03,8,4.22
1200.0,419.59,cr_audio1.flac,318428.0,98.78,8,4.23
1200.0,419.59,cr_audio1.flac,316652.0,98.79,8,4.24
1600.0,908.79,cr_audio1.flac,302708.0,94.68,1,9.57
1600.0,891.73,cr_audio1.flac,304272.0,94.89,1,9.39
1600.0,892.34,cr_audio1.flac,303912.0,94.94,1,9.39
1600.0,896.33,cr_audio1.flac,302464.0,94.87,1,9.4
1600.0,891.45,cr_audio1.flac,301044.0,94.86,1,9.38
1600.0,895.43,cr_audio1.flac,300696.0,94.77,1,9.43
1600.0,889.12,cr_audio1.flac,301256.0,94.63,1,9.39
1600.0,891.52,cr_audio1.flac,303632.0,94.89,1,9.4
1600.0,888.62,cr_audio1.flac,299276.0,94.69,1,9.38
1600.0,891.11,cr_audio1.flac,303756.0,94.83,1,9.39
1600.0,304.04,cr_audio1.flac,308668.0,104.8,8,2.91
1600.0,309.67,cr_audio1.flac,316484.0,104.78,8,2.93
1600.0,309.48,cr_audio1.flac,311820.0,104.76,8,2.91
1600.0,308.63,cr_audio1.flac,309184.0,104.92,8,2.9
1600.0,309.64,cr_audio1.flac,306040.0,104.85,8,2.91
1600.0,305.2,cr_audio1.flac,303840.0,105.15,8,2.9
1600.0,304.42,cr_audio1.flac,308616.0,104.83,8,2.89
1600.0,310.04,cr_audio1.flac,309980.0,104.93,8,2.91
1600.0,310.03,cr_audio1.flac,310112.0,104.94,8,2.91
1600.0,310.72,cr_audio1.flac,308032.0,105.18,8,2.92
1600.0,315.4,cr_audio1.flac,319820.0,106.81,16,2.95
1600.0,314.31,cr_audio1.flac,318532.0,106.46,16,2.95
1600.0,314.95,cr_audio1.flac,319796.0,107.22,16,2.94
1600.0,314.55,cr_audio1.flac,320788.0,106.71,16,2.95
1600.0,322.15,cr_audio1.flac,319844.0,107.3,16,2.95
1600.0,315.01,cr_audio1.flac,313876.0,106.65,16,2.95
1600.0,316.56,cr_audio1.flac,316456.0,107.03,16,2.97
1600.0,315.14,cr_audio1.flac,326116.0,106.73,16,2.95
1600.0,315.13,cr_audio1.flac,309444.0,106.6,16,2.93
1600.0,314.37,cr_audio1.flac,311516.0,106.51,16,2.95
1600.0,317.06,cr_audio1.flac,309180.0,107.34,32,2.94
1600.0,316.8,cr_audio1.flac,310532.0,107.14,32,2.94
1600.0,315.91,cr_audio1.flac,317036.0,106.86,32,2.97
1600.0,316.41,cr_audio1.flac,313960.0,107.09,32,2.98
1600.0,315.23,cr_audio1.flac,312912.0,106.72,32,2.95
1600.0,315.74,cr_audio1.flac,319640.0,107.15,32,2.95
1600.0,319.93,cr_audio1.flac,313516.0,106.5,32,2.96
1600.0,319.83,cr_audio1.flac,316964.0,106.59,32,2.95
1600.0,320.79,cr_audio1.flac,319280.0,106.84,32,2.97
1600.0,314.66,cr_audio1.flac,321308.0,106.69,32,2.95
1800.0,288.39,cr_audio1.flac,305124.0,110.84,16,2.59
1800.0,295.45,cr_audio1.flac,319896.0,111.35,16,2.63
1800.0,287.89,cr_audio1.flac,313756.0,110.7,16,2.61
1800.0,294.08,cr_audio1.flac,315312.0,110.7,16,2.63
1800.0,288.6,cr_audio1.flac,317920.0,110.89,16,2.62
1800.0,295.63,cr_audio1.flac,309012.0,111.36,16,2.65
1800.0,296.72,cr_audio1.flac,317468.0,111.71,16,2.63
1800.0,289.46,cr_audio1.flac,314936.0,111.06,16,2.61
1800.0,288.84,cr_audio1.flac,316376.0,110.81,16,2.6
1800.0,296.32,cr_audio1.flac,308260.0,111.68,16,2.61
1800.0,295.51,cr_audio1.flac,313248.0,111.43,32,2.62
1800.0,289.09,cr_audio1.flac,306520.0,110.59,32,2.61
1800.0,295.63,cr_audio1.flac,310788.0,111.37,32,2.63
1800.0,294.07,cr_audio1.flac,319612.0,110.84,32,2.63
1800.0,289.42,cr_audio1.flac,321640.0,111.07,32,2.63
1800.0,294.21,cr_audio1.flac,317448.0,110.76,32,2.63
1800.0,290.38,cr_audio1.flac,308644.0,111.4,32,2.59
1800.0,289.08,cr_audio1.flac,312864.0,111.13,32,2.59
1800.0,296.74,cr_audio1.flac,309972.0,111.76,32,2.62
1800.0,290.78,cr_audio1.flac,316608.0,111.63,32,2.59
2200.0,315.98,cr_audio1.flac,313264.0,116.76,32,2.72
2200.0,313.81,cr_audio1.flac,304864.0,116.02,32,2.72
2200.0,311.07,cr_audio1.flac,308680.0,115.36,32,2.71
2200.0,311.82,cr_audio1.flac,305852.0,115.31,32,2.71
2200.0,315.83,cr_audio1.flac,315072.0,114.87,32,2.72
2200.0,325.0,cr_audio1.flac,315484.0,120.33,32,2.71
2200.0,313.61,cr_audio1.flac,307156.0,115.88,32,2.72
2200.0,314.1,cr_audio1.flac,310804.0,116.35,32,2.72
2200.0,316.27,cr_audio1.flac,309376.0,114.8,32,2.72
2200.0,321.23,cr_audio1.flac,307436.0,116.84,32,2.71
2400.0,270.41,cr_audio1.flac,300800.0,126.58,16,2.1
2400.0,266.36,cr_audio1.flac,305660.0,127.89,16,2.11
2400.0,259.55,cr_audio1.flac,306928.0,124.73,16,2.1
2400.0,266.25,cr_audio1.flac,311804.0,124.9,16,2.1
2400.0,269.29,cr_audio1.flac,310084.0,125.9,16,2.11
2400.0,271.17,cr_audio1.flac,318108.0,127.01,16,2.11
2400.0,269.4,cr_audio1.flac,307084.0,125.84,16,2.11
2400.0,266.76,cr_audio1.flac,318848.0,124.81,16,2.12
2400.0,266.29,cr_audio1.flac,310436.0,124.51,16,2.11
2400.0,258.66,cr_audio1.flac,312352.0,124.0,16,2.11
2400.0,269.37,cr_audio1.flac,314488.0,126.23,32,2.12
2400.0,266.8,cr_audio1.flac,305716.0,124.84,32,2.13
2400.0,263.51,cr_audio1.flac,313588.0,126.31,32,2.11
2400.0,259.41,cr_audio1.flac,310128.0,124.54,32,2.11
2400.0,257.56,cr_audio1.flac,309716.0,123.48,32,2.1
2400.0,277.23,cr_audio1.flac,314244.0,127.42,32,2.19
2400.0,257.2,cr_audio1.flac,307196.0,123.23,32,2.1
2400.0,263.89,cr_audio1.flac,311356.0,126.88,32,2.11
2400.0,258.02,cr_audio1.flac,306220.0,123.73,32,2.11
2400.0,260.3,cr_audio1.flac,314476.0,124.91,32,2.1
2700.0,253.28,cr_audio1.flac,310596.0,133.78,16,1.87
2700.0,247.1,cr_audio1.flac,310480.0,131.0,16,1.87
2700.0,254.87,cr_audio1.flac,304528.0,134.81,16,1.86
2700.0,244.25,cr_audio1.flac,309648.0,133.33,16,1.86
2700.0,253.73,cr_audio1.flac,314152.0,138.38,16,1.86
2700.0,248.84,cr_audio1.flac,309860.0,131.71,16,1.87
2700.0,238.93,cr_audio1.flac,309744.0,130.55,16,1.87
2700.0,252.64,cr_audio1.flac,306680.0,133.77,16,1.86
2700.0,239.04,cr_audio1.flac,307364.0,130.51,16,1.86
2700.0,256.84,cr_audio1.flac,308044.0,135.78,16,1.87
2901.0,533.03,cr_audio1.flac,297924.0,130.12,1,4.06
2901.0,561.58,cr_audio1.flac,301100.0,133.77,1,4.2
2901.0,525.71,cr_audio1.flac,302520.0,131.83,1,4.01
2901.0,541.98,cr_audio1.flac,300740.0,130.36,1,4.14
2901.0,520.65,cr_audio1.flac,299760.0,130.28,1,4.02
2901.0,536.61,cr_audio1.flac,302488.0,129.35,1,4.15
2901.0,554.27,cr_audio1.flac,303608.0,133.63,1,4.13
2901.0,532.41,cr_audio1.flac,302568.0,131.56,1,4.05
2901.0,526.58,cr_audio1.flac,301652.0,130.18,1,4.02
2901.0,564.5,cr_audio1.flac,301488.0,136.07,1,4.13
2901.0,307.07,cr_audio1.flac,306200.0,146.25,4,2.08
2901.0,287.43,cr_audio1.flac,307024.0,147.8,4,1.93
2901.0,307.22,cr_audio1.flac,306376.0,146.94,4,2.09
2901.0,289.26,cr_audio1.flac,307536.0,148.26,4,1.94
2901.0,312.47,cr_audio1.flac,304864.0,145.4,4,2.12
2901.0,316.06,cr_audio1.flac,307128.0,147.02,4,2.14
2901.0,289.98,cr_audio1.flac,304028.0,148.58,4,1.92
2901.0,304.91,cr_audio1.flac,302576.0,145.29,4,2.08
2901.0,309.01,cr_audio1.flac,304044.0,147.06,4,2.12
2901.0,302.13,cr_audio1.flac,308332.0,147.37,4,2.02
2901.0,315.55,cr_audio1.flac,307928.0,180.19,16,1.74
2901.0,317.77,cr_audio1.flac,307760.0,181.06,16,1.75
2901.0,326.07,cr_audio1.flac,303832.0,180.57,16,1.78
2901.0,337.58,cr_audio1.flac,314860.0,186.87,16,1.8
2901.0,330.64,cr_audio1.flac,310716.0,188.72,16,1.78
2901.0,320.95,cr_audio1.flac,308676.0,178.13,16,1.8
2901.0,322.24,cr_audio1.flac,310324.0,183.84,16,1.77
2901.0,308.22,cr_audio1.flac,305340.0,175.75,16,1.77
2901.0,308.31,cr_audio1.flac,310548.0,175.77,16,1.76
2901.0,314.97,cr_audio1.flac,308696.0,181.02,16,1.77
2901.0,315.18,cr_audio1.flac,307548.0,180.14,32,1.75
2901.0,327.36,cr_audio1.flac,312760.0,181.56,32,1.78
2901.0,314.96,cr_audio1.flac,307636.0,174.6,32,1.78
2901.0,323.87,cr_audio1.flac,311432.0,175.21,32,1.81
2901.0,323.89,cr_audio1.flac,307120.0,179.09,32,1.8
2901.0,329.69,cr_audio1.flac,314780.0,182.27,32,1.78
2901.0,324.3,cr_audio1.flac,303824.0,184.89,32,1.76
2901.0,327.14,cr_audio1.flac,305688.0,181.11,32,1.79
2901.0,323.76,cr_audio1.flac,304008.0,184.75,32,1.77
2901.0,324.78,cr_audio1.flac,307284.0,184.33,32,1.76
1700.0,319.63,cr_audio1.flac,311968.0,108.75,16,2.93
1700.0,316.29,cr_audio1.flac,316900.0,107.66,16,2.97
1700.0,317.35,cr_audio1.flac,301664.0,107.92,16,2.94
1700.0,317.91,cr_audio1.flac,305576.0,108.23,16,2.94
1700.0,319.66,cr_audio1.flac,310124.0,108.6,16,2.95
1700.0,316.45,cr_audio1.flac,307372.0,107.58,16,2.96
1700.0,316.55,cr_audio1.flac,312964.0,107.71,16,2.94
1700.0,327.83,cr_audio1.flac,308948.0,109.52,16,2.96
1700.0,327.42,cr_audio1.flac,309560.0,107.75,16,3.05
1700.0,320.62,cr_audio1.flac,305632.0,109.17,16,2.94
1700.0,323.27,cr_audio1.flac,306732.0,108.05,32,2.95
1700.0,319.49,cr_audio1.flac,311480.0,108.67,32,2.94
1700.0,316.86,cr_audio1.flac,310852.0,107.8,32,2.95
1700.0,318.53,cr_audio1.flac,306600.0,108.4,32,2.96
1700.0,320.48,cr_audio1.flac,311732.0,108.76,32,2.94
1700.0,317.62,cr_audio1.flac,311184.0,108.15,32,2.95
1700.0,323.64,cr_audio1.flac,308776.0,108.87,32,2.95
1700.0,322.11,cr_audio1.flac,311716.0,107.83,32,2.96
1700.0,316.35,cr_audio1.flac,318304.0,107.57,32,2.95
1700.0,323.08,cr_audio1.flac,310888.0,107.99,32,2.95
2300.0,271.08,cr_audio1.flac,304940.0,122.27,16,2.19
2300.0,265.25,cr_audio1.flac,319400.0,121.41,16,2.2
2300.0,264.36,cr_audio1.flac,309968.0,121.09,16,2.19
2300.0,268.05,cr_audio1.flac,312512.0,122.57,16,2.2
2300.0,271.99,cr_audio1.flac,307536.0,121.63,16,2.2
2300.0,270.98,cr_audio1.flac,311016.0,121.16,16,2.2
2300.0,277.41,cr_audio1.flac,305268.0,126.9,16,2.19
2300.0,266.47,cr_audio1.flac,313776.0,122.0,16,2.2
2300.0,266.02,cr_audio1.flac,309652.0,121.72,16,2.18
2300.0,275.99,cr_audio1.flac,309176.0,123.19,16,2.21
2300.0,265.51,cr_audio1.flac,308640.0,121.46,32,2.19
2300.0,271.53,cr_audio1.flac,311552.0,121.62,32,2.2
2300.0,273.56,cr_audio1.flac,310184.0,122.47,32,2.19
2300.0,268.54,cr_audio1.flac,310980.0,122.19,32,2.19
2300.0,266.82,cr_audio1.flac,313264.0,122.28,32,2.19
2300.0,274.23,cr_audio1.flac,299572.0,122.77,32,2.2
2300.0,270.83,cr_audio1.flac,309128.0,123.56,32,2.2
2300.0,272.5,cr_audio1.flac,310824.0,124.69,32,2.2
2300.0,267.52,cr_audio1.flac,313212.0,122.27,32,2.2
2300.0,268.75,cr_audio1.flac,312368.0,122.82,32,2.19
2500.0,250.97,cr_audio1.flac,311904.0,126.99,16,2.03
2500.0,266.16,cr_audio1.flac,306972.0,130.66,16,2.03
2500.0,258.24,cr_audio1.flac,312860.0,127.38,16,2.04
2500.0,253.49,cr_audio1.flac,303348.0,127.77,16,2.02
2500.0,257.14,cr_audio1.flac,310856.0,129.51,16,2.02
2500.0,276.55,cr_audio1.flac,305296.0,138.96,16,2.03
