FR,EN,Name,MEM,POW,TR,TIM
1600.0,1793.07,cr_audio1.wav,165300.0,93.91,1,19.08
1600.0,1793.13,cr_audio1.wav,170028.0,93.89,1,19.07
1600.0,1792.7,cr_audio1.wav,163756.0,94.12,1,19.06
1600.0,1789.29,cr_audio1.wav,167236.0,93.94,1,19.05
1600.0,1789.02,cr_audio1.wav,167592.0,93.93,1,19.05
1600.0,1801.95,cr_audio1.wav,169720.0,94.35,1,19.08
1600.0,1789.34,cr_audio1.wav,165548.0,93.94,1,19.06
1600.0,1789.78,cr_audio1.wav,167140.0,93.96,1,19.05
1600.0,1793.55,cr_audio1.wav,168576.0,93.92,1,19.06
1600.0,1798.17,cr_audio1.wav,169776.0,93.91,1,19.16
1600.0,583.45,cr_audio1.wav,178900.0,103.26,8,5.65
1600.0,584.88,cr_audio1.wav,184180.0,103.42,8,5.65
1600.0,590.23,cr_audio1.wav,177964.0,103.47,8,5.65
1600.0,586.74,cr_audio1.wav,191124.0,103.49,8,5.65
1600.0,584.87,cr_audio1.wav,180444.0,103.47,8,5.65
1600.0,583.54,cr_audio1.wav,182888.0,103.21,8,5.65
1600.0,584.89,cr_audio1.wav,182604.0,103.48,8,5.65
1600.0,585.35,cr_audio1.wav,174040.0,103.5,8,5.65
1600.0,585.87,cr_audio1.wav,175284.0,103.63,8,5.64
1600.0,588.55,cr_audio1.wav,174248.0,103.2,8,5.64
1600.0,513.11,cr_audio1.wav,191492.0,106.82,16,4.76
1600.0,513.76,cr_audio1.wav,187788.0,108.02,16,4.76
1600.0,509.62,cr_audio1.wav,190524.0,106.2,16,4.77
1600.0,520.38,cr_audio1.wav,190932.0,108.28,16,4.76
1600.0,507.1,cr_audio1.wav,189796.0,106.67,16,4.76
1600.0,504.66,cr_audio1.wav,188148.0,106.19,16,4.77
1600.0,511.74,cr_audio1.wav,192952.0,107.67,16,4.76
1600.0,513.88,cr_audio1.wav,184544.0,108.05,16,4.77
1600.0,513.85,cr_audio1.wav,184612.0,107.05,16,4.76
1600.0,507.77,cr_audio1.wav,185076.0,106.79,16,4.76
1600.0,510.92,cr_audio1.wav,186316.0,107.52,32,4.76
1600.0,505.83,cr_audio1.wav,189316.0,106.41,32,4.76
1600.0,504.88,cr_audio1.wav,194048.0,106.19,32,4.76
1600.0,505.6,cr_audio1.wav,179160.0,106.33,32,4.76
1600.0,517.6,cr_audio1.wav,184792.0,107.73,32,4.77
1600.0,518.51,cr_audio1.wav,186516.0,107.91,32,4.77
1600.0,505.06,cr_audio1.wav,188824.0,106.22,32,4.77
1600.0,505.71,cr_audio1.wav,190332.0,106.4,32,4.76
1600.0,506.39,cr_audio1.wav,181288.0,106.52,32,4.76
1600.0,506.6,cr_audio1.wav,181388.0,106.56,32,4.76
2400.0,396.23,cr_audio1.wav,181800.0,125.5,16,3.17
2400.0,408.4,cr_audio1.wav,197948.0,127.27,16,3.17
2400.0,406.68,cr_audio1.wav,186228.0,126.72,16,3.18
2400.0,398.61,cr_audio1.wav,179796.0,126.27,16,3.17
2400.0,394.31,cr_audio1.wav,180196.0,124.99,16,3.17
2400.0,394.95,cr_audio1.wav,190612.0,125.1,16,3.17
2400.0,404.69,cr_audio1.wav,181752.0,128.1,16,3.17
2400.0,415.81,cr_audio1.wav,193144.0,129.51,16,3.18
2400.0,403.14,cr_audio1.wav,188416.0,127.79,16,3.17
2400.0,398.18,cr_audio1.wav,189352.0,124.12,16,3.18
2400.0,401.27,cr_audio1.wav,179212.0,126.69,32,3.17
2400.0,396.97,cr_audio1.wav,188176.0,126.13,32,3.17
2400.0,403.03,cr_audio1.wav,185020.0,125.56,32,3.17
2400.0,403.77,cr_audio1.wav,182808.0,125.88,32,3.17
2400.0,395.54,cr_audio1.wav,186360.0,123.38,32,3.17
2400.0,419.91,cr_audio1.wav,179412.0,130.85,32,3.17
2400.0,403.99,cr_audio1.wav,181448.0,126.23,32,3.17
2400.0,390.09,cr_audio1.wav,183084.0,123.58,32,3.17
2400.0,401.75,cr_audio1.wav,175872.0,125.28,32,3.17
2400.0,403.71,cr_audio1.wav,184804.0,125.85,32,3.17
2700.0,394.1,cr_audio1.wav,188024.0,137.76,16,2.85
2700.0,387.88,cr_audio1.wav,196296.0,135.48,16,2.85
2700.0,383.76,cr_audio1.wav,184248.0,131.99,16,2.85
2700.0,384.0,cr_audio1.wav,200688.0,134.32,16,2.85
2700.0,389.79,cr_audio1.wav,198984.0,138.68,16,2.85
2700.0,388.23,cr_audio1.wav,193740.0,135.84,16,2.84
2700.0,393.98,cr_audio1.wav,194284.0,137.61,16,2.85
2700.0,384.62,cr_audio1.wav,189528.0,134.47,16,2.85
2700.0,385.56,cr_audio1.wav,196068.0,134.72,16,2.85
2700.0,378.85,cr_audio1.wav,193740.0,132.63,16,2.85
2700.0,380.5,cr_audio1.wav,189784.0,133.18,32,2.85
2700.0,393.24,cr_audio1.wav,190920.0,135.36,32,2.85
2700.0,390.85,cr_audio1.wav,190136.0,136.63,32,2.85
2700.0,388.7,cr_audio1.wav,196868.0,135.9,32,2.85
2700.0,385.62,cr_audio1.wav,197716.0,134.95,32,2.85
2700.0,392.78,cr_audio1.wav,190272.0,137.32,32,2.85
2700.0,399.0,cr_audio1.wav,189088.0,136.99,32,2.85
2700.0,395.03,cr_audio1.wav,195688.0,137.33,32,2.85
2700.0,385.19,cr_audio1.wav,201800.0,134.31,32,2.85
2700.0,396.22,cr_audio1.wav,193156.0,138.6,32,2.84
1700.0,485.0,cr_audio1.wav,176712.0,107.71,16,4.48
1700.0,487.92,cr_audio1.wav,180300.0,108.32,16,4.48
1700.0,487.11,cr_audio1.wav,178724.0,109.36,16,4.48
1700.0,479.0,cr_audio1.wav,200296.0,107.53,16,4.48
1700.0,498.61,cr_audio1.wav,192816.0,110.47,16,4.48
1700.0,490.22,cr_audio1.wav,187796.0,108.8,16,4.48
1700.0,484.17,cr_audio1.wav,184620.0,107.51,16,4.48
1700.0,487.32,cr_audio1.wav,195128.0,108.15,16,4.48
1700.0,490.62,cr_audio1.wav,183612.0,108.93,16,4.48
1700.0,493.39,cr_audio1.wav,185164.0,109.53,16,4.48
1700.0,492.06,cr_audio1.wav,181024.0,109.25,32,4.48
1700.0,485.25,cr_audio1.wav,182168.0,107.91,32,4.48
1700.0,481.61,cr_audio1.wav,188064.0,108.04,32,4.48
1700.0,485.91,cr_audio1.wav,181056.0,107.84,32,4.49
1700.0,489.98,cr_audio1.wav,179172.0,108.73,32,4.49
1700.0,487.14,cr_audio1.wav,187204.0,108.18,32,4.48
1700.0,502.37,cr_audio1.wav,171264.0,111.46,32,4.48
1700.0,479.62,cr_audio1.wav,187188.0,107.68,32,4.48
1700.0,488.18,cr_audio1.wav,188052.0,109.5,32,4.49
1700.0,479.32,cr_audio1.wav,193880.0,107.63,32,4.49
2300.0,407.23,cr_audio1.wav,192184.0,123.15,16,3.32
2300.0,412.51,cr_audio1.wav,193084.0,122.83,16,3.32
2300.0,406.71,cr_audio1.wav,188908.0,123.51,16,3.32
2300.0,426.78,cr_audio1.wav,178152.0,129.04,16,3.32
2300.0,424.88,cr_audio1.wav,185220.0,126.52,16,3.32
2300.0,410.79,cr_audio1.wav,192260.0,124.38,16,3.32
2300.0,435.03,cr_audio1.wav,185648.0,129.53,16,3.32
2300.0,428.69,cr_audio1.wav,172068.0,127.69,16,3.31
2300.0,412.19,cr_audio1.wav,168436.0,124.63,16,3.31
2300.0,422.13,cr_audio1.wav,189612.0,127.57,16,3.32
2300.0,427.2,cr_audio1.wav,182196.0,129.19,32,3.31
2300.0,419.1,cr_audio1.wav,191596.0,125.03,32,3.32
2300.0,412.8,cr_audio1.wav,193832.0,124.86,32,3.32
2300.0,425.07,cr_audio1.wav,191792.0,126.82,32,3.32
2300.0,407.94,cr_audio1.wav,185856.0,123.33,32,3.32
2300.0,415.34,cr_audio1.wav,191396.0,123.69,32,3.32
2300.0,420.13,cr_audio1.wav,181660.0,126.92,32,3.32
2300.0,433.73,cr_audio1.wav,181880.0,129.11,32,3.31
2300.0,431.39,cr_audio1.wav,185076.0,128.62,32,3.32
2300.0,411.4,cr_audio1.wav,176564.0,123.93,32,3.32
2800.0,1164.9,cr_audio1.wav,165988.0,106.39,1,10.92
2800.0,1164.78,cr_audio1.wav,164448.0,106.41,1,10.93
2800.0,1165.35,cr_audio1.wav,167292.0,106.42,1,10.93
2800.0,1159.2,cr_audio1.wav,169260.0,106.45,1,10.93
2800.0,1159.45,cr_audio1.wav,161432.0,106.44,1,10.93
2800.0,1159.39,cr_audio1.wav,163664.0,106.41,1,10.91
2800.0,1160.05,cr_audio1.wav,164440.0,106.45,1,10.92
2800.0,1159.96,cr_audio1.wav,165072.0,106.42,1,10.92
2800.0,1160.39,cr_audio1.wav,169780.0,106.45,1,10.93
2800.0,1165.16,cr_audio1.wav,166072.0,106.47,1,10.93
2800.0,372.11,cr_audio1.wav,173712.0,134.8,8,2.72
2800.0,366.83,cr_audio1.wav,174792.0,135.41,8,2.72
2800.0,370.77,cr_audio1.wav,174228.0,136.77,8,2.72
2800.0,367.42,cr_audio1.wav,171208.0,135.37,8,2.72
2800.0,367.13,cr_audio1.wav,170344.0,135.45,8,2.72
2800.0,366.33,cr_audio1.wav,173688.0,135.29,8,2.72
2800.0,365.52,cr_audio1.wav,176324.0,134.96,8,2.72
2800.0,365.19,cr_audio1.wav,170148.0,134.9,8,2.72
2800.0,367.69,cr_audio1.wav,175100.0,135.67,8,2.72
2800.0,367.06,cr_audio1.wav,175276.0,135.53,8,2.72
2800.0,410.74,cr_audio1.wav,196756.0,138.9,16,2.95
2800.0,389.74,cr_audio1.wav,188096.0,141.12,16,2.72
2800.0,369.4,cr_audio1.wav,191404.0,136.31,16,2.72
2800.0,390.91,cr_audio1.wav,190464.0,144.38,16,2.72
2800.0,379.38,cr_audio1.wav,183020.0,137.26,16,2.72
2800.0,383.45,cr_audio1.wav,181108.0,139.29,16,2.72
2800.0,383.94,cr_audio1.wav,188536.0,139.11,16,2.72
2800.0,391.28,cr_audio1.wav,180320.0,141.81,16,2.72
2800.0,394.18,cr_audio1.wav,187700.0,142.83,16,2.72
2800.0,375.06,cr_audio1.wav,177300.0,136.08,16,2.72
2800.0,396.19,cr_audio1.wav,189180.0,143.03,32,2.72
2800.0,378.8,cr_audio1.wav,181944.0,139.64,32,2.72
2800.0,390.4,cr_audio1.wav,184924.0,141.35,32,2.72
2800.0,382.21,cr_audio1.wav,191172.0,141.1,32,2.72
2800.0,385.64,cr_audio1.wav,187360.0,142.32,32,2.72
2800.0,384.81,cr_audio1.wav,189800.0,139.6,32,2.72
2800.0,394.14,cr_audio1.wav,196104.0,142.73,32,2.72
2800.0,391.48,cr_audio1.wav,179556.0,141.59,32,2.72
2800.0,384.61,cr_audio1.wav,182528.0,139.32,32,2.72
2800.0,387.71,cr_audio1.wav,184956.0,140.49,32,2.72
2900.0,385.88,cr_audio1.wav,195436.0,145.05,16,2.65
2900.0,378.39,cr_audio1.wav,188520.0,142.29,16,2.64
2900.0,380.55,cr_audio1.wav,196160.0,142.91,16,2.64
2900.0,388.05,cr_audio1.wav,193012.0,145.85,16,2.65
2900.0,376.77,cr_audio1.wav,190956.0,141.59,16,2.64
2900.0,387.85,cr_audio1.wav,191292.0,145.79,16,2.65
2900.0,379.33,cr_audio1.wav,190596.0,142.16,16,2.64
2900.0,388.05,cr_audio1.wav,191588.0,145.83,16,2.65
2900.0,377.38,cr_audio1.wav,186384.0,141.8,16,2.64
2900.0,372.3,cr_audio1.wav,192284.0,139.77,16,2.65
2900.0,374.68,cr_audio1.wav,191236.0,143.66,32,2.65
2900.0,392.05,cr_audio1.wav,191024.0,147.49,32,2.64
2900.0,380.65,cr_audio1.wav,190008.0,142.9,32,2.64
2900.0,379.72,cr_audio1.wav,192880.0,143.13,32,2.64
2900.0,380.85,cr_audio1.wav,188776.0,143.39,32,2.65
2900.0,370.92,cr_audio1.wav,184348.0,139.5,32,2.64
2900.0,377.79,cr_audio1.wav,190320.0,141.81,32,2.64
2900.0,371.96,cr_audio1.wav,196592.0,140.05,32,2.64
2900.0,372.44,cr_audio1.wav,185948.0,140.13,32,2.65
2900.0,386.02,cr_audio1.wav,191784.0,144.82,32,2.64
