FR,EN,Name,MEM,POW,TR,TIM
1600.0,1166.81,enwik9,1024.0,101.42,16,11.49
1600.0,1163.45,enwik9,1024.0,101.16,16,11.51
1600.0,1187.92,enwik9,1020.0,101.97,16,11.66
1600.0,1012.65,enwik9,1024.0,102.26,16,9.92
1600.0,1189.35,enwik9,1020.0,102.07,16,11.63
1600.0,1186.96,enwik9,1024.0,99.73,16,11.89
1600.0,1166.72,enwik9,1020.0,100.57,16,11.58
1600.0,1196.96,enwik9,1020.0,101.44,16,11.78
1600.0,1068.11,enwik9,1024.0,103.2,16,10.34
1600.0,1148.06,enwik9,1020.0,99.82,16,11.48
1600.0,1224.06,enwik9,1024.0,101.98,32,12.01
1600.0,1154.73,enwik9,1024.0,100.39,32,11.44
1600.0,1163.81,enwik9,1024.0,101.19,32,11.52
1600.0,1080.18,enwik9,1020.0,101.89,32,10.59
1600.0,1231.17,enwik9,1024.0,102.07,32,11.81
1600.0,1000.14,enwik9,1024.0,104.14,32,9.61
1600.0,1181.01,enwik9,1024.0,101.05,32,11.68
1600.0,1205.69,enwik9,1024.0,103.03,32,11.73
1600.0,1185.93,enwik9,1024.0,102.66,32,11.53
1600.0,1188.71,enwik9,1024.0,101.58,32,11.73
2400.0,959.51,enwik9,1024.0,109.63,16,8.74
2400.0,993.14,enwik9,1024.0,111.53,16,8.89
2400.0,1004.31,enwik9,1024.0,111.55,16,8.97
2400.0,977.02,enwik9,1024.0,109.78,16,8.91
2400.0,940.9,enwik9,1024.0,108.76,16,8.65
2400.0,1003.5,enwik9,1024.0,113.37,16,8.83
2400.0,970.1,enwik9,1024.0,110.18,16,8.82
2400.0,937.88,enwik9,1024.0,109.65,16,8.59
2400.0,1008.04,enwik9,1024.0,112.6,16,8.95
2400.0,1027.2,enwik9,1024.0,112.84,16,9.07
2901.0,1009.6,enwik9,1024.0,142.07,32,7.1
2901.0,1063.15,enwik9,1020.0,147.46,32,7.18
2901.0,1052.07,enwik9,1024.0,150.18,32,7.0
2901.0,1109.15,enwik9,1024.0,158.37,32,6.95
2901.0,1006.05,enwik9,1024.0,144.72,32,6.93
2901.0,961.0,enwik9,1024.0,138.14,32,6.93
2901.0,1038.42,enwik9,1024.0,150.42,32,6.92
2901.0,1120.74,enwik9,1024.0,160.01,32,6.98
2901.0,955.4,enwik9,1024.0,137.32,32,6.93
2901.0,960.48,enwik9,1024.0,138.09,32,6.95
2300.0,1023.37,enwik9,1024.0,112.45,32,9.14
2300.0,1032.39,enwik9,1024.0,111.6,32,9.21
2300.0,1031.79,enwik9,1024.0,112.73,32,9.1
2300.0,992.02,enwik9,1024.0,109.57,32,8.99
2300.0,1039.84,enwik9,1020.0,112.36,32,9.24
2300.0,1001.9,enwik9,1024.0,110.67,32,9.02
2300.0,1060.63,enwik9,1024.0,115.24,32,9.21
2300.0,1002.12,enwik9,1024.0,109.5,32,9.16
2300.0,1017.58,enwik9,1024.0,111.89,32,9.13
2300.0,1028.28,enwik9,1024.0,112.31,32,9.18
2800.0,925.24,enwik9,1020.0,117.69,16,7.85
2800.0,946.13,enwik9,1024.0,118.22,16,8.0
2800.0,819.89,enwik9,1020.0,122.32,16,6.68
2800.0,973.02,enwik9,1024.0,119.92,16,8.09
2800.0,978.91,enwik9,1024.0,118.58,16,8.24
2800.0,971.44,enwik9,1020.0,120.62,16,8.06
2800.0,924.44,enwik9,1020.0,117.0,16,7.88
2800.0,965.95,enwik9,1020.0,119.95,16,8.06
2800.0,979.47,enwik9,1024.0,119.31,16,8.15
2800.0,840.52,enwik9,1024.0,121.73,16,6.9
2800.0,964.6,enwik9,1024.0,118.98,32,8.12
2800.0,923.83,enwik9,1024.0,113.25,32,8.16
2800.0,978.75,enwik9,1024.0,121.47,32,8.01
2800.0,965.97,enwik9,1024.0,119.21,32,8.12
2800.0,980.97,enwik9,1020.0,120.31,32,8.16
2800.0,969.44,enwik9,1024.0,118.92,32,8.13
2800.0,887.1,enwik9,1024.0,121.47,32,7.27
2800.0,954.92,enwik9,1024.0,118.5,32,8.06
2800.0,957.91,enwik9,1024.0,117.47,32,8.13
2800.0,924.34,enwik9,1024.0,116.94,32,7.88
