FR,EN,Name,MEM,POW,TR,TIM
1200.0,1429.98,cr_audio1.wav,206452.0,99.28,16,9.98
1200.0,1016.8,cr_audio1.wav,211796.0,101.62,16,9.76
1200.0,1010.28,cr_audio1.wav,190364.0,103.05,16,9.79
1200.0,1004.0,cr_audio1.wav,194368.0,102.45,16,9.79
1200.0,1002.92,cr_audio1.wav,198824.0,102.19,16,9.8
1200.0,1001.03,cr_audio1.wav,195456.0,102.1,16,9.75
1200.0,998.58,cr_audio1.wav,206836.0,102.31,16,10.16
1200.0,1034.79,cr_audio1.wav,213420.0,101.43,16,9.74
1200.0,1000.5,cr_audio1.wav,193560.0,102.18,16,9.79
1200.0,1002.02,cr_audio1.wav,207800.0,102.2,16,9.89
1600.0,453.02,cr_audio1.wav,26152.0,113.03,1,29.52
1600.0,2829.64,cr_audio1.wav,26076.0,95.92,1,29.47
1600.0,2793.24,cr_audio1.wav,25932.0,94.86,1,29.51
1600.0,2830.85,cr_audio1.wav,25128.0,95.97,1,29.51
1600.0,2835.8,cr_audio1.wav,27792.0,95.96,1,29.67
1600.0,2847.31,cr_audio1.wav,25972.0,95.86,1,29.78
1600.0,2848.78,cr_audio1.wav,25932.0,95.58,1,29.72
1600.0,2852.0,cr_audio1.wav,25972.0,95.85,1,29.61
1600.0,2831.98,cr_audio1.wav,26108.0,95.51,1,29.52
1600.0,2822.17,cr_audio1.wav,26908.0,95.67,1,29.9
1600.0,1621.46,cr_audio1.wav,169488.0,101.02,8,10.84
1600.0,1146.28,cr_audio1.wav,173084.0,105.67,8,10.97
1600.0,1159.24,cr_audio1.wav,169976.0,105.33,8,10.35
1600.0,1106.91,cr_audio1.wav,158980.0,106.85,8,10.92
1600.0,1154.3,cr_audio1.wav,176860.0,105.37,8,10.19
1600.0,1093.9,cr_audio1.wav,163592.0,107.21,8,10.93
1600.0,1154.26,cr_audio1.wav,173828.0,105.5,8,10.95
1600.0,1156.23,cr_audio1.wav,173020.0,105.53,8,11.1
1600.0,1168.26,cr_audio1.wav,172196.0,105.24,8,11.13
1600.0,1174.2,cr_audio1.wav,173848.0,105.25,8,10.27
1600.0,1093.98,cr_audio1.wav,200456.0,106.66,16,7.48
1600.0,824.91,cr_audio1.wav,214200.0,109.85,16,7.61
1600.0,834.54,cr_audio1.wav,197384.0,109.68,16,6.76
1600.0,772.29,cr_audio1.wav,204732.0,113.49,16,7.71
1600.0,847.29,cr_audio1.wav,211980.0,109.25,16,7.55
1600.0,835.29,cr_audio1.wav,213220.0,109.83,16,7.55
1600.0,832.57,cr_audio1.wav,208900.0,110.19,16,7.46
1600.0,825.14,cr_audio1.wav,211556.0,109.91,16,7.47
1600.0,824.95,cr_audio1.wav,213448.0,109.87,16,7.55
1600.0,829.76,cr_audio1.wav,214440.0,109.74,16,7.54
1600.0,827.31,cr_audio1.wav,290672.0,109.56,32,5.41
1600.0,626.4,cr_audio1.wav,289480.0,114.7,32,5.33
1600.0,616.15,cr_audio1.wav,288032.0,114.96,32,5.34
1600.0,615.44,cr_audio1.wav,286116.0,114.82,32,5.75
1600.0,650.74,cr_audio1.wav,291708.0,112.95,32,5.41
1600.0,618.46,cr_audio1.wav,286680.0,114.32,32,5.45
1600.0,624.69,cr_audio1.wav,288456.0,114.43,32,5.29
1600.0,611.19,cr_audio1.wav,268852.0,115.09,32,5.43
1600.0,625.35,cr_audio1.wav,286284.0,114.52,32,5.35
1600.0,625.04,cr_audio1.wav,284164.0,116.65,32,5.32
1800.0,1080.99,cr_audio1.wav,213800.0,109.15,16,6.73
1800.0,770.26,cr_audio1.wav,207476.0,113.95,16,6.75
1800.0,770.43,cr_audio1.wav,214800.0,113.97,16,6.75
1800.0,767.09,cr_audio1.wav,210412.0,113.45,16,6.15
1800.0,719.36,cr_audio1.wav,207632.0,116.74,16,6.82
1800.0,772.15,cr_audio1.wav,210592.0,113.19,16,6.79
1800.0,771.59,cr_audio1.wav,210584.0,113.32,16,6.8
1800.0,769.96,cr_audio1.wav,209668.0,113.04,16,6.7
1800.0,764.44,cr_audio1.wav,206468.0,113.94,16,6.78
1800.0,772.77,cr_audio1.wav,214340.0,113.42,16,6.77
1800.0,772.23,cr_audio1.wav,288392.0,113.44,32,4.86
1800.0,582.47,cr_audio1.wav,287224.0,119.82,32,4.86
1800.0,584.75,cr_audio1.wav,285328.0,119.06,32,4.86
1800.0,584.15,cr_audio1.wav,284672.0,118.99,32,4.87
1800.0,600.91,cr_audio1.wav,287644.0,122.41,32,5.02
1800.0,598.89,cr_audio1.wav,286620.0,118.38,32,4.8
1800.0,579.93,cr_audio1.wav,284896.0,120.56,32,4.82
1800.0,582.65,cr_audio1.wav,291220.0,119.87,32,4.89
1800.0,584.64,cr_audio1.wav,282444.0,119.04,32,4.88
1800.0,586.1,cr_audio1.wav,287076.0,119.38,32,4.84
2400.0,920.52,cr_audio1.wav,205220.0,120.19,16,5.27
2400.0,682.43,cr_audio1.wav,189972.0,128.44,16,5.43
2400.0,689.05,cr_audio1.wav,213144.0,126.16,16,4.5
2400.0,612.47,cr_audio1.wav,208056.0,134.34,16,5.24
2400.0,669.71,cr_audio1.wav,202520.0,127.26,16,5.32
2400.0,672.45,cr_audio1.wav,207204.0,126.64,16,5.25
2400.0,669.86,cr_audio1.wav,207332.0,127.3,16,5.1
2400.0,668.23,cr_audio1.wav,201132.0,130.77,16,5.25
2400.0,670.41,cr_audio1.wav,214108.0,127.39,16,5.25
2400.0,670.13,cr_audio1.wav,213436.0,127.3,16,5.24
2400.0,667.86,cr_audio1.wav,286724.0,126.95,32,3.82
2400.0,525.71,cr_audio1.wav,285652.0,136.29,32,3.85
2400.0,524.83,cr_audio1.wav,282616.0,135.85,32,3.87
2400.0,537.28,cr_audio1.wav,286656.0,139.21,32,3.92
2400.0,528.66,cr_audio1.wav,284404.0,135.03,32,3.79
2400.0,520.83,cr_audio1.wav,288652.0,136.59,32,3.82
2400.0,524.75,cr_audio1.wav,285156.0,136.03,32,3.82
2400.0,526.7,cr_audio1.wav,286588.0,136.33,32,3.83
2400.0,521.63,cr_audio1.wav,284332.0,136.73,32,3.82
2400.0,519.67,cr_audio1.wav,287936.0,136.26,32,3.84
2901.0,399.44,cr_audio1.wav,26060.0,193.25,1,13.15
2901.0,1773.12,cr_audio1.wav,25992.0,134.77,1,13.18
2901.0,1786.85,cr_audio1.wav,26052.0,131.34,1,13.03
2901.0,1750.89,cr_audio1.wav,25924.0,134.1,1,13.17
2901.0,1745.84,cr_audio1.wav,26116.0,132.73,1,13.02
2901.0,1745.97,cr_audio1.wav,26120.0,134.22,1,13.18
2901.0,1766.26,cr_audio1.wav,26168.0,134.25,1,12.82
2901.0,1744.68,cr_audio1.wav,25996.0,135.71,1,13.2
2901.0,1773.7,cr_audio1.wav,25980.0,134.32,1,12.92
2901.0,1750.04,cr_audio1.wav,26124.0,135.06,1,13.17
2901.0,1161.06,cr_audio1.wav,172896.0,157.72,8,5.37
2901.0,914.92,cr_audio1.wav,151916.0,169.16,8,5.22
2901.0,871.77,cr_audio1.wav,172296.0,165.6,8,5.35
2901.0,902.58,cr_audio1.wav,174288.0,168.31,8,5.24
2901.0,885.01,cr_audio1.wav,172736.0,169.74,8,5.23
2901.0,892.51,cr_audio1.wav,174312.0,169.52,8,5.24
2901.0,888.56,cr_audio1.wav,163816.0,168.83,8,5.23
2901.0,882.51,cr_audio1.wav,173308.0,169.36,8,5.21
2901.0,894.19,cr_audio1.wav,177964.0,169.89,8,5.31
2901.0,887.39,cr_audio1.wav,173996.0,166.91,8,5.22
2901.0,692.41,cr_audio1.wav,279780.0,174.69,32,2.96
2901.0,611.23,cr_audio1.wav,287504.0,206.1,32,2.92
2901.0,583.66,cr_audio1.wav,282332.0,200.15,32,2.98
2901.0,592.49,cr_audio1.wav,288656.0,196.45,32,2.99
2901.0,603.28,cr_audio1.wav,280632.0,200.02,32,2.92
2901.0,568.14,cr_audio1.wav,290064.0,191.5,32,2.95
2901.0,596.67,cr_audio1.wav,288756.0,200.28,32,2.91
2901.0,563.04,cr_audio1.wav,282288.0,189.8,32,3.3
2901.0,611.44,cr_audio1.wav,291988.0,181.67,32,2.97
2901.0,558.65,cr_audio1.wav,293012.0,188.2,32,3.02
1700.0,1112.75,cr_audio1.wav,214812.0,107.45,16,7.14
1700.0,796.03,cr_audio1.wav,206572.0,111.2,16,7.06
1700.0,785.02,cr_audio1.wav,206592.0,111.2,16,7.13
1700.0,794.71,cr_audio1.wav,212712.0,111.03,16,7.13
1700.0,794.95,cr_audio1.wav,214676.0,111.08,16,7.12
1700.0,794.91,cr_audio1.wav,206392.0,111.06,16,7.1
1700.0,793.54,cr_audio1.wav,205336.0,111.62,16,7.22
1700.0,799.87,cr_audio1.wav,212900.0,110.98,16,7.11
1700.0,790.07,cr_audio1.wav,207540.0,111.14,16,7.23
1700.0,815.98,cr_audio1.wav,214836.0,112.48,16,7.15
1700.0,794.85,cr_audio1.wav,286744.0,111.03,32,5.1
1700.0,597.58,cr_audio1.wav,286424.0,116.94,32,5.14
1700.0,598.67,cr_audio1.wav,286132.0,116.06,32,5.05
1700.0,613.48,cr_audio1.wav,287412.0,120.14,32,5.06
1700.0,604.95,cr_audio1.wav,286796.0,118.49,32,5.08
1700.0,594.89,cr_audio1.wav,286504.0,116.42,32,5.19
1700.0,604.08,cr_audio1.wav,286660.0,115.95,32,5.11
1700.0,600.24,cr_audio1.wav,284276.0,116.39,32,5.14
1700.0,612.47,cr_audio1.wav,285808.0,119.88,32,5.06
1700.0,603.63,cr_audio1.wav,287428.0,119.35,32,5.05
2300.0,932.77,cr_audio1.wav,210244.0,118.71,16,5.55
2300.0,693.39,cr_audio1.wav,214784.0,124.72,16,5.42
2300.0,692.2,cr_audio1.wav,214308.0,126.72,16,5.44
2300.0,682.33,cr_audio1.wav,213244.0,124.92,16,5.44
2300.0,679.98,cr_audio1.wav,213896.0,124.52,16,5.43
2300.0,680.72,cr_audio1.wav,213136.0,124.68,16,5.55
2300.0,692.58,cr_audio1.wav,213700.0,124.56,16,5.46
2300.0,682.41,cr_audio1.wav,210964.0,124.98,16,5.45
2300.0,683.26,cr_audio1.wav,215052.0,125.07,16,5.42
2300.0,683.89,cr_audio1.wav,211292.0,125.22,16,5.48
2300.0,686.63,cr_audio1.wav,296720.0,124.56,32,4.21
2300.0,561.4,cr_audio1.wav,288868.0,133.35,32,4.0
2300.0,543.81,cr_audio1.wav,287408.0,135.78,32,3.96
2300.0,543.4,cr_audio1.wav,285384.0,135.41,32,3.93
2300.0,552.2,cr_audio1.wav,286144.0,139.36,32,3.99
2300.0,542.76,cr_audio1.wav,286928.0,135.47,32,4.0
2300.0,534.55,cr_audio1.wav,289380.0,133.16,32,3.99
2300.0,553.14,cr_audio1.wav,287532.0,137.92,32,4.0
2300.0,531.38,cr_audio1.wav,286152.0,132.5,32,3.96
2300.0,552.81,cr_audio1.wav,287480.0,139.62,32,3.97
2500.0,1258.01,cr_audio1.wav,161244.0,118.06,8,6.72
2500.0,866.5,cr_audio1.wav,166292.0,128.12,8,7.35
2500.0,898.51,cr_audio1.wav,164596.0,121.99,8,7.3
2500.0,911.73,cr_audio1.wav,170552.0,124.71,8,7.41
2500.0,908.34,cr_audio1.wav,168712.0,122.59,8,7.36
2500.0,906.83,cr_audio1.wav,172176.0,122.4,8,7.32
