FR,EN,END,Name,START,REP,TR,TIM
1600.0,120.295046,1405233371.470622797,06,1405233370.575938222,2,16,.894684575
1600.0,87.754371,1405233373.549185086,06,1405233372.923996721,3,16,.625188365
1600.0,80.313258,1405233374.763299949,06,1405233374.199106720,4,16,.564193229
1600.0,79.995435,1405233376.771652312,06,1405233376.216694853,5,16,.554957459
1600.0,82.552222,1405233378.800475349,06,1405233378.225551965,6,16,.574923384
1600.0,82.802748,1405233380.830571768,06,1405233380.254222956,7,16,.576348812
1600.0,85.498833,1405233382.895809786,06,1405233382.284995133,8,16,.610814653
1600.0,120.114046,1405237555.512847876,06,1405237554.686899958,2,32,.825947918
1600.0,62.216774,1405237556.559635952,06,1405237556.160380033,3,32,.399255919
1600.0,69.781969,1405237559.462681903,06,1405237559.014800545,4,32,.447881358
1600.0,69.448968,1405237561.413348902,06,1405237560.949334080,5,32,.464014822
1600.0,85.201714,1405237563.485035720,06,1405237562.905422545,6,32,.579613175
1600.0,99.394955,1405237565.678484737,06,1405237564.983184789,7,32,.695299948
1600.0,66.744115,1405237566.750595813,06,1405237566.326954062,8,32,.423641751
2000.0,124.418738,1405305601.760239908,06,1405305600.945197694,2,16,.815042214
2000.0,73.574013,1405305602.893406520,06,1405305602.438105341,3,16,.455301179
2000.0,73.940071,1405305604.837433008,06,1405305604.386328874,4,16,.451104134
2000.0,67.899741,1405305606.701504543,06,1405305606.284593371,5,16,.416911172
2000.0,82.734484,1405305609.717649407,06,1405305609.188448345,6,16,.529201062
2000.0,77.286131,1405305610.828596521,06,1405305610.359801287,7,16,.468795234
2000.0,104.447508,1405305612.991201089,06,1405305612.273850649,8,16,.717350440
2000.0,160.338324,1405309267.593168596,06,1405309266.581322478,2,32,1.011846118
2000.0,75.597973,1405309268.670964946,06,1405309268.233630901,3,32,.437334045
2000.0,66.079112,1405309271.500517213,06,1405309271.120052741,4,32,.380464472
2000.0,83.860775,1405309273.465427981,06,1405309272.945840876,5,32,.519587105
2000.0,78.210267,1405309275.357983969,06,1405309274.910023916,6,32,.447960053
2000.0,87.266081,1405309277.334601137,06,1405309276.801916008,7,32,.532685129
2000.0,77.811122,1405309279.233111019,06,1405309278.778799183,8,32,.454311836
2500.0,95.484259,1405365854.942429476,06,1405365854.395890702,2,16,.546538774
2500.0,71.268699,1405365856.786563736,06,1405365856.389849700,3,16,.396714036
2500.0,84.970666,1405365858.768679131,06,1405365858.276892892,4,16,.491786239
2500.0,90.654013,1405365860.755448872,06,1405365860.212712399,5,16,.542736473
2500.0,68.360563,1405365863.531874875,06,1405365863.208885186,6,16,.322989689
2500.0,86.179619,1405365865.490682265,06,1405365865.009616229,7,16,.481066036
2500.0,69.264842,1405365867.329110645,06,1405365866.968901467,8,16,.360209178
2500.0,135.09964,1405368990.961946147,06,1405368990.245756732,2,32,.716189415
2500.0,78.608005,1405368992.801726107,06,1405368992.400225527,3,32,.401500580
2500.0,72.793652,1405368994.617610093,06,1405368994.243238243,4,32,.374371850
2500.0,61.968475,1405368997.364666128,06,1405368997.061930623,5,32,.302735505
2500.0,82.448734,1405368999.235620458,06,1405368998.804399459,6,32,.431220999
2500.0,76.05944,1405369001.050310301,06,1405369000.674235377,7,32,.376074924
2500.0,72.619656,1405369002.889573896,06,1405369002.528204807,8,32,.361369089
2800.0,112.583115,1405392765.612313947,06,1405392764.990771245,2,16,.621542702
