FR,EN,Name,TR,DC,TIM
2901.0,2410.39,encrypt,32,1978.39,8488.14
2901.0,2607.2,encrypt,32,2107.68,8431.67
2901.0,2695.83,encrypt,32,1821.3,8371.35
2901.0,2597.16,encrypt,32,2147.29,8441.1
2901.0,2135.16,encrypt,32,1938.38,8355.51
2901.0,2555.3,encrypt,32,2168.98,8439.4
2901.0,2171.69,encrypt,32,2030.21,8405.93
2901.0,2796.08,encrypt,32,2321.13,8996.54
2901.0,2662.48,encrypt,32,1960.83,8503.99
2901.0,2369.94,encrypt,32,1970.49,8462.49
1600.0,2710.17,encrypt,16,1766.16,18549.1
1600.0,3030.65,encrypt,16,1991.27,24329
1600.0,3623.82,encrypt,16,2375.26,28388.2
1600.0,3430.24,encrypt,16,2159.15,26156.9
1600.0,2731.92,encrypt,16,1777.58,18877.6
1600.0,3125.72,encrypt,16,1996,22479.2
1600.0,3443.19,encrypt,16,2202.94,25031
1600.0,3191.45,encrypt,16,2074.46,24624.5
1600.0,3025.8,encrypt,16,2058.65,24133.9
1600.0,2775.41,encrypt,16,1994.12,20379.9
1600.0,2257.48,encrypt,32,1663.75,15394.7
1600.0,2459.55,encrypt,32,1601.66,15417.2
1600.0,2362.91,encrypt,32,1765.64,16567.5
1600.0,2351.81,encrypt,32,1795.29,16571.9
1600.0,2298.68,encrypt,32,1613.28,15417.2
1600.0,2413.65,encrypt,32,1574.37,15402.2
1600.0,2214.61,encrypt,32,1528.42,15441.4
1600.0,2378.31,encrypt,32,1603.91,15419.6
1600.0,2297.52,encrypt,32,1666.51,15412.3
1600.0,2309.53,encrypt,32,1622.46,15395.5
1700.0,2132.38,encrypt,32,1597.31,14548.8
1700.0,2132.58,encrypt,32,1505.21,14496.2
1700.0,2203.28,encrypt,32,1641.67,14517.4
1700.0,2160.12,encrypt,32,1611.24,14493.3
1700.0,2332.06,encrypt,32,1652.19,14503.8
1700.0,2393.81,encrypt,32,1553.08,14495.4
1700.0,2215.51,encrypt,32,1571.59,14496
1700.0,2323.49,encrypt,32,1590.39,14524.6
1700.0,2124.02,encrypt,32,1569.89,14488
1700.0,2146.24,encrypt,32,1580.14,14488.8
2000.0,3166.87,encrypt,16,2107.64,23622.8
2000.0,3146.29,encrypt,16,2135.89,22339.4
2000.0,3260.34,encrypt,16,2113.93,25276.8
2000.0,3232.71,encrypt,16,2134.3,23914
2000.0,2607.4,encrypt,16,1841.11,14811.2
2000.0,2553.29,encrypt,16,1889.61,16125.7
2000.0,2729.86,encrypt,16,1998.76,16266.7
2000.0,2530.99,encrypt,16,1627.09,14888.5
2000.0,3235.65,encrypt,16,2097.9,23821.1
2000.0,2871.73,encrypt,16,1922.01,18008.7
2000.0,2255.84,encrypt,32,1617.27,12331.8
2000.0,2459.49,encrypt,32,1763.55,13256.7
2000.0,2259.66,encrypt,32,1505.85,12331.3
2000.0,2338.97,encrypt,32,1677.12,12329.1
2000.0,2056.2,encrypt,32,1504.2,12329.6
2000.0,2286.88,encrypt,32,1542.57,12325.9
2000.0,2256.03,encrypt,32,1580.43,12325
2000.0,2285.42,encrypt,32,1596.1,12343.7
2000.0,1976.32,encrypt,32,1615.64,12328.7
2000.0,2121.43,encrypt,32,1493.49,12341.5
2500.0,3020.61,encrypt,16,2284.68,17742.6
2500.0,3012.2,encrypt,16,2097.32,16128.5
2500.0,3670.59,encrypt,16,2654.85,26419.7
2500.0,2810.97,encrypt,16,2064.78,12829.4
2500.0,3070.1,encrypt,16,2309.74,19154.5
2500.0,3521.68,encrypt,16,2571.51,20941.6
2500.0,3465.93,encrypt,16,2368.18,23772.4
2500.0,2845.78,encrypt,16,2009.61,12924.8
2500.0,2361.1,encrypt,16,1714.21,11669.9
2500.0,3202.93,encrypt,16,2402.16,18222
2500.0,1966.74,encrypt,32,1582.9,9873.14
2500.0,2012.69,encrypt,32,1621.22,9856.11
2500.0,1979.23,encrypt,32,1719.73,9879.18
2500.0,2200.12,encrypt,32,1723.21,9904.73
2500.0,2285.18,encrypt,32,1817.72,9872.03
2500.0,2282.88,encrypt,32,1636.07,9871.77
2500.0,2041.43,encrypt,32,1486.19,9885.51
2500.0,2145.33,encrypt,32,1533.57,9878.89
2500.0,2134.11,encrypt,32,1575.38,9900.53
2500.0,2104.93,encrypt,32,1646.63,9869.82
2800.0,2244.18,encrypt,16,2042.86,10938
2800.0,3562.01,encrypt,16,2409.29,23073.3
2800.0,2978.42,encrypt,16,2293.73,12306.7
2800.0,2333.3,encrypt,16,1965.23,10454.4
2800.0,2290.16,encrypt,16,2018.16,10486.3
2800.0,3074.12,encrypt,16,2313.61,18051.5
2800.0,3581.97,encrypt,16,2484.19,23511.5
2800.0,2727.95,encrypt,16,2127.93,11705
2800.0,2942.56,encrypt,16,2278.87,15661.1
2800.0,3096.92,encrypt,16,2417.82,16342.6
2800.0,2223.89,encrypt,32,1652.02,8819.3
2800.0,2385.26,encrypt,32,1788.26,8812.4
2800.0,2250.73,encrypt,32,1676.6,8820.04
2800.0,2236.19,encrypt,32,1798.47,8825.49
2800.0,2300.44,encrypt,32,1706.78,8819.98
2800.0,2334.51,encrypt,32,1643.13,8826.97
2800.0,2242.85,encrypt,32,1838.41,8812.6
2800.0,2468.71,encrypt,32,1732.48,9406.28
2800.0,2103.23,encrypt,32,1706.91,8898
2800.0,2384.91,encrypt,32,1629.86,8815.25
