FR,EN,Name,TR,DC,TIM
1600.0,1215.7,encrypt,16,885.927,9791.55
1600.0,986.869,encrypt,16,879.753,8265.98
1600.0,1165.78,encrypt,16,851.425,7582.82
1600.0,1425.67,encrypt,16,1002.16,10851.1
1600.0,1013.47,encrypt,16,797.029,8023.6
1600.0,987.971,encrypt,16,837.62,8203.29
1600.0,1189.14,encrypt,16,772.365,8280.48
1600.0,1243.26,encrypt,16,834.314,7977.17
1600.0,1494.82,encrypt,16,1086.64,11993.1
1600.0,1073.16,encrypt,16,846.955,8480.83
1600.0,1306.63,encrypt,32,823.413,8012.92
1600.0,1310.02,encrypt,32,800.766,8039.43
1600.0,819.308,encrypt,32,602.815,8025.89
1600.0,1438.75,encrypt,32,1139.89,9592.73
1600.0,1199.11,encrypt,32,761.887,8035.94
1600.0,997.681,encrypt,32,535.358,9337.31
1600.0,1338.48,encrypt,32,907.856,8062.49
1600.0,556.299,encrypt,32,176.347,8073.89
1600.0,1072.2,encrypt,32,902.419,8001.61
1600.0,1126.33,encrypt,32,811.193,8141.67
2000.0,1036.75,encrypt,16,823.321,6916.95
2000.0,1023.1,encrypt,16,719.034,6161.97
2000.0,1082.09,encrypt,16,787.602,6720.29
2000.0,1074.08,encrypt,16,801.096,6764.56
2000.0,918.726,encrypt,16,807.248,6099.64
2000.0,966.87,encrypt,16,870.731,7075.33
2000.0,1176.67,encrypt,16,900.77,7873.69
2000.0,1299.83,encrypt,16,900.106,7595.22
2000.0,1060.56,encrypt,16,831.573,7273.37
2000.0,1028.78,encrypt,16,857.543,6800.33
2500.0,7961.57,encrypt,1,4706.17,76124.2
2500.0,8107.52,encrypt,1,4780.72,76229
2500.0,10133,encrypt,1,5899.03,96262.4
2500.0,8083.07,encrypt,1,4708.33,76774.8
2500.0,7898.54,encrypt,1,4718.41,76175.6
2500.0,7945.87,encrypt,1,4714.86,76233.6
2500.0,8083.21,encrypt,1,4678.57,76245.5
2500.0,8028.6,encrypt,1,4733.13,76295
2500.0,8134.39,encrypt,1,4735.07,76375.8
2500.0,8215.7,encrypt,1,4838.66,77775.6
2500.0,1083.6,encrypt,16,955.316,5469.51
2500.0,1202.18,encrypt,16,801.848,5650.26
2500.0,1221.69,encrypt,16,809.132,5528.29
2500.0,1154.34,encrypt,16,734.772,5609.56
2500.0,1525.45,encrypt,16,1117.82,9606.36
2500.0,1084.26,encrypt,16,806.921,5442.52
2500.0,564.399,encrypt,16,486.835,5492.95
2500.0,933.812,encrypt,16,887.955,6060
2500.0,1168.4,encrypt,16,846.02,5466.23
2500.0,825.716,encrypt,16,897.099,4919.44
2500.0,898.02,encrypt,32,728.869,5179.58
2500.0,1021.12,encrypt,32,854.297,5196.18
2500.0,1064,encrypt,32,668.648,5300.06
2500.0,1235.6,encrypt,32,773.2,5169.69
2500.0,1501.09,encrypt,32,868.953,6044.59
2500.0,538.191,encrypt,32,435.739,6019.6
2500.0,1001.05,encrypt,32,799.702,5176.57
2500.0,835.455,encrypt,32,930.222,5191.8
2500.0,966.29,encrypt,32,1028.93,5172.96
2500.0,1259.07,encrypt,32,717.317,5196.54
2800.0,770.786,encrypt,32,925.131,4625.85
2800.0,1210.37,encrypt,32,892.38,4638.95
2800.0,1030.01,encrypt,32,1109.53,5396.13
2800.0,811.735,encrypt,32,866.536,4629.16
2800.0,1351.71,encrypt,32,787.686,4734.91
2800.0,1253.24,encrypt,32,994.183,4637.9
2800.0,1348.28,encrypt,32,971.862,4630.74
2800.0,807.178,encrypt,32,939.265,4628.05
2800.0,876.696,encrypt,32,905.77,4641.03
2800.0,1503.92,encrypt,32,1093.71,5509.36
