FR,EN,Name,TR,DC,TIM
1200.0,2256.27,decrypt,8,1250.13,20342
1200.0,2255.69,decrypt,8,1297.38,20307
1200.0,2248.69,decrypt,8,1275.12,20321.1
1200.0,2182.14,decrypt,8,1210.72,20333.5
1200.0,2220.06,decrypt,8,1268.1,20325.5
1200.0,2064.02,decrypt,8,1263.03,20317.5
1200.0,2127.88,decrypt,8,1265.51,20340.2
1200.0,2344.15,decrypt,8,1302.56,22028
1200.0,2103.29,decrypt,8,1272.19,20348.8
1200.0,2466.52,decrypt,8,1408.84,22798.2
1200.0,1140,decrypt,16,710.996,10606
1200.0,1343.78,decrypt,16,786.687,10720.8
1200.0,1264.3,decrypt,16,774.26,10509.2
1200.0,1123.46,decrypt,16,772.782,10682.4
1200.0,1216.56,decrypt,16,820.353,10544.4
1200.0,1552.88,decrypt,16,919.243,13056.2
1200.0,1372.98,decrypt,16,855.777,11225.1
1200.0,1226.87,decrypt,16,720.179,10594.7
1200.0,1190.91,decrypt,16,820.604,10654.6
1200.0,1474.04,decrypt,16,883.088,13123.1
1600.0,11669,decrypt,1,6191.85,122144
1600.0,12073.1,decrypt,1,6452.89,127785
1600.0,11729.3,decrypt,1,6207.4,122954
1600.0,11612.6,decrypt,1,6234.82,121918
1600.0,11502.2,decrypt,1,6219.26,121684
1600.0,11520.7,decrypt,1,6221.28,122006
1600.0,11560.4,decrypt,1,6183.18,121824
1600.0,11588.2,decrypt,1,6144.73,122019
1600.0,11852.9,decrypt,1,6425.03,122012
1600.0,11563,decrypt,1,6232.89,122092
1600.0,2189.54,decrypt,8,1276.6,20263.2
1600.0,2255.56,decrypt,8,1314.97,20250.9
1600.0,2112.01,decrypt,8,1319.42,20095.6
1600.0,2284.56,decrypt,8,1340.96,20170.4
1600.0,2279.85,decrypt,8,1343.34,20120
1600.0,1705.44,decrypt,8,1168.84,15298.2
1600.0,2263.72,decrypt,8,1368.45,19933.6
1600.0,2110.78,decrypt,8,1343.87,20127.2
1600.0,2083.34,decrypt,8,1282.5,20252.2
1600.0,2135.28,decrypt,8,1347.62,20307.7
1600.0,1293.94,decrypt,16,820.048,10180.7
1600.0,1169.63,decrypt,16,773.142,10120
1600.0,1255.95,decrypt,16,843.663,10178.2
1600.0,1241.37,decrypt,16,834.081,10532.3
1600.0,1155.87,decrypt,16,766.108,10211.9
1600.0,1354.21,decrypt,16,778.688,10548.9
1600.0,1148.88,decrypt,16,798.178,10226.2
1600.0,1191.62,decrypt,16,789.08,10242.6
1600.0,1202.3,decrypt,16,865.194,10211.8
1600.0,1169.04,decrypt,16,774.487,9714.84
1600.0,787.694,decrypt,32,472.445,5368.5
1600.0,601.969,decrypt,32,447.376,5318.26
1600.0,605.31,decrypt,32,503.019,5428.39
1600.0,796.027,decrypt,32,489.019,5394.98
1600.0,815.538,decrypt,32,487.645,5374.57
1600.0,763.247,decrypt,32,504.105,5384.02
1600.0,765.073,decrypt,32,483.532,5371.23
1600.0,583.539,decrypt,32,512.986,5390.88
1600.0,745.523,decrypt,32,472.119,5385.4
1600.0,820.888,decrypt,32,455.71,5422.18
1700.0,1206.1,decrypt,16,791.568,10136.1
1700.0,1169.41,decrypt,16,831.198,9943.72
1700.0,1174.47,decrypt,16,865.072,10137.1
1700.0,1328.4,decrypt,16,857.124,10061.7
1700.0,1193.42,decrypt,16,801.966,10133.4
1700.0,1296.69,decrypt,16,851.411,10052.2
1700.0,1294.79,decrypt,16,797.269,10026.2
1700.0,1183.08,decrypt,16,825.157,10172.1
1700.0,1230.56,decrypt,16,812.757,10127.8
1700.0,1314.46,decrypt,16,786.82,10133.8
1700.0,710.747,decrypt,32,465.902,5095.21
1700.0,799.919,decrypt,32,443.988,5068.83
1700.0,758.86,decrypt,32,388.239,5045.61
1700.0,649.681,decrypt,32,464.36,5098.47
1700.0,664.997,decrypt,32,546.386,5084.75
1700.0,615.492,decrypt,32,410.337,5076.65
1700.0,553.39,decrypt,32,540.052,5109.8
1700.0,698.698,decrypt,32,532.958,5122.57
1700.0,661.012,decrypt,32,503.077,5076.56
1700.0,669.824,decrypt,32,491.377,5057.84
1800.0,1173.82,decrypt,16,830.777,10041.8
1800.0,1282.36,decrypt,16,820.569,10174.6
1800.0,1269.16,decrypt,16,820.582,9978.81
1800.0,1311.31,decrypt,16,804.237,9451.05
1800.0,1325.09,decrypt,16,815.553,10004.6
1800.0,1319.22,decrypt,16,822.013,9989.62
1800.0,1247.13,decrypt,16,861.348,10060.8
1800.0,1339.1,decrypt,16,820.158,10059.8
1800.0,1336.6,decrypt,16,822.834,10040.1
1800.0,1262.44,decrypt,16,781.154,10025.3
1800.0,708.997,decrypt,32,400.057,4744.29
1800.0,748.627,decrypt,32,392.08,4826.16
1800.0,512.281,decrypt,32,365.822,4734.03
1800.0,793.653,decrypt,32,466.173,4840.51
1800.0,657.507,decrypt,32,555.758,4850.54
1800.0,785.955,decrypt,32,427.888,4785.29
1800.0,499.877,decrypt,32,401.241,4785.37
1800.0,532.308,decrypt,32,388.73,4828.47
1800.0,556.924,decrypt,32,468.485,4788.16
1800.0,751.699,decrypt,32,466.419,4783.39
1900.0,544.558,decrypt,32,472.12,4487.76
1900.0,652.241,decrypt,32,444.862,4575.9
1900.0,638.317,decrypt,32,401.128,4483.26
1900.0,580.238,decrypt,32,365.813,4567.7
1900.0,695.663,decrypt,32,563.191,4533.48
1900.0,781.955,decrypt,32,463.986,4582.02
1900.0,651.88,decrypt,32,414.051,4534.65
1900.0,700.281,decrypt,32,373.059,4556.8
1900.0,705.125,decrypt,32,565.867,4540.93
1900.0,501.95,decrypt,32,538.408,4534.83
2000.0,9643.65,decrypt,1,5363.23,97540.8
2000.0,9629.42,decrypt,1,5302.01,97534.7
2000.0,10868.2,decrypt,1,5982.54,111895
2000.0,9658.07,decrypt,1,5273.25,97406.6
2000.0,9562.69,decrypt,1,5349.4,97496.9
2000.0,9779.62,decrypt,1,5397.53,97607.1
2000.0,9597.83,decrypt,1,5395.97,97702.2
2000.0,9701.5,decrypt,1,5294.51,97694.2
2000.0,9746.65,decrypt,1,5359.13,97581.7
2000.0,9679.85,decrypt,1,5287.02,97511.6
2000.0,2155.72,decrypt,8,1322.97,20200.8
2000.0,2184.17,decrypt,8,1402.41,19987.3
2000.0,2145.23,decrypt,8,1293.61,20167
2000.0,2214.63,decrypt,8,1308.5,19940.3
2000.0,2222.52,decrypt,8,1315.38,20166.8
2000.0,2255.85,decrypt,8,1359.98,19200.9
2000.0,2219.08,decrypt,8,1252.44,19912.2
2000.0,2234.11,decrypt,8,1330.08,20189.2
2000.0,2228.17,decrypt,8,1301.28,20160.6
2000.0,2198.98,decrypt,8,1298.06,19975.1
2000.0,1195.59,decrypt,16,862.974,10175
2000.0,814.915,decrypt,16,710.305,6979.5
2000.0,1192.06,decrypt,16,846.024,10144.1
2000.0,1266.74,decrypt,16,829.366,10089.8
2000.0,1335.78,decrypt,16,813.609,9800.12
2000.0,1333.78,decrypt,16,822.972,9920.32
2000.0,752.227,decrypt,16,699.877,6295.55
2000.0,1332.53,decrypt,16,847.972,9881.09
2000.0,1293.97,decrypt,16,831.357,10156.4
2000.0,1233.82,decrypt,16,852.233,10060.9
2000.0,760.109,decrypt,32,497.718,4314.44
2000.0,706.31,decrypt,32,457.685,4436.18
2000.0,732.025,decrypt,32,412.761,4354.48
2000.0,490.096,decrypt,32,440.544,4359.36
2000.0,747.773,decrypt,32,489.015,4317.35
2000.0,511.706,decrypt,32,509.005,4374.11
2000.0,769.208,decrypt,32,514.314,4323.5
2000.0,477.858,decrypt,32,423.193,4268.5
2000.0,766.341,decrypt,32,410.773,4292.2
2000.0,478.521,decrypt,32,472.491,4323.72
2200.0,2214.46,decrypt,8,1274.1,20083.4
2200.0,1637.93,decrypt,8,1087.91,12163.1
2200.0,1600.65,decrypt,8,1073.63,11214.7
2200.0,2361.81,decrypt,8,1418.19,20103.4
2200.0,2241.29,decrypt,8,1413.14,19845.7
2200.0,1896,decrypt,8,1287.48,16908.6
2200.0,2123.57,decrypt,8,1292.17,20199.5
2200.0,2232.65,decrypt,8,1278.53,19903.5
2200.0,2222.53,decrypt,8,1335.89,19306.5
2200.0,2119.62,decrypt,8,1300.09,19783.5
2300.0,1337.88,decrypt,16,895.159,9594.55
2300.0,842.671,decrypt,16,821.615,9724.45
2300.0,1300.45,decrypt,16,851.937,9412.71
2300.0,1145.4,decrypt,16,891.343,9311.98
2300.0,1341.73,decrypt,16,850.51,9668.92
2300.0,1321.75,decrypt,16,883.513,10016.2
2300.0,1345.78,decrypt,16,869.156,10047.3
2300.0,1156.62,decrypt,16,888.8,7949.73
