FR,EN,Name,TR,DC,TIM
1600.0,1746.6,sort,16,1244.88,27037.3
1600.0,3906.65,sort,16,2655.75,27032.9
1600.0,3905.02,sort,16,2650.38,27062.6
1600.0,3761.46,sort,16,2547.77,27014
1600.0,3904.97,sort,16,2546.4,27060.5
1600.0,3969.7,sort,16,2697.84,27456.1
1600.0,3896.99,sort,16,2647.12,26975.5
1600.0,3896.96,sort,16,2536.69,26980.8
1600.0,3665.84,sort,16,2495.4,26651.1
1600.0,3864.56,sort,16,2594.03,26290.1
1600.0,3467.29,sort,32,2096.07,24821.4
1600.0,3761.24,sort,32,2526.4,24857.3
1600.0,3563.45,sort,32,2248.32,25447.7
1600.0,3694.38,sort,32,2572.78,24588.3
1600.0,3416.2,sort,32,2355.82,25082.3
1600.0,3856.97,sort,32,2571.42,25643
1600.0,3394.31,sort,32,2340.84,25159.7
1600.0,3628.17,sort,32,2537.65,24651.5
1600.0,3608.4,sort,32,2435.95,25329
1600.0,3721.69,sort,32,2609.23,24788.8
2000.0,2937.32,sort,16,1836.29,21598.9
2000.0,3047.04,sort,16,2033.93,21994.6
2000.0,2959.88,sort,16,1863.53,21592.1
2000.0,2487.56,sort,16,1651.38,21821.2
2000.0,3001.89,sort,16,1998.03,21761.3
2000.0,3008.17,sort,16,1990.08,21652.5
2000.0,2982.52,sort,16,1979.48,21607.8
2000.0,2858.92,sort,16,1969.53,21631.4
2000.0,2983.64,sort,16,1915.14,21594.8
2000.0,1889.21,sort,16,1102.7,21615.4
2500.0,2750.09,sort,16,1839.28,17313.8
2500.0,2803.99,sort,16,1966.19,17349.1
2500.0,2786.56,sort,16,1810.85,17503
2500.0,2769.57,sort,16,1919.26,17309.9
2500.0,2753.21,sort,16,1932.93,17315.7
2500.0,2582.15,sort,16,1810.33,17348.6
2500.0,2729.65,sort,16,1937.52,17699.4
2500.0,2556.82,sort,16,1881.89,16749
2500.0,2760.19,sort,16,1796.31,16016.7
2500.0,2866.28,sort,16,1858.77,17287.6
2500.0,2535.13,sort,32,1851.8,14131.9
2500.0,1715.33,sort,32,1169.33,13817.4
2500.0,2576.12,sort,32,1858.35,14067.5
2500.0,2458.85,sort,32,1662.77,13883
2500.0,2032.81,sort,32,1527.78,14022.3
2500.0,2196.18,sort,32,1802.89,13957.8
2500.0,2464.71,sort,32,1792.89,14066
2500.0,2197.34,sort,32,1645.1,13922.9
2500.0,2257.86,sort,32,1641.96,14099.7
2500.0,2470.75,sort,32,1766.83,14190.2
