FR,EN,Name,TR,DC,TIM
1200.0,3030.72,sort,4,1646.17,29084.4
1200.0,2347.87,sort,4,1295.23,21714.4
1200.0,2531.94,sort,4,1396.82,23586.5
1200.0,2414.73,sort,4,1325.41,22081
1200.0,2441.63,sort,4,1398.04,21701.3
1200.0,2495.87,sort,4,1425.65,22778.9
1200.0,2981.6,sort,4,1616.3,28371
1200.0,2361.12,sort,4,1312.74,21852.2
1200.0,1974.7,sort,4,1055.53,21737.2
1200.0,2480.71,sort,4,1306.46,28941.3
1200.0,1440.23,sort,8,885.135,12529.9
1200.0,609.356,sort,8,464.118,12283.2
1200.0,255.259,sort,8,291.097,7740.42
1200.0,1238.68,sort,8,817.539,9409.49
1200.0,1140.11,sort,8,699.953,7828.27
1200.0,1116.39,sort,8,727.265,7950.39
1200.0,1127.65,sort,8,720.414,8144.53
1200.0,701.215,sort,8,606.264,7810.64
1200.0,994.357,sort,8,676.888,7698.98
1200.0,1034.6,sort,8,576.589,9418.99
1200.0,712.607,sort,16,481.515,4656.1
1200.0,49.9277,sort,16,125.681,5134.86
1200.0,724.314,sort,16,470.936,5159.76
1200.0,812.113,sort,16,568.712,4828.14
1200.0,851.569,sort,16,595.925,5055.63
1200.0,749.479,sort,16,432.73,4921.64
1200.0,797.087,sort,16,535.222,5139.31
1200.0,566.384,sort,16,421.683,5209.45
1200.0,763.698,sort,16,449.976,4931.59
1200.0,594.744,sort,16,393.307,4776.77
1200.0,528.83,sort,32,400.246,3122.08
1200.0,502.538,sort,32,253.424,3181.48
1200.0,456.278,sort,32,315.441,3451.8
1200.0,564.192,sort,32,363.109,3185.39
1200.0,567.872,sort,32,406.862,3219.29
1200.0,413.722,sort,32,315.448,3146.18
1200.0,560.864,sort,32,307.281,3223.89
1200.0,387.554,sort,32,332.539,3193.3
1200.0,692.392,sort,32,389.723,4404.01
1200.0,636.015,sort,32,390.551,4571.15
1300.0,282.019,sort,32,299.277,4518.91
1300.0,635.941,sort,32,456.945,4689.25
1300.0,593.447,sort,32,426.741,4595.68
1300.0,610.284,sort,32,308.389,4164.88
1300.0,632.813,sort,32,373.216,4355.69
1300.0,646.494,sort,32,438.879,4503.17
1300.0,630.619,sort,32,436.944,4443.1
1300.0,673.73,sort,32,421.01,4714.9
1300.0,679.275,sort,32,461.713,4856.43
1300.0,646.982,sort,32,406.64,4490.44
1400.0,669.443,sort,16,445.594,6521.52
1400.0,898.669,sort,16,607.496,6657.26
1400.0,878.132,sort,16,588.11,6166.75
1400.0,857.269,sort,16,608.01,6309.9
1400.0,964.183,sort,16,677.811,6469.02
1400.0,898.949,sort,16,472.331,6419.58
1400.0,865.752,sort,16,533.244,6610.08
1400.0,823.547,sort,16,542.611,6386.21
1400.0,906.288,sort,16,611.264,6566.38
1400.0,746.289,sort,16,521.41,6517.75
1400.0,638.536,sort,32,446.307,4297.78
1400.0,632.101,sort,32,440.974,4275.98
1400.0,489.48,sort,32,429.514,4028.99
1400.0,627.363,sort,32,439.783,4211.76
1400.0,631.044,sort,32,431.828,4263.96
1400.0,676.777,sort,32,466.742,4739.24
1400.0,420.666,sort,32,292.535,4922.34
1400.0,662.56,sort,32,445.849,4713.53
1400.0,432.443,sort,32,408.549,4630.82
1400.0,558.689,sort,32,402.454,4607.52
1600.0,5983.53,sort,1,3607.85,56605.3
1600.0,6031.82,sort,1,3646.95,56735.1
1600.0,6072,sort,1,3657.38,57208.8
1600.0,6069.28,sort,1,3550.08,56656.3
1600.0,6024.53,sort,1,3604.15,56631.6
1600.0,6003.54,sort,1,3527.69,56568.6
1600.0,5917.17,sort,1,3467.55,56565.1
1600.0,5674.51,sort,1,3283.1,56552.5
1600.0,5957.73,sort,1,3499.32,56502.3
1600.0,5715.41,sort,1,3415.15,56556.7
1600.0,3179.4,sort,2,1953.61,28298.2
1600.0,2882.19,sort,2,1778.79,28274.9
1600.0,3149.15,sort,2,1947.62,29569.3
1600.0,3167.74,sort,2,1942.02,28258.9
1600.0,3149.82,sort,2,1928.25,28247.2
1600.0,2902.25,sort,2,1796.19,28238.9
1600.0,2775.1,sort,2,1698.52,28380.6
1600.0,2654.97,sort,2,1583.58,28245.6
1600.0,3073.1,sort,2,1832.37,28274
1600.0,3077.79,sort,2,1869.97,28252.9
1600.0,2219.11,sort,4,1385.27,19195.9
1600.0,2216.44,sort,4,1387.54,19161.9
1600.0,1997.49,sort,4,1228.72,16609.1
1600.0,2044.7,sort,4,1310.44,16577.5
1600.0,1746.21,sort,4,1188.06,16667.2
1600.0,2459.22,sort,4,1496.63,21906
1600.0,1928.3,sort,4,1181.49,16700.1
1600.0,2069.57,sort,4,1300.4,17788.8
1600.0,1137.09,sort,4,701.042,16751.4
1600.0,2057.35,sort,4,1326.93,17928.7
1600.0,1263.95,sort,8,830.671,9765.65
1600.0,919.923,sort,8,625.375,10067.6
1600.0,1217,sort,8,848.931,9063.88
1600.0,1320.87,sort,8,858.68,9511.63
1600.0,1316.91,sort,8,829.293,10372.2
1600.0,1069.83,sort,8,741.608,8975.84
1600.0,1182.7,sort,8,781.027,9110.11
1600.0,1296.25,sort,8,870.056,10526.8
1600.0,1338.98,sort,8,837.523,9056.74
1600.0,936.915,sort,16,535.14,5969.26
1600.0,1303.09,sort,8,937.74,9672.66
1600.0,856.885,sort,16,553.689,6134.35
1600.0,788.229,sort,16,538.584,5705.01
1600.0,770.772,sort,16,497.514,5649.55
1600.0,788.776,sort,16,534.743,5613.84
1600.0,659.594,sort,16,495.741,5579.49
1600.0,822.086,sort,16,566.826,5565.16
1600.0,786.567,sort,16,527.786,5789.82
1600.0,767.089,sort,16,519.256,5627.08
1600.0,705.262,sort,16,521.423,5656
1600.0,466.53,sort,32,434.471,4045.2
1600.0,291.171,sort,32,208.545,4709.5
1600.0,508.016,sort,32,414.764,3578.41
1600.0,444.944,sort,32,290.085,3300.44
1600.0,884.16,sort,32,579.829,5118.01
1600.0,805.731,sort,32,590.691,4740.86
1600.0,682.535,sort,32,497.901,4117.38
1600.0,556.737,sort,32,377.109,3834.6
1600.0,597.163,sort,32,432.331,3660.44
1600.0,530.782,sort,32,411.336,3555.08
1700.0,1180.73,sort,8,870.094,9623.9
1700.0,1134.63,sort,8,802.664,8895.93
1700.0,1242.34,sort,8,807.791,8826.9
1700.0,1033.19,sort,8,698.094,8641.47
1700.0,1243.11,sort,8,829.164,9368.89
1700.0,1158.89,sort,8,777.213,8703.82
1700.0,1141.39,sort,8,696.901,8592.06
1700.0,1181.56,sort,8,876.158,9956.87
1700.0,1403.78,sort,8,985.508,9107.45
1700.0,896.262,sort,16,532.528,5426.98
1700.0,1332.09,sort,8,958.234,9566.31
1700.0,849.558,sort,16,605.888,5456.25
1700.0,754.159,sort,16,514.394,5376.68
1700.0,755.325,sort,16,420.837,5420.91
1700.0,594.011,sort,16,471.071,5222.09
1700.0,721.7,sort,16,451.691,5395.99
1700.0,721.353,sort,16,504.745,5240.14
1700.0,738.014,sort,16,507.807,5216.39
1700.0,709.712,sort,16,546.402,5361.65
1700.0,717.334,sort,16,600.672,5548
1700.0,513.849,sort,32,377.566,3292.98
1700.0,383.496,sort,32,326.83,3089.24
1700.0,800.905,sort,32,603.882,4617.25
1700.0,804.542,sort,32,589.49,4732.73
1700.0,582,sort,32,556.526,4424.17
1700.0,617.303,sort,32,453.225,3635.05
1700.0,491.137,sort,32,342.382,3662.11
1700.0,591.532,sort,32,433.033,3487.95
1700.0,577.699,sort,32,424.546,3457.39
1700.0,526.296,sort,32,388.59,3023.98
1800.0,808.693,sort,16,558.599,5150.07
1800.0,673.391,sort,16,503.007,5253.42
1800.0,661.881,sort,16,500.921,5024.93
1800.0,800.25,sort,16,560.726,5320.39
1800.0,731.702,sort,16,507.759,5055.95
1800.0,849.213,sort,16,601.433,5456.53
1800.0,721.028,sort,16,412.877,4944.12
1800.0,619.789,sort,16,435.608,5067.95
1800.0,647.714,sort,16,492.113,5279.7
1800.0,838.822,sort,16,499.79,5470.35
1800.0,522.233,sort,32,285.417,3242.75
1800.0,580.963,sort,32,277.721,3318.49
1800.0,716.173,sort,32,497.295,4557.69
1800.0,751.781,sort,32,560.053,4164.85
1800.0,410.207,sort,32,260.486,3675.34
1800.0,593.3,sort,32,434.716,3484.84
1800.0,579.533,sort,32,424.017,3421.67
1800.0,586.431,sort,32,343.444,3448.34
1800.0,321.956,sort,32,231.179,3271.74
1800.0,371.079,sort,32,295.076,2720.79
1900.0,896.247,sort,16,510.865,5094.49
1900.0,833.683,sort,16,610.067,4871.61
1900.0,767.878,sort,16,427.296,4992.65
1900.0,824.159,sort,16,597.466,4980.93
1900.0,684.305,sort,16,424.539,4844.57
1900.0,712.445,sort,16,380.269,4773.49
1900.0,662.221,sort,16,490.501,4664.68
1900.0,706.419,sort,16,500.786,4602.72
1900.0,487.806,sort,32,264.585,3086.44
1900.0,711.246,sort,16,381.157,4742.81
1900.0,606.862,sort,32,438.668,3689.42
1900.0,641.485,sort,16,431.585,4901.82
