FR,EN,Name,MEM,POW,TR,TIM
1200.0,170.97,cr_audio1.flac,411920.0,103.63,8,1.63
1200.0,171.83,cr_audio1.flac,411916.0,103.99,8,1.65
1200.0,171.06,cr_audio1.flac,416008.0,103.75,8,1.63
1200.0,175.95,cr_audio1.flac,414212.0,103.27,8,1.64
1200.0,171.82,cr_audio1.flac,412020.0,104.01,8,1.63
1200.0,172.14,cr_audio1.flac,411920.0,104.14,8,1.65
1200.0,171.23,cr_audio1.flac,411912.0,103.53,8,1.64
1200.0,171.34,cr_audio1.flac,411932.0,103.63,8,1.64
1200.0,170.74,cr_audio1.flac,411912.0,103.29,8,1.62
1200.0,171.28,cr_audio1.flac,411924.0,103.53,8,1.63
1200.0,162.67,cr_audio1.flac,414260.0,107.58,16,1.5
1200.0,161.73,cr_audio1.flac,416076.0,107.97,16,1.53
1200.0,166.0,cr_audio1.flac,411980.0,106.81,16,1.53
1200.0,160.12,cr_audio1.flac,416072.0,106.43,16,1.53
1200.0,159.5,cr_audio1.flac,411980.0,106.24,16,1.49
1200.0,170.11,cr_audio1.flac,414032.0,106.12,16,1.57
1200.0,161.95,cr_audio1.flac,416064.0,107.89,16,1.53
1200.0,162.67,cr_audio1.flac,411988.0,108.01,16,1.53
1200.0,161.08,cr_audio1.flac,414468.0,107.16,16,1.5
1200.0,166.1,cr_audio1.flac,411980.0,107.21,16,1.52
1200.0,170.43,cr_audio1.flac,411980.0,106.19,32,1.56
1200.0,161.83,cr_audio1.flac,416076.0,107.5,32,1.49
1200.0,165.04,cr_audio1.flac,411988.0,106.2,32,1.53
1200.0,167.54,cr_audio1.flac,416080.0,107.63,32,1.53
1200.0,161.11,cr_audio1.flac,414240.0,107.06,32,1.49
1200.0,167.47,cr_audio1.flac,416244.0,107.84,32,1.54
1200.0,166.49,cr_audio1.flac,414412.0,107.11,32,1.53
1200.0,159.73,cr_audio1.flac,411988.0,106.16,32,1.49
1200.0,167.5,cr_audio1.flac,416080.0,107.79,32,1.54
1200.0,163.8,cr_audio1.flac,411988.0,106.18,32,1.53
1300.0,206.08,cr_audio1.flac,415972.0,102.84,4,1.97
1300.0,201.03,cr_audio1.flac,411884.0,102.9,4,1.93
1300.0,205.1,cr_audio1.flac,416484.0,102.82,4,1.97
1300.0,200.53,cr_audio1.flac,411872.0,102.79,4,1.94
1300.0,201.1,cr_audio1.flac,411880.0,103.04,4,1.94
1300.0,200.11,cr_audio1.flac,411904.0,102.88,4,1.94
1300.0,200.53,cr_audio1.flac,413932.0,102.94,4,1.96
1300.0,206.26,cr_audio1.flac,416420.0,103.0,4,1.98
1300.0,206.24,cr_audio1.flac,411876.0,102.9,4,1.98
1300.0,206.55,cr_audio1.flac,411880.0,103.12,4,1.97
1300.0,153.44,cr_audio1.flac,414036.0,109.35,32,1.43
1300.0,159.5,cr_audio1.flac,411980.0,109.64,32,1.45
1300.0,158.9,cr_audio1.flac,416072.0,108.74,32,1.44
1300.0,156.85,cr_audio1.flac,411980.0,107.81,32,1.43
1300.0,156.79,cr_audio1.flac,416080.0,107.87,32,1.44
1300.0,164.39,cr_audio1.flac,416076.0,109.11,32,1.45
1300.0,157.03,cr_audio1.flac,414372.0,108.06,32,1.43
1300.0,157.88,cr_audio1.flac,414440.0,108.39,32,1.45
1300.0,153.11,cr_audio1.flac,411980.0,108.92,32,1.41
1300.0,159.47,cr_audio1.flac,409940.0,109.61,32,1.45
1400.0,270.09,cr_audio1.flac,414296.0,100.36,2,2.67
1400.0,271.54,cr_audio1.flac,411864.0,100.53,2,2.69
1400.0,266.27,cr_audio1.flac,411864.0,100.54,2,2.66
1400.0,266.16,cr_audio1.flac,412996.0,100.47,2,2.66
1400.0,266.61,cr_audio1.flac,411864.0,100.59,2,2.66
1400.0,271.22,cr_audio1.flac,413088.0,100.42,2,2.66
1400.0,266.06,cr_audio1.flac,411864.0,100.51,2,2.66
1400.0,271.73,cr_audio1.flac,411968.0,100.55,2,2.66
1400.0,271.4,cr_audio1.flac,412036.0,100.4,2,2.68
1400.0,271.02,cr_audio1.flac,414136.0,100.39,2,2.7
1400.0,155.78,cr_audio1.flac,411980.0,111.52,16,1.37
1400.0,150.71,cr_audio1.flac,416072.0,110.97,16,1.37
1400.0,149.7,cr_audio1.flac,414472.0,110.79,16,1.36
1400.0,149.41,cr_audio1.flac,411980.0,110.17,16,1.32
1400.0,149.45,cr_audio1.flac,411980.0,110.27,16,1.35
1400.0,154.9,cr_audio1.flac,411988.0,110.64,16,1.37
1400.0,153.39,cr_audio1.flac,411984.0,109.36,16,1.36
1400.0,144.49,cr_audio1.flac,414468.0,110.69,16,1.33
1400.0,153.53,cr_audio1.flac,411980.0,109.2,16,1.35
1400.0,149.81,cr_audio1.flac,416080.0,110.53,16,1.36
1700.0,168.33,cr_audio1.flac,411876.0,108.42,4,1.55
1700.0,168.35,cr_audio1.flac,415968.0,108.31,4,1.55
1700.0,168.33,cr_audio1.flac,411880.0,108.38,4,1.56
1700.0,174.38,cr_audio1.flac,415968.0,107.95,4,1.56
1700.0,173.64,cr_audio1.flac,411884.0,108.32,4,1.58
1700.0,172.67,cr_audio1.flac,413928.0,107.76,4,1.57
1700.0,168.65,cr_audio1.flac,411872.0,108.62,4,1.57
1700.0,172.54,cr_audio1.flac,413940.0,107.67,4,1.57
1700.0,168.22,cr_audio1.flac,416448.0,108.37,4,1.55
1700.0,172.97,cr_audio1.flac,415968.0,108.0,4,1.56
1700.0,133.59,cr_audio1.flac,411984.0,115.51,32,1.17
1700.0,139.07,cr_audio1.flac,411980.0,115.2,32,1.17
1700.0,132.62,cr_audio1.flac,411988.0,114.79,32,1.16
1700.0,138.28,cr_audio1.flac,411984.0,114.5,32,1.17
1700.0,138.57,cr_audio1.flac,414316.0,114.9,32,1.18
1700.0,133.65,cr_audio1.flac,411980.0,115.73,32,1.17
1700.0,138.25,cr_audio1.flac,411980.0,114.52,32,1.17
1700.0,139.69,cr_audio1.flac,414460.0,115.81,32,1.19
1700.0,138.33,cr_audio1.flac,411988.0,114.92,32,1.17
1700.0,138.94,cr_audio1.flac,411988.0,115.05,32,1.17
1800.0,231.59,cr_audio1.flac,411932.0,105.32,2,2.19
1800.0,226.92,cr_audio1.flac,411860.0,105.47,2,2.18
1800.0,226.69,cr_audio1.flac,414144.0,105.42,2,2.17
1800.0,226.64,cr_audio1.flac,413920.0,105.38,2,2.17
1800.0,232.15,cr_audio1.flac,414116.0,105.39,2,2.18
1800.0,226.04,cr_audio1.flac,413916.0,105.39,2,2.17
1800.0,226.68,cr_audio1.flac,411856.0,105.41,2,2.18
1800.0,226.64,cr_audio1.flac,411864.0,105.4,2,2.16
1800.0,226.88,cr_audio1.flac,416852.0,105.47,2,2.18
1800.0,232.36,cr_audio1.flac,411856.0,105.44,2,2.18
1800.0,128.61,cr_audio1.flac,414224.0,116.26,16,1.09
1800.0,131.06,cr_audio1.flac,411908.0,117.62,16,1.12
1800.0,129.61,cr_audio1.flac,411904.0,117.58,16,1.13
1800.0,134.51,cr_audio1.flac,411908.0,116.22,16,1.12
1800.0,134.67,cr_audio1.flac,416392.0,116.49,16,1.13
1800.0,134.5,cr_audio1.flac,411908.0,116.42,16,1.13
1800.0,129.87,cr_audio1.flac,411908.0,117.69,16,1.12
1800.0,130.11,cr_audio1.flac,416060.0,117.55,16,1.12
1800.0,134.59,cr_audio1.flac,416300.0,116.61,16,1.11
1800.0,135.4,cr_audio1.flac,414228.0,117.09,16,1.13
1900.0,329.78,cr_audio1.flac,407840.0,101.75,1,3.23
1900.0,325.61,cr_audio1.flac,412332.0,101.79,1,3.19
1900.0,325.73,cr_audio1.flac,407736.0,101.83,1,3.18
