FR,EN,Name,MEM,POW,TR,TIM
1200.0,2953.2,game1,1167204.0,108.72,8,27.15
1200.0,2993.74,game1,1171624.0,108.44,8,27.63
1200.0,2953.54,game1,1164572.0,108.76,8,27.14
1200.0,2959.76,game1,1169244.0,108.79,8,27.17
1200.0,2956.42,game1,1164960.0,108.86,8,27.16
1200.0,2964.89,game1,1181796.0,108.77,8,27.21
1200.0,2954.88,game1,1163232.0,108.83,8,27.16
1200.0,2955.77,game1,1154208.0,108.84,8,27.17
1200.0,2958.01,game1,1156920.0,108.72,8,27.15
1200.0,2954.72,game1,1171144.0,108.8,8,27.16
1200.0,2979.18,game1,1165560.0,109.7,32,27.16
1200.0,2984.96,game1,1176148.0,109.71,32,27.19
1200.0,2975.2,game1,1179332.0,109.56,32,27.16
1200.0,2989.4,game1,1164956.0,109.68,32,27.2
1200.0,2978.72,game1,1161664.0,109.68,32,27.17
1200.0,2981.84,game1,1162692.0,109.61,32,27.2
1200.0,2997.16,game1,1160584.0,109.76,32,27.27
1200.0,2984.08,game1,1170376.0,109.68,32,27.2
1200.0,2991.76,game1,1179616.0,109.97,32,27.17
1200.0,2983.08,game1,1177540.0,109.58,32,27.2
1300.0,4938.22,game1,1184276.0,101.61,4,48.6
1300.0,4927.5,game1,1173716.0,101.59,4,48.51
1300.0,4932.5,game1,1174740.0,101.58,4,48.53
1300.0,4927.11,game1,1166616.0,101.59,4,48.51
1300.0,4929.3,game1,1181828.0,101.63,4,48.52
1300.0,4926.78,game1,1179932.0,101.57,4,48.52
1300.0,4925.43,game1,1175672.0,101.53,4,48.52
1300.0,4928.79,game1,1185556.0,101.51,4,48.52
1300.0,5009.13,game1,1163784.0,101.29,4,49.43
1300.0,4952.69,game1,1166644.0,101.48,4,48.81
1300.0,2840.5,game1,1166772.0,113.13,32,25.08
1300.0,2841.82,game1,1179636.0,113.18,32,25.07
1300.0,2832.64,game1,1179144.0,112.59,32,25.13
1300.0,2840.64,game1,1171612.0,113.12,32,25.08
1300.0,2821.93,game1,1169132.0,112.39,32,25.08
1300.0,2822.75,game1,1156276.0,112.43,32,25.09
1300.0,2820.22,game1,1177976.0,112.32,32,25.1
1300.0,2810.1,game1,1155548.0,111.92,32,25.1
1300.0,2817.51,game1,1180744.0,112.43,32,25.09
