FR,EN,Name,MEM,POW,TR,TIM
1200.0,223.79,enwik8,463860.0,111.49,8,1.98
1200.0,219.28,enwik8,468028.0,111.84,8,1.97
1200.0,210.35,enwik8,461744.0,113.28,8,1.88
1200.0,209.7,enwik8,467792.0,113.24,8,1.83
1200.0,232.81,enwik8,467164.0,110.47,8,2.06
1200.0,227.82,enwik8,465432.0,110.92,8,2.04
1200.0,227.48,enwik8,465296.0,110.82,8,2.06
1200.0,227.96,enwik8,458308.0,110.85,8,2.07
1200.0,210.72,enwik8,470304.0,113.56,8,1.81
1200.0,224.25,enwik8,469332.0,111.47,8,1.99
1200.0,142.04,enwik8,475240.0,128.52,16,1.1
1200.0,147.8,enwik8,466144.0,127.56,16,1.15
1200.0,147.14,enwik8,456764.0,127.34,16,1.13
1200.0,153.06,enwik8,464948.0,126.19,16,1.16
1200.0,153.06,enwik8,471656.0,126.3,16,1.17
1200.0,147.71,enwik8,463964.0,127.5,16,1.15
1200.0,148.24,enwik8,470352.0,127.76,16,1.16
1200.0,142.94,enwik8,465756.0,128.75,16,1.1
1200.0,152.63,enwik8,472456.0,125.95,16,1.16
1200.0,147.59,enwik8,473936.0,127.36,16,1.16
1200.0,143.85,enwik8,468248.0,129.33,32,1.1
1200.0,147.81,enwik8,473432.0,127.44,32,1.14
1200.0,144.23,enwik8,468316.0,129.05,32,1.1
1200.0,152.88,enwik8,476324.0,126.22,32,1.16
1200.0,148.35,enwik8,474792.0,128.04,32,1.16
1200.0,148.53,enwik8,464556.0,127.57,32,1.15
1200.0,152.34,enwik8,465668.0,126.04,32,1.18
1200.0,148.06,enwik8,464160.0,127.93,32,1.15
1200.0,147.0,enwik8,471220.0,127.27,32,1.13
1200.0,147.73,enwik8,471796.0,127.31,32,1.16
1800.0,490.61,enwik8,471040.0,103.26,2,4.76
1800.0,495.1,enwik8,472152.0,103.23,2,4.75
1800.0,485.49,enwik8,454940.0,103.23,2,4.72
1800.0,489.64,enwik8,459940.0,103.03,2,4.71
1800.0,490.44,enwik8,463688.0,103.21,2,4.74
1800.0,489.86,enwik8,460592.0,103.11,2,4.73
1800.0,489.48,enwik8,460416.0,103.02,2,4.73
1800.0,490.09,enwik8,459880.0,103.14,2,4.74
1800.0,489.72,enwik8,462248.0,103.24,2,4.74
1800.0,489.43,enwik8,460248.0,102.99,2,4.75
1800.0,107.25,enwik8,473576.0,162.83,16,0.65
1800.0,107.46,enwik8,477360.0,163.31,16,0.64
1800.0,113.9,enwik8,472836.0,160.66,16,0.65
1800.0,107.9,enwik8,472028.0,164.35,16,0.65
1800.0,106.07,enwik8,465256.0,163.16,16,0.66
1800.0,106.59,enwik8,470284.0,161.91,16,0.65
1800.0,113.9,enwik8,468388.0,160.47,16,0.66
1800.0,108.22,enwik8,465764.0,164.93,16,0.64
1800.0,107.07,enwik8,468480.0,163.36,16,0.65
1800.0,108.56,enwik8,474736.0,164.45,16,0.64
2200.0,421.38,enwik8,463368.0,108.0,2,3.92
2200.0,420.28,enwik8,472232.0,107.79,2,3.9
2200.0,421.79,enwik8,463552.0,108.11,2,3.93
2200.0,425.33,enwik8,469244.0,107.63,2,3.93
2200.0,420.87,enwik8,454448.0,107.69,2,3.91
2200.0,420.47,enwik8,456664.0,107.8,2,3.9
