FR,EN,Name,MEM,POW,TR,TIM
1200.0,966.04,game1,54220.0,112.91,8,8.57
1200.0,982.6,game1,55724.0,112.74,8,8.71
1200.0,987.17,game1,54984.0,112.71,8,8.73
1200.0,972.16,game1,54292.0,112.96,8,8.62
1200.0,984.8,game1,53408.0,113.07,8,8.69
1200.0,971.38,game1,53064.0,112.84,8,8.55
1200.0,976.03,game1,53220.0,112.74,8,8.64
1200.0,982.8,game1,52536.0,113.47,8,8.64
1200.0,974.75,game1,54804.0,113.11,8,8.6
1200.0,971.46,game1,54252.0,112.85,8,8.59
1300.0,1651.32,game1,30324.0,104.49,4,15.82
1300.0,1777.43,game1,29908.0,103.03,4,17.21
1300.0,1665.69,game1,29876.0,105.31,4,15.81
1300.0,1705.12,game1,29436.0,107.88,4,15.75
1300.0,1722.26,game1,29352.0,108.3,4,15.87
1300.0,1643.24,game1,29652.0,104.29,4,15.76
1300.0,1629.9,game1,29156.0,104.11,4,15.62
1300.0,1638.48,game1,29592.0,104.11,4,15.72
1300.0,1639.98,game1,29504.0,104.75,4,15.66
1300.0,1664.93,game1,30332.0,105.02,4,15.83
1300.0,464.81,game1,189852.0,140.41,32,3.31
1300.0,464.6,game1,203956.0,140.24,32,3.33
1300.0,465.06,game1,189420.0,140.49,32,3.29
1300.0,471.9,game1,200328.0,140.18,32,3.34
1300.0,471.12,game1,195696.0,140.06,32,3.35
1300.0,476.2,game1,194700.0,139.24,32,3.37
1300.0,467.0,game1,188732.0,140.83,32,3.3
1300.0,465.1,game1,201700.0,140.47,32,3.32
1300.0,471.96,game1,186480.0,140.22,32,3.34
1300.0,471.09,game1,193828.0,140.01,32,3.34
1400.0,2827.74,game1,16608.0,100.09,2,28.25
1400.0,2817.25,game1,16816.0,99.37,2,28.37
1400.0,2829.72,game1,16692.0,99.99,2,28.29
1400.0,2841.51,game1,16792.0,100.39,2,28.26
1400.0,2830.57,game1,17260.0,100.22,2,28.25
1400.0,2795.05,game1,16780.0,99.99,2,27.94
1400.0,2783.89,game1,17284.0,99.93,2,27.87
1400.0,2819.16,game1,17364.0,99.96,2,28.18
1400.0,2864.73,game1,16880.0,99.82,2,28.73
1400.0,2831.7,game1,17412.0,100.04,2,28.31
1400.0,584.37,game1,98628.0,135.9,16,4.31
1400.0,591.32,game1,103140.0,135.57,16,4.3
1400.0,581.26,game1,99680.0,136.46,16,4.29
1400.0,568.85,game1,99700.0,139.81,16,4.04
1400.0,592.3,game1,98372.0,135.8,16,4.35
1400.0,600.07,game1,102316.0,134.54,16,4.46
1400.0,590.96,game1,102976.0,135.38,16,4.31
1400.0,570.38,game1,99732.0,138.79,16,4.09
1400.0,591.29,game1,102232.0,135.62,16,4.34
1400.0,586.51,game1,101340.0,136.1,16,4.33
1800.0,2298.98,game1,16544.0,104.98,2,21.87
1800.0,2303.8,game1,17256.0,105.71,2,21.77
1800.0,2248.56,game1,16764.0,102.44,2,21.93
1800.0,2321.58,game1,16700.0,105.03,2,22.09
1800.0,2295.28,game1,16796.0,105.81,2,21.72
1800.0,2294.14,game1,16744.0,104.99,2,21.89
1800.0,2339.26,game1,16616.0,105.87,2,22.07
1800.0,2319.36,game1,16876.0,105.91,2,21.91
1800.0,2362.82,game1,16620.0,105.72,2,22.37
1800.0,2337.96,game1,17768.0,105.79,2,22.12
1800.0,528.5,game1,99588.0,157.2,16,3.32
1800.0,519.59,game1,98200.0,157.61,16,3.28
1800.0,523.39,game1,102200.0,157.82,16,3.27
1800.0,515.09,game1,98612.0,158.16,16,3.27
1800.0,527.63,game1,100532.0,156.92,16,3.3
1800.0,522.66,game1,97724.0,157.72,16,3.27
1800.0,517.29,game1,100408.0,158.75,16,3.25
1800.0,527.97,game1,100960.0,152.69,16,3.43
1800.0,515.72,game1,99188.0,160.59,16,3.18
1800.0,523.11,game1,99324.0,157.77,16,3.27
2200.0,2061.95,game1,17408.0,115.17,2,17.89
2200.0,2042.83,game1,16776.0,115.4,2,17.73
2200.0,1951.57,game1,16756.0,109.28,2,17.86
2200.0,2046.15,game1,16548.0,115.3,2,17.71
2200.0,2030.88,game1,16568.0,114.73,2,17.68
2200.0,2068.46,game1,17456.0,115.22,2,17.92
2200.0,2020.78,game1,16572.0,114.47,2,17.68
2200.0,2082.94,game1,17408.0,115.06,2,18.08
2200.0,2032.24,game1,16852.0,114.49,2,17.72
2200.0,1930.18,game1,16632.0,108.72,2,17.75
2200.0,497.06,game1,100732.0,183.53,16,2.7
2200.0,500.9,game1,99628.0,182.43,16,2.72
2200.0,499.86,game1,98320.0,184.29,16,2.7
2200.0,494.84,game1,100236.0,186.99,16,2.67
2200.0,504.6,game1,100972.0,179.58,16,2.79
2200.0,520.06,game1,99112.0,178.63,16,2.86
2200.0,495.98,game1,100944.0,179.75,16,2.74
2200.0,493.51,game1,99436.0,189.19,16,2.59
2200.0,496.32,game1,99536.0,186.57,16,2.65
2200.0,491.39,game1,97268.0,184.75,16,2.64
2400.0,1110.62,game1,29400.0,132.13,4,8.42
2400.0,1151.16,game1,29308.0,130.02,4,8.83
2400.0,1131.39,game1,30012.0,132.0,4,8.52
2400.0,1104.58,game1,29812.0,131.43,4,8.38
2400.0,1117.47,game1,31536.0,131.6,4,8.47
2400.0,1103.79,game1,29312.0,132.13,4,8.35
2400.0,1117.68,game1,30364.0,133.08,4,8.41
2400.0,1105.07,game1,29280.0,131.49,4,8.42
2400.0,1123.85,game1,29904.0,132.13,4,8.51
2400.0,1127.11,game1,30400.0,131.75,4,8.53
2400.0,401.17,game1,192948.0,214.95,32,1.84
2400.0,406.16,game1,197772.0,212.44,32,1.9
2400.0,406.0,game1,202220.0,212.6,32,1.9
2400.0,400.59,game1,189348.0,214.4,32,1.85
2400.0,399.58,game1,204244.0,214.72,32,1.87
2400.0,406.91,game1,198080.0,212.43,32,1.87
2400.0,400.24,game1,192132.0,214.99,32,1.88
2400.0,399.26,game1,193076.0,214.52,32,1.86
2400.0,405.5,game1,204660.0,212.28,32,1.88
2400.0,397.69,game1,191656.0,213.88,32,1.88
2700.0,3294.82,game1,4908.0,108.03,1,30.51
2700.0,3216.22,game1,4908.0,108.3,1,29.7
2700.0,3188.59,game1,4912.0,107.37,1,29.66
2700.0,3261.72,game1,4912.0,107.31,1,30.42
2700.0,3176.25,game1,4912.0,107.31,1,29.6
2700.0,3207.76,game1,4912.0,107.29,1,29.91
2700.0,3181.82,game1,4912.0,107.32,1,29.64
2700.0,3193.61,game1,4912.0,107.32,1,29.72
2700.0,3186.5,game1,4980.0,107.3,1,29.7
2700.0,3180.62,game1,4908.0,107.28,1,29.63
2700.0,663.48,game1,53616.0,172.01,8,3.85
2700.0,671.41,game1,53980.0,174.01,8,3.84
2700.0,681.23,game1,53772.0,174.23,8,3.88
2700.0,661.65,game1,56060.0,171.03,8,3.84
2700.0,661.71,game1,54992.0,171.41,8,3.86
2700.0,667.05,game1,55124.0,170.65,8,3.85
2700.0,708.91,game1,52904.0,170.53,8,4.14
2700.0,667.51,game1,53468.0,173.05,8,3.83
2700.0,657.99,game1,54520.0,170.57,8,3.85
2700.0,671.25,game1,55760.0,176.33,8,3.83
2901.0,2829.72,game1,4912.0,135.65,1,20.83
2901.0,2867.42,game1,4912.0,135.59,1,21.18
2901.0,2824.78,game1,4912.0,135.16,1,20.89
2901.0,2833.33,game1,4908.0,135.25,1,20.92
2901.0,2832.25,game1,4912.0,135.2,1,20.92
2901.0,2820.93,game1,4908.0,135.0,1,20.89
2901.0,2842.94,game1,4908.0,136.04,1,20.9
2901.0,2882.32,game1,4908.0,134.71,1,21.44
2901.0,2831.61,game1,4908.0,135.18,1,20.91
2901.0,2877.11,game1,4908.0,134.78,1,21.39
2901.0,742.8,game1,53984.0,228.08,8,3.21
2901.0,765.26,game1,53352.0,231.25,8,3.26
2901.0,741.96,game1,54708.0,238.68,8,3.08
2901.0,715.58,game1,54644.0,233.9,8,3.07
2901.0,747.45,game1,53308.0,229.35,8,3.25
2901.0,746.11,game1,52456.0,229.02,8,3.24
2901.0,741.74,game1,53108.0,238.48,8,3.09
2901.0,710.26,game1,54180.0,232.27,8,3.03
2901.0,744.49,game1,53288.0,232.36,8,3.23
2901.0,715.2,game1,55916.0,233.9,8,3.03
1700.0,1358.12,game1,30016.0,113.2,4,12.02
1700.0,1358.11,game1,29460.0,112.68,4,12.02
1700.0,1334.92,game1,29036.0,112.67,4,11.86
1700.0,1358.74,game1,30008.0,113.68,4,11.95
1700.0,1369.91,game1,30276.0,113.64,4,12.04
1700.0,1363.33,game1,29692.0,113.56,4,11.97
1700.0,1358.91,game1,30132.0,112.77,4,12.01
1700.0,1357.05,game1,30012.0,113.07,4,11.95
1700.0,1376.1,game1,29720.0,113.63,4,12.08
1700.0,1367.17,game1,29536.0,113.41,4,12.02
1700.0,415.09,game1,191748.0,162.18,32,2.52
1700.0,422.45,game1,191716.0,161.52,32,2.58
1700.0,422.33,game1,199908.0,161.43,32,2.6
1700.0,421.11,game1,192352.0,161.38,32,2.6
1700.0,414.79,game1,186780.0,162.05,32,2.54
1700.0,416.78,game1,200812.0,162.4,32,2.55
1700.0,421.75,game1,194944.0,161.1,32,2.55
1700.0,416.49,game1,194404.0,162.38,32,2.55
1700.0,416.54,game1,189420.0,162.46,32,2.55
1700.0,416.05,game1,184228.0,162.08,32,2.55
1900.0,4312.19,game1,4908.0,98.98,1,43.51
1900.0,4154.71,game1,4908.0,98.45,1,42.2
1900.0,4271.54,game1,4908.0,98.42,1,43.35
1900.0,4179.25,game1,4912.0,98.34,1,42.5
1900.0,4148.51,game1,4908.0,98.43,1,42.13
1900.0,4257.71,game1,4908.0,98.42,1,43.28
1900.0,4257.67,game1,4908.0,98.44,1,43.25
1900.0,4178.6,game1,4908.0,98.32,1,42.47
1900.0,4159.48,game1,4908.0,98.46,1,42.24
1900.0,4275.43,game1,4912.0,98.74,1,43.29
1900.0,749.55,game1,55996.0,133.64,8,5.59
1900.0,739.2,game1,53936.0,134.28,8,5.51
1900.0,743.15,game1,56684.0,134.95,8,5.49
1900.0,741.48,game1,52620.0,134.66,8,5.48
1900.0,735.52,game1,54900.0,134.82,8,5.48
1900.0,740.23,game1,54428.0,134.44,8,5.48
1900.0,754.8,game1,53804.0,135.82,8,5.57
1900.0,755.49,game1,53596.0,135.95,8,5.56
1900.0,739.97,game1,54560.0,134.39,8,5.5
1900.0,759.01,game1,53332.0,132.85,8,5.67
2300.0,3683.97,game1,4908.0,104.22,1,35.33
2300.0,3618.18,game1,4912.0,103.67,1,34.88
2300.0,3590.68,game1,4912.0,102.89,1,34.87
2300.0,3655.91,game1,4912.0,102.99,1,35.49
2300.0,3646.95,game1,4908.0,103.47,1,35.22
2300.0,3638.47,game1,4912.0,103.22,1,35.23
2300.0,3725.87,game1,4908.0,103.36,1,36.05
2300.0,3715.85,game1,4908.0,103.51,1,35.87
2300.0,3703.98,game1,4908.0,103.47,1,35.78
2300.0,3658.53,game1,4912.0,103.94,1,35.17
2300.0,697.17,game1,54172.0,151.18,8,4.58
2300.0,710.9,game1,54452.0,154.61,8,4.57
2300.0,711.64,game1,56136.0,151.12,8,4.66
2300.0,700.79,game1,55996.0,153.78,8,4.56
2300.0,701.98,game1,56288.0,152.37,8,4.58
2300.0,722.15,game1,54632.0,148.84,8,4.81
2300.0,695.2,game1,54324.0,154.34,8,4.53
2300.0,697.43,game1,53356.0,151.47,8,4.57
2300.0,697.21,game1,53376.0,152.99,8,4.54
2300.0,687.0,game1,52948.0,152.41,8,4.53
