FR,EN,Name,MEM,POW,TR,TIM
1200.0,132.18,enwik8,1028.0,97.64,8,1.34
1200.0,131.78,enwik8,1028.0,97.36,8,1.34
1200.0,132.56,enwik8,1028.0,97.97,8,1.34
1200.0,132.53,enwik8,1028.0,97.94,8,1.34
1200.0,136.82,enwik8,1028.0,97.29,8,1.36
1200.0,132.01,enwik8,1028.0,97.52,8,1.34
1200.0,132.27,enwik8,1028.0,97.6,8,1.34
1200.0,132.05,enwik8,1028.0,97.62,8,1.34
1200.0,132.46,enwik8,1028.0,97.54,8,1.34
1200.0,132.59,enwik8,1028.0,97.86,8,1.34
2200.0,84.18,enwik8,1020.0,112.16,2,0.76
2200.0,84.06,enwik8,1024.0,111.96,2,0.75
2200.0,78.33,enwik8,1024.0,112.07,2,0.7
2200.0,94.68,enwik8,1020.0,110.86,2,0.83
2200.0,84.24,enwik8,1024.0,112.15,2,0.77
2200.0,89.29,enwik8,1024.0,111.44,2,0.78
2200.0,81.04,enwik8,1024.0,109.44,2,0.74
2200.0,84.51,enwik8,1024.0,112.3,2,0.76
2200.0,89.56,enwik8,1020.0,111.91,2,0.76
2200.0,89.79,enwik8,1028.0,111.4,2,0.78
2200.0,88.72,enwik8,1024.0,110.65,16,0.77
2200.0,84.11,enwik8,1024.0,112.14,16,0.75
2200.0,89.53,enwik8,1020.0,111.05,16,0.8
2200.0,83.91,enwik8,1024.0,111.8,16,0.75
2200.0,81.83,enwik8,1024.0,109.07,16,0.74
2200.0,88.89,enwik8,1024.0,110.61,16,0.77
2200.0,89.0,enwik8,1024.0,111.02,16,0.77
2200.0,84.33,enwik8,1024.0,111.94,16,0.75
2200.0,89.19,enwik8,1020.0,110.6,16,0.77
2200.0,83.62,enwik8,1024.0,111.35,16,0.76
2700.0,78.42,enwik8,1024.0,120.3,8,0.64
2700.0,76.1,enwik8,1024.0,116.8,8,0.61
2700.0,78.28,enwik8,1024.0,120.25,8,0.64
2700.0,84.82,enwik8,1024.0,120.52,8,0.66
2700.0,78.28,enwik8,1024.0,120.25,8,0.64
2700.0,78.39,enwik8,1024.0,120.45,8,0.64
2700.0,79.11,enwik8,1024.0,121.48,8,0.64
2700.0,78.32,enwik8,1024.0,120.15,8,0.64
2700.0,78.23,enwik8,1024.0,120.19,8,0.64
2700.0,82.06,enwik8,1024.0,118.38,8,0.66
1700.0,103.07,enwik8,1020.0,102.83,4,0.98
1700.0,98.08,enwik8,1024.0,102.98,4,0.98
1700.0,102.89,enwik8,1024.0,102.18,4,1.03
1700.0,103.01,enwik8,1024.0,102.87,4,0.98
1700.0,103.01,enwik8,1024.0,102.86,4,0.98
1700.0,102.8,enwik8,1024.0,102.66,4,0.98
1700.0,102.75,enwik8,1024.0,102.81,4,0.98
1700.0,103.03,enwik8,1024.0,103.12,4,0.98
1700.0,102.67,enwik8,1024.0,102.41,4,1.0
1700.0,102.8,enwik8,1020.0,102.61,4,0.98
1700.0,110.29,enwik8,1024.0,105.0,32,1.07
1700.0,107.51,enwik8,1024.0,101.89,32,1.03
1700.0,103.19,enwik8,1024.0,103.15,32,0.98
1700.0,103.0,enwik8,1024.0,102.65,32,0.98
1700.0,102.96,enwik8,1024.0,102.92,32,0.98
1700.0,102.9,enwik8,1024.0,102.86,32,0.98
1700.0,102.86,enwik8,1024.0,102.84,32,0.98
1700.0,107.84,enwik8,1024.0,102.71,32,1.03
1700.0,100.23,enwik8,1020.0,105.3,32,0.98
1700.0,102.89,enwik8,1024.0,102.78,32,0.97
2500.0,86.67,enwik8,1024.0,115.04,32,0.74
2500.0,87.28,enwik8,1024.0,115.92,32,0.7
2500.0,77.0,enwik8,1024.0,118.05,32,0.68
2500.0,82.75,enwik8,1024.0,116.94,32,0.7
2500.0,81.21,enwik8,1024.0,116.4,32,0.69
2500.0,82.15,enwik8,1024.0,117.16,32,0.69
2500.0,81.64,enwik8,1024.0,116.59,32,0.71
2500.0,82.03,enwik8,1024.0,116.8,32,0.69
2500.0,81.12,enwik8,1024.0,115.76,32,0.69
2500.0,81.05,enwik8,1024.0,115.46,32,0.69
2900.0,80.52,enwik8,1024.0,122.93,32,0.61
2900.0,79.81,enwik8,1024.0,122.55,32,0.6
2900.0,74.65,enwik8,1024.0,124.49,32,0.61
2900.0,82.44,enwik8,1024.0,126.42,32,0.61
2900.0,76.85,enwik8,1020.0,127.8,32,0.61
2900.0,74.72,enwik8,1024.0,124.36,32,0.61
2900.0,78.41,enwik8,1020.0,118.8,32,0.62
2900.0,74.85,enwik8,1024.0,124.37,32,0.61
2900.0,74.44,enwik8,1024.0,124.22,32,0.61
2900.0,75.18,enwik8,1024.0,124.61,32,0.61
