FR,EN,Name,MEM,POW,TR,TIM
1200.0,1455.18,game1,214124.0,101.04,8,8.39
1200.0,910.99,game1,213412.0,108.39,8,8.77
1200.0,933.9,game1,217684.0,106.67,8,8.84
1200.0,944.67,game1,210652.0,106.7,8,8.85
1200.0,942.95,game1,212244.0,106.46,8,8.91
1200.0,948.44,game1,211048.0,106.46,8,8.92
1200.0,953.73,game1,215444.0,106.52,8,8.93
1200.0,952.08,game1,213744.0,106.32,8,8.84
1200.0,942.79,game1,210808.0,106.43,8,8.96
1200.0,960.41,game1,210004.0,106.65,8,8.86
2200.0,2631.35,game1,48200.0,101.2,2,14.4
2200.0,1647.92,game1,48528.0,114.01,2,14.69
2200.0,1638.02,game1,48532.0,111.42,2,14.46
2200.0,1652.07,game1,49056.0,114.33,2,14.75
2200.0,1628.4,game1,48532.0,110.4,2,14.53
2200.0,1667.32,game1,48868.0,114.5,2,14.81
2200.0,1624.03,game1,48992.0,109.67,2,14.33
2200.0,1641.68,game1,48464.0,114.79,2,14.92
2200.0,1652.53,game1,48536.0,110.86,2,14.18
2200.0,1621.53,game1,48496.0,114.3,2,14.65
2200.0,720.42,game1,456996.0,125.08,16,4.55
2200.0,612.16,game1,439604.0,134.17,16,4.18
2200.0,585.07,game1,460212.0,138.87,16,4.15
2200.0,590.38,game1,463864.0,141.78,16,4.82
2200.0,661.61,game1,438564.0,137.34,16,4.52
2200.0,602.88,game1,432804.0,132.13,16,4.03
2200.0,580.38,game1,429300.0,142.84,16,4.24
2200.0,594.67,game1,426032.0,139.44,16,4.24
2200.0,596.68,game1,436384.0,139.27,16,4.52
2200.0,624.39,game1,412136.0,136.83,16,4.42
2400.0,1560.96,game1,107868.0,115.15,4,8.08
2400.0,989.58,game1,104280.0,122.01,4,6.33
2400.0,842.36,game1,109452.0,132.54,4,8.16
2400.0,996.63,game1,102956.0,122.12,4,8.15
2400.0,994.24,game1,103572.0,121.89,4,8.15
2400.0,991.92,game1,101116.0,121.59,4,8.22
2400.0,1005.81,game1,101776.0,121.78,4,8.04
2400.0,990.89,game1,101784.0,122.98,4,8.07
2400.0,984.5,game1,101116.0,122.21,4,6.96
2400.0,894.2,game1,108328.0,128.46,4,8.21
2400.0,594.9,game1,740044.0,144.67,32,3.57
2400.0,503.44,game1,723800.0,141.26,32,3.59
2400.0,510.24,game1,732028.0,141.22,32,3.6
2400.0,537.8,game1,736036.0,148.63,32,3.61
2400.0,507.5,game1,735312.0,140.33,32,3.8
2400.0,537.4,game1,730244.0,140.91,32,3.69
2400.0,516.36,game1,734164.0,139.24,32,3.71
2400.0,532.38,game1,751544.0,141.13,32,3.74
2400.0,550.8,game1,739644.0,146.48,32,3.52
2400.0,504.44,game1,725400.0,141.55,32,3.59
2700.0,752.96,game1,18728.0,150.24,1,22.34
2700.0,2393.67,game1,18692.0,107.08,1,21.46
2700.0,2331.84,game1,19612.0,108.44,1,21.04
