FR,EN,END,Name,START,REP,TR,TIM
1200.0,566.641671,1405166250.935652866,19,1405166246.709642294,2,16,4.226010572
1200.0,592.363606,1405166256.977246477,19,1405166252.412107952,3,16,4.565138525
1200.0,569.392717,1405166262.858390433,19,1405166258.495196731,4,16,4.363193702
1200.0,626.295606,1405166269.243903213,19,1405166264.339522000,5,16,4.904381213
1200.0,644.173423,1405166275.752735615,19,1405166270.727962250,6,16,5.024773365
1200.0,644.441364,1405166281.566282182,19,1405166276.466868720,7,16,5.099413462
1200.0,596.365961,1405166286.879784999,19,1405166282.280278257,8,16,4.599506742
1200.0,885.355986,1405169006.261646665,19,1405168998.553071584,2,8,7.708575081
1200.0,953.125695,1405169016.989126351,19,1405169008.734689664,3,8,8.254436687
1200.0,982.112343,1405169027.126322805,19,1405169018.495659478,4,8,8.630663327
1200.0,934.047688,1405169036.710016044,19,1405169028.592435060,5,8,8.117580984
1200.0,1007.44776,1405169047.235862614,19,1405169038.175870882,6,8,9.059991732
1200.0,1044.905134,1405169058.057999212,19,1405169048.741197463,7,8,9.316801749
1200.0,981.582518,1405169067.280328613,19,1405169058.720398640,8,8,8.559929973
1200.0,511.328977,1405171782.286251883,19,1405171778.490428282,2,32,3.795823601
1200.0,416.47014,1405171787.775159898,19,1405171784.757330440,3,32,3.017829458
1200.0,434.541105,1405171791.608425272,19,1405171788.435669439,4,32,3.172755833
1200.0,486.462873,1405171795.911335161,19,1405171792.303399854,5,32,3.607935307
1200.0,416.289953,1405171799.573022028,19,1405171796.571681860,6,32,3.001340168
1200.0,475.497629,1405171803.738660532,19,1405171800.235882990,7,32,3.502777542
1200.0,458.489927,1405171807.735617640,19,1405171804.400061441,8,32,3.335556199
1300.0,391.858943,1405195885.618309308,19,1405195882.892229186,2,32,2.726080122
1300.0,392.014575,1405195888.996998274,19,1405195886.274583474,3,32,2.722414800
1300.0,400.42131,1405195893.266603145,19,1405195890.461036042,4,32,2.805567103
1300.0,402.866228,1405195897.565671551,19,1405195894.733188167,5,32,2.832483384
1300.0,433.750948,1405195901.305026976,19,1405195898.225345628,6,32,3.079681348
1300.0,427.263512,1405195905.791729546,19,1405195902.769259483,7,32,3.022470063
1300.0,413.97037,1405195909.352836790,19,1405195906.449325400,8,32,2.903511390
1300.0,1458.934502,1405199110.314624656,19,1405199096.565864257,2,4,13.748760399
1300.0,1477.600196,1405199126.724060195,19,1405199112.787709612,3,4,13.936350583
1300.0,1476.924661,1405199142.137080938,19,1405199128.187608588,4,4,13.949472350
1300.0,1514.550165,1405199158.949492495,19,1405199144.609711874,5,4,14.339780621
1300.0,1448.657807,1405199174.062434116,19,1405199160.413091943,6,4,13.649342173
1300.0,1499.556343,1405199188.848807884,19,1405199174.723610800,7,4,14.125197084
1300.0,1503.127167,1405199204.521136126,19,1405199190.349614468,8,4,14.171521658
1400.0,512.255337,1405213542.643840050,19,1405213538.893570604,2,16,3.750269446
1400.0,544.514825,1405213549.089448533,19,1405213545.107940672,3,16,3.981507861
1400.0,536.877574,1405213554.510306582,19,1405213550.549988184,4,16,3.960318398
1400.0,605.788655,1405213561.504467225,19,1405213556.976510377,5,16,4.527956848
1400.0,583.659234,1405213567.325890810,19,1405213563.001170994,6,16,4.324719816
1400.0,534.715592,1405213572.660143462,19,1405213568.824130521,7,16,3.836012941
1400.0,528.887884,1405213578.922533830,19,1405213575.124457477,8,16,3.798076353
1400.0,524.58882,1405218383.883330014,19,1405218380.291674434,2,32,3.591655580
1400.0,516.615462,1405218388.081501351,19,1405218384.538406929,3,32,3.543094422
1400.0,544.508082,1405218394.295215952,19,1405218390.551699560,4,32,3.743516392
1400.0,550.045313,1405218400.537494748,19,1405218396.766884240,5,32,3.770610508
1400.0,451.63496,1405218406.144938068,19,1405218403.054962123,6,32,3.089975945
1400.0,439.968739,1405218411.605616161,19,1405218408.619054359,7,32,2.986561802
1400.0,597.434505,1405218416.403617756,19,1405218412.258658334,8,32,4.144959422
1400.0,2703.81648,1405225739.538978848,19,1405225712.574794276,2,2,26.964184572
1400.0,2715.887946,1405225767.123750444,19,1405225740.250763201,3,2,26.872987243
1400.0,2686.535543,1405225795.444898051,19,1405225768.586283960,4,2,26.858614091
1400.0,2670.891272,1405225823.484708084,19,1405225796.907917192,5,2,26.576790892
1400.0,2647.245745,1405225851.498729902,19,1405225824.944284098,6,2,26.554445804
1400.0,2715.636849,1405225879.790448789,19,1405225852.961842762,7,2,26.828606027
1400.0,2797.33063,1405225908.300025910,19,1405225880.447959395,8,2,27.852066515
1400.0,8694.378626,1405231840.203152750,19,1405231750.318048768,2,1,89.885103982
1400.0,8608.46755,1405231932.076982514,19,1405231842.738414656,3,1,89.338567858
1400.0,8708.167656,1405232022.788150275,19,1405231932.740903768,4,1,90.047246507
1400.0,8053.930913,1405232108.508022116,19,1405232024.258020379,5,1,84.250001737
1400.0,7864.862876,1405232193.330071354,19,1405232110.980847346,6,1,82.349224008
1400.0,7905.381481,1405232277.313352969,19,1405232194.798622067,7,1,82.514730902
1400.0,7903.631461,1405232361.548357435,19,1405232278.786113389,8,1,82.762244046
1600.0,755.580976,1405236992.730598580,19,1405236986.830443987,2,8,5.900154593
1600.0,782.1978,1405237001.289665543,19,1405236995.194339795,3,8,6.095325748
1600.0,775.320717,1405237008.821769274,19,1405237002.780000821,4,8,6.041768453
1600.0,815.694062,1405237016.742924141,19,1405237010.276533057,5,8,6.466391084
1600.0,772.636297,1405237025.289890025,19,1405237019.239592571,6,8,6.050297454
1600.0,840.598858,1405237033.582825890,19,1405237026.783733034,7,8,6.799092856
1600.0,788.051762,1405237041.244922179,19,1405237035.033781784,8,8,6.211140395
1700.0,758.131641,1405256204.459448140,19,1405256198.653226608,2,8,5.806221532
1700.0,721.787507,1405256212.445658524,19,1405256206.937515903,3,8,5.508142621
1700.0,753.858674,1405256220.785861058,19,1405256214.910382387,4,8,5.875478671
1700.0,755.965345,1405256228.059159517,19,1405256222.240096193,5,8,5.819063324
1700.0,768.012517,1405256234.777938929,19,1405256228.827419114,6,8,5.950519815
1700.0,808.351517,1405256243.352695715,19,1405256237.233919548,7,8,6.118776167
1700.0,742.449976,1405256250.466703605,19,1405256244.844025217,8,8,5.622678388
1700.0,360.658808,1405258274.792398489,19,1405258272.602141390,2,32,2.190257099
1700.0,419.400982,1405258278.827432073,19,1405258276.242687768,3,32,2.584744305
1700.0,376.388002,1405258282.596443883,19,1405258280.276301716,4,32,2.320142167
1700.0,363.154155,1405258287.251836365,19,1405258285.050986820,5,32,2.200849545
1700.0,370.965302,1405258290.973585189,19,1405258288.701181998,6,32,2.272403191
1700.0,424.587902,1405258295.043837208,19,1405258292.427043079,7,32,2.616794129
1700.0,358.537838,1405258298.646158302,19,1405258296.494371971,8,32,2.151786331
1700.0,1177.645133,1405260913.129560277,19,1405260902.889268326,2,4,10.240291951
1700.0,1279.624146,1405260925.613043280,19,1405260914.582483472,3,4,11.030559808
1700.0,1167.466741,1405260936.223330503,19,1405260926.263732482,4,4,9.959598021
1700.0,1262.05067,1405260949.649008084,19,1405260938.719516253,5,4,10.929491831
1700.0,1282.396269,1405260961.330493899,19,1405260950.297253216,6,4,11.033240683
1700.0,1257.030796,1405260973.681672155,19,1405260962.783567908,7,4,10.898104247
1700.0,1277.130302,1405260985.391781618,19,1405260974.367661213,8,4,11.024120405
1700.0,6561.033923,1405269718.120001134,19,1405269650.717703901,2,1,67.402297233
1700.0,7297.332679,1405269792.332567087,19,1405269718.774946671,3,1,73.557620416
1700.0,7207.297237,1405269867.738986337,19,1405269794.800297872,4,1,72.938688465
1700.0,6937.818241,1405269939.121955276,19,1405269868.394171470,5,1,70.727783806
1700.0,6764.836181,1405270009.593578584,19,1405269940.582181849,6,1,69.011396735
1700.0,6568.458841,1405270077.749175151,19,1405270010.248890446,7,1,67.500284705
1700.0,6564.777658,1405270145.847585948,19,1405270078.402853757,8,1,67.444732191
1800.0,491.440435,1405272401.774943940,19,1405272398.631157321,2,16,3.143786619
1800.0,458.683508,1405272405.328466234,19,1405272402.422506025,3,16,2.905960209
1800.0,495.942472,1405272410.035207612,19,1405272406.777555414,4,16,3.257652198
1800.0,485.02628,1405272413.760066498,19,1405272410.722834968,5,16,3.037231530
1800.0,505.15286,1405272417.656390607,19,1405272414.404698163,6,16,3.251692444
1800.0,493.738949,1405272421.451956576,19,1405272418.302280225,7,16,3.149676351
1800.0,437.707795,1405272425.547668412,19,1405272422.901471221,8,16,2.646197191
1800.0,2242.575659,1405282474.180377882,19,1405282453.140275221,2,2,21.040102661
1800.0,2150.182337,1405282496.946983765,19,1405282476.635743053,3,2,20.311240712
1800.0,2274.151259,1405282519.716826427,19,1405282498.400102492,4,2,21.316723935
1800.0,2276.537674,1405282541.895000401,19,1405282520.391560960,5,2,21.503439441
1800.0,2144.834308,1405282563.032441988,19,1405282542.543213823,6,2,20.489228165
1800.0,2297.852793,1405282586.196750853,19,1405282564.482282717,7,2,21.714468136
1800.0,2137.764064,1405282609.081377075,19,1405282588.656098423,8,2,20.425278652
1900.0,730.346734,1405291965.703846739,19,1405291960.417555261,2,8,5.286291478
1900.0,705.768383,1405291971.439969388,19,1405291966.356019749,3,8,5.083949639
1900.0,715.989186,1405291978.120473015,19,1405291972.927037956,4,8,5.193435059
1900.0,706.523074,1405291983.907323259,19,1405291978.764421722,5,8,5.142901537
1900.0,723.22327,1405291989.822411175,19,1405291984.550904288,6,8,5.271506887
1900.0,680.420632,1405291995.435695798,19,1405291990.471689741,7,8,4.964006057
1900.0,706.668754,1405292002.017037168,19,1405291996.885954636,8,8,5.131082532
1900.0,6073.956406,1405304378.208508619,19,1405304316.788878739,2,1,61.419629880
1900.0,6654.70015,1405304446.583279525,19,1405304380.670008096,3,1,65.913271429
1900.0,6447.900989,1405304513.538529317,19,1405304449.045425408,4,1,64.493103909
1900.0,6599.744959,1405304580.549591748,19,1405304514.994123636,5,1,65.555468112
1900.0,6286.588013,1405304645.884055772,19,1405304583.016719020,6,1,62.867336752
1900.0,6325.944431,1405304710.028022425,19,1405304646.575623993,7,1,63.452398432
1900.0,5973.388391,1405304771.141343289,19,1405304710.699644846,8,1,60.441698443
2000.0,378.53356,1405310642.354808813,19,1405310640.315484584,2,32,2.039324229
2000.0,494.98703,1405310647.532621490,19,1405310644.804675375,3,32,2.727946115
2000.0,476.019936,1405310651.569566977,19,1405310648.981376108,4,32,2.588190869
2000.0,444.463398,1405310654.617462453,19,1405310652.211267323,5,32,2.406195130
2000.0,460.299971,1405310659.610107953,19,1405310657.103683208,6,32,2.506424745
2000.0,441.255642,1405310663.486385449,19,1405310661.057289813,7,32,2.429095636
2000.0,378.920112,1405310666.966386524,19,1405310664.935251069,8,32,2.031135455
2000.0,1103.130046,1405312933.660493825,19,1405312924.735197122,2,4,8.925296703
2000.0,1173.217854,1405312944.033233966,19,1405312934.332391235,3,4,9.700842731
2000.0,1114.894546,1405312953.741581314,19,1405312944.676970981,4,4,9.064610333
2000.0,1137.164934,1405312963.602707399,19,1405312954.404790126,5,4,9.197917273
2000.0,1130.343567,1405312973.406062095,19,1405312964.264380799,6,4,9.141681296
2000.0,1164.495619,1405312984.422733779,19,1405312974.885438193,7,4,9.537295586
2000.0,1125.482447,1405312996.076208519,19,1405312986.905537323,8,4,9.170671196
2200.0,412.75157,1405322994.335527487,19,1405322992.215862571,2,16,2.119664916
2200.0,428.882981,1405322999.106131332,19,1405322996.825050990,3,16,2.281080342
2200.0,473.705452,1405323003.235020810,19,1405323000.553086387,4,16,2.681934423
2200.0,437.792057,1405323007.107847750,19,1405323004.685774573,5,16,2.422073177
2200.0,458.195557,1405323011.196055768,19,1405323008.549516374,6,16,2.646539394
2200.0,498.756128,1405323015.415304645,19,1405323012.645108124,7,16,2.770196521
2200.0,426.267345,1405323019.179266745,19,1405323016.863191208,8,16,2.316075537
2200.0,364.195641,1405326538.951254841,19,1405326537.145049424,2,32,1.806205417
2200.0,368.75623,1405326542.218587694,19,1405326540.405717443,3,32,1.812870251
2200.0,373.659774,1405326546.561356111,19,1405326544.681306812,4,32,1.880049299
2200.0,361.416552,1405326550.878426843,19,1405326549.079284894,5,32,1.799141949
2200.0,405.160788,1405326554.351446500,19,1405326552.341214717,6,32,2.010231783
2200.0,369.605146,1405326558.661370394,19,1405326556.815535134,7,32,1.845835260
2200.0,363.096175,1405326562.946079996,19,1405326561.157103584,8,32,1.788976412
2200.0,2082.114381,1405331714.608578401,19,1405331696.587296064,2,2,18.021282337
