FR,EN,Name,TR,DC,TIM
2901.0,9809.81,decrypt,1,6201.74,74337.6
2901.0,9434.56,decrypt,1,6086.36,73400.3
2901.0,9425.91,decrypt,1,6105.45,73245.6
2901.0,9406.77,decrypt,1,6134.98,73289.1
2901.0,9384.89,decrypt,1,6067.13,73108.8
2901.0,9578.68,decrypt,1,6054.89,73545.4
2901.0,9554.6,decrypt,1,6210.9,73432.3
2901.0,9582.5,decrypt,1,6208.79,73490.7
2901.0,9609.81,decrypt,1,6192.83,73764.1
2901.0,9450.84,decrypt,1,6149.88,73464.8
2901.0,3351.5,decrypt,8,2184.41,28716.8
2901.0,3315.76,decrypt,8,2074.62,26653.9
2901.0,3102.88,decrypt,8,1987.03,24278.9
2901.0,3195.29,decrypt,8,1863.59,28420.2
2901.0,2109.83,decrypt,8,1447.89,11982
2901.0,3095.1,decrypt,8,2048.51,23705.5
2901.0,3308.29,decrypt,8,2099.59,27786.7
2901.0,3494.55,decrypt,8,2215.69,28390.6
2901.0,3280.64,decrypt,8,1970.03,28654.7
2901.0,3325.15,decrypt,8,2155.13,26582.8
1200.0,3185.07,decrypt,8,1948.92,28985
1200.0,3173.94,decrypt,8,1903.46,28984.2
1200.0,3124.69,decrypt,8,1930.93,28964.1
1200.0,3108.02,decrypt,8,1913.42,28952.1
1200.0,3181.73,decrypt,8,1909,28983.2
1200.0,3204.86,decrypt,8,1895.19,28963.6
1200.0,3162.44,decrypt,8,1860.32,28963.4
1200.0,3048.69,decrypt,8,1903.14,28973.3
1200.0,3211.85,decrypt,8,1921.3,28951.7
1200.0,3117.92,decrypt,8,1889.04,28981.2
1300.0,5509.52,decrypt,4,2959.51,53432.8
1300.0,5742.39,decrypt,4,3062.69,57865.5
1300.0,5374.98,decrypt,4,2958.59,53433.1
1300.0,5746.52,decrypt,4,3107.49,57850.8
1300.0,5770.46,decrypt,4,3116.8,57838.1
1300.0,5889.63,decrypt,4,3146.67,57854.1
1300.0,5889.96,decrypt,4,3159.63,57874.4
1300.0,5750.2,decrypt,4,3124.32,57862.4
1300.0,5508.92,decrypt,4,2877.21,53423.4
1300.0,5887.48,decrypt,4,3116.29,57867.4
1300.0,1218.92,decrypt,32,699.211,9379.83
1300.0,1172.71,decrypt,32,749.113,9470.14
1300.0,1142.23,decrypt,32,723.087,9429.43
1300.0,1062.46,decrypt,32,742.059,9389.58
1300.0,1272.35,decrypt,32,775.763,9394.98
1300.0,1155.82,decrypt,32,736.643,9425.3
1300.0,1275.71,decrypt,32,699.45,9387.34
1300.0,1275.43,decrypt,32,743.43,9376.17
1300.0,1154.54,decrypt,32,742.031,9441.76
1300.0,1274.4,decrypt,32,772.808,9377.5
1400.0,9818.47,decrypt,2,4969.73,99406.8
1400.0,9932.84,decrypt,2,5009.1,99243.7
1400.0,9901.91,decrypt,2,5040.13,99290.2
1400.0,10691.6,decrypt,2,5361.81,108320
1400.0,9808.45,decrypt,2,5132.87,99224.7
1400.0,9922.38,decrypt,2,5035.18,99262.1
1400.0,9838.03,decrypt,2,5036.24,99246.2
1400.0,9773.83,decrypt,2,5008.49,99271.3
1400.0,9746.59,decrypt,2,5029.59,99220.9
1400.0,9715.42,decrypt,2,5123.13,99288.3
1400.0,1820.48,decrypt,16,1144.21,14578.5
1400.0,2009.64,decrypt,16,1216.98,15901.8
1400.0,1748.92,decrypt,16,1096.78,14587.4
1400.0,1997.12,decrypt,16,1241.12,17192.1
1400.0,2033.68,decrypt,16,1241.31,17147.1
1400.0,1771.73,decrypt,16,1145.91,14674
1400.0,1698.74,decrypt,16,1106.07,14628.3
1400.0,1706.19,decrypt,16,1152.54,14463.4
1400.0,2099.5,decrypt,16,1258.23,17124.4
1400.0,1852.28,decrypt,16,1100.54,14565.4
1700.0,4528.08,decrypt,4,2674.45,40848.9
1700.0,5643.87,decrypt,4,3216.39,56240.6
1700.0,5869.41,decrypt,4,3288.17,57584.2
1700.0,5762.17,decrypt,4,3304.17,57693.1
1700.0,6020.72,decrypt,4,3423.38,57453
1700.0,5899.58,decrypt,4,3442.23,57791.1
1700.0,5861.09,decrypt,4,3362.31,57822.7
1700.0,4517.36,decrypt,4,2726.34,40843
1700.0,5861.83,decrypt,4,3262.91,57799.8
1700.0,4550.01,decrypt,4,2760.09,40861.1
1700.0,960.414,decrypt,32,799.011,7202.25
1700.0,950.86,decrypt,32,661.975,7250.4
1700.0,989.836,decrypt,32,725.869,7203.57
1700.0,885.079,decrypt,32,694.708,7206.48
1700.0,1138.83,decrypt,32,733.131,7178.98
1700.0,1143.83,decrypt,32,628.241,7204.29
1700.0,1015.29,decrypt,32,654.416,7204.36
1700.0,1109.26,decrypt,32,678.596,7241.04
1700.0,1013.5,decrypt,32,673.974,7196.17
1700.0,964.993,decrypt,32,762.499,7229.66
1800.0,8054.63,decrypt,2,4656.77,77177.1
1800.0,8071.76,decrypt,2,4612.17,77403.7
1800.0,11321.1,decrypt,2,6203.17,115503
1800.0,8042.57,decrypt,2,4583.38,77163.2
1800.0,8208.02,decrypt,2,4587.22,77210.5
1800.0,8169.55,decrypt,2,4592.21,77237.5
1800.0,8089.07,decrypt,2,4572.52,77227.5
1800.0,8176.7,decrypt,2,4554.76,77222.3
1800.0,8160.82,decrypt,2,4543.71,77195.8
1800.0,8179.48,decrypt,2,4542.8,77219
1800.0,1791.4,decrypt,16,1180.66,14347.7
1800.0,1945.06,decrypt,16,1197.88,14481.7
1800.0,1907.43,decrypt,16,1237.94,14373.8
1800.0,1891.21,decrypt,16,1256.67,13942
1800.0,1743.09,decrypt,16,1157.04,14267.4
1800.0,1862.52,decrypt,16,1221.43,14372.9
1800.0,1724.91,decrypt,16,1198.33,14360.2
1800.0,1851.33,decrypt,16,1257.75,14294.3
1800.0,1840.03,decrypt,16,1192.68,14388.4
1800.0,1892.24,decrypt,16,1160.22,14301
1900.0,15055.5,decrypt,1,8582.23,154611
1900.0,16010.8,decrypt,1,8823.08,164588
1900.0,14300.8,decrypt,1,8147.88,146380
1900.0,14413.7,decrypt,1,7978.37,146201
1900.0,14251,decrypt,1,7879.21,146233
1900.0,14382.6,decrypt,1,7917.63,146310
1900.0,14271.9,decrypt,1,7724.73,146353
1900.0,14292.3,decrypt,1,7569.71,146403
1900.0,14387.5,decrypt,1,7571.19,146366
1900.0,14539.1,decrypt,1,7657.4,146478
1900.0,2629.25,decrypt,8,1574.64,21030.6
1900.0,3307.19,decrypt,8,1869.3,28933.1
1900.0,3293.84,decrypt,8,1908.19,28619.7
1900.0,3172.39,decrypt,8,1916.62,28483.8
1900.0,3095.93,decrypt,8,1806.11,28817.4
1900.0,3113.45,decrypt,8,1809.43,26542
1900.0,3190.66,decrypt,8,1861.68,27857.9
1900.0,3087.81,decrypt,8,1849.08,27660.1
1900.0,2398.75,decrypt,8,1445.22,18289.4
1900.0,3213.96,decrypt,8,1779.74,28804.9
2000.0,4077.36,decrypt,4,2408.9,34726.8
2000.0,6125.73,decrypt,4,3378.01,57353.7
2000.0,5903.98,decrypt,4,3271.56,56715.3
2000.0,5882.76,decrypt,4,3137.07,57664.5
2000.0,4014.88,decrypt,4,2433.05,34722.8
2000.0,4232.75,decrypt,4,2436.83,35898.2
2000.0,6031.55,decrypt,4,3265.45,57774.5
2000.0,6039.51,decrypt,4,3321.5,56711.6
2000.0,4141.83,decrypt,4,2453.41,34722.3
2000.0,5995.8,decrypt,4,3297.35,57649.8
2000.0,884.973,decrypt,32,564.294,6147.23
2000.0,962.874,decrypt,32,589.16,6126.38
2000.0,1094.63,decrypt,32,734.451,6125.56
2000.0,1009.67,decrypt,32,607.271,6148.79
2000.0,1085.54,decrypt,32,730.888,6106.09
2000.0,930.594,decrypt,32,649.158,6116.84
2000.0,888.411,decrypt,32,675.954,6185.9
2000.0,870.931,decrypt,32,684.318,6113.24
2000.0,991.128,decrypt,32,688.822,6120.22
2000.0,810.845,decrypt,32,726.732,6130.51
2200.0,7138.97,decrypt,2,4154.03,63167.3
2200.0,7278.98,decrypt,2,4071.43,63175.6
2200.0,7113.1,decrypt,2,4171.59,63182.1
2200.0,7219.26,decrypt,2,4192.69,63213.2
2200.0,10979.7,decrypt,2,5466.8,113472
2200.0,7211.17,decrypt,2,4122.17,63177.7
2200.0,7212.79,decrypt,2,4267.12,63213.3
2200.0,7272.83,decrypt,2,4096.73,63165.6
2200.0,7282.34,decrypt,2,4033.57,63204.3
2200.0,7299.88,decrypt,2,4160.02,63182.4
2200.0,1517.86,decrypt,16,1080.75,9621.39
2200.0,1901.2,decrypt,16,1210.08,13924.5
2200.0,1853.41,decrypt,16,1210,14414
2200.0,1858.99,decrypt,16,1246.13,14285.4
2200.0,1944.76,decrypt,16,1227.04,13923
2200.0,1807.33,decrypt,16,1245.61,14276.5
2200.0,1478.87,decrypt,16,958.771,8053.98
2200.0,1290.63,decrypt,16,1037.54,7981.74
2200.0,1694,decrypt,16,1081.83,10786.3
2200.0,1819.94,decrypt,16,1261.92,14466
2300.0,12366.6,decrypt,1,6458.93,120924
2300.0,12432.3,decrypt,1,6440.51,120937
2300.0,12299.2,decrypt,1,6457.58,120994
