FR,EN,Name,TR,DC,TIM
2901.0,17569.5,encrypt,1,11391.3,135122
2901.0,16273.6,encrypt,1,10345.4,123292
2901.0,17304.8,encrypt,1,10746.4,137509
2901.0,16243.5,encrypt,1,10432.5,122878
2901.0,16121.7,encrypt,1,10382.9,122200
2901.0,16074.6,encrypt,1,10412.4,123230
2901.0,16795.5,encrypt,1,11016.3,123140
2901.0,16262.9,encrypt,1,10540.8,123726
2901.0,16246.4,encrypt,1,10509.4,123471
2901.0,16175.3,encrypt,1,10614.6,122934
2901.0,4965.91,encrypt,8,3567.01,32068
2901.0,4387.36,encrypt,8,3191.83,28974.3
2901.0,6524.48,encrypt,8,4311.53,47834.6
2901.0,5539.04,encrypt,8,3278.01,47883.9
2901.0,4097.67,encrypt,8,3161.15,22573
2901.0,3675.83,encrypt,8,2825.1,20142.3
2901.0,5986.33,encrypt,8,3773.54,47031.7
2901.0,5626.98,encrypt,8,3596.13,44528.2
2901.0,5957.77,encrypt,8,3919.85,43507.3
2901.0,3572.21,encrypt,8,2569.19,20077.4
1200.0,5437.67,encrypt,8,3310.24,48220.1
1200.0,5486.11,encrypt,8,3320.61,49265.8
1200.0,5262.16,encrypt,8,3292.97,48198.2
1200.0,5233.24,encrypt,8,3255.39,48191.2
1200.0,5342.86,encrypt,8,3276.25,48505.4
1200.0,5318.44,encrypt,8,3244.34,48224.8
1200.0,5431.36,encrypt,8,3206.07,48250.2
1200.0,5382.32,encrypt,8,3239.71,48175
1200.0,5226.4,encrypt,8,3266.89,48333.9
1200.0,5991.46,encrypt,8,3556.66,53329.6
1300.0,9772.6,encrypt,4,5297.23,96344.4
1300.0,9219.25,encrypt,4,4890,88899.5
1300.0,9861.77,encrypt,4,5234.48,96292.5
1300.0,9058,encrypt,4,4983.3,88885.9
1300.0,9065.71,encrypt,4,5031.58,88931.3
1300.0,9957.45,encrypt,4,5470.13,97793.5
1300.0,9095.6,encrypt,4,5016.01,89037.7
1300.0,9252.11,encrypt,4,5026.6,88974
1300.0,9266.78,encrypt,4,4898.78,90056.4
1300.0,9245.12,encrypt,4,4927.86,88972.5
1300.0,2521.45,encrypt,32,1634.78,18946.8
1300.0,2578.99,encrypt,32,1690.34,18960.7
1300.0,2387.83,encrypt,32,1670.79,18948.8
1300.0,2646.81,encrypt,32,1785.81,20210.4
1300.0,2553.52,encrypt,32,1620.02,18938.3
1300.0,2607.64,encrypt,32,1588.34,18985
1300.0,2598.26,encrypt,32,1633.16,18946.2
1300.0,2413.72,encrypt,32,1682.33,18975.8
1300.0,2464,encrypt,32,1677.44,18958.8
1300.0,2529.63,encrypt,32,1621.79,18953.2
1400.0,16342.2,encrypt,2,8164.42,165562
1400.0,16478.6,encrypt,2,8375.11,165111
1400.0,18707.1,encrypt,2,9324.96,191046
1400.0,16377.5,encrypt,2,8370.1,165237
