FR,EN,Name,TR,DC,TIM
1300.0,2792.75,sort,4,1630.32,24809.6
1300.0,2680.09,sort,4,1611.34,24813.4
1300.0,2231.24,sort,4,1327.62,24805.4
1300.0,2789.52,sort,4,1660.2,24762.7
1300.0,2688.07,sort,4,1590.4,24750.5
1300.0,2787.4,sort,4,1600.8,24733.3
1300.0,2669.01,sort,4,1671.82,24829.9
1300.0,2716.11,sort,4,1620.72,24952.2
1300.0,2398.03,sort,4,1424.67,24845
1300.0,2833.94,sort,4,1656.48,25176.2
1300.0,678.106,sort,32,530.983,3891.33
1300.0,756.679,sort,32,568.586,3911.35
1300.0,653.141,sort,32,465.545,4018.15
1300.0,601.553,sort,32,425.307,4078.01
1300.0,701.995,sort,32,490.023,3427.83
1300.0,717.918,sort,32,472.489,4038.83
1300.0,712.489,sort,32,502.674,3829.54
1300.0,555.207,sort,32,470.972,4087.42
1300.0,635.075,sort,32,546.827,4089.83
1300.0,491.688,sort,32,408.022,3831.54
1800.0,4640.26,sort,2,2771.94,41619.9
1800.0,4662.13,sort,2,2762.59,41617.3
1800.0,4267.3,sort,2,2458.77,41602.8
1800.0,4081.43,sort,2,2430.2,41582.4
1800.0,4642.58,sort,2,2710.58,41457.7
1800.0,4506.46,sort,2,2705.73,41522.6
1800.0,4514.12,sort,2,2679.8,41478.4
1800.0,4491.07,sort,2,2761.98,41395.5
1800.0,4518.49,sort,2,2778.87,41483.4
1800.0,4506.66,sort,2,2688.24,41523
1800.0,963.085,sort,16,601.462,5786.03
1800.0,854.082,sort,16,750.571,5582.72
1800.0,1024.91,sort,16,702.605,6053.71
1800.0,1001.72,sort,16,755.297,5633.24
1800.0,530.537,sort,16,348.372,5767.7
1800.0,1009.32,sort,16,745.282,5472.19
1800.0,985.178,sort,16,683.387,5629.81
1800.0,1008.45,sort,16,609.036,5517.16
1800.0,1025.44,sort,16,741.577,5991.47
1800.0,1027.03,sort,16,546.373,5743.53
2400.0,1980.54,sort,4,1421.91,17958
2400.0,2344.85,sort,4,1516.72,18297
2400.0,1996.97,sort,4,1271.7,18030
2400.0,2452.55,sort,4,1629.09,18021.3
2400.0,2466.65,sort,4,1546.55,18148.8
2400.0,2524.18,sort,4,1660.12,18007.9
2400.0,2511.3,sort,4,1553.55,18053.9
2400.0,1539.95,sort,4,873.432,17947.6
2400.0,2530.56,sort,4,1621.69,18055
2400.0,2355.87,sort,4,1567.1,18035.7
2400.0,395.439,sort,32,333.647,3172.23
2400.0,642.316,sort,32,585.013,3110.03
2400.0,749.219,sort,32,570.402,3315.99
