FR,EN,Name,TR,DC,TIM
1200.0,1075.47,sort,8,673.939,11075.3
1200.0,882.092,sort,8,603.575,11524.9
1200.0,1147.92,sort,8,698.622,11489.5
1200.0,1158.52,sort,8,699.45,11066.7
1200.0,1145.76,sort,8,738.378,11176.1
1200.0,1153.57,sort,8,655.322,11107.7
1200.0,1078.13,sort,8,686.916,11213.8
1200.0,1089.22,sort,8,745.97,11112.4
1200.0,1205.27,sort,8,661.817,11121
1200.0,1069.73,sort,8,719.524,11061
1200.0,568.472,sort,16,342.276,9122.15
1200.0,200.261,sort,16,99.4995,8960.52
1200.0,1037.18,sort,16,534.773,9345.17
1200.0,871.38,sort,16,534.508,8407.79
1200.0,980.114,sort,16,530.332,8565.85
1200.0,1020.09,sort,16,612.928,9007.97
1200.0,918.56,sort,16,536.238,8470.1
1200.0,850.014,sort,16,525.561,9082.33
1200.0,873.726,sort,16,698.525,8435.3
1200.0,928.792,sort,16,657.162,9034.33
1300.0,1383.25,sort,4,793.554,17062.2
1300.0,1777.64,sort,4,1052.85,16787.9
1300.0,1828.81,sort,4,1045.73,16769.7
1300.0,1775.08,sort,4,1042.43,16757.5
1300.0,1780.38,sort,4,983.148,16777.1
1300.0,1628.39,sort,4,968.517,16732.9
1300.0,1812.55,sort,4,1028.03,16922.9
1300.0,1812.32,sort,4,1051.33,16806.7
1300.0,1770.63,sort,4,1076.65,16949.7
1300.0,1732.08,sort,4,997.756,16788.3
1300.0,713.058,sort,32,417.104,7264.37
1300.0,802.36,sort,32,481.262,7393.13
1300.0,322.813,sort,32,160.108,7324.67
1300.0,115.866,sort,32,41.4489,7408.93
1300.0,921.144,sort,32,589.678,7448.33
1300.0,1037.59,sort,32,660.967,7566.62
1300.0,936.385,sort,32,601.938,7375.14
1300.0,1022.8,sort,32,685.876,7314.73
1300.0,873.324,sort,32,445.804,7271.16
1300.0,987.735,sort,32,530.851,7434.15
1400.0,2979.24,sort,2,1741.53,29378.1
1400.0,2948.13,sort,2,1684.48,29376.9
1400.0,2974.78,sort,2,1703.33,29308
1400.0,2807.56,sort,2,1544.52,29321.3
1400.0,3060.46,sort,2,1686.98,29379.1
1400.0,3025.8,sort,2,1667.4,29309.5
1400.0,2632.76,sort,2,1464.69,29368.9
1400.0,3025,sort,2,1711.05,29318.7
1400.0,3044.73,sort,2,1687.91,29361.8
1400.0,3051.7,sort,2,1720.92,29360.1
1400.0,725.809,sort,16,417.151,7178.79
1400.0,850.677,sort,16,470.613,7711.77
1400.0,904.651,sort,16,621.205,7136.42
1400.0,895.488,sort,16,534.676,7105.85
1400.0,976.495,sort,16,522.46,7206.37
1400.0,729.842,sort,16,481.194,7230.15
1400.0,809.003,sort,16,665.109,7286.11
1400.0,819.622,sort,16,592.389,7775.78
1400.0,982.936,sort,16,593.427,7345.88
1400.0,973.504,sort,16,499.44,7905.25
1700.0,1581.72,sort,4,996.196,12831
1700.0,1397.81,sort,4,880.368,12873.8
1700.0,1642.68,sort,4,1057.03,12822.9
1700.0,1542.96,sort,4,936.052,12843.1
1700.0,1511.24,sort,4,954.995,12799.8
1700.0,1499.6,sort,4,961.976,12833.6
1700.0,1565.96,sort,4,1103.12,14126.3
1700.0,1481.35,sort,4,947.328,13000.4
1700.0,1630.95,sort,4,997.14,13008.3
1700.0,1760.29,sort,4,854.055,14580.3
1700.0,721.304,sort,32,369.857,5295.88
1700.0,445.988,sort,32,409.539,5477.34
1700.0,688.551,sort,32,330.993,5336.9
1700.0,715.357,sort,32,328.202,5393.02
1700.0,722.521,sort,32,393.296,5457.5
1700.0,701.127,sort,32,359.002,5327.93
1700.0,659.729,sort,32,400.156,5462.24
1700.0,690.79,sort,32,555.748,5714.11
1700.0,714.632,sort,32,477.412,5604.83
1700.0,139.59,sort,32,183.003,5608.69
1800.0,2617.2,sort,2,1579.5,22904.4
1800.0,2635.67,sort,2,1498.87,22916.1
1800.0,2421.86,sort,2,1546.7,22897.9
1800.0,1469.56,sort,2,949.149,22903
1800.0,1891.44,sort,2,1194.72,22798.2
1800.0,2631.59,sort,2,1569.24,22911.4
1800.0,2655.1,sort,2,1507.64,22979.3
1800.0,2623.5,sort,2,1532.63,22840.1
1800.0,2608.48,sort,2,1608.42,22902.5
1800.0,2617.17,sort,2,1530.57,22896.2
1800.0,402.959,sort,16,181.958,6108.41
1800.0,692.516,sort,16,482.006,6035.61
1800.0,956.645,sort,16,671.813,6110.3
1800.0,666.448,sort,16,462.318,6125.16
1800.0,961.637,sort,16,506.537,6135.4
1800.0,943.486,sort,16,482.79,6116.38
1800.0,879.598,sort,16,666.635,6035.2
1800.0,944.581,sort,16,583.69,6131.34
1800.0,960.309,sort,16,487.931,6211.34
1800.0,949.218,sort,16,667.477,6083.21
1900.0,4507.7,sort,1,2617.41,42058.9
1900.0,4502.51,sort,1,2525.95,42055.3
1900.0,4504.71,sort,1,2543.79,42056.5
1900.0,4394.54,sort,1,2536.23,42066
1900.0,4317.57,sort,1,2493.59,42050.2
1900.0,3980.84,sort,1,2405.98,42056.9
1900.0,4468.24,sort,1,2581.88,42055.5
1900.0,4478.07,sort,1,2610.5,42052.4
