FR,EN,Name,TR,DC,TIM
1200.0,944.537,sort,8,563.146,7875.73
1200.0,1186.54,sort,8,663.883,9714.88
1200.0,1015.65,sort,8,553.982,8681.09
1200.0,941.265,sort,8,561.477,7949.48
1200.0,997.856,sort,8,575.603,8589.9
1200.0,891.653,sort,8,546.87,7954.55
1200.0,842.499,sort,8,453.764,8995.96
1200.0,301.145,sort,8,58.3349,9749.43
1200.0,1153.93,sort,8,645.776,9425.69
1200.0,661.344,sort,8,437.343,7959.87
1300.0,1653.54,sort,4,912.68,15031.4
1300.0,1442.18,sort,4,869.739,14230.8
1300.0,1577.9,sort,4,1105.02,17222.1
1300.0,760.546,sort,4,376.527,17829.4
1300.0,1798.26,sort,4,1012.55,16369.4
1300.0,1584.98,sort,4,907.175,14703.6
1300.0,1148.05,sort,4,656.713,13578.3
1300.0,1667.11,sort,4,904.532,15252.5
1300.0,1536.17,sort,4,957.262,15709.1
1300.0,1736.01,sort,4,1004.57,15290.4
1400.0,2252.82,sort,2,1302.85,21189.4
1400.0,2179.37,sort,2,1323.16,21201.9
1400.0,2208.16,sort,2,1219.35,21188.4
1400.0,2170.13,sort,2,1340.72,21589.9
1400.0,2256.55,sort,2,1339.97,21182
1400.0,2087.14,sort,2,1154.94,21201.2
1400.0,2204,sort,2,1272.47,21188.6
1400.0,2145.92,sort,2,1276.15,21252.5
1400.0,2245.43,sort,2,1290.22,21185.5
1400.0,2249.89,sort,2,1346.27,21196
1400.0,453.28,sort,16,365.422,4168.26
1400.0,442.26,sort,16,375.003,4329.32
1400.0,460.681,sort,16,298.847,4290.89
1400.0,552.731,sort,16,308.757,4317.24
1400.0,550.798,sort,16,363.983,4256.8
1400.0,479.774,sort,16,327.83,4280.28
1400.0,360.383,sort,16,250.027,4463.2
1400.0,596.734,sort,16,298.02,4239.36
1400.0,585.371,sort,16,333.888,4189.97
1400.0,623.798,sort,16,371.958,4265.42
1700.0,1275.58,sort,4,813.063,10416.1
1700.0,1139.22,sort,4,837.779,10464.9
1700.0,1625.74,sort,4,1008.42,13961.2
1700.0,1246.22,sort,4,868.399,13462.5
1700.0,1491.68,sort,4,882.399,14265.4
