RT,FR,EN,Name,MEM,SIZ,TR,TIM,RAT,POW
0.2732849972113776,1600.0,2776.19,enwik9,872244.0,204006870.0,16,17.93,4.9,154.51
0.15786082474226806,1600.0,4018.34,enwik9,793576.0,204006870.0,16,31.04,4.9,129.37
0.1144477811144478,1600.0,3914.23,enwik9,797932.0,204006870.0,16,29.97,3.43,130.39
0.11338842975206612,1600.0,3932.59,enwik9,793660.0,204006870.0,16,30.25,3.43,129.96
0.04400821144470105,1600.0,8424.49,enwik9,752916.0,204006870.0,16,77.94,3.43,108.08
0.11338842975206612,1600.0,3930.12,enwik9,793052.0,204006870.0,16,30.25,3.43,129.89
0.188565145684442,1600.0,2801.44,enwik9,901460.0,204006870.0,16,18.19,3.43,153.76
0.046332567877887344,1600.0,8096.23,enwik9,748652.0,204006870.0,16,74.03,3.43,109.35
0.11135857461024498,1600.0,2773.8,enwik9,870948.0,204006870.0,16,17.96,2.0,154.41
0.10482180293501049,1600.0,2879.01,enwik9,885368.0,204006870.0,16,19.08,2.0,151.0
0.10781671159029649,1600.0,2829.86,enwik9,879788.0,204006870.0,32,18.55,2.0,152.37
0.02432794063982484,1600.0,8887.35,enwik9,752972.0,204006870.0,32,82.21,2.0,108.05
0.08403361344537814,1600.0,3332.13,enwik9,863260.0,204006870.0,32,23.8,2.0,139.64
0.01903855306996668,1600.0,10959.78,enwik9,745924.0,204006870.0,32,105.05,2.0,104.34
0.010452364633310486,1600.0,6654.55,enwik9,736868.0,204006870.0,32,58.36,0.61,114.05
0.008640226628895185,1600.0,7718.06,enwik9,745908.0,204006870.0,32,70.6,0.61,109.31
0.025979557069846677,1600.0,3293.36,enwik9,829260.0,204006870.0,32,23.48,0.61,140.33
0.03155716502845318,1600.0,2913.55,enwik9,888452.0,204006870.0,32,19.33,0.61,150.46
0.025891341256366725,1600.0,3296.61,enwik9,840556.0,204006870.0,32,23.56,0.61,139.88
0.007417315175097277,1600.0,8889.51,enwik9,746036.0,204006870.0,32,82.24,0.61,108.08
0.0650816841546022,2400.0,9019.25,enwik9,740560.0,204006870.0,16,75.29,4.9,119.76
0.10326659641728135,2400.0,6099.3,enwik9,741536.0,204006870.0,16,47.45,4.9,128.53
0.04846686449060337,2400.0,8458.45,enwik9,746164.0,204006870.0,16,70.77,3.43,119.55
0.048480565371024735,2400.0,8475.57,enwik9,749388.0,204006870.0,16,70.75,3.43,119.8
0.23753462603878117,2400.0,2793.64,enwik9,854240.0,204006870.0,16,14.44,3.43,193.04
0.08500619578686493,2400.0,5477.52,enwik9,748596.0,204006870.0,16,40.35,3.43,135.7
