FR,EN,Name,MEM,POW,TR,TIM
1200.0,645.97,app4,900.0,94.28,1,6.87
1200.0,674.56,app4,900.0,93.68,1,7.18
1200.0,669.3,app4,896.0,93.65,1,7.15
1200.0,665.35,app4,896.0,93.69,1,7.14
1200.0,596.02,app4,900.0,94.59,1,6.3
1200.0,676.5,app4,896.0,93.87,1,7.17
1200.0,669.92,app4,896.0,93.69,1,7.12
1200.0,677.47,app4,900.0,94.04,1,7.16
1200.0,665.04,app4,900.0,93.64,1,7.12
1200.0,671.08,app4,900.0,93.65,1,7.12
1200.0,542.11,app4,1024.0,98.52,32,5.5
1200.0,541.98,app4,1028.0,98.44,32,5.53
1200.0,543.04,app4,1028.0,98.7,32,5.5
1200.0,459.29,app4,1028.0,98.66,32,4.67
1200.0,547.96,app4,1028.0,98.66,32,5.52
1200.0,545.87,app4,1028.0,98.26,32,5.54
1200.0,546.86,app4,1028.0,98.48,32,5.5
1200.0,519.27,app4,1028.0,97.91,32,5.29
1200.0,548.05,app4,1028.0,98.69,32,5.56
1200.0,539.48,app4,1028.0,98.0,32,5.49
1600.0,546.95,app4,896.0,96.78,1,5.64
1600.0,537.93,app4,896.0,96.07,1,5.6
1600.0,538.43,app4,892.0,95.89,1,5.61
1600.0,541.78,app4,896.0,95.82,1,5.67
1600.0,507.98,app4,896.0,96.77,1,5.22
1600.0,536.77,app4,896.0,96.66,1,5.56
1600.0,538.67,app4,896.0,96.16,1,5.57
1600.0,539.9,app4,896.0,96.54,1,5.58
1600.0,542.68,app4,896.0,96.9,1,5.6
1600.0,541.25,app4,892.0,96.66,1,5.57
1600.0,455.78,app4,1024.0,102.3,8,4.41
1600.0,443.0,app4,1024.0,101.77,8,4.36
1600.0,469.43,app4,1024.0,100.87,8,4.64
1600.0,456.54,app4,1024.0,103.79,8,4.38
1600.0,453.81,app4,1024.0,101.92,8,4.39
1600.0,460.2,app4,1024.0,103.36,8,4.39
1600.0,445.17,app4,1024.0,102.31,8,4.36
1600.0,457.16,app4,1024.0,102.67,8,4.44
1600.0,447.08,app4,1020.0,102.78,8,4.37
1600.0,452.37,app4,1024.0,102.77,8,4.39
1600.0,447.39,app4,1024.0,102.8,16,4.38
1600.0,447.82,app4,1024.0,102.92,16,4.36
1600.0,436.29,app4,1024.0,101.45,16,4.3
1600.0,445.2,app4,1024.0,102.21,16,4.38
1600.0,462.01,app4,1024.0,101.44,16,4.35
1600.0,455.99,app4,1024.0,103.59,16,4.42
1600.0,452.86,app4,1024.0,102.85,16,4.41
1600.0,456.88,app4,1024.0,102.64,16,4.44
1600.0,450.78,app4,1024.0,103.59,16,4.38
1600.0,440.46,app4,1024.0,103.61,16,4.25
1600.0,450.06,app4,1020.0,102.24,32,4.39
1600.0,471.65,app4,1024.0,102.48,32,4.58
1600.0,448.99,app4,1020.0,101.98,32,4.39
1600.0,453.53,app4,1024.0,103.04,32,4.43
1600.0,456.12,app4,1024.0,102.47,32,4.41
1600.0,451.95,app4,1024.0,101.6,32,4.46
1600.0,427.51,app4,1024.0,99.36,32,4.31
1600.0,442.89,app4,1024.0,101.73,32,4.35
1600.0,446.17,app4,1024.0,102.51,32,4.36
1600.0,468.42,app4,1024.0,101.72,32,4.35
1800.0,424.54,app4,1024.0,104.76,16,4.01
1800.0,417.8,app4,1024.0,104.41,16,4.0
1800.0,423.33,app4,1020.0,104.47,16,4.03
1800.0,417.84,app4,1024.0,103.09,16,4.01
1800.0,420.55,app4,1020.0,103.72,16,4.02
1800.0,418.15,app4,1024.0,104.5,16,4.02
1800.0,428.62,app4,1024.0,104.48,16,4.06
1800.0,427.55,app4,1024.0,105.48,16,4.05
1800.0,418.14,app4,1024.0,103.17,16,4.01
1800.0,433.65,app4,1024.0,108.35,16,3.99
1800.0,421.49,app4,1024.0,103.95,32,4.03
1800.0,421.09,app4,1024.0,103.88,32,4.02
1800.0,422.93,app4,1024.0,104.47,32,4.05
1800.0,418.16,app4,1024.0,103.18,32,4.0
1800.0,425.95,app4,1024.0,104.94,32,4.04
1800.0,418.06,app4,1024.0,104.66,32,4.0
1800.0,436.4,app4,1024.0,101.46,32,4.3
1800.0,421.13,app4,1024.0,104.9,32,4.0
1800.0,420.27,app4,1024.0,105.01,32,4.03
1800.0,409.29,app4,1024.0,103.54,32,3.95
2200.0,387.63,app4,1024.0,110.67,16,3.48
2200.0,374.1,app4,1024.0,107.92,16,3.44
2200.0,373.1,app4,1024.0,107.93,16,3.45
2200.0,387.4,app4,1024.0,110.62,16,3.49
2200.0,372.16,app4,1024.0,107.82,16,3.44
2200.0,375.24,app4,1020.0,108.67,16,3.47
2200.0,376.93,app4,1024.0,109.18,16,3.48
2200.0,372.36,app4,1024.0,107.77,16,3.47
2200.0,384.27,app4,1020.0,111.25,16,3.44
2200.0,379.65,app4,1024.0,108.41,16,3.51
2200.0,376.08,app4,1024.0,108.83,32,3.44
2200.0,384.76,app4,1024.0,110.22,32,3.46
2200.0,393.58,app4,1020.0,110.8,32,3.55
2200.0,373.87,app4,1024.0,108.24,32,3.41
2200.0,380.26,app4,1024.0,108.48,32,3.48
2200.0,386.81,app4,1024.0,110.41,32,3.52
2200.0,375.31,app4,1024.0,107.04,32,3.47
2200.0,372.55,app4,1024.0,112.85,32,3.33
2200.0,389.15,app4,1024.0,109.56,32,3.58
2200.0,374.56,app4,1024.0,108.47,32,3.44
2400.0,413.75,app4,896.0,102.39,1,4.01
2400.0,410.55,app4,896.0,102.61,1,3.99
2400.0,417.33,app4,892.0,104.3,1,4.03
2400.0,416.86,app4,896.0,104.13,1,4.02
2400.0,409.89,app4,896.0,102.43,1,4.01
2400.0,360.78,app4,896.0,104.53,1,3.47
2400.0,413.53,app4,896.0,102.09,1,4.03
2400.0,413.64,app4,896.0,102.03,1,4.02
2400.0,409.25,app4,896.0,102.3,1,4.0
2400.0,409.29,app4,896.0,102.29,1,4.0
2400.0,385.97,app4,1024.0,113.44,8,3.36
2400.0,363.88,app4,1024.0,110.09,8,3.31
2400.0,360.47,app4,1024.0,110.67,8,3.22
2400.0,364.07,app4,1020.0,110.08,8,3.3
2400.0,324.64,app4,1020.0,115.88,8,2.79
2400.0,360.74,app4,1024.0,110.8,8,3.22
2400.0,376.56,app4,1024.0,114.0,8,3.29
2400.0,355.04,app4,1020.0,111.05,8,3.21
2400.0,366.11,app4,1028.0,110.3,8,3.29
2400.0,361.48,app4,1024.0,110.89,8,3.24
2400.0,375.79,app4,1024.0,113.78,16,3.3
2400.0,329.85,app4,1020.0,112.98,16,2.93
2400.0,359.58,app4,1020.0,110.41,16,3.27
2400.0,366.48,app4,1024.0,110.81,16,3.31
2400.0,374.29,app4,1024.0,113.7,16,3.32
2400.0,368.78,app4,1024.0,111.55,16,3.31
2400.0,369.81,app4,1024.0,117.23,16,3.15
2400.0,377.33,app4,1024.0,112.58,16,3.32
2400.0,374.48,app4,1024.0,113.31,16,3.3
2400.0,378.86,app4,1020.0,112.98,16,3.31
2400.0,366.22,app4,1020.0,110.81,32,3.33
2400.0,375.45,app4,1024.0,113.65,32,3.32
2400.0,341.01,app4,1020.0,106.38,32,3.18
2400.0,368.28,app4,1024.0,109.84,32,3.37
2400.0,375.87,app4,1024.0,113.79,32,3.29
