FR,EN,Name,MEM,POW,TR,TIM
1600.0,1030.11,enwik9,540092.0,113.11,16,6.71
1600.0,795.26,enwik9,461796.0,118.55,16,7.16
1600.0,838.46,enwik9,490068.0,117.13,16,7.08
1600.0,829.7,enwik9,511036.0,116.72,16,7.76
1600.0,888.03,enwik9,490632.0,114.48,16,7.25
1600.0,853.06,enwik9,494564.0,117.56,16,6.75
1600.0,826.06,enwik9,537968.0,117.73,16,7.02
1600.0,825.15,enwik9,520476.0,116.87,16,7.07
1600.0,825.14,enwik9,518372.0,116.72,16,7.27
1600.0,873.9,enwik9,445652.0,119.47,16,6.94
1600.0,817.37,enwik9,1029176.0,117.43,32,6.73
1600.0,798.96,enwik9,1023256.0,118.22,32,6.96
1600.0,813.0,enwik9,1030976.0,116.79,32,6.11
1600.0,758.13,enwik9,1014072.0,123.93,32,6.82
1600.0,798.31,enwik9,1039028.0,117.25,32,7.13
1600.0,851.96,enwik9,1044056.0,119.0,32,6.94
1600.0,830.54,enwik9,1041200.0,119.68,32,6.88
1600.0,808.63,enwik9,1055276.0,117.07,32,7.08
1600.0,828.54,enwik9,1041316.0,116.58,32,6.81
1600.0,803.62,enwik9,956392.0,118.03,32,6.52
2400.0,743.67,enwik9,491672.0,146.85,16,5.73
2400.0,793.83,enwik9,537260.0,137.85,16,6.13
2400.0,854.28,enwik9,496700.0,138.67,16,5.58
2400.0,809.5,enwik9,445128.0,145.52,16,5.61
2400.0,798.01,enwik9,522916.0,142.2,16,6.12
2400.0,886.05,enwik9,583140.0,143.75,16,5.75
2400.0,814.88,enwik9,516044.0,141.44,16,5.72
2400.0,770.67,enwik9,485388.0,133.77,16,5.92
2400.0,790.63,enwik9,507056.0,132.66,16,5.64
2400.0,769.27,enwik9,516612.0,135.86,16,5.94
2800.0,914.57,enwik9,530748.0,136.27,16,4.63
2800.0,768.92,enwik9,581440.0,164.64,16,5.68
2800.0,876.69,enwik9,459388.0,153.64,16,5.42
2800.0,776.2,enwik9,488748.0,142.08,16,5.52
2800.0,809.56,enwik9,498544.0,141.63,16,5.49
2800.0,801.19,enwik9,536780.0,145.29,16,5.46
2800.0,833.29,enwik9,476756.0,152.53,16,5.37
2800.0,857.25,enwik9,546688.0,160.1,16,5.78
2800.0,881.47,enwik9,568604.0,152.84,16,5.77
2800.0,815.99,enwik9,531420.0,141.62,16,5.72
2800.0,849.65,enwik9,871880.0,147.43,32,4.99
2800.0,800.84,enwik9,821376.0,159.75,32,5.14
2800.0,732.48,enwik9,802340.0,141.91,32,4.97
2800.0,719.0,enwik9,818280.0,143.5,32,5.05
2800.0,799.01,enwik9,844920.0,151.82,32,4.99
2800.0,772.73,enwik9,867908.0,154.07,32,4.98
2800.0,747.68,enwik9,836852.0,149.29,32,4.9
2800.0,809.96,enwik9,845388.0,164.73,32,5.07
2800.0,783.06,enwik9,824512.0,154.66,32,5.02
2800.0,783.27,enwik9,842588.0,156.31,32,4.85
