FR,EN,END,Name,START,REP,TR,TIM
1600.0,115.513777,1405233163.455131330,02,1405233162.545728520,2,16,.909402810
1600.0,119.794184,1405233165.842778510,02,1405233164.909351923,3,16,.933426587
1600.0,138.191428,1405233167.592113801,02,1405233166.493474130,4,16,1.098639671
1600.0,131.241122,1405233169.281946059,02,1405233168.244879671,5,16,1.037066388
1600.0,124.654436,1405233171.756317849,02,1405233170.735811805,6,16,1.020506044
1600.0,119.558834,1405233173.319551508,02,1405233172.408201735,7,16,.911349773
1600.0,118.394206,1405233175.758150080,02,1405233174.772514381,8,16,.985635699
1600.0,167.35039,1405237338.437931818,02,1405237336.984165620,2,32,1.453766198
1600.0,158.159023,1405237342.278481649,02,1405237340.901093841,3,32,1.377387808
1600.0,161.493709,1405237346.136855562,02,1405237344.736915373,4,32,1.399940189
1600.0,169.033629,1405237350.071205471,02,1405237348.595620747,5,32,1.475584724
1600.0,183.512247,1405237352.337678023,02,1405237350.757684031,6,32,1.579993992
1600.0,176.298085,1405237356.380620105,02,1405237354.834008627,7,32,1.546611478
1600.0,192.603589,1405237360.430081584,02,1405237358.838559386,8,32,1.591522198
2000.0,93.864866,1405305409.094831528,02,1405305408.453298135,2,16,.641533393
2000.0,93.775153,1405305411.197548712,02,1405305410.553098590,3,16,.644450122
2000.0,95.119102,1405305413.320706258,02,1405305412.652724948,4,16,.667981310
2000.0,93.67778,1405305415.392918468,02,1405305414.770493776,5,16,.622424692
2000.0,97.7736,1405305417.580389979,02,1405305416.881679299,6,16,.698710680
2000.0,108.144678,1405305419.760911468,02,1405305419.026188177,7,16,.734723291
2000.0,92.56117,1405305421.005239387,02,1405305420.406679828,8,16,.598559559
2500.0,87.023812,1405365688.838194975,02,1405365688.330985354,2,16,.507209621
2500.0,93.38773,1405365690.890919733,02,1405365690.278705579,3,16,.612214154
2500.0,90.48189,1405365692.885894668,02,1405365692.332430896,4,16,.553463772
2500.0,93.99533,1405365695.001820798,02,1405365694.365537307,5,16,.636283491
2500.0,91.07734,1405365697.085235580,02,1405365696.479797114,6,16,.605438466
2500.0,88.96161,1405365699.101169923,02,1405365698.529286163,7,16,.571883760
2500.0,95.770854,1405365701.099971613,02,1405365700.541367011,8,16,.558604602
2500.0,130.689086,1405368833.539546954,02,1405368832.629031139,2,32,.910515815
2500.0,143.82354,1405368835.928696536,02,1405368834.983905154,3,32,.944791382
2500.0,130.241819,1405368837.485222460,02,1405368836.563753582,4,32,.921468878
2500.0,126.368984,1405368839.817945659,02,1405368838.927134797,5,32,.890810862
2500.0,134.067642,1405368841.396505028,02,1405368840.453446987,6,32,.943058041
2500.0,126.562338,1405368843.724057045,02,1405368842.838100076,7,32,.885956969
2500.0,132.205963,1405368845.309055352,02,1405368844.361258381,8,32,.947796971
2800.0,138.47978,1405395585.612797593,02,1405395584.750091565,2,32,.862706028
2800.0,136.21086,1405395587.078848292,02,1405395586.247127741,3,32,.831720551
2800.0,130.79763,1405395589.363369047,02,1405395588.522186640,4,32,.841182407
2800.0,136.48395,1405395591.662507067,02,1405395590.801309098,5,32,.861197969
2800.0,131.93766,1405395593.122008295,02,1405395592.296298937,6,32,.825709358
2800.0,123.57542,1405395595.345254847,02,1405395594.561663232,7,32,.783591615
2800.0,135.444348,1405395597.696474482,02,1405395596.820249509,8,32,.876224973
2901.0,138.91539,1405420741.566499834,02,1405420740.867862619,2,32,.698637215
2901.0,153.42335,1405420743.748491884,02,1405420743.052397816,3,32,.696094068
2901.0,129.3735,1405420745.089371207,02,1405420744.427975715,4,32,.661395492
2901.0,143.62416,1405420747.222223192,02,1405420746.549159379,5,32,.673063813
2901.0,150.71877,1405420749.433092591,02,1405420748.667170815,6,32,.765921776
2901.0,147.52575,1405420751.577098845,02,1405420750.875756708,7,32,.701342137
2901.0,133.129898,1405420752.892324929,02,1405420752.211351745,8,32,.680973184
1600.0,139.849083,1405233161.851252723,02,1405233160.789119652,1,16,1.062133071
2800.0,168.300359,1405395584.115874419,02,1405395583.028227425,1,32,1.087646994
2901.0,180.624048,1405420739.380281138,02,1405420738.469487167,1,32,.910793971
1600.0,208.553654,1405237334.524721521,02,1405237332.726718538,1,32,1.798002983
2000.0,113.13714,1405305407.804225712,02,1405305406.938114913,1,16,.866110799
2500.0,180.656199,1405368831.921445130,02,1405368830.678916608,1,32,1.242528522
2500.0,97.59538,1405365687.691998938,02,1405365687.071302241,1,16,.620696697
