FR,EN,Name,TR,DC,TIM
1600.0,1129.79,encrypt,16,785.888,7551.4
1600.0,1567.04,encrypt,16,985.119,12307.5
1600.0,844.308,encrypt,16,599.396,7662.78
1600.0,1151.7,encrypt,16,619.665,7785.23
1600.0,984.421,encrypt,16,682.797,7486.74
1600.0,1295.09,encrypt,16,795.288,9355.68
1600.0,1408.88,encrypt,16,899.339,10935.1
1600.0,1124.72,encrypt,16,660.086,7479.44
1600.0,1412.84,encrypt,16,948.572,10943.3
1600.0,1607.95,encrypt,16,1000.28,12485.8
1600.0,994.196,encrypt,32,471.893,6317.75
1600.0,754.661,encrypt,32,534.782,6309.3
1600.0,1097.61,encrypt,32,777.805,6918.75
1600.0,1000.46,encrypt,32,548.029,6302.49
1600.0,998.853,encrypt,32,656.618,6300.97
1600.0,999.499,encrypt,32,713.051,6313.23
1600.0,1001.07,encrypt,32,712.084,6324.55
1600.0,869.963,encrypt,32,613.467,6301.69
1600.0,1004.59,encrypt,32,553.901,6308.23
1600.0,999.981,encrypt,32,711.997,6310.35
2000.0,1147.47,encrypt,16,864.603,8574.14
2000.0,1087.21,encrypt,16,741.594,6404.44
2000.0,1161.05,encrypt,16,799.631,7908.95
2000.0,804.941,encrypt,16,758.411,5991.34
2000.0,1085.22,encrypt,16,784.653,6350.78
2000.0,1161.73,encrypt,16,776.349,6592.47
2000.0,1069.76,encrypt,16,773.06,7534.69
2000.0,1067.5,encrypt,16,715.741,6271.63
2000.0,1064.37,encrypt,16,699.146,6047.51
2000.0,1053.5,encrypt,16,775.326,6017.6
2500.0,1309.56,encrypt,16,951.898,7363.79
2500.0,1071.18,encrypt,16,779.476,5055.52
2500.0,1362.44,encrypt,16,978.468,8040.88
2500.0,1017.23,encrypt,16,523.1,5228.34
2500.0,1051.7,encrypt,16,815.671,4837.12
2500.0,1379.03,encrypt,16,856.561,8000.93
2500.0,857.801,encrypt,16,766.871,5733.69
2500.0,1078.74,encrypt,16,736.219,5428.47
2500.0,1209.29,encrypt,16,903.847,6375.92
2500.0,948.634,encrypt,32,582.022,4044.66
2500.0,939.893,encrypt,32,498.989,4047.25
2500.0,543.677,encrypt,32,593.078,4055.09
2500.0,881.126,encrypt,32,693.345,4292.74
2500.0,957.196,encrypt,32,756.962,4051.12
2500.0,1020.72,encrypt,32,814.437,4350.48
2500.0,951.778,encrypt,32,499.717,4050.76
2500.0,947.601,encrypt,32,680.077,4047.79
2500.0,791.14,encrypt,32,546.478,4081.92
2500.0,1004.59,encrypt,32,412.83,4301.5
2800.0,985.873,encrypt,32,617.918,3642.9
2800.0,989.163,encrypt,32,794.3,3636.77
2800.0,861.319,encrypt,32,690.145,3620.27
2800.0,985.175,encrypt,32,675.008,3632.1
2800.0,970.808,encrypt,32,393.452,3620.8
2800.0,773.203,encrypt,32,523.404,3631.26
2800.0,981.351,encrypt,32,355.52,3617.92
2800.0,985.223,encrypt,32,514.984,3631.82
2800.0,899.26,encrypt,32,673.192,3621.1
2800.0,889.744,encrypt,32,472.304,3907.85
2500.0,1143.76,encrypt,16,721.581,5276.64
