FR,EN,Name,TR,DC,TIM
1600.0,845.74,encrypt,16,538.612,7786.58
1600.0,901.315,encrypt,16,537.186,7731.31
1600.0,984.289,encrypt,16,546.572,7813.44
1600.0,815.454,encrypt,16,536.537,7781.55
1600.0,874.293,encrypt,16,491.677,7719.09
1600.0,900.851,encrypt,16,594.898,7700.56
1600.0,983.846,encrypt,16,584.002,7759.44
1600.0,978.057,encrypt,16,539.885,7703.14
1600.0,986.676,encrypt,16,553.159,7717.07
1600.0,681.332,encrypt,32,358.642,4659.34
1600.0,621.764,encrypt,32,527.589,6009.5
1600.0,639.054,encrypt,32,304.861,4739.21
1600.0,888.853,encrypt,32,571.575,6760.64
1600.0,790.55,encrypt,32,548.92,7254.71
1600.0,647.966,encrypt,32,345.993,4234.19
1600.0,818.108,encrypt,32,450.079,5976.98
1600.0,654.968,encrypt,32,492.614,5911.79
1600.0,838.306,encrypt,32,538.18,6874.04
1900.0,577.48,encrypt,32,283.633,3914.37
1900.0,559.398,encrypt,32,262.21,4121.95
1900.0,676.687,encrypt,32,403.556,4214.17
1900.0,684.737,encrypt,32,366.713,4189.13
1900.0,859.636,encrypt,32,540.064,6079.06
1900.0,795.244,encrypt,32,576.924,6393.2
1900.0,697.406,encrypt,32,521.15,6184.1
1900.0,755.668,encrypt,32,536.854,5100.91
1900.0,502.075,encrypt,32,377.559,6052.11
2000.0,637.135,encrypt,16,402.639,6189.31
2000.0,593.02,encrypt,16,592.992,6184.46
2000.0,681.36,encrypt,16,478.449,6258.03
2000.0,688.542,encrypt,16,449.662,6215.59
2000.0,691.886,encrypt,16,520.166,6183.09
2000.0,845.572,encrypt,16,529.595,6162.28
2000.0,865.854,encrypt,16,589.45,6160.21
2000.0,642.546,encrypt,16,593.161,6170.94
2000.0,882.157,encrypt,16,479.493,6159.95
2000.0,614.339,encrypt,32,450.773,3440.01
2000.0,657.184,encrypt,32,305.702,3912.41
2000.0,641.169,encrypt,32,306.548,3729.18
2000.0,658.705,encrypt,32,402.926,3905.7
2000.0,735.578,encrypt,32,523.947,4613.7
2000.0,311.342,encrypt,32,343.712,3745.14
2000.0,793.76,encrypt,32,529.99,5243.05
2000.0,838.654,encrypt,32,555.463,5694.63
2000.0,676.503,encrypt,32,488.97,4686.06
2500.0,671.786,encrypt,16,588.531,4964.66
2500.0,683.645,encrypt,16,453.864,4967.5
2500.0,844.12,encrypt,16,610.002,5025.52
2500.0,832.133,encrypt,16,499.362,4959.8
2500.0,555.831,encrypt,16,518.938,4945.2
2500.0,701.091,encrypt,16,462.264,4937.45
2500.0,839.647,encrypt,16,440.745,4958.52
2500.0,835.336,encrypt,16,535.733,4946.74
2500.0,831.206,encrypt,16,405.129,4941.13
2500.0,744.118,encrypt,32,513.039,4137.96
2500.0,649.722,encrypt,32,426.863,3112.95
2500.0,649.787,encrypt,32,490.403,3120.64
2500.0,525.866,encrypt,32,465.534,3109.26
2500.0,666.479,encrypt,32,345.973,3758.93
2500.0,680.029,encrypt,32,229.151,3313.26
2500.0,602.039,encrypt,32,239.526,3135.99
2500.0,662.632,encrypt,32,501.561,3979.45
2500.0,662.632,encrypt,32,501.561,3979.45
2800.0,816.655,encrypt,16,480.736,4448.27
2800.0,816.447,encrypt,16,407.137,4419.36
2800.0,833.732,encrypt,16,352.091,4465.22
2800.0,828.4,encrypt,16,386.102,4463.8
2800.0,821.231,encrypt,16,471.021,4407.9
2800.0,842.148,encrypt,16,570.556,4410.22
2800.0,822.8,encrypt,16,530.088,4403.46
2800.0,820.775,encrypt,16,544.139,4403.98
2800.0,819.898,encrypt,16,616.127,4401.89
2800.0,617.524,encrypt,32,493.882,2354.43
2800.0,665.006,encrypt,32,355.435,2855.56
2800.0,681.281,encrypt,32,412.559,3118.73
2800.0,710.034,encrypt,32,404.954,3231.23
2800.0,518.031,encrypt,32,528.109,3418.85
2800.0,592.338,encrypt,32,444.055,3382.22
2800.0,545.158,encrypt,32,352.248,2803.48
2800.0,687.861,encrypt,32,388.272,2965.17
2800.0,693.533,encrypt,32,538.745,3059.75
