FR,EN,Name,TR,DC,TIM
1600.0,1768.09,decrypt,16,1133.22,14172.4
1600.0,1880.76,decrypt,16,1150.11,14486.3
1600.0,1803.52,decrypt,16,1181.32,14443.1
1600.0,1799.58,decrypt,16,1160.09,14482.3
1600.0,1780.01,decrypt,16,1158.57,14383.8
1600.0,1818.16,decrypt,16,1177.44,14475.5
1600.0,1814.17,decrypt,16,1161.19,14389.5
1600.0,1924.79,decrypt,16,1185.89,14644.8
1600.0,1863.82,decrypt,16,1229.03,15037.9
1600.0,1964.08,decrypt,16,1202.63,15100.5
1600.0,996.882,decrypt,32,698.165,7688.12
1600.0,1099.09,decrypt,32,744.616,7642.19
1600.0,1054.41,decrypt,32,680.843,7688.9
1600.0,940.167,decrypt,32,697.06,7651.49
1600.0,921.867,decrypt,32,748.179,7680.52
1600.0,1129.64,decrypt,32,730.639,7635.74
1600.0,1155.5,decrypt,32,684.132,7586.09
1600.0,1014.02,decrypt,32,740.718,7686.05
1600.0,924.441,decrypt,32,697.97,7631.43
1600.0,982.41,decrypt,32,653.737,7677.6
2000.0,1934.76,decrypt,16,1163.91,14235.2
2000.0,1374.49,decrypt,16,990.21,8815.1
2000.0,1817.97,decrypt,16,1158.35,12513.9
2000.0,1633.63,decrypt,16,1087.03,10500.2
2000.0,1951.32,decrypt,16,1160.83,14387.4
2000.0,1787.11,decrypt,16,1225.01,14346.7
2000.0,1898.04,decrypt,16,1143.52,14067.5
2000.0,1579.3,decrypt,16,1015.16,10824.1
2000.0,1638.64,decrypt,16,1134.13,12394.1
2000.0,1797.29,decrypt,16,1173.81,14432.2
2500.0,1263.67,decrypt,16,1043.45,7600.92
2500.0,1997.9,decrypt,16,1348.95,13973
2500.0,1283.75,decrypt,16,1114.17,7608.65
2500.0,1889.32,decrypt,16,1312.75,13776.9
2500.0,1947.5,decrypt,16,1285.99,13800.9
2500.0,2013.08,decrypt,16,1300.78,14364.3
2500.0,1943.98,decrypt,16,1291.48,13893.8
2500.0,1951.9,decrypt,16,1322.37,13715.6
2500.0,1962.24,decrypt,16,1366.19,14473.4
2500.0,1882.24,decrypt,16,1319.06,14161.1
2500.0,836.133,decrypt,32,785.269,4918.53
2500.0,1019.73,decrypt,32,679.758,4991.74
2500.0,932.082,decrypt,32,763.948,4963.87
2500.0,1096.29,decrypt,32,769.282,4933.02
2500.0,1084.49,decrypt,32,836.218,4962.45
2500.0,1093.05,decrypt,32,852.619,4909.77
2500.0,850.75,decrypt,32,715.008,4886.18
2500.0,999.732,decrypt,32,601.463,4879.51
2500.0,913.041,decrypt,32,645.304,4927.45
2500.0,1058.11,decrypt,32,700.221,4915.38
2800.0,1090.43,decrypt,32,743.015,4402.79
2800.0,709.064,decrypt,32,841.091,4389.99
2800.0,1128.25,decrypt,32,782.982,4468.25
2800.0,761.626,decrypt,32,679.609,4370.77
2800.0,682.6,decrypt,32,798.946,4426.25
2800.0,764.286,decrypt,32,751.453,4441.07
2800.0,1122.73,decrypt,32,721.779,4444.96
2800.0,1127.01,decrypt,32,721.957,4426.58
2800.0,980.695,decrypt,32,796.843,4438.55
2800.0,796.698,decrypt,32,745.872,4443.98
