FR,EN,Name,TR,DC,TIM
1600.0,2301.26,encrypt,16,1538.71,16826.5
1600.0,1921.13,encrypt,16,1338.87,13191.7
1600.0,1783.66,encrypt,16,1348.46,13836.3
1600.0,2049.2,encrypt,16,1372.84,15256.1
1600.0,1864.52,encrypt,16,1324.73,13041.1
1600.0,1891.16,encrypt,16,1403.52,14147.7
1600.0,2438.01,encrypt,16,1589.6,19661.2
1600.0,2213.41,encrypt,16,1486.42,16961.2
1600.0,2265.84,encrypt,16,1488.3,17276.7
1600.0,2156.08,encrypt,16,1552.14,16834.7
1600.0,1673.04,encrypt,32,1144.58,10821.4
1600.0,1499.65,encrypt,32,1194.19,11500.5
1600.0,1653.06,encrypt,32,1147.22,11540.4
1600.0,1726.4,encrypt,32,1158.81,10827.9
1600.0,1401.68,encrypt,32,1166.93,10816.8
1600.0,1563.5,encrypt,32,1185.29,10826.2
1600.0,1486.68,encrypt,32,1158.54,10907.5
1600.0,1459.25,encrypt,32,1183.61,10823.3
1600.0,1679.82,encrypt,32,1156.33,10833.2
1600.0,1719.63,encrypt,32,1139.46,10844.6
2000.0,1804.21,encrypt,16,1386.68,12033.4
2000.0,2431.2,encrypt,16,1632.19,17233
2000.0,1658.1,encrypt,16,1355.79,11318.7
2000.0,2026.86,encrypt,16,1431.05,13597.4
2000.0,1829.94,encrypt,16,1153.14,10300.9
2000.0,1465.92,encrypt,16,1185.99,10317.3
2000.0,1544.16,encrypt,16,1176.94,10637.3
2000.0,2332.64,encrypt,16,1633.97,16568.8
2000.0,2070.03,encrypt,16,1461.58,14475
2000.0,2353.66,encrypt,16,1571.6,16199.8
2500.0,2300.19,encrypt,16,1603.28,16075.9
2500.0,1418.51,encrypt,16,1140.2,8268.8
2500.0,1933.47,encrypt,16,1325.36,9239.02
2500.0,2165.01,encrypt,16,1550.88,11125.9
2500.0,2068.7,encrypt,16,1609.2,12019.6
2500.0,2592.73,encrypt,16,1807.45,18077.7
2500.0,2478.93,encrypt,16,1722.4,18044.6
2500.0,1841.85,encrypt,16,1379.64,9665
2500.0,1547.29,encrypt,16,1247.98,8320.97
2500.0,2567.12,encrypt,16,1772.3,17667.9
2500.0,1708.01,encrypt,32,1165.04,7377.51
2500.0,1374.86,encrypt,32,944.846,6941.75
2500.0,1262.42,encrypt,32,1002.64,6943.3
2500.0,1558.83,encrypt,32,1095.56,6952.24
2500.0,1161.98,encrypt,32,1184.92,6933.21
2500.0,1519.64,encrypt,32,1086.78,6942.86
2500.0,1295.25,encrypt,32,940.856,6957.66
2500.0,1430.2,encrypt,32,1021.3,6970.86
2500.0,1541.01,encrypt,32,1103.64,6957.11
2500.0,1244.81,encrypt,32,1160.48,6936.23
2800.0,1202.07,encrypt,32,1235.55,6218.96
2800.0,1507.16,encrypt,32,1171.5,6191.31
2800.0,1278.82,encrypt,32,1051.27,6201.28
2800.0,1616.44,encrypt,32,1181.09,6199.52
2800.0,1121.8,encrypt,32,1084.31,6206.25
2800.0,1451.69,encrypt,32,1272.46,6201.47
2800.0,1456.89,encrypt,32,981.624,6225.09
2800.0,1632.57,encrypt,32,1118.66,6665.12
2800.0,1246.66,encrypt,32,1095.87,6196.17
2800.0,1372,encrypt,32,1257.81,6212.23
