FR,EN,Name,TR,DC,TIM
1600.0,156.164,sort,16,156.325,2326.76
1600.0,399.117,sort,16,138.906,2306.04
1600.0,211.768,sort,16,123.579,2440.95
1600.0,412.792,sort,16,197.578,2487.9
1600.0,345.63,sort,16,288.965,2417.06
1600.0,230.349,sort,16,271.83,2526.39
1600.0,401.731,sort,16,238.992,2410.86
1600.0,275.758,sort,16,218.742,2410.52
1600.0,239.534,sort,16,99.1637,2472.63
1600.0,298.055,sort,16,131.991,2529.85
1600.0,294.565,sort,32,180.336,1491.98
1600.0,236.262,sort,32,104.305,1338.74
1600.0,58.9711,sort,32,217.687,1350.62
1600.0,146.876,sort,32,44.566,1578.93
1600.0,281.355,sort,32,147.129,1393.93
1600.0,278.935,sort,32,81.7723,1380.04
1600.0,260.539,sort,32,217.437,1372.44
1600.0,70.6865,sort,32,27.0263,1398.86
1600.0,46.7881,sort,32,227.165,1470.14
1600.0,206.123,sort,32,18.8829,1442.95
2400.0,304.706,sort,16,227.824,2120.72
2400.0,149.035,sort,16,162.642,2226.19
2400.0,267.395,sort,16,97.9715,2086.76
2400.0,420.23,sort,16,56.4688,2020.97
2400.0,114.197,sort,16,323.931,2070.14
2400.0,316.318,sort,16,305.086,2037.35
2400.0,361.328,sort,16,257.302,2053.62
2400.0,113.215,sort,16,319.304,1951.62
2400.0,183.477,sort,16,79.1311,2060.68
2400.0,325.608,sort,16,245.165,1912.02
2800.0,419.87,sort,16,211.633,1965.88
2800.0,141.315,sort,16,100.823,1850.28
2800.0,281.666,sort,16,53.898,1883.85
2800.0,375.232,sort,16,39.7757,1897.64
2800.0,107.893,sort,16,96.4009,1983.75
2800.0,202.032,sort,16,168.368,1986.99
2800.0,408.318,sort,16,101.836,2184.1
2800.0,139.071,sort,16,50.6417,1814.22
2800.0,308.172,sort,16,271.471,1963.77
2800.0,145.429,sort,16,85.7262,1841.24
2800.0,245.889,sort,32,209.269,1247.52
2800.0,216.621,sort,32,138.495,1236.39
2800.0,323.958,sort,32,58.2453,1233.67
2800.0,140.923,sort,32,259.505,1210.77
2800.0,332.404,sort,32,171.487,1319.86
2800.0,332.935,sort,32,40.7141,1293.68
2800.0,89.9722,sort,32,261.625,1209.57
2800.0,249.859,sort,32,162.894,1300.04
2800.0,319.432,sort,32,84.3917,1192.76
2800.0,321.642,sort,32,178.505,1218.94
2300.0,299.66,sort,32,3.34582,1357.86
2300.0,130.654,sort,32,176.823,1294.67
2300.0,296.839,sort,32,65.6697,1334.46
2300.0,299.709,sort,32,78.0637,1411.85
2300.0,295.744,sort,32,118.638,1332.69
2300.0,66.866,sort,32,59.7384,1288.78
2300.0,92.024,sort,32,86.846,1247.43
2300.0,4.30668,sort,32,115.075,1405.11
2300.0,130.654,sort,32,176.823,1294.67
2300.0,130.654,sort,32,176.823,1294.67
