FR,EN,Name,TR,DC,TIM
1600.0,540.606,sort,16,299.327,3807.53
1600.0,301.823,sort,16,210.39,3744.23
1600.0,535.73,sort,16,333.831,3560.99
1600.0,595.314,sort,16,331.748,3783.48
1600.0,399.215,sort,16,369.922,3918.02
1600.0,476.456,sort,16,321.116,3759.69
1600.0,467.515,sort,16,265.106,3729.5
1600.0,504.55,sort,16,308.976,3679.88
1600.0,70.6328,sort,16,46.7431,3770.91
1600.0,518.882,sort,16,350.967,3823.32
1600.0,396.663,sort,32,283.954,2480.77
1600.0,470.462,sort,32,324.545,3269.88
1600.0,543.444,sort,32,302.053,3289.9
1600.0,410.323,sort,32,272.7,3271.67
1600.0,450.83,sort,32,280.255,3086.94
1600.0,414.884,sort,32,168.393,2576.02
1600.0,407.388,sort,32,271.136,2574.81
1600.0,264.002,sort,32,279.98,2927.74
1600.0,408.622,sort,32,216.098,2574.55
1600.0,423.634,sort,32,302.107,2867.17
2000.0,472.692,sort,16,308.179,3055.52
2000.0,333.203,sort,16,239.306,3283.27
2000.0,539.237,sort,16,393.954,3134.11
2000.0,395.596,sort,16,216.016,3071.6
2000.0,562.037,sort,16,412.521,3263.48
2000.0,400.247,sort,16,250.182,3100.94
2000.0,458.945,sort,16,351.894,3077.03
2000.0,462.624,sort,16,314.789,3034.32
2000.0,170.163,sort,16,213.296,3192.14
2000.0,193.329,sort,16,7.96294,3054.92
2500.0,3179.26,sort,1,1974.35,26013.1
2500.0,2373.98,sort,1,1511.17,25985.3
2500.0,3194.48,sort,1,1959.2,26018.1
2500.0,3154.85,sort,1,1855.76,26059.2
2500.0,3179.47,sort,1,1953.98,26191.7
2500.0,3070.22,sort,1,1679.39,26303.2
2500.0,2880.58,sort,1,1790.16,26138
2500.0,3134.08,sort,1,1946.03,25855.4
2500.0,3135.58,sort,1,1932.97,25922.7
2500.0,3220.46,sort,1,2008.54,26022.6
2500.0,455.826,sort,16,287.337,2434.16
2500.0,329.845,sort,16,182.074,2535.91
2500.0,516.927,sort,16,368.658,2849.96
2500.0,188.945,sort,16,158.202,2610.41
2500.0,160.779,sort,16,121.871,2448.06
2500.0,220.828,sort,16,190.713,2502.21
2500.0,319.198,sort,16,289.724,2551.37
2500.0,415.53,sort,16,397.52,3409.12
2500.0,509.281,sort,16,229.765,2595.1
2500.0,536.978,sort,16,427.126,2848.3
2800.0,505.539,sort,32,378.304,1918.78
2800.0,338.423,sort,32,135.685,1582.99
2800.0,33.1755,sort,32,39.4972,2147.18
2800.0,186.619,sort,32,161.434,1642.94
2800.0,73.0045,sort,32,134.494,1636.27
2800.0,385.952,sort,32,263.689,1566.31
2800.0,413.806,sort,32,317.701,1750.45
2800.0,285.02,sort,32,225.277,1677.78
2800.0,252.008,sort,32,310.236,1721.66
2800.0,287.395,sort,32,186.645,1655.3
2500.0,5.81216,sort,32,139.042,1499.66
2500.0,312.874,sort,32,157.714,1532.24
2500.0,349.829,sort,32,168.945,1555.31
2500.0,0.52525,sort,32,39.5331,1523.17
2500.0,327.771,sort,32,72.8811,1465.67
2500.0,292.573,sort,32,113.787,1556.85
2500.0,69.5843,sort,32,141.423,1494.59
2500.0,160.163,sort,32,192.324,1453.71
2500.0,330.359,sort,32,158.49,1458.43
2500.0,55.4527,sort,32,233.314,1492.08
