FR,EN,Name,MEM,POW,TR,TIM
1200.0,1246.64,enwik8,454232.0,92.01,1,13.51
1200.0,1242.39,enwik8,470840.0,92.03,1,13.51
1200.0,1246.62,enwik8,467236.0,92.01,1,13.51
1200.0,1241.85,enwik8,452420.0,92.0,1,13.51
1200.0,1241.92,enwik8,450656.0,92.0,1,13.5
1200.0,1245.39,enwik8,462608.0,91.99,1,13.51
1200.0,1245.44,enwik8,460396.0,91.99,1,13.52
1200.0,1241.29,enwik8,466740.0,91.98,1,13.52
1200.0,1246.44,enwik8,460460.0,91.99,1,13.51
1200.0,1260.18,enwik8,452688.0,91.99,1,13.67
1200.0,676.31,enwik8,475268.0,95.92,2,7.05
1200.0,676.03,enwik8,460288.0,95.9,2,7.04
1200.0,676.85,enwik8,462108.0,95.98,2,7.04
1200.0,676.91,enwik8,468664.0,96.0,2,7.04
1200.0,675.6,enwik8,460348.0,95.9,2,7.03
1200.0,677.08,enwik8,474884.0,96.05,2,7.05
1200.0,671.52,enwik8,469812.0,95.94,2,7.02
1200.0,682.05,enwik8,466700.0,96.0,2,7.06
1200.0,676.55,enwik8,468444.0,95.97,2,7.04
1200.0,671.59,enwik8,465712.0,95.92,2,7.02
1200.0,365.56,enwik8,467160.0,102.9,4,3.57
1200.0,378.45,enwik8,469744.0,102.19,4,3.74
1200.0,383.61,enwik8,461412.0,102.2,4,3.75
1200.0,369.74,enwik8,465576.0,102.61,4,3.61
1200.0,379.0,enwik8,465636.0,102.32,4,3.71
1200.0,404.27,enwik8,467708.0,101.01,4,3.96
1200.0,379.01,enwik8,461600.0,102.48,4,3.66
1200.0,392.93,enwik8,461872.0,101.69,4,3.83
1200.0,371.57,enwik8,473012.0,102.78,4,3.58
1200.0,370.38,enwik8,466864.0,102.78,4,3.63
1200.0,142.12,enwik8,464688.0,129.04,16,1.1
1200.0,148.97,enwik8,474028.0,127.82,16,1.14
1200.0,148.13,enwik8,467120.0,127.52,16,1.11
1200.0,142.95,enwik8,463668.0,128.9,16,1.12
1200.0,152.56,enwik8,475840.0,126.05,16,1.15
1200.0,142.83,enwik8,471084.0,129.09,16,1.12
1200.0,147.52,enwik8,465728.0,127.22,16,1.13
1200.0,143.94,enwik8,470612.0,128.93,16,1.1
1200.0,152.29,enwik8,469640.0,125.86,16,1.24
1200.0,148.14,enwik8,471096.0,127.82,16,1.15
1200.0,148.05,enwik8,469868.0,127.48,32,1.13
1200.0,147.39,enwik8,461956.0,127.38,32,1.16
1200.0,143.86,enwik8,460916.0,129.57,32,1.12
1200.0,143.57,enwik8,473960.0,129.38,32,1.11
1200.0,143.15,enwik8,468080.0,128.86,32,1.1
1200.0,148.27,enwik8,469860.0,127.58,32,1.1
1200.0,147.69,enwik8,467416.0,127.58,32,1.12
1200.0,143.18,enwik8,464580.0,128.73,32,1.1
1200.0,148.01,enwik8,469808.0,127.26,32,1.15
1200.0,148.4,enwik8,470672.0,127.69,32,1.12
2200.0,755.31,enwik8,456420.0,100.75,1,7.47
2200.0,745.84,enwik8,452656.0,100.8,1,7.41
2200.0,750.44,enwik8,460524.0,100.75,1,7.42
2200.0,745.0,enwik8,466840.0,100.73,1,7.41
2200.0,745.16,enwik8,454680.0,100.75,1,7.41
2200.0,755.1,enwik8,462456.0,100.72,1,7.49
2200.0,745.82,enwik8,460944.0,100.82,1,7.41
2200.0,748.28,enwik8,460508.0,100.96,1,7.41
2200.0,744.87,enwik8,454684.0,100.69,1,7.43
2200.0,754.94,enwik8,452640.0,100.69,1,7.5
2200.0,240.28,enwik8,464576.0,119.8,4,1.98
2200.0,255.2,enwik8,463632.0,118.34,4,2.12
2200.0,245.26,enwik8,455156.0,119.41,4,2.01
2200.0,255.78,enwik8,459864.0,118.53,4,2.17
2200.0,255.14,enwik8,464304.0,118.27,4,2.16
2200.0,240.7,enwik8,467968.0,120.11,4,2.03
2200.0,240.82,enwik8,457880.0,120.09,4,2.03
2200.0,250.93,enwik8,468780.0,119.19,4,2.09
2200.0,245.96,enwik8,461512.0,119.77,4,2.02
2200.0,245.54,enwik8,461392.0,119.5,4,2.05
2200.0,116.95,enwik8,466712.0,175.7,16,0.63
2200.0,118.09,enwik8,472164.0,174.95,16,0.62
2200.0,117.16,enwik8,467984.0,176.25,16,0.64
2200.0,111.31,enwik8,473452.0,180.94,16,0.62
2200.0,111.2,enwik8,466732.0,179.78,16,0.62
2200.0,116.18,enwik8,472712.0,174.83,16,0.63
2200.0,116.81,enwik8,465032.0,175.3,16,0.62
2200.0,116.44,enwik8,475160.0,174.8,16,0.65
2200.0,116.19,enwik8,473252.0,175.02,16,0.63
2200.0,116.33,enwik8,467828.0,174.74,16,0.64
2200.0,111.85,enwik8,471592.0,181.38,32,0.62
2200.0,114.52,enwik8,467708.0,175.57,32,0.63
2200.0,116.17,enwik8,470824.0,174.66,32,0.63
2200.0,117.47,enwik8,463756.0,176.41,32,0.63
2200.0,117.4,enwik8,477416.0,176.06,32,0.64
2200.0,123.4,enwik8,470864.0,171.97,32,0.69
2200.0,122.63,enwik8,470564.0,170.63,32,0.7
2200.0,116.54,enwik8,470432.0,177.17,32,0.62
2200.0,117.66,enwik8,465732.0,176.76,32,0.63
2200.0,116.03,enwik8,461240.0,174.38,32,0.62
2400.0,696.24,enwik8,452628.0,102.4,1,6.81
2400.0,696.2,enwik8,468600.0,102.4,1,6.81
2400.0,695.67,enwik8,454684.0,102.36,1,6.8
2400.0,696.15,enwik8,455448.0,102.41,1,6.8
2400.0,695.9,enwik8,454404.0,102.4,1,6.8
2400.0,701.38,enwik8,462468.0,102.42,1,6.87
2400.0,701.97,enwik8,454696.0,102.48,1,6.81
2400.0,701.51,enwik8,463536.0,102.42,1,6.81
2400.0,706.5,enwik8,454392.0,102.34,1,6.88
2400.0,696.19,enwik8,460520.0,102.4,1,6.8
2400.0,390.2,enwik8,461212.0,109.87,2,3.54
2400.0,390.81,enwik8,463508.0,110.11,2,3.54
2400.0,392.36,enwik8,465956.0,110.48,2,3.56
2400.0,390.04,enwik8,463336.0,109.82,2,3.56
2400.0,387.71,enwik8,461224.0,110.98,2,3.53
2400.0,394.73,enwik8,464364.0,111.12,2,3.57
2400.0,390.34,enwik8,468052.0,109.92,2,3.54
2400.0,389.43,enwik8,459500.0,109.67,2,3.56
2400.0,402.33,enwik8,468880.0,110.26,2,3.63
2400.0,390.77,enwik8,467000.0,109.87,2,3.54
2400.0,143.35,enwik8,463932.0,149.42,8,0.97
2400.0,142.95,enwik8,461516.0,149.79,8,0.96
2400.0,159.49,enwik8,463012.0,143.62,8,1.06
2400.0,149.16,enwik8,474840.0,148.02,8,0.97
2400.0,155.3,enwik8,463916.0,146.25,8,1.01
2400.0,154.66,enwik8,470340.0,145.66,8,1.04
2400.0,159.95,enwik8,456168.0,143.73,8,1.08
2400.0,143.81,enwik8,468404.0,149.05,8,0.97
2400.0,164.32,enwik8,460012.0,141.35,8,1.13
2400.0,150.41,enwik8,464456.0,148.56,8,0.99
2400.0,115.4,enwik8,475408.0,188.24,32,0.6
2400.0,115.29,enwik8,465572.0,186.82,32,0.59
2400.0,113.62,enwik8,477036.0,185.06,32,0.57
2400.0,116.09,enwik8,478824.0,188.47,32,0.58
2400.0,115.69,enwik8,471668.0,187.71,32,0.62
2400.0,109.45,enwik8,472364.0,194.85,32,0.57
2400.0,110.51,enwik8,469260.0,195.01,32,0.57
2400.0,115.42,enwik8,468844.0,186.57,32,0.58
2400.0,115.93,enwik8,468976.0,188.1,32,0.58
2400.0,115.7,enwik8,463032.0,187.62,32,0.57
2700.0,649.08,enwik8,462572.0,106.44,1,6.1
2700.0,648.4,enwik8,454688.0,106.36,1,6.1
2700.0,662.02,enwik8,462436.0,106.77,1,6.16
2700.0,648.99,enwik8,454700.0,106.45,1,6.1
2700.0,648.02,enwik8,452636.0,106.28,1,6.1
2700.0,647.8,enwik8,454668.0,106.24,1,6.1
2700.0,648.37,enwik8,454424.0,106.25,1,6.1
2700.0,660.45,enwik8,452632.0,108.14,1,6.1
2700.0,659.69,enwik8,461288.0,108.19,1,6.1
2700.0,653.49,enwik8,464776.0,106.27,1,6.11
2700.0,241.3,enwik8,464580.0,129.98,4,1.82
2700.0,231.96,enwik8,462868.0,132.14,4,1.75
2700.0,238.02,enwik8,467716.0,131.74,4,1.78
2700.0,251.55,enwik8,456736.0,128.58,4,1.95
2700.0,236.84,enwik8,469880.0,130.99,4,1.8
2700.0,232.0,enwik8,461936.0,132.1,4,1.75
2700.0,233.46,enwik8,456792.0,132.28,4,1.73
2700.0,231.94,enwik8,461892.0,132.08,4,1.76
2700.0,231.93,enwik8,468428.0,132.13,4,1.77
2700.0,232.42,enwik8,461380.0,132.01,4,1.76
2700.0,122.72,enwik8,458104.0,198.89,16,0.58
2700.0,113.39,enwik8,461940.0,217.19,16,0.51
2700.0,111.39,enwik8,472360.0,214.35,16,0.53
2700.0,111.41,enwik8,463836.0,216.17,16,0.51
2700.0,124.0,enwik8,469932.0,199.99,16,0.58
2700.0,123.55,enwik8,457124.0,198.25,16,0.59
2700.0,113.38,enwik8,468996.0,217.86,16,0.5
2700.0,124.09,enwik8,458504.0,199.34,16,0.59
2700.0,123.95,enwik8,471496.0,199.74,16,0.59
2700.0,118.03,enwik8,461964.0,207.34,16,0.51
2901.0,593.08,enwik8,454220.0,131.92,1,4.48
2901.0,598.31,enwik8,454680.0,133.07,1,4.49
2901.0,594.38,enwik8,450564.0,132.25,1,4.48
2901.0,626.7,enwik8,460496.0,134.8,1,4.63
2901.0,592.54,enwik8,464860.0,131.69,1,4.49
2901.0,609.96,enwik8,454376.0,132.7,1,4.6
2901.0,586.39,enwik8,463284.0,131.92,1,4.49
2901.0,600.2,enwik8,454348.0,132.08,1,4.53
2901.0,603.9,enwik8,450564.0,134.32,1,4.49
2901.0,610.52,enwik8,458744.0,132.85,1,4.62
2901.0,254.83,enwik8,463448.0,163.79,4,1.56
2901.0,252.93,enwik8,454464.0,162.47,4,1.52
2901.0,247.66,enwik8,455016.0,164.46,4,1.53
2901.0,253.32,enwik8,462572.0,162.84,4,1.53
2901.0,253.97,enwik8,467288.0,163.23,4,1.53
2901.0,255.64,enwik8,460904.0,164.13,4,1.54
2901.0,259.23,enwik8,459380.0,161.66,4,1.62
2901.0,252.86,enwik8,467660.0,162.71,4,1.54
2901.0,257.44,enwik8,456352.0,165.8,4,1.51
2901.0,257.0,enwik8,464368.0,160.28,4,1.61
2901.0,140.54,enwik8,467052.0,272.98,16,0.5
2901.0,129.86,enwik8,463312.0,281.61,16,0.47
2901.0,142.21,enwik8,469256.0,277.29,16,0.47
2901.0,134.8,enwik8,464236.0,285.34,16,0.48
2901.0,142.81,enwik8,475568.0,276.54,16,0.47
2901.0,140.78,enwik8,470196.0,275.28,16,0.48
2901.0,137.04,enwik8,473712.0,274.17,16,0.47
2901.0,131.72,enwik8,476348.0,285.38,16,0.46
2901.0,142.72,enwik8,473756.0,276.26,16,0.47
2901.0,142.16,enwik8,469564.0,277.55,16,0.48
1700.0,937.94,enwik8,457304.0,96.19,1,9.76
1700.0,928.21,enwik8,456732.0,96.2,1,9.65
1700.0,927.1,enwik8,460672.0,96.09,1,9.65
1700.0,926.6,enwik8,463664.0,96.16,1,9.65
1700.0,938.27,enwik8,461256.0,96.74,1,9.66
1700.0,928.56,enwik8,452340.0,96.24,1,9.65
1700.0,927.93,enwik8,450288.0,96.16,1,9.65
1700.0,937.55,enwik8,453724.0,96.17,1,9.73
1700.0,928.3,enwik8,457284.0,96.21,1,9.66
1700.0,929.37,enwik8,468804.0,96.33,1,9.66
1700.0,307.96,enwik8,460648.0,111.74,4,2.77
1700.0,313.19,enwik8,466608.0,111.66,4,2.79
1700.0,303.58,enwik8,457780.0,112.26,4,2.72
1700.0,309.42,enwik8,461076.0,112.34,4,2.76
1700.0,330.16,enwik8,459920.0,109.84,4,3.0
1700.0,313.39,enwik8,464620.0,111.69,4,2.8
1700.0,322.02,enwik8,461576.0,110.83,4,2.91
1700.0,307.74,enwik8,465648.0,111.7,4,2.78
1700.0,317.33,enwik8,466304.0,111.07,4,2.88
1700.0,328.15,enwik8,461864.0,111.03,4,2.92
1700.0,195.23,enwik8,463296.0,125.16,8,1.55
1700.0,195.03,enwik8,458824.0,124.97,8,1.58
1700.0,199.78,enwik8,466424.0,124.1,8,1.62
1700.0,194.93,enwik8,465928.0,125.04,8,1.57
1700.0,208.62,enwik8,477176.0,122.09,8,1.68
1700.0,185.59,enwik8,465452.0,127.25,8,1.47
1700.0,191.52,enwik8,457204.0,126.06,8,1.53
1700.0,200.22,enwik8,466756.0,124.22,8,1.58
1700.0,200.18,enwik8,468948.0,124.48,8,1.56
1700.0,190.38,enwik8,472380.0,126.19,8,1.51
1700.0,137.13,enwik8,465636.0,141.74,16,0.94
1700.0,122.58,enwik8,473124.0,150.1,16,0.81
1700.0,136.34,enwik8,471632.0,141.14,16,0.93
1700.0,127.37,enwik8,472844.0,147.05,16,0.83
1700.0,137.39,enwik8,470832.0,142.58,16,0.94
1700.0,136.95,enwik8,466460.0,141.69,16,0.94
