RT,FR,EN,Name,MEM,SIZ,TR,TIM,RAT,POW
0.002633568876952361,1200.0,36339.47,enwik9,4848080.0,990057063.0,1,383.51,1.01,94.75
0.002633019630334472,1200.0,36337.18,enwik9,4847528.0,990057063.0,1,383.59,1.01,94.74
0.00262883914627798,1200.0,36419.46,enwik9,4847940.0,990057063.0,1,384.2,1.01,94.79
0.0026344618915958057,1200.0,36322.55,enwik9,4847928.0,990057063.0,1,383.38,1.01,94.75
0.002629386650005207,1200.0,36383.93,enwik9,4852012.0,990057063.0,1,384.12,1.01,94.71
0.0026296604873984586,1200.0,36375.11,enwik9,4848376.0,990057063.0,1,384.08,1.01,94.7
0.0018448266902250168,1200.0,36443.21,enwik9,4852008.0,990057063.0,1,384.86,0.71,94.69
0.001847803456173225,1200.0,36393.83,enwik9,4848216.0,990057063.0,1,384.24,0.71,94.71
0.001850403961428199,1200.0,36503.84,enwik9,4855644.0,990057063.0,1,383.7,0.71,95.14
0.00185122415456418,1200.0,36321.34,enwik9,4848012.0,990057063.0,1,383.53,0.71,94.7
0.00827205882352941,1200.0,9141.21,enwik9,4358412.0,173359677.0,4,87.04,0.72,105.0
0.008172531214528945,1200.0,9236.74,enwik9,4342388.0,173359677.0,4,88.1,0.72,104.84
0.00827205882352941,1200.0,9138.71,enwik9,4345768.0,173359677.0,4,87.04,0.72,104.98
0.00829971181556196,1200.0,9116.38,enwik9,4347880.0,173359677.0,4,86.75,0.72,105.09
0.013882567137005006,1200.0,9208.23,enwik9,4359528.0,173359677.0,4,87.88,1.22,104.81
0.013976400504066903,1200.0,9158.6,enwik9,4337664.0,173359677.0,4,87.29,1.22,104.91
0.01408450704225352,1200.0,9103.49,enwik9,4350964.0,173359677.0,4,86.62,1.22,105.12
0.014063400576368876,1200.0,9121.02,enwik9,4347500.0,173359677.0,4,86.75,1.22,105.13
0.014079630698211193,1200.0,9102.7,enwik9,4348840.0,173359677.0,4,86.65,1.22,105.05
0.013992430324578507,1200.0,9149.95,enwik9,4355364.0,173359677.0,4,87.19,1.22,104.92
0.08084540348802838,1200.0,7090.95,enwik9,4349908.0,182865022.0,16,67.66,5.47,104.74
0.0799240210403273,1200.0,7156.9,enwik9,4271904.0,182865022.0,16,68.44,5.47,104.58
0.2445721583652618,1200.0,2273.01,enwik9,4415144.0,182865022.0,16,15.66,3.83,145.09
0.2436386768447837,1200.0,2281.57,enwik9,4423040.0,182865022.0,16,15.72,3.83,144.72
0.1555014210312627,1200.0,3106.63,enwik9,4272984.0,182865022.0,16,24.63,3.83,125.97
0.2417929292929293,1200.0,2291.37,enwik9,4421304.0,182865022.0,16,15.84,3.83,144.5
0.16374519025224454,1200.0,2998.22,enwik9,4271848.0,182865022.0,16,23.39,3.83,128.04
0.05658147436844438,1200.0,7102.56,enwik9,4262788.0,182865022.0,16,67.69,3.83,104.88
0.022949470001029124,1200.0,9794.93,enwik9,4263904.0,182865022.0,16,97.17,2.23,100.77
0.14131812420785805,1200.0,2286.26,enwik9,4429108.0,182865022.0,16,15.78,2.23,144.51
0.038951965065502185,1600.0,6320.01,enwik9,4283112.0,182865022.0,32,57.25,2.23,110.4
0.06315491362220334,1600.0,4240.44,enwik9,4350252.0,182865022.0,32,35.31,2.23,119.92
0.0756958587915818,1600.0,3674.58,enwik9,4282936.0,182865022.0,32,29.46,2.23,124.6
