FR,EN,Name,MEM,POW,TR,TIM
1200.0,4878.41,app4,527036.0,92.22,1,52.9
1200.0,4867.31,app4,530716.0,92.19,1,52.83
1200.0,4881.29,app4,527032.0,92.19,1,52.93
1200.0,4873.11,app4,530728.0,92.21,1,52.85
1200.0,4982.21,app4,527032.0,92.18,1,54.05
1200.0,4874.92,app4,527032.0,92.16,1,52.89
1200.0,4889.13,app4,527092.0,92.42,1,52.92
1200.0,4873.48,app4,527032.0,92.22,1,52.85
1200.0,4878.21,app4,530944.0,92.21,1,52.88
1200.0,4880.03,app4,524992.0,92.17,1,52.93
1200.0,4785.59,app4,532868.0,92.39,4,51.78
1200.0,4788.99,app4,536700.0,92.37,4,51.85
1200.0,4792.63,app4,529068.0,92.36,4,51.89
1200.0,4803.31,app4,529752.0,92.38,4,51.98
1200.0,4785.4,app4,536700.0,92.39,4,51.81
1200.0,4896.98,app4,532176.0,92.4,4,52.99
1200.0,4794.75,app4,534908.0,92.39,4,51.91
1200.0,4795.64,app4,532484.0,92.4,4,51.88
1200.0,4784.72,app4,532492.0,92.37,4,51.78
1200.0,4788.85,app4,536700.0,92.37,4,51.82
1400.0,4188.1,app4,529024.0,93.7,2,44.71
1400.0,4192.83,app4,536660.0,93.69,2,44.71
1400.0,4278.91,app4,534476.0,93.74,2,45.67
1400.0,4189.77,app4,534504.0,93.73,2,44.7
1400.0,4189.2,app4,538140.0,93.72,2,44.72
1400.0,4189.14,app4,534648.0,93.74,2,44.72
1400.0,4192.3,app4,532936.0,93.69,2,44.73
1400.0,4192.1,app4,536684.0,93.69,2,44.74
1400.0,4198.09,app4,536692.0,93.71,2,44.77
1400.0,4192.52,app4,536680.0,93.69,2,44.75
1400.0,4148.74,app4,534580.0,93.76,8,44.25
1400.0,4153.09,app4,528964.0,93.86,8,44.25
1400.0,4158.47,app4,536736.0,93.88,8,44.27
1400.0,4166.34,app4,531188.0,94.05,8,44.26
1400.0,4157.91,app4,536732.0,93.88,8,44.28
1400.0,4158.43,app4,536736.0,93.87,8,44.28
1400.0,4149.31,app4,536732.0,93.78,8,44.28
1400.0,4152.4,app4,532152.0,93.81,8,44.23
1400.0,4156.87,app4,532348.0,93.73,8,44.34
1400.0,4147.57,app4,532248.0,93.73,8,44.24
1700.0,3529.54,app4,536700.0,96.31,4,36.63
1700.0,3527.51,app4,528940.0,96.4,4,36.57
1700.0,3527.3,app4,536700.0,96.38,4,36.6
1700.0,3523.25,app4,535100.0,96.26,4,36.59
1700.0,3522.64,app4,532148.0,96.25,4,36.59
1700.0,3520.31,app4,528936.0,96.19,4,36.59
1700.0,3511.22,app4,532124.0,96.07,4,36.6
1700.0,3517.14,app4,532772.0,96.1,4,36.58
1700.0,3535.66,app4,531148.0,96.05,4,36.77
1700.0,3521.73,app4,528932.0,96.23,4,36.58
1700.0,3514.83,app4,531268.0,96.3,16,36.49
1700.0,3515.1,app4,534588.0,96.32,16,36.48
1700.0,3522.69,app4,535016.0,96.52,16,36.51
1700.0,3514.09,app4,531240.0,96.29,16,36.51
1700.0,3528.98,app4,532420.0,96.42,16,36.57
1700.0,3539.28,app4,531236.0,96.45,16,36.67
1700.0,3524.25,app4,537352.0,96.55,16,36.51
1700.0,3538.28,app4,531108.0,96.81,16,36.54
1700.0,3551.05,app4,532756.0,96.63,16,36.74
1700.0,3514.93,app4,531140.0,96.31,16,36.48
1900.0,3216.32,app4,536732.0,98.51,8,32.62
1900.0,3200.82,app4,536732.0,98.19,8,32.61
1900.0,3201.55,app4,536732.0,98.22,8,32.61
1900.0,3200.44,app4,536736.0,97.91,8,32.69
1900.0,3190.66,app4,532312.0,97.89,8,32.62
1900.0,3198.74,app4,536732.0,97.98,8,32.64
1900.0,3203.68,app4,532460.0,98.28,8,32.62
1900.0,3196.43,app4,534380.0,97.92,8,32.64
1900.0,3204.45,app4,532428.0,97.85,8,32.74
1900.0,3199.33,app4,536736.0,97.99,8,32.63
1900.0,3204.28,app4,531240.0,97.99,32,32.68
1900.0,3226.2,app4,534464.0,98.06,32,32.89
1900.0,3230.16,app4,531240.0,98.78,32,32.69
1900.0,3210.75,app4,531172.0,98.05,32,32.72
1900.0,3221.69,app4,531132.0,98.08,32,32.85
1900.0,3209.14,app4,534624.0,98.28,32,32.68
1900.0,3227.36,app4,529020.0,98.7,32,32.68
1900.0,3221.16,app4,528992.0,98.52,32,32.69
1900.0,3204.59,app4,534608.0,98.16,32,32.64
1900.0,3213.12,app4,529020.0,98.12,32,32.73
2200.0,2933.9,app4,527032.0,101.53,1,28.89
2200.0,2930.86,app4,527032.0,101.44,1,28.87
2200.0,2937.5,app4,533172.0,101.66,1,28.86
2200.0,2927.44,app4,527032.0,101.44,1,28.85
2200.0,2931.31,app4,527032.0,101.46,1,28.89
2200.0,2951.04,app4,530780.0,101.25,1,29.15
2200.0,2931.11,app4,524988.0,101.25,1,28.92
