FR,EN,Name,MEM,POW,TR,TIM
1200.0,2348.8,cr_audio1.wav,299596.0,91.21,1,25.71
1200.0,2317.13,cr_audio1.wav,300348.0,91.08,1,25.45
1200.0,2326.39,cr_audio1.wav,302316.0,91.06,1,25.56
1200.0,2316.88,cr_audio1.wav,304236.0,91.05,1,25.42
1200.0,2314.01,cr_audio1.wav,302424.0,91.11,1,25.42
1200.0,2318.51,cr_audio1.wav,304616.0,91.1,1,25.45
1200.0,2323.28,cr_audio1.wav,308556.0,91.3,1,25.46
1200.0,2323.45,cr_audio1.wav,306744.0,91.48,1,25.42
1200.0,2320.26,cr_audio1.wav,305772.0,91.17,1,25.42
1200.0,2318.77,cr_audio1.wav,308824.0,91.12,1,25.45
1200.0,1437.37,cr_audio1.wav,324668.0,93.34,2,15.39
1200.0,1441.65,cr_audio1.wav,299912.0,93.62,2,15.38
1200.0,1441.91,cr_audio1.wav,316568.0,93.33,2,15.41
1200.0,1434.09,cr_audio1.wav,298520.0,93.33,2,15.38
1200.0,1436.95,cr_audio1.wav,297492.0,93.3,2,15.39
1200.0,1436.73,cr_audio1.wav,293660.0,93.29,2,15.38
1200.0,1436.97,cr_audio1.wav,296472.0,93.31,2,15.4
1200.0,1436.11,cr_audio1.wav,313836.0,93.26,2,15.4
1200.0,1436.54,cr_audio1.wav,297156.0,93.27,2,15.38
1200.0,1435.67,cr_audio1.wav,304832.0,93.23,2,15.39
1200.0,983.56,cr_audio1.wav,290448.0,95.97,4,10.23
1200.0,983.82,cr_audio1.wav,317820.0,95.96,4,10.24
1200.0,983.69,cr_audio1.wav,324980.0,95.95,4,10.24
1200.0,984.85,cr_audio1.wav,311552.0,95.94,4,10.24
1200.0,983.52,cr_audio1.wav,307508.0,95.97,4,10.23
1200.0,984.33,cr_audio1.wav,310700.0,96.02,4,10.23
1200.0,984.03,cr_audio1.wav,318168.0,96.0,4,10.24
1200.0,983.39,cr_audio1.wav,312712.0,95.95,4,10.24
1200.0,983.95,cr_audio1.wav,319096.0,96.0,4,10.24
1200.0,984.24,cr_audio1.wav,301280.0,95.98,4,10.24
1200.0,636.38,cr_audio1.wav,328344.0,99.26,16,6.38
1200.0,630.08,cr_audio1.wav,317164.0,99.22,16,6.37
1200.0,630.52,cr_audio1.wav,327756.0,99.28,16,6.37
1200.0,631.19,cr_audio1.wav,321040.0,99.34,16,6.38
1200.0,635.73,cr_audio1.wav,333716.0,99.3,16,6.38
1200.0,635.41,cr_audio1.wav,325996.0,99.27,16,6.38
1200.0,630.51,cr_audio1.wav,318308.0,99.24,16,6.37
1200.0,634.93,cr_audio1.wav,325304.0,99.19,16,6.38
1200.0,636.71,cr_audio1.wav,323792.0,99.44,16,6.38
1200.0,635.54,cr_audio1.wav,332768.0,99.23,16,6.38
1200.0,635.76,cr_audio1.wav,327480.0,99.28,32,6.39
1200.0,634.84,cr_audio1.wav,320632.0,99.17,32,6.39
1200.0,635.23,cr_audio1.wav,325328.0,99.19,32,6.38
1200.0,636.03,cr_audio1.wav,320068.0,99.34,32,6.38
1200.0,635.15,cr_audio1.wav,318352.0,99.19,32,6.38
1200.0,634.93,cr_audio1.wav,326504.0,99.2,32,6.39
1200.0,635.02,cr_audio1.wav,335308.0,99.17,32,6.37
1200.0,635.84,cr_audio1.wav,318308.0,99.31,32,6.39
1200.0,635.38,cr_audio1.wav,326976.0,99.27,32,6.38
1200.0,634.94,cr_audio1.wav,329720.0,99.21,32,6.38
1400.0,1254.58,cr_audio1.wav,299656.0,95.07,2,13.19
1400.0,1253.88,cr_audio1.wav,317892.0,95.0,2,13.2
1400.0,1249.7,cr_audio1.wav,314040.0,95.04,2,13.19
1400.0,1254.14,cr_audio1.wav,311988.0,95.01,2,13.19
1400.0,1254.28,cr_audio1.wav,320976.0,95.0,2,13.2
1400.0,1254.63,cr_audio1.wav,310908.0,95.06,2,13.2
1400.0,1254.18,cr_audio1.wav,299124.0,95.01,2,13.19
1400.0,1254.35,cr_audio1.wav,297796.0,95.03,2,13.2
1400.0,1254.92,cr_audio1.wav,296596.0,95.08,2,13.19
1400.0,1255.63,cr_audio1.wav,323488.0,95.05,2,13.2
1400.0,863.48,cr_audio1.wav,292940.0,98.12,4,8.77
1400.0,863.75,cr_audio1.wav,303432.0,98.13,4,8.77
1400.0,859.0,cr_audio1.wav,298188.0,98.12,4,8.77
1400.0,858.6,cr_audio1.wav,285420.0,98.1,4,8.77
1400.0,863.31,cr_audio1.wav,302884.0,98.08,4,8.77
1400.0,860.17,cr_audio1.wav,301876.0,98.28,4,8.77
1400.0,863.44,cr_audio1.wav,319208.0,98.12,4,8.78
1400.0,863.58,cr_audio1.wav,291948.0,98.12,4,8.77
1400.0,858.89,cr_audio1.wav,306832.0,98.14,4,8.78
1400.0,858.93,cr_audio1.wav,304096.0,98.11,4,8.78
1400.0,662.64,cr_audio1.wav,306060.0,100.3,8,6.58
1400.0,660.32,cr_audio1.wav,283208.0,100.75,8,6.58
1400.0,657.61,cr_audio1.wav,303244.0,100.36,8,6.58
1400.0,662.45,cr_audio1.wav,301900.0,100.32,8,6.59
1400.0,660.19,cr_audio1.wav,301608.0,100.73,8,6.58
1400.0,662.5,cr_audio1.wav,311324.0,100.33,8,6.59
1400.0,657.96,cr_audio1.wav,309228.0,100.43,8,6.59
1400.0,657.34,cr_audio1.wav,317180.0,100.36,8,6.59
1400.0,663.36,cr_audio1.wav,312188.0,100.49,8,6.59
