FR,EN,Name,MEM,POW,TR,TIM
1200.0,1247.81,enwik8,455796.0,92.11,1,13.51
1200.0,1262.3,enwik8,469124.0,92.39,1,13.66
1200.0,1242.48,enwik8,465144.0,92.03,1,13.51
1200.0,1256.91,enwik8,454228.0,92.05,1,13.61
1200.0,1241.93,enwik8,460556.0,92.0,1,13.51
1200.0,1242.11,enwik8,456404.0,92.03,1,13.52
1200.0,1241.81,enwik8,459984.0,92.0,1,13.51
1200.0,1259.77,enwik8,463244.0,92.02,1,13.65
1200.0,1242.78,enwik8,461584.0,91.99,1,13.5
1200.0,1242.34,enwik8,450656.0,92.01,1,13.5
1200.0,671.34,enwik8,472568.0,95.91,2,7.0
1200.0,675.27,enwik8,459500.0,95.77,2,7.03
1200.0,676.93,enwik8,465280.0,96.01,2,7.02
1200.0,671.28,enwik8,465644.0,95.89,2,7.0
1200.0,676.89,enwik8,459908.0,95.94,2,7.05
1200.0,676.61,enwik8,469376.0,95.97,2,7.02
1200.0,675.98,enwik8,472304.0,95.88,2,7.0
1200.0,671.06,enwik8,461172.0,95.87,2,7.0
1200.0,676.16,enwik8,462440.0,95.92,2,7.02
1200.0,671.85,enwik8,471952.0,95.99,2,7.01
1200.0,379.16,enwik8,469248.0,102.37,4,3.7
1200.0,392.32,enwik8,460104.0,101.92,4,3.84
1200.0,403.01,enwik8,464692.0,101.0,4,4.0
1200.0,379.29,enwik8,456736.0,102.39,4,3.69
1200.0,409.96,enwik8,463804.0,101.16,4,4.01
1200.0,370.42,enwik8,466120.0,102.83,4,3.64
1200.0,395.58,enwik8,460688.0,101.42,4,3.89
1200.0,401.38,enwik8,467740.0,101.54,4,3.93
1200.0,369.86,enwik8,464464.0,102.63,4,3.61
1200.0,374.2,enwik8,462284.0,102.47,4,3.63
1200.0,142.04,enwik8,475240.0,128.52,16,1.1
1200.0,147.8,enwik8,466144.0,127.56,16,1.15
1200.0,147.14,enwik8,456764.0,127.34,16,1.13
1200.0,153.06,enwik8,464948.0,126.19,16,1.16
1200.0,153.06,enwik8,471656.0,126.3,16,1.17
1200.0,147.71,enwik8,463964.0,127.5,16,1.15
1200.0,148.24,enwik8,470352.0,127.76,16,1.16
1200.0,142.94,enwik8,465756.0,128.75,16,1.1
1200.0,152.63,enwik8,472456.0,125.95,16,1.16
1200.0,147.59,enwik8,473936.0,127.36,16,1.16
1200.0,143.85,enwik8,468248.0,129.33,32,1.1
1200.0,147.81,enwik8,473432.0,127.44,32,1.14
1200.0,144.23,enwik8,468316.0,129.05,32,1.1
1200.0,152.88,enwik8,476324.0,126.22,32,1.16
1200.0,148.35,enwik8,474792.0,128.04,32,1.16
1200.0,148.53,enwik8,464556.0,127.57,32,1.15
1200.0,152.34,enwik8,465668.0,126.04,32,1.18
1200.0,148.06,enwik8,464160.0,127.93,32,1.15
1200.0,147.0,enwik8,471220.0,127.27,32,1.13
1200.0,147.73,enwik8,471796.0,127.31,32,1.16
2200.0,752.59,enwik8,462668.0,101.04,1,7.42
2200.0,747.14,enwik8,466684.0,101.0,1,7.41
2200.0,746.7,enwik8,450616.0,100.94,1,7.41
2200.0,747.16,enwik8,470752.0,100.99,1,7.42
2200.0,746.93,enwik8,466800.0,100.97,1,7.42
2200.0,751.27,enwik8,473012.0,101.02,1,7.42
2200.0,751.99,enwik8,468844.0,100.96,1,7.42
2200.0,748.76,enwik8,467036.0,100.96,1,7.41
2200.0,750.55,enwik8,450048.0,100.97,1,7.41
2200.0,746.51,enwik8,456428.0,100.94,1,7.4
2200.0,250.59,enwik8,469276.0,119.02,4,2.1
2200.0,246.06,enwik8,462440.0,119.75,4,2.02
2200.0,249.94,enwik8,466556.0,119.11,4,2.09
2200.0,240.69,enwik8,469932.0,120.08,4,2.01
2200.0,245.64,enwik8,458820.0,119.5,4,2.06
2200.0,256.17,enwik8,459492.0,118.53,4,2.17
2200.0,251.0,enwik8,468424.0,119.16,4,2.1
2200.0,250.28,enwik8,459404.0,119.4,4,2.1
2200.0,256.14,enwik8,471452.0,118.73,4,2.14
2200.0,256.25,enwik8,460516.0,118.88,4,2.14
2200.0,104.66,enwik8,476756.0,188.24,16,0.54
2200.0,105.66,enwik8,469708.0,182.83,16,0.54
2200.0,102.53,enwik8,469172.0,183.51,16,0.54
2200.0,105.73,enwik8,473676.0,188.89,16,0.54
2200.0,102.41,enwik8,465320.0,184.08,16,0.54
2200.0,96.45,enwik8,472736.0,189.61,16,0.54
2200.0,102.69,enwik8,463912.0,188.46,16,0.53
2200.0,102.03,enwik8,469548.0,184.0,16,0.54
2200.0,102.97,enwik8,466016.0,184.81,16,0.54
2200.0,105.32,enwik8,471504.0,188.37,16,0.54
2200.0,105.66,enwik8,472296.0,188.83,32,0.54
2200.0,104.23,enwik8,469968.0,188.2,32,0.55
2200.0,104.33,enwik8,474332.0,186.52,32,0.54
2200.0,104.51,enwik8,473996.0,185.66,32,0.54
2200.0,104.86,enwik8,466512.0,188.12,32,0.54
2200.0,100.36,enwik8,468448.0,185.61,32,0.54
2200.0,103.18,enwik8,473760.0,185.11,32,0.54
2200.0,104.9,enwik8,470296.0,188.15,32,0.54
2200.0,105.36,enwik8,474204.0,188.84,32,0.54
2200.0,105.39,enwik8,476372.0,188.66,32,0.54
2400.0,696.7,enwik8,458448.0,102.51,1,6.8
2400.0,703.94,enwik8,446480.0,102.52,1,6.79
2400.0,701.53,enwik8,472740.0,102.45,1,6.81
2400.0,696.7,enwik8,459576.0,102.49,1,6.8
2400.0,696.07,enwik8,459516.0,102.4,1,6.8
2400.0,696.26,enwik8,454668.0,102.44,1,6.79
2400.0,702.45,enwik8,458916.0,102.56,1,6.85
2400.0,696.14,enwik8,454400.0,102.5,1,6.8
2400.0,696.76,enwik8,454400.0,102.5,1,6.8
2400.0,706.88,enwik8,466548.0,102.46,1,6.86
2400.0,398.65,enwik8,465668.0,112.24,2,3.58
2400.0,390.58,enwik8,457836.0,110.0,2,3.56
2400.0,396.77,enwik8,465000.0,110.16,2,3.57
2400.0,396.85,enwik8,461796.0,110.16,2,3.56
2400.0,390.51,enwik8,458204.0,109.95,2,3.55
