FR,EN,Name,MEM,POW,TR,TIM
1200.0,2315.27,cr_audio1.wav,170720.0,91.19,1,25.39
1200.0,2315.52,cr_audio1.wav,175272.0,91.17,1,25.38
1200.0,2315.11,cr_audio1.wav,170740.0,91.16,1,25.4
1200.0,2315.09,cr_audio1.wav,168688.0,91.14,1,25.41
1200.0,2314.71,cr_audio1.wav,165420.0,91.14,1,25.42
1200.0,2314.98,cr_audio1.wav,162620.0,91.15,1,25.41
1200.0,2314.55,cr_audio1.wav,169104.0,91.15,1,25.39
1200.0,2315.16,cr_audio1.wav,168988.0,91.15,1,25.4
1200.0,2314.56,cr_audio1.wav,163948.0,91.14,1,25.41
1200.0,2319.7,cr_audio1.wav,165188.0,91.33,1,25.39
1200.0,977.35,cr_audio1.wav,171332.0,95.36,4,10.26
1200.0,982.54,cr_audio1.wav,171084.0,95.38,4,10.26
1200.0,978.5,cr_audio1.wav,170968.0,95.33,4,10.21
1200.0,977.07,cr_audio1.wav,169188.0,95.33,4,10.26
1200.0,977.79,cr_audio1.wav,173940.0,95.37,4,10.22
1200.0,977.87,cr_audio1.wav,169796.0,95.36,4,10.26
1200.0,977.63,cr_audio1.wav,170744.0,95.37,4,10.22
1200.0,977.91,cr_audio1.wav,175836.0,95.41,4,10.23
1200.0,977.27,cr_audio1.wav,174696.0,95.34,4,10.22
1200.0,977.26,cr_audio1.wav,174012.0,95.33,4,10.23
1200.0,639.54,cr_audio1.wav,183140.0,99.94,16,6.36
1200.0,635.58,cr_audio1.wav,188276.0,100.03,16,6.34
1200.0,632.4,cr_audio1.wav,198916.0,99.53,16,6.35
1200.0,640.28,cr_audio1.wav,183504.0,100.83,16,6.35
1200.0,637.0,cr_audio1.wav,185352.0,99.51,16,6.35
1200.0,640.07,cr_audio1.wav,197388.0,100.76,16,6.35
1200.0,640.27,cr_audio1.wav,178708.0,100.02,16,6.35
1200.0,638.77,cr_audio1.wav,176156.0,100.56,16,6.34
1200.0,633.37,cr_audio1.wav,191380.0,99.66,16,6.35
1200.0,640.82,cr_audio1.wav,187220.0,100.09,16,6.35
1200.0,631.21,cr_audio1.wav,188052.0,99.36,32,6.35
1200.0,633.69,cr_audio1.wav,183440.0,99.78,32,6.35
1200.0,634.87,cr_audio1.wav,183580.0,99.92,32,6.35
1200.0,633.05,cr_audio1.wav,181732.0,99.63,32,6.35
1200.0,637.45,cr_audio1.wav,191420.0,100.38,32,6.36
1200.0,632.82,cr_audio1.wav,193184.0,99.67,32,6.35
1200.0,637.64,cr_audio1.wav,188020.0,100.38,32,6.35
1200.0,635.67,cr_audio1.wav,185680.0,100.03,32,6.35
1200.0,636.1,cr_audio1.wav,191928.0,99.41,32,6.35
1200.0,632.22,cr_audio1.wav,181972.0,99.53,32,6.35
2200.0,1388.74,cr_audio1.wav,166708.0,100.24,1,13.87
2200.0,1387.79,cr_audio1.wav,164124.0,100.24,1,13.87
2200.0,1393.06,cr_audio1.wav,167572.0,100.25,1,13.88
2200.0,1393.17,cr_audio1.wav,164416.0,100.23,1,13.87
2200.0,1392.95,cr_audio1.wav,167184.0,100.23,1,13.88
2200.0,1388.13,cr_audio1.wav,162508.0,100.22,1,13.87
2200.0,1387.97,cr_audio1.wav,170328.0,100.23,1,13.87
2200.0,1387.43,cr_audio1.wav,170640.0,100.2,1,13.88
2200.0,1387.28,cr_audio1.wav,171048.0,100.19,1,13.87
2200.0,1393.05,cr_audio1.wav,171680.0,100.22,1,13.89
2200.0,436.43,cr_audio1.wav,181676.0,124.04,16,3.47
2200.0,425.95,cr_audio1.wav,194828.0,121.43,16,3.47
2200.0,422.21,cr_audio1.wav,182156.0,120.42,16,3.47
2200.0,421.38,cr_audio1.wav,181964.0,120.14,16,3.47
2200.0,418.4,cr_audio1.wav,188344.0,121.02,16,3.47
2200.0,426.71,cr_audio1.wav,188836.0,121.67,16,3.47
2200.0,421.94,cr_audio1.wav,185960.0,120.7,16,3.48
2200.0,423.65,cr_audio1.wav,184884.0,120.88,16,3.47
2200.0,424.06,cr_audio1.wav,183296.0,121.0,16,3.48
2200.0,418.96,cr_audio1.wav,182708.0,120.64,16,3.47
2200.0,426.59,cr_audio1.wav,188676.0,121.63,32,3.47
2200.0,426.48,cr_audio1.wav,179912.0,121.59,32,3.47
2200.0,429.47,cr_audio1.wav,181016.0,122.36,32,3.48
2200.0,419.43,cr_audio1.wav,184768.0,121.29,32,3.47
2200.0,420.83,cr_audio1.wav,184564.0,121.73,32,3.47
2200.0,428.13,cr_audio1.wav,186744.0,123.81,32,3.47
2200.0,436.79,cr_audio1.wav,183216.0,124.4,32,3.47
2200.0,427.12,cr_audio1.wav,189768.0,123.62,32,3.47
2200.0,423.44,cr_audio1.wav,181624.0,120.72,32,3.47
2200.0,438.15,cr_audio1.wav,184780.0,125.03,32,3.48
2400.0,812.82,cr_audio1.wav,171992.0,105.56,2,7.68
2400.0,807.49,cr_audio1.wav,172316.0,105.57,2,7.68
2400.0,819.88,cr_audio1.wav,169748.0,106.27,2,7.69
2400.0,807.59,cr_audio1.wav,170732.0,105.56,2,7.68
2400.0,812.76,cr_audio1.wav,170680.0,105.56,2,7.68
2400.0,812.5,cr_audio1.wav,168332.0,105.52,2,7.69
2400.0,819.29,cr_audio1.wav,169824.0,106.39,2,7.68
2400.0,812.75,cr_audio1.wav,170120.0,105.54,2,7.7
2400.0,821.36,cr_audio1.wav,171536.0,106.7,2,7.69
2400.0,812.57,cr_audio1.wav,172392.0,105.55,2,7.68
2400.0,390.56,cr_audio1.wav,165732.0,123.87,8,3.16
2400.0,387.32,cr_audio1.wav,186972.0,122.65,8,3.17
2400.0,392.0,cr_audio1.wav,166792.0,122.24,8,3.17
2400.0,386.06,cr_audio1.wav,175044.0,122.33,8,3.16
2400.0,393.25,cr_audio1.wav,175396.0,122.66,8,3.17
2400.0,391.1,cr_audio1.wav,165716.0,121.91,8,3.17
2400.0,389.82,cr_audio1.wav,174228.0,122.03,8,3.17
2400.0,391.18,cr_audio1.wav,180724.0,121.99,8,3.17
2400.0,388.19,cr_audio1.wav,174392.0,122.93,8,3.17
