FR,EN,Name,MEM,POW,TR,TIM
1200.0,931.69,enwik8,5020.0,93.14,1,9.99
1200.0,916.97,enwik8,4908.0,93.15,1,9.88
1200.0,924.73,enwik8,4912.0,92.91,1,9.91
1200.0,975.85,enwik8,4908.0,92.92,1,10.47
1200.0,916.16,enwik8,4912.0,93.0,1,9.87
1200.0,920.63,enwik8,4908.0,93.0,1,9.9
1200.0,920.29,enwik8,4912.0,92.93,1,9.89
1200.0,914.77,enwik8,4908.0,92.85,1,9.85
1200.0,920.59,enwik8,4908.0,92.96,1,9.88
1200.0,919.82,enwik8,4912.0,92.88,1,9.86
1200.0,481.29,enwik8,14324.0,98.0,2,4.89
1200.0,474.53,enwik8,14344.0,96.78,2,4.9
1200.0,475.68,enwik8,14340.0,96.97,2,4.91
1200.0,476.01,enwik8,14316.0,97.07,2,4.92
1200.0,474.62,enwik8,14332.0,96.73,2,4.91
1200.0,473.05,enwik8,14336.0,96.25,2,4.91
1200.0,473.75,enwik8,14328.0,96.68,2,4.9
1200.0,475.16,enwik8,14348.0,96.9,2,4.9
1200.0,474.85,enwik8,14332.0,95.86,2,4.91
1200.0,473.77,enwik8,14336.0,96.64,2,4.91
1200.0,249.7,enwik8,26000.0,101.71,4,2.48
1200.0,283.64,enwik8,25960.0,99.72,4,2.82
1200.0,254.77,enwik8,25956.0,101.72,4,2.5
1200.0,254.03,enwik8,26000.0,101.41,4,2.49
1200.0,255.5,enwik8,25996.0,102.06,4,2.51
1200.0,264.85,enwik8,26000.0,101.54,4,2.56
1200.0,259.08,enwik8,25988.0,101.39,4,2.51
1200.0,254.59,enwik8,26000.0,101.52,4,2.5
1200.0,284.45,enwik8,25968.0,99.64,4,2.82
1200.0,284.84,enwik8,25964.0,99.69,4,2.82
1200.0,108.94,enwik8,87540.0,120.18,16,0.92
1200.0,108.23,enwik8,88452.0,119.28,16,0.9
1200.0,110.08,enwik8,89304.0,121.1,16,0.87
1200.0,100.67,enwik8,90196.0,124.64,16,0.8
1200.0,109.34,enwik8,88692.0,120.19,16,0.89
1200.0,103.73,enwik8,91400.0,127.29,16,0.81
1200.0,108.75,enwik8,88068.0,119.6,16,0.89
1200.0,113.4,enwik8,87720.0,118.31,16,0.93
1200.0,109.25,enwik8,88796.0,119.92,16,0.87
1200.0,95.65,enwik8,91308.0,126.29,16,0.77
1200.0,90.06,enwik8,168696.0,127.11,32,0.71
1200.0,90.64,enwik8,169932.0,127.61,32,0.66
1200.0,90.7,enwik8,159280.0,127.88,32,0.69
1200.0,91.48,enwik8,164716.0,129.0,32,0.7
1200.0,91.24,enwik8,163500.0,128.78,32,0.7
1200.0,91.39,enwik8,166816.0,128.8,32,0.68
1200.0,90.84,enwik8,158728.0,127.82,32,0.67
1200.0,86.17,enwik8,156728.0,129.56,32,0.67
1200.0,90.67,enwik8,161272.0,128.19,32,0.68
1200.0,91.0,enwik8,158668.0,128.24,32,0.66
1400.0,416.55,enwik8,14344.0,99.12,2,4.2
1400.0,412.67,enwik8,14340.0,98.15,2,4.22
1400.0,417.93,enwik8,14344.0,99.45,2,4.21
1400.0,416.38,enwik8,14348.0,97.86,2,4.21
1400.0,416.96,enwik8,14340.0,99.16,2,4.2
1400.0,417.83,enwik8,14336.0,99.39,2,4.21
1400.0,423.48,enwik8,16380.0,99.54,2,4.21
1400.0,417.61,enwik8,14344.0,99.27,2,4.2
1400.0,417.49,enwik8,14344.0,99.3,2,4.21
1400.0,425.13,enwik8,14344.0,99.9,2,4.21
1400.0,251.46,enwik8,26040.0,102.45,4,2.42
