FR,EN,Name,MEM,POW,TR,TIM
1200.0,2234.37,cr_audio1.flac,4912.0,93.29,1,23.95
1200.0,2218.84,cr_audio1.flac,4912.0,92.83,1,23.88
1200.0,2131.49,cr_audio1.flac,4916.0,92.87,1,22.96
1200.0,2141.62,cr_audio1.flac,4912.0,92.9,1,23.04
1200.0,2136.98,cr_audio1.flac,4916.0,92.9,1,23.01
1200.0,2134.98,cr_audio1.flac,4916.0,92.82,1,22.98
1200.0,2126.24,cr_audio1.flac,4912.0,92.81,1,22.92
1200.0,2132.47,cr_audio1.flac,4912.0,92.9,1,22.98
1200.0,2142.8,cr_audio1.flac,4912.0,93.16,1,22.94
1200.0,2134.11,cr_audio1.flac,4916.0,92.83,1,23.01
1200.0,1105.58,cr_audio1.flac,17448.0,97.31,2,11.36
1200.0,1106.55,cr_audio1.flac,17564.0,97.45,2,11.38
1200.0,1109.94,cr_audio1.flac,17448.0,97.35,2,11.37
1200.0,1103.71,cr_audio1.flac,17448.0,97.22,2,11.37
1200.0,1110.81,cr_audio1.flac,17592.0,97.49,2,11.37
1200.0,1100.29,cr_audio1.flac,17448.0,97.35,2,11.32
1200.0,1100.21,cr_audio1.flac,17448.0,97.34,2,11.29
1200.0,1097.54,cr_audio1.flac,17444.0,96.62,2,11.35
1200.0,1098.06,cr_audio1.flac,17448.0,97.15,2,11.29
1200.0,1102.57,cr_audio1.flac,17448.0,97.14,2,11.35
1200.0,679.97,cr_audio1.flac,31656.0,99.89,4,6.79
1200.0,595.83,cr_audio1.flac,31664.0,102.66,4,5.78
1200.0,591.99,cr_audio1.flac,31432.0,101.95,4,5.79
1200.0,589.61,cr_audio1.flac,31804.0,101.57,4,5.78
1200.0,594.15,cr_audio1.flac,31676.0,102.35,4,5.8
1200.0,590.37,cr_audio1.flac,31664.0,101.67,4,5.78
1200.0,591.21,cr_audio1.flac,31544.0,101.79,4,5.79
1200.0,594.83,cr_audio1.flac,29732.0,101.61,4,5.8
1200.0,596.21,cr_audio1.flac,31672.0,101.84,4,5.8
1200.0,591.82,cr_audio1.flac,31664.0,101.95,4,5.79
1200.0,223.51,cr_audio1.flac,104452.0,123.23,16,1.79
1200.0,227.81,cr_audio1.flac,105932.0,122.36,16,1.84
1200.0,222.93,cr_audio1.flac,107652.0,122.91,16,1.81
1200.0,215.25,cr_audio1.flac,104476.0,125.56,16,1.7
1200.0,229.08,cr_audio1.flac,103284.0,122.95,16,1.81
1200.0,219.36,cr_audio1.flac,107144.0,124.34,16,1.76
1200.0,223.19,cr_audio1.flac,103720.0,123.25,16,1.79
1200.0,221.39,cr_audio1.flac,104604.0,125.66,16,1.71
1200.0,280.3,cr_audio1.flac,104740.0,114.09,16,2.4
1200.0,225.58,cr_audio1.flac,107292.0,124.46,16,1.77
1400.0,952.59,cr_audio1.flac,17456.0,98.13,2,9.73
1400.0,947.37,cr_audio1.flac,17456.0,97.64,2,9.72
1400.0,981.82,cr_audio1.flac,17428.0,100.67,2,9.75
1400.0,947.05,cr_audio1.flac,17584.0,97.6,2,9.72
1400.0,973.25,cr_audio1.flac,17428.0,99.74,2,9.74
1400.0,967.74,cr_audio1.flac,17428.0,99.71,2,9.72
1400.0,975.43,cr_audio1.flac,17448.0,100.02,2,9.72
1400.0,972.31,cr_audio1.flac,17452.0,99.86,2,9.71
1400.0,969.03,cr_audio1.flac,17452.0,99.85,2,9.69
1400.0,959.44,cr_audio1.flac,17460.0,98.4,2,9.73
1400.0,528.17,cr_audio1.flac,31472.0,106.68,4,4.95
1400.0,601.88,cr_audio1.flac,31324.0,103.01,4,5.82
1400.0,523.87,cr_audio1.flac,31672.0,105.58,4,4.96
1400.0,600.8,cr_audio1.flac,31324.0,103.45,4,5.82
1400.0,598.44,cr_audio1.flac,31324.0,103.04,4,5.82
1400.0,598.33,cr_audio1.flac,31324.0,102.99,4,5.82
1400.0,531.52,cr_audio1.flac,30260.0,106.22,4,4.97
1400.0,525.81,cr_audio1.flac,31416.0,106.16,4,4.95
1400.0,530.78,cr_audio1.flac,31512.0,106.02,4,4.98
1400.0,532.55,cr_audio1.flac,31592.0,106.36,4,4.96
1400.0,316.54,cr_audio1.flac,58868.0,114.78,8,2.75
1400.0,305.31,cr_audio1.flac,59472.0,116.88,8,2.6
1400.0,310.41,cr_audio1.flac,57800.0,116.73,8,2.61
1400.0,305.85,cr_audio1.flac,56484.0,117.14,8,2.59
1400.0,304.63,cr_audio1.flac,57920.0,116.7,8,2.59
1400.0,303.97,cr_audio1.flac,56896.0,116.49,8,2.6
1400.0,305.12,cr_audio1.flac,57800.0,116.84,8,2.6
1400.0,308.86,cr_audio1.flac,58844.0,116.2,8,2.62
1400.0,304.19,cr_audio1.flac,56196.0,116.55,8,2.62
1400.0,305.02,cr_audio1.flac,59128.0,116.82,8,2.62
1400.0,219.01,cr_audio1.flac,105556.0,128.06,16,1.67
1400.0,205.57,cr_audio1.flac,102284.0,131.51,16,1.54
1400.0,214.75,cr_audio1.flac,106552.0,129.08,16,1.63
1400.0,205.27,cr_audio1.flac,106328.0,131.41,16,1.53
1400.0,242.03,cr_audio1.flac,106476.0,123.31,16,1.94
1400.0,212.44,cr_audio1.flac,104376.0,131.36,16,1.58
1400.0,204.88,cr_audio1.flac,105556.0,131.23,16,1.55
1400.0,208.82,cr_audio1.flac,102608.0,129.56,16,1.56
1400.0,203.07,cr_audio1.flac,106800.0,130.09,16,1.58
1400.0,214.13,cr_audio1.flac,103888.0,129.07,16,1.62
1400.0,162.71,cr_audio1.flac,196228.0,140.08,32,1.15
1400.0,162.04,cr_audio1.flac,198820.0,139.46,32,1.16
1400.0,159.4,cr_audio1.flac,199188.0,138.7,32,1.17
1400.0,168.53,cr_audio1.flac,200580.0,138.87,32,1.18
1400.0,167.92,cr_audio1.flac,198548.0,138.39,32,1.2
1400.0,167.43,cr_audio1.flac,200728.0,137.95,32,1.16
1400.0,162.75,cr_audio1.flac,196900.0,139.87,32,1.16
1400.0,162.71,cr_audio1.flac,198904.0,140.57,32,1.16
1400.0,162.68,cr_audio1.flac,198776.0,140.1,32,1.16
1400.0,167.56,cr_audio1.flac,202340.0,138.32,32,1.17
2200.0,1370.56,cr_audio1.flac,4908.0,104.24,1,13.13
2200.0,1300.72,cr_audio1.flac,4912.0,103.24,1,12.64
2200.0,1304.39,cr_audio1.flac,4908.0,103.53,1,12.57
2200.0,1305.33,cr_audio1.flac,5020.0,103.58,1,12.57
2200.0,1348.36,cr_audio1.flac,4908.0,103.33,1,13.08
2200.0,1299.47,cr_audio1.flac,4912.0,103.54,1,12.57
2200.0,1291.66,cr_audio1.flac,4912.0,103.34,1,12.55
2200.0,1302.11,cr_audio1.flac,4908.0,103.36,1,12.59
2200.0,1298.81,cr_audio1.flac,4908.0,103.5,1,12.56
2200.0,1302.21,cr_audio1.flac,4908.0,103.36,1,12.58
2200.0,393.36,cr_audio1.flac,31652.0,124.76,4,3.15
2200.0,395.7,cr_audio1.flac,31436.0,125.44,4,3.15
2200.0,392.24,cr_audio1.flac,31512.0,124.31,4,3.15
2200.0,392.9,cr_audio1.flac,31708.0,124.61,4,3.16
2200.0,398.12,cr_audio1.flac,31432.0,124.12,4,3.15
2200.0,394.43,cr_audio1.flac,31660.0,124.99,4,3.15
2200.0,393.15,cr_audio1.flac,31668.0,124.69,4,3.15
