FR,EN,Name,MEM,POW,TR,TIM
1200.0,6226.24,game1,4912.0,93.07,1,66.9
1200.0,6180.78,game1,4912.0,92.73,1,66.65
1200.0,6210.78,game1,5000.0,92.69,1,67.01
1200.0,6201.16,game1,4912.0,92.97,1,66.7
1200.0,6173.11,game1,4916.0,92.68,1,66.61
1200.0,6182.84,game1,4912.0,92.69,1,66.71
1200.0,6173.85,game1,4912.0,92.7,1,66.59
1200.0,6378.03,game1,4916.0,92.83,1,68.7
1200.0,6182.96,game1,4912.0,92.69,1,66.69
1200.0,6181.94,game1,4912.0,92.68,1,66.67
1200.0,3166.23,game1,17060.0,97.25,2,32.53
1200.0,3152.21,game1,16768.0,96.84,2,32.55
1200.0,3175.7,game1,18972.0,96.76,2,32.79
1200.0,3226.11,game1,16640.0,97.01,2,33.25
1200.0,3230.53,game1,18448.0,97.15,2,33.25
1200.0,3171.46,game1,17600.0,97.42,2,32.56
1200.0,3185.32,game1,16848.0,97.55,2,32.63
1200.0,3217.73,game1,19800.0,97.54,2,32.98
1200.0,3223.41,game1,16712.0,97.68,2,32.97
1200.0,3186.71,game1,16564.0,96.56,2,33.0
1200.0,1742.33,game1,30056.0,102.17,4,17.05
1200.0,1754.93,game1,29900.0,102.63,4,17.13
1200.0,1757.95,game1,30540.0,102.5,4,17.12
1200.0,1750.41,game1,30792.0,102.34,4,17.08
1200.0,1739.55,game1,29300.0,102.58,4,16.94
1200.0,1757.08,game1,29968.0,102.43,4,17.11
1200.0,1759.15,game1,29640.0,102.27,4,17.22
1200.0,1743.58,game1,30748.0,102.54,4,17.01
1200.0,1743.88,game1,30068.0,102.33,4,17.05
1200.0,1756.52,game1,31920.0,102.65,4,17.08
1200.0,633.46,game1,103512.0,128.92,16,4.86
1200.0,628.8,game1,97696.0,129.28,16,4.81
1200.0,625.92,game1,102604.0,128.79,16,4.84
1200.0,636.03,game1,99708.0,128.16,16,4.93
1200.0,637.77,game1,100732.0,128.45,16,4.95
1200.0,654.73,game1,101184.0,125.68,16,5.21
1200.0,637.22,game1,97712.0,128.39,16,4.91
1200.0,641.69,game1,98632.0,126.79,16,5.05
1200.0,630.39,game1,103928.0,128.37,16,4.9
1200.0,645.35,game1,99304.0,126.29,16,5.14
1400.0,2827.74,game1,16608.0,100.09,2,28.25
1400.0,2817.25,game1,16816.0,99.37,2,28.37
1400.0,2829.72,game1,16692.0,99.99,2,28.29
1400.0,2841.51,game1,16792.0,100.39,2,28.26
1400.0,2830.57,game1,17260.0,100.22,2,28.25
1400.0,2795.05,game1,16780.0,99.99,2,27.94
1400.0,2783.89,game1,17284.0,99.93,2,27.87
1400.0,2819.16,game1,17364.0,99.96,2,28.18
1400.0,2864.73,game1,16880.0,99.82,2,28.73
1400.0,2831.7,game1,17412.0,100.04,2,28.31
1400.0,1574.34,game1,29148.0,107.43,4,14.63
1400.0,1567.31,game1,30664.0,107.32,4,14.64
1400.0,1561.54,game1,29068.0,106.55,4,14.64
1400.0,1592.12,game1,30028.0,106.17,4,14.98
1400.0,1530.31,game1,29040.0,106.24,4,14.4
1400.0,1546.02,game1,29952.0,106.19,4,14.55
1400.0,1555.8,game1,29852.0,106.52,4,14.6
1400.0,1577.14,game1,29160.0,107.23,4,14.69
1400.0,1560.55,game1,31116.0,106.12,4,14.68
1400.0,1565.42,game1,30092.0,106.42,4,14.7
1400.0,879.25,game1,55536.0,118.72,8,7.39
1400.0,889.74,game1,53828.0,118.54,8,7.47
1400.0,885.08,game1,55480.0,118.56,8,7.45
1400.0,884.63,game1,53664.0,118.56,8,7.43
1400.0,877.93,game1,53184.0,118.4,8,7.41
1400.0,921.33,game1,55768.0,116.53,8,7.94
1400.0,878.64,game1,54172.0,118.64,8,7.41
1400.0,880.39,game1,57164.0,118.84,8,7.39
1400.0,885.14,game1,54560.0,118.74,8,7.41
1400.0,878.53,game1,55552.0,119.36,8,7.37
1400.0,446.38,game1,187656.0,145.91,32,3.07
1400.0,447.59,game1,194072.0,146.29,32,3.07
1400.0,452.23,game1,199408.0,145.34,32,3.08
1400.0,452.44,game1,185524.0,145.43,32,3.07
1400.0,460.18,game1,195764.0,145.35,32,3.1
1400.0,455.71,game1,195064.0,146.28,32,3.11
1400.0,451.85,game1,199984.0,145.41,32,3.12
1400.0,452.48,game1,194452.0,145.94,32,3.12
1400.0,460.67,game1,190372.0,145.72,32,3.12
1400.0,455.8,game1,195532.0,145.85,32,3.08
2200.0,3810.57,game1,4908.0,102.16,1,37.31
2200.0,3786.68,game1,4908.0,101.39,1,37.36
2200.0,3676.59,game1,4912.0,101.43,1,36.2
2200.0,3686.58,game1,5024.0,101.42,1,36.36
2200.0,3678.09,game1,4908.0,101.61,1,36.18
2200.0,3711.84,game1,4908.0,101.83,1,36.44
2200.0,3693.97,game1,4908.0,101.77,1,36.27
2200.0,3798.75,game1,4912.0,101.44,1,37.42
2200.0,3699.2,game1,4912.0,101.34,1,36.49
2200.0,3707.15,game1,4912.0,101.85,1,36.4
2200.0,1170.83,game1,29540.0,125.85,4,9.29
2200.0,1163.6,game1,31060.0,126.53,4,9.16
2200.0,1160.47,game1,29392.0,125.5,4,9.24
2200.0,1163.57,game1,30056.0,125.66,4,9.28
2200.0,1152.92,game1,29700.0,126.08,4,9.14
2200.0,1163.8,game1,29844.0,125.77,4,9.21
2200.0,1158.89,game1,30000.0,125.88,4,9.18
2200.0,1170.87,game1,29984.0,125.85,4,9.27
2200.0,1152.04,game1,29320.0,125.85,4,9.14
2200.0,1163.35,game1,29272.0,127.09,4,9.16
2200.0,497.06,game1,100732.0,183.53,16,2.7
2200.0,500.9,game1,99628.0,182.43,16,2.72
2200.0,499.86,game1,98320.0,184.29,16,2.7
2200.0,494.84,game1,100236.0,186.99,16,2.67
2200.0,504.6,game1,100972.0,179.58,16,2.79
2200.0,520.06,game1,99112.0,178.63,16,2.86
2200.0,495.98,game1,100944.0,179.75,16,2.74
2200.0,493.51,game1,99436.0,189.19,16,2.59
2200.0,496.32,game1,99536.0,186.57,16,2.65
2200.0,491.39,game1,97268.0,184.75,16,2.64
2200.0,405.11,game1,200244.0,196.31,32,2.01
2200.0,399.13,game1,194000.0,198.2,32,1.99
2200.0,396.5,game1,200736.0,197.72,32,2.0
2200.0,398.05,game1,196296.0,197.79,32,1.98
2200.0,406.05,game1,207340.0,196.28,32,2.0
2200.0,398.38,game1,198580.0,198.0,32,2.02
2200.0,391.73,game1,188052.0,199.86,32,1.97
2200.0,398.7,game1,196216.0,198.17,32,2.0
2200.0,398.08,game1,190712.0,198.01,32,1.99
2200.0,405.86,game1,195108.0,196.42,32,2.02
2400.0,3530.47,game1,4908.0,105.23,1,33.54
2400.0,3518.0,game1,4908.0,104.7,1,33.59
2400.0,3638.06,game1,4908.0,104.55,1,34.75
2400.0,3505.36,game1,4912.0,104.8,1,33.43
2400.0,3486.57,game1,4908.0,104.86,1,33.26
2400.0,3481.22,game1,4908.0,104.7,1,33.24
2400.0,3532.12,game1,4908.0,104.51,1,33.79
