FR,EN,Name,MEM,POW,TR,TIM
1200.0,441.01,cr_audio1.wav,896.0,92.74,1,4.71
1200.0,435.73,cr_audio1.wav,896.0,92.64,1,4.69
1200.0,432.61,cr_audio1.wav,896.0,93.01,1,4.67
1200.0,452.41,cr_audio1.wav,892.0,92.21,1,4.9
1200.0,411.7,cr_audio1.wav,892.0,93.49,1,4.37
1200.0,432.55,cr_audio1.wav,896.0,92.87,1,4.64
1200.0,432.39,cr_audio1.wav,892.0,92.92,1,4.65
1200.0,433.44,cr_audio1.wav,892.0,93.11,1,4.65
1200.0,406.17,cr_audio1.wav,892.0,94.38,1,4.28
1200.0,469.87,cr_audio1.wav,892.0,92.97,1,5.0
1200.0,357.9,cr_audio1.wav,1024.0,96.61,4,3.72
1200.0,362.68,cr_audio1.wav,1020.0,96.55,4,3.73
1200.0,366.89,cr_audio1.wav,1020.0,96.39,4,3.76
1200.0,376.82,cr_audio1.wav,1024.0,96.64,4,3.9
1200.0,357.53,cr_audio1.wav,1020.0,96.55,4,3.73
1200.0,366.17,cr_audio1.wav,1024.0,96.17,4,3.78
1200.0,361.92,cr_audio1.wav,1024.0,96.29,4,3.76
1200.0,366.18,cr_audio1.wav,1024.0,96.23,4,3.76
1200.0,362.18,cr_audio1.wav,1024.0,96.46,4,3.77
1200.0,366.59,cr_audio1.wav,1024.0,97.79,4,3.71
1200.0,372.22,cr_audio1.wav,1024.0,97.84,16,3.78
1200.0,367.42,cr_audio1.wav,1024.0,96.36,16,3.79
1200.0,367.0,cr_audio1.wav,1024.0,96.43,16,3.75
1200.0,366.64,cr_audio1.wav,1024.0,96.27,16,3.75
1200.0,360.87,cr_audio1.wav,1024.0,96.34,16,3.76
1200.0,441.72,cr_audio1.wav,1024.0,96.94,16,4.53
1200.0,365.6,cr_audio1.wav,1020.0,96.06,16,3.8
1200.0,386.48,cr_audio1.wav,1024.0,97.76,16,3.97
1200.0,366.35,cr_audio1.wav,1024.0,96.27,16,3.81
1200.0,364.96,cr_audio1.wav,1024.0,96.02,16,3.79
1200.0,305.56,cr_audio1.wav,1024.0,99.75,32,3.01
1200.0,362.25,cr_audio1.wav,1024.0,96.5,32,3.77
1200.0,369.53,cr_audio1.wav,1024.0,96.97,32,3.79
1200.0,360.26,cr_audio1.wav,1020.0,96.39,32,3.8
1200.0,361.05,cr_audio1.wav,1024.0,96.56,32,3.72
1200.0,353.92,cr_audio1.wav,1020.0,98.18,32,3.6
1200.0,359.26,cr_audio1.wav,1024.0,95.63,32,3.74
1200.0,362.37,cr_audio1.wav,1024.0,96.45,32,3.74
1200.0,373.24,cr_audio1.wav,1024.0,96.76,32,3.85
1200.0,362.6,cr_audio1.wav,1020.0,96.54,32,3.75
2200.0,293.24,cr_audio1.wav,892.0,99.4,1,2.9
2200.0,287.96,cr_audio1.wav,892.0,99.26,1,2.9
2200.0,288.57,cr_audio1.wav,892.0,99.41,1,2.87
2200.0,323.75,cr_audio1.wav,896.0,98.05,1,3.32
2200.0,289.13,cr_audio1.wav,896.0,99.64,1,2.87
2200.0,287.55,cr_audio1.wav,896.0,99.14,1,2.89
2200.0,292.0,cr_audio1.wav,896.0,98.91,1,2.96
2200.0,293.66,cr_audio1.wav,896.0,99.21,1,2.93
2200.0,275.44,cr_audio1.wav,896.0,100.09,1,2.76
2200.0,284.6,cr_audio1.wav,896.0,99.79,1,2.85
2200.0,263.55,cr_audio1.wav,1024.0,107.46,16,2.43
2200.0,256.97,cr_audio1.wav,1024.0,104.7,16,2.45
