FR,EN,Name,MEM,POW,TR,TIM
1200.0,2006.22,app4,20252.0,92.41,1,21.5
1200.0,2036.48,app4,20072.0,92.77,1,21.9
1200.0,1993.87,app4,20320.0,92.5,1,21.57
1200.0,1949.54,app4,20204.0,92.38,1,21.13
1200.0,2025.92,app4,20228.0,92.3,1,21.93
1200.0,2027.17,app4,20300.0,92.14,1,21.96
1200.0,2027.98,app4,20264.0,92.37,1,21.98
1200.0,1996.68,app4,20268.0,92.41,1,21.6
1200.0,1979.73,app4,19976.0,93.6,1,21.12
1200.0,2030.24,app4,21752.0,94.19,1,21.56
1200.0,720.11,app4,115360.0,100.61,4,7.1
1200.0,720.98,app4,116208.0,100.67,4,7.16
1200.0,724.4,app4,113860.0,100.52,4,7.17
1200.0,710.49,app4,110860.0,100.69,4,7.07
1200.0,712.13,app4,113444.0,100.93,4,7.05
1200.0,711.28,app4,116188.0,100.77,4,7.03
1200.0,711.1,app4,116928.0,100.83,4,7.07
1200.0,732.61,app4,105240.0,100.23,4,7.27
1200.0,702.75,app4,108776.0,101.04,4,6.95
1200.0,714.97,app4,108964.0,100.58,4,7.12
1200.0,431.12,app4,413032.0,107.38,16,4.01
1200.0,449.42,app4,412056.0,107.07,16,4.15
1200.0,464.04,app4,413480.0,107.68,16,4.29
1200.0,430.83,app4,420848.0,108.8,16,3.94
1200.0,425.39,app4,407024.0,107.48,16,3.93
1200.0,360.09,app4,416548.0,112.13,16,3.17
1200.0,432.32,app4,412688.0,109.18,16,3.92
1200.0,440.63,app4,424024.0,107.19,16,4.07
1200.0,430.88,app4,409460.0,107.41,16,3.99
1200.0,436.65,app4,404144.0,107.48,16,4.05
1600.0,380.8,app4,517504.0,113.4,32,2.77
1600.0,319.35,app4,514224.0,115.78,32,2.83
1600.0,335.91,app4,508076.0,117.6,32,2.87
1600.0,330.03,app4,503264.0,115.42,32,2.9
1600.0,340.39,app4,514932.0,117.35,32,2.8
1600.0,338.05,app4,504008.0,120.44,32,2.91
1600.0,348.31,app4,520284.0,119.81,32,2.89
1600.0,340.16,app4,515720.0,116.52,32,2.75
1600.0,324.92,app4,522428.0,117.79,32,2.91
1600.0,348.21,app4,511752.0,117.71,32,2.79
2200.0,573.91,app4,20212.0,130.11,1,12.33
2200.0,1266.39,app4,20280.0,102.53,1,12.33
2200.0,1253.63,app4,26296.0,101.5,1,11.97
2200.0,1227.68,app4,20148.0,102.69,1,12.36
2200.0,1256.26,app4,27040.0,101.3,1,11.53
2200.0,1191.81,app4,20152.0,103.19,1,12.4
2200.0,1267.65,app4,20088.0,102.22,1,12.36
2200.0,1259.33,app4,20152.0,101.92,1,12.38
2200.0,1258.93,app4,20024.0,101.47,1,12.3
2200.0,1258.21,app4,20084.0,102.28,1,12.33
2200.0,718.26,app4,108004.0,107.95,4,4.23
2200.0,499.46,app4,115364.0,117.25,4,4.25
2200.0,499.42,app4,115488.0,117.2,4,4.27
2200.0,504.8,app4,116712.0,117.21,4,4.31
2200.0,507.13,app4,108640.0,116.5,4,4.35
2200.0,509.91,app4,114168.0,117.01,4,4.19
2200.0,495.83,app4,121148.0,117.85,4,4.23
2200.0,496.99,app4,116120.0,116.72,4,4.24
2200.0,495.48,app4,116556.0,116.36,4,4.25
2200.0,502.54,app4,114972.0,117.99,4,4.27
2200.0,357.9,app4,400948.0,125.13,16,2.6
2200.0,336.5,app4,401248.0,126.53,16,2.57
2200.0,329.29,app4,397148.0,126.17,16,2.7
2200.0,345.92,app4,406404.0,127.57,16,2.53
2200.0,318.92,app4,402368.0,127.04,16,2.52
2200.0,324.99,app4,404416.0,126.84,16,2.71
2200.0,339.56,app4,406220.0,125.26,16,2.45
2200.0,313.01,app4,400328.0,127.21,16,2.54
2200.0,324.81,app4,402800.0,126.59,16,2.64
2200.0,332.81,app4,400948.0,124.86,16,2.59
2400.0,1116.42,app4,47488.0,105.82,2,6.21
2400.0,704.08,app4,59580.0,113.45,2,6.22
2400.0,722.89,app4,59832.0,116.48,2,6.2
2400.0,721.51,app4,52464.0,115.29,2,6.22
2400.0,709.86,app4,58896.0,114.43,2,6.19
