FR,EN,Name,MEM,POW,TR,TIM
1200.0,146.49,enwik9,25592.0,104.3,1,55.61
1200.0,5142.91,enwik9,25648.0,92.49,1,56.59
1200.0,5231.19,enwik9,25724.0,92.42,1,56.56
1200.0,5256.34,enwik9,27492.0,92.95,1,56.83
1200.0,5270.8,enwik9,25584.0,92.79,1,56.52
1200.0,5223.18,enwik9,25596.0,92.44,1,56.29
1200.0,5248.4,enwik9,25648.0,93.22,1,56.08
1200.0,5198.67,enwik9,25736.0,92.74,1,55.93
1200.0,5177.09,enwik9,25584.0,92.6,1,55.88
1200.0,5166.46,enwik9,25776.0,92.5,1,55.57
1200.0,3050.3,enwik9,106224.0,96.97,4,18.28
1200.0,1836.15,enwik9,106404.0,100.27,4,16.13
1200.0,1649.07,enwik9,99268.0,102.39,4,18.18
1200.0,1833.27,enwik9,105348.0,100.68,4,18.07
1200.0,1825.21,enwik9,102076.0,101.09,4,18.27
1200.0,1854.89,enwik9,108436.0,101.33,4,17.98
1200.0,1810.26,enwik9,106236.0,100.54,4,15.86
1200.0,1625.55,enwik9,103900.0,102.52,4,18.02
1200.0,1812.76,enwik9,96972.0,100.67,4,17.81
1200.0,1792.27,enwik9,98368.0,100.66,4,15.11
1200.0,1008.13,enwik9,475844.0,111.28,16,8.06
1200.0,911.44,enwik9,448292.0,112.35,16,8.44
1200.0,941.4,enwik9,488484.0,111.27,16,8.2
1200.0,919.29,enwik9,452924.0,112.07,16,7.61
1200.0,884.4,enwik9,447988.0,115.44,16,8.45
1200.0,938.21,enwik9,539028.0,110.89,16,8.94
1200.0,980.08,enwik9,554112.0,109.35,16,6.5
1200.0,776.31,enwik9,482820.0,118.33,16,6.72
1200.0,788.58,enwik9,452316.0,116.62,16,8.21
1200.0,915.08,enwik9,571020.0,110.73,16,8.09
2200.0,97.53,enwik9,25612.0,127.99,1,33.31
2200.0,3372.92,enwik9,25732.0,101.15,1,30.6
2200.0,3141.58,enwik9,25732.0,102.7,1,30.5
2200.0,3107.9,enwik9,25784.0,101.73,1,30.59
2200.0,3133.59,enwik9,25680.0,102.4,1,30.57
2200.0,3142.82,enwik9,25696.0,102.86,1,30.58
2200.0,3143.23,enwik9,25816.0,102.71,1,30.39
2200.0,3123.66,enwik9,25720.0,102.75,1,30.36
2200.0,3105.05,enwik9,25720.0,102.14,1,30.45
2200.0,3120.45,enwik9,25616.0,102.48,1,30.26
2200.0,1813.18,enwik9,100304.0,115.43,4,11.08
2200.0,1305.12,enwik9,103560.0,117.52,4,11.4
2200.0,1319.8,enwik9,101168.0,115.69,4,11.29
2200.0,1312.46,enwik9,104956.0,116.09,4,11.22
2200.0,1319.16,enwik9,106228.0,117.18,4,10.4
2200.0,1241.24,enwik9,102428.0,119.23,4,11.12
2200.0,1294.24,enwik9,99896.0,116.53,4,11.1
2200.0,1327.72,enwik9,101944.0,119.56,4,11.13
2200.0,1303.44,enwik9,99772.0,116.82,4,11.09
2200.0,1291.73,enwik9,98268.0,116.29,4,9.98
2200.0,944.42,enwik9,552048.0,129.19,16,6.01
2200.0,803.9,enwik9,497448.0,133.7,16,5.97
2200.0,815.76,enwik9,543820.0,135.53,16,5.83
2200.0,765.29,enwik9,462916.0,131.69,16,5.84
2200.0,814.17,enwik9,467192.0,135.48,16,5.9
2200.0,773.52,enwik9,562116.0,130.64,16,6.16
2200.0,833.93,enwik9,541316.0,135.37,16,5.93
2200.0,770.65,enwik9,503704.0,129.44,16,6.12
2200.0,847.81,enwik9,453136.0,134.33,16,5.93
2200.0,807.69,enwik9,555920.0,135.73,16,5.95
2400.0,3154.71,enwik9,45152.0,104.1,2,17.1
2400.0,1953.48,enwik9,45080.0,114.2,2,14.17
2400.0,1702.7,enwik9,43172.0,120.29,2,17.05
2400.0,1957.01,enwik9,50836.0,114.76,2,14.28
2400.0,1716.29,enwik9,45696.0,120.35,2,17.13
2400.0,1947.43,enwik9,45092.0,113.52,2,14.74
2400.0,1762.6,enwik9,44584.0,119.43,2,16.6
2400.0,1892.66,enwik9,43568.0,113.97,2,17.04
2400.0,1923.68,enwik9,48940.0,112.86,2,15.99
2400.0,1914.94,enwik9,51400.0,117.8,2,17.3
2400.0,799.13,enwik9,830308.0,133.97,32,5.42
2400.0,727.26,enwik9,823776.0,133.18,32,5.22
2400.0,748.3,enwik9,858452.0,142.24,32,5.12
2400.0,737.06,enwik9,812788.0,144.07,32,5.3
2400.0,714.98,enwik9,820124.0,134.59,32,5.23
2400.0,724.86,enwik9,885156.0,137.73,32,5.37
2400.0,712.97,enwik9,837412.0,131.75,32,5.44
2400.0,739.13,enwik9,862644.0,135.39,32,5.39
2400.0,749.14,enwik9,817932.0,135.86,32,5.41
2400.0,745.67,enwik9,836060.0,137.81,32,5.19
2700.0,93.49,enwik9,25728.0,153.02,1,27.6
2700.0,2938.46,enwik9,25640.0,106.4,1,26.8
2700.0,2842.18,enwik9,25576.0,106.05,1,27.61
2700.0,2931.65,enwik9,27720.0,106.19,1,27.65
2700.0,2940.83,enwik9,25664.0,106.35,1,27.08
2700.0,2883.44,enwik9,25632.0,106.59,1,26.57
2700.0,2818.11,enwik9,27100.0,106.13,1,26.16
2700.0,2813.55,enwik9,25628.0,107.58,1,25.77
2700.0,2786.99,enwik9,25736.0,108.25,1,25.13
2700.0,2737.51,enwik9,25720.0,108.89,1,24.66
2700.0,1581.27,enwik9,100808.0,124.0,4,9.66
2700.0,1216.36,enwik9,98608.0,125.93,4,9.7
2700.0,1219.37,enwik9,117168.0,125.57,4,7.98
2700.0,1090.9,enwik9,110972.0,136.19,4,9.6
2700.0,1226.65,enwik9,98204.0,125.14,4,9.84
2700.0,1231.76,enwik9,104904.0,124.93,4,7.16
2700.0,1009.65,enwik9,100084.0,140.94,4,9.99
2700.0,1244.14,enwik9,104432.0,124.31,4,9.74
2700.0,1224.32,enwik9,114840.0,125.46,4,8.53
2700.0,1150.55,enwik9,97152.0,134.44,4,9.68
2901.0,1869.71,enwik9,104216.0,157.65,4,8.0
2901.0,1263.33,enwik9,101896.0,157.69,4,6.92
2901.0,1169.22,enwik9,104576.0,167.88,4,8.08
2901.0,1265.53,enwik9,110020.0,156.97,4,8.06
2901.0,1281.84,enwik9,103672.0,158.96,4,7.9
2901.0,1255.98,enwik9,101868.0,157.82,4,7.93
2901.0,1262.27,enwik9,113068.0,158.54,4,8.19
2901.0,1292.53,enwik9,100164.0,157.37,4,7.9
2901.0,1260.66,enwik9,104692.0,159.28,4,8.0
2901.0,1289.51,enwik9,109676.0,159.99,4,8.08
2901.0,1035.33,enwik9,499948.0,160.21,16,4.99
2901.0,1000.01,enwik9,515616.0,199.38,16,5.08
2901.0,987.38,enwik9,452500.0,186.92,16,4.89
2901.0,945.33,enwik9,498132.0,190.5,16,5.32
2901.0,909.59,enwik9,561416.0,169.58,16,5.18
2901.0,868.77,enwik9,471424.0,166.7,16,5.19
2901.0,978.6,enwik9,517832.0,187.77,16,5.13
2901.0,854.88,enwik9,465932.0,165.59,16,4.95
2901.0,839.08,enwik9,539692.0,169.04,16,4.52
2901.0,944.93,enwik9,478908.0,206.77,16,5.05
1700.0,111.54,enwik9,25816.0,116.63,1,39.91
1700.0,3843.46,enwik9,25684.0,96.33,1,40.42
1700.0,3851.69,enwik9,25820.0,95.34,1,39.27
1700.0,3798.17,enwik9,25664.0,96.65,1,39.8
1700.0,3802.76,enwik9,25820.0,95.43,1,40.93
1700.0,3908.37,enwik9,25820.0,95.44,1,40.07
1700.0,3842.78,enwik9,25820.0,95.83,1,40.37
