FR,EN,END,Name,START,REP,TR,TIM
1200.0,306.09502,1405165571.411254206,14,1405165568.900846317,2,16,2.510407889
1200.0,261.531394,1405165574.977917568,14,1405165572.875839145,3,16,2.102078423
1200.0,213.045584,1405165578.121700056,14,1405165576.439343897,4,16,1.682356159
1200.0,259.59454,1405165580.847909525,14,1405165578.780607347,5,16,2.067302178
1200.0,257.688295,1405165584.405962295,14,1405165582.311262780,6,16,2.094699515
1200.0,446.031836,1405165590.603935436,14,1405165586.873242882,7,16,3.730692554
1200.0,320.995716,1405165595.708031838,14,1405165593.069496796,8,16,2.638535042
1200.0,349.826148,1405170997.247570850,14,1405170994.505906449,2,32,2.741664401
1200.0,314.179534,1405171001.131341674,14,1405170998.754108484,3,32,2.377233190
1200.0,280.721017,1405171004.696288836,14,1405171002.596899130,4,32,2.099389706
1200.0,403.841382,1405171010.321588722,14,1405171007.165206790,5,32,3.156381932
1200.0,293.356913,1405171015.012923114,14,1405171012.789073293,6,32,2.223849821
1200.0,382.539387,1405171019.432816411,14,1405171016.476256574,7,32,2.956559837
1200.0,285.268786,1405171023.107953506,14,1405171020.909561032,8,32,2.198392474
1200.0,563.117024,1405174296.033361203,14,1405174290.612053202,2,4,5.421308001
1200.0,517.145428,1405174301.726780132,14,1405174296.736651690,3,4,4.990128442
1200.0,405.950795,1405174306.241515973,14,1405174302.389920845,4,4,3.851595128
1200.0,520.006326,1405174313.717331261,14,1405174308.712611835,5,4,5.004719426
1200.0,595.500788,1405174320.196356379,14,1405174314.416993180,6,4,5.779363199
1200.0,499.235651,1405174327.478025497,14,1405174322.673106078,7,4,4.804919419
1200.0,420.225162,1405174332.965618263,14,1405174328.944727438,8,4,4.020890825
1200.0,696.007482,1405178912.208346626,14,1405178905.188546310,2,2,7.019800316
1200.0,925.633871,1405178924.027221889,14,1405178914.732388113,3,2,9.294833776
1200.0,1186.421434,1405178936.627063667,14,1405178924.700081572,4,2,11.926982095
1200.0,648.847509,1405178945.638208722,14,1405178939.099965558,5,2,6.538243164
1200.0,738.447711,1405178953.771779991,14,1405178946.302781497,6,2,7.468998494
1200.0,673.156466,1405178961.221782595,14,1405178954.432759762,7,2,6.789022833
