FR,TR,Name,REP,START,END,TIM,EN
1200.0,16,11,1,1405165151.111733317,1405165151.933879356,0.822146039,91.072283
1200.0,16,11,2,1405165152.588410555,1405165153.320957804,0.732547249,81.211174
1200.0,16,11,3,1405165154.781746746,1405165155.639599922,0.857853176,95.800793
1200.0,16,11,4,1405165156.293094638,1405165156.975599067,0.682504429,79.328248
1200.0,16,11,5,1405165158.438236483,1405165159.186902534,0.748666051,84.494006
1200.0,16,11,6,1405165160.648093378,1405165161.428246461,0.780153083,89.282891
1200.0,16,11,7,1405165162.889229410,1405165163.749893953,0.860664543,96.669271
1200.0,16,11,8,1405165164.408937077,1405165165.447062036,1.038124959,118.70385
1200.0,16,18,1,1405165964.538254017,1405165999.686885112,35.148631095,3718.920699
1200.0,16,18,2,1405166000.387633668,1405166033.259689257,32.872055589,3446.992776
1200.0,16,18,3,1405166034.731588744,1405166067.314263358,32.582674614,3399.985991
1200.0,16,18,4,1405166068.781072464,1405166099.922794444,31.141721980,3240.692432
1200.0,16,18,5,1405166100.589538470,1405166131.054191661,30.464653191,3168.018868
1200.0,16,18,6,1405166132.565187004,1405166162.361099041,29.795912037,3096.870826
1200.0,16,18,7,1405166164.840398467,1405166200.291672629,35.451274162,3664.221239
1200.0,16,18,8,1405166202.765210899,1405166236.249583919,33.484373020,3479.433079
1200.0,16,22,1,1405166426.554053793,1405166435.185893110,8.631839317,881.511129
1200.0,16,22,2,1405166436.712771668,1405166445.349679707,8.636908039,880.618019
1200.0,16,22,3,1405166446.851884580,1405166455.318419462,8.466534882,852.533946
1200.0,16,22,4,1405166456.793923472,1405166465.254223084,8.460299612,855.815497
1200.0,16,22,5,1405166466.718451553,1405166475.221399584,8.502948031,858.742104
1200.0,16,22,6,1405166476.695229631,1405166485.008019519,8.312789888,840.024462
1200.0,16,22,7,1405166486.480817403,1405166495.130947898,8.650130495,875.107671
1200.0,16,22,8,1405166496.638852255,1405166504.466913679,7.828061424,780.845647
1200.0,8,11,1,1405167824.876615254,1405167826.250555743,1.373940489,148.34302
1200.0,8,11,2,1405167828.719849912,1405167829.953810965,1.233961053,133.030395
1200.0,8,11,3,1405167830.612951861,1405167832.146093190,1.533141329,165.522178
1200.0,8,11,4,1405167834.650790690,1405167835.831321022,1.180530332,128.753442
1200.0,8,11,5,1405167836.492115767,1405167837.703392430,1.211276663,131.290278
1200.0,8,11,6,1405167838.362793195,1405167839.421876802,1.059083607,115.392969
1200.0,8,11,7,1405167840.886916172,1405167841.956787275,1.069871103,116.891958
1200.0,8,11,8,1405167842.616955081,1405167843.596508572,0.979553491,107.034788
1200.0,8,18,1,1405168698.765629434,1405168732.178440131,33.412810697,3462.586552
1200.0,8,18,2,1405168734.657108292,1405168768.224379192,33.567270900,3473.457735
